식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,인스 타 그램,페이스 북,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,추가 장비,영상,QR 코드 결제,X (트위터),외국어 지원,맥주 제작자,온라인 예약
intellctuary,지적,https://retty.me/area/PRE13/ARE13/SUB1303/100001757253/,03-6417-4445,바 비스트로,"[월요일부터 금요일, 토요일, 휴일]
점심 11:00-15:00 L.O. 14:00
[월요일부터 금요일까지]
저녁 식사 17:00-22:00 L.O. 21:00
[토요일/휴일]
저녁 식사 17:00-21:00 L.O. 20:00","매주 일요일
새해 휴일 (확인하십시오)
시설과 동일합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,"게이트 시티 오사키 웨스트 타워 B1, 1-11-1 오사키, 시나가와 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Osaki Station에서 도보 3 분 (190m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 13 분 (970m)
Keikyu Main Line / Kitashinagawa Station 13 분 도보 (970m)","예
이웃 P (할인) 사용 가능",70 석,예,"불가능합니다
(시설에 흡연 구역이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,"https://intellctuary.foodre.jp/
https://intellctuard.com/",https://www.prod.instagram.com/intellctuary.official/?hl=ja,https://www.facebook.com/intellctuary/,,"3,000 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.",,"우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료 및 현지에서 생산 된 재료에 대해 특히 알 수 있으며 고객에게 알레르기가있는 고객을 수용 할 수 있습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 저녁 식사, 개인 실, 엔터테인먼트, 점심, 고기, 예약, 개인이 이용할 수있는, 지불금 지불 이용 가능, 연말 파티, 신년 파티, 작별 파티, 환영 파티, Paypay Points, 온라인 예약 가능
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
테라스가 있습니다
상업용 시설에 위치합니다","축하 가능성
휴대품 룸이 있습니다",,"예
초등학생들은 환영합니다",불가능합니다,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001757253/archive/351849-67ab0893bb0af.jpg,PayPay,https://x.com/intellctuary,"영어
언어를 말할 수있는 직원이 있습니다",,
本格シュラスコ＆肉寿司食べ放題 肉バル 月光 五反田店,정통 churrasco & all-you-can-eat 고기 스시 고기 바 Gekko Gotanda Branch,https://retty.me/area/PRE13/ARE13/SUB1303/100001704059/,050-5462-5280,이자카야 고기 바,"[하루 종일]
 11:00-23:00
폐쇄 : 연중 내내 개장합니다 (12 월 31 일, 1 월 1 일 및 2 일에 문을 닫습니다).
연회, 소녀의 밤 또는 개인 파티는 우리 가게를 방문하십시오!
(요리 L.O. 22:00 음료 L.O. 22:30)","하루 종일 개점
일년 내내 문을 엽니 다 (12 월 31 일, 1 월 1 일 및 2 일에 문을 닫습니다).","점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
JCB",,"3f Gotanda Ex Building, 1-18-1 Nishi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 2 분 (96m)
JR Yamanote Line / Gotanda Station 4 분 도보 (260m)
JR Yamanote Line / 오사키 역에서 도보로 9 분 (680m)",없음,90 석,없음,"예
완전히 흡연이 허용됩니다
(상점에서 흡연 부스)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
제한된 수의 사람들이 임대 할 수있는 (좌석) : 100 명","[공식적인]
https://gekkko-gotanda.foodre.jp/",,,"전자 돈을 사용할 수 있습니다
(운송 전자 돈 (Suica 등), ID)
QR 코드 결제 이용 가능 : PayPay",,,고기 요리 전문,,사용 가능한 예약,"저녁 식사, 쌀, 점심, 개인 실, 흡연 허용, 고기, 솔로, 급여 지불 수락, 연말 파티, 새해 파티, 여자 파티, 여자 파티, 모든 멍청한, 음료없는 와인, 비 흡연, 개인 실, 여자 파티, 모든 캔에 들어 올림, 전적으로 캔 드린 링크
다른 사용 장면을 참조하십시오",,,,예,,,예,070-8526-1875,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001704059/archive/327888-66051822a3282.jpg,PayPay,,,,
WARAYAKI funsista,Warayaki Funsista,https://retty.me/area/PRE13/ARE13/SUB1303/100001727163/,050-5462-5964,비스트로 식당 바 해산물 및 해산물 바,"[월요일부터 금요일까지]
저녁 식사 17:00-23:00
[태양, 토요일, 휴일]
 12:00-23:00",,"점심:-
저녁 식사 : ~ 8,000 엔",,,"Takigen Building 1-24-4 Nishigotanda, Shinagawa-Ku, 도쿄 1st 및 2 층
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 2 분 (120m)
JR Yamanote Line / Gotanda Station 4 분 도보 (280m)
JR Yamanote Line / Osaki Station에서 도보로 10 분 (740m)",,70 석,예,,예,,https://warayakifunsista.com/,,,,,,,,,"엔터테인먼트, 저녁 식사, 고기, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 개인 실, Paypay Points 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,,,,,03-6910-4985,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001727163/archive/3347085-667cefb029a54.jpg,,,,,
全席個室 楽蔵‐RAKUZO‐ 大崎センタービル店,모든 좌석 개인 객실 Rakuzo -Rakuzo -Osaki Center Building,https://retty.me/area/PRE13/ARE13/SUB1303/100000057529/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
お忍びダイニング たくみ 五反田本店,비밀 다이닝 타쿠미 고 탄드 메인 매장,https://retty.me/area/PRE13/ARE13/SUB1303/100001310940/,050-5303-9756,이자카야 해산물과 해산물 요리 일본 음식,"[하루 종일]
 17:00-23:00 L.O. 22:00",명확하지 않습니다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Duros Higashi-Gotanda Building 3F, 1-13-3 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 1 분 도보 (59m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 6 분 (460m)
JR Yamanote Line / Osaki Station에서 도보 10 분 (800m)",없음,150 석,예,"예
완전히 흡연이 허용됩니다
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://brands.olivedining.jp/takumi/tokyo/9474664,,https://www.facebook.com/pg/takumi.gotanda.3/posts/,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink Course에는 5,000 엔 이상, All-You-Can-Drink",우리는 생선 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"개인 실
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성",없음,,,,없음,03-6277-2839,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001310940/archive/2662088-62451511c3475.jpg,PayPay,,,,
秋田料理 わったりぼうず,Akita Cuisine Walteribozu,https://retty.me/area/PRE13/ARE13/SUB1303/100000003522/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大崎キッチン,오사키 주방,https://retty.me/area/PRE13/ARE13/SUB1303/100001537384/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
じゅう兵衛 本店,jubei 메인 상점,https://retty.me/area/PRE13/ARE13/SUB1303/100000064034/,050-5461-3610,야키니쿠 호르몬 이자카야,"[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:30 L.O. 23:00
[태양, 토요일, 휴일]
점심 11:30-15:00 L.O. 14:30
[일요일과 휴일]
저녁 식사 17:00-23:00 L.O. 22:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",예,,"Hidewa Gotanda Residence 2F, 1-4-8 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 2 분 도보 (110m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 5 분 (360m)
JR Yamanote Line / Osaki Station에서 도보로 11 분 (850m)",예,40 석,없음,"연기 분리
(주중 흡연 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,"[공식적인]
https://jyubeehonten.foodre.jp/
https://urutora-d.com/",,,,,,,,,"점심 시간, 그룹 날짜, 기념일, 성인 은신처, 고기, 연말 파티, 새해 파티, 개인 룸 엔터테인먼트, 전세 공연, 개인 실, Paypay Payment, Paypay Points, 온라인 예약, 작별 파티, 환영 파티, 스타일리시 한
다른 사용 장면을 참조하십시오",,,,,,,예,03-3492-2919,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000064034/archive/1882174-5f72999e46d08.png,PayPay,,,,
肉系居酒屋 肉十八番屋 五反田店,고기 이자카야 니쿠 주 차시 비냐 고산 다 지점,https://retty.me/area/PRE13/ARE13/SUB1303/100001266757/,03-5422-7576,이자카야 야키니 쿠 스시 사시미,"[월요일부터 금요일까지]
 11:30-23:30
[태양, 토요일, 휴일]
 13:00-23:30
[축하 전]
 11:30-24:00
*Gurunavi, Tabelog 및 Hot Pepper가 최신 비즈니스 상황입니다. 확인하십시오.","하루 종일 개점
새해 휴일 (확인하십시오)
공휴일이라면 다음날 문을 닫습니다.
새해 휴일 (2022 년 12 월 31 일 -2023 년 1 월 3 일)","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Sansho Building 1 B1F, 1-11-7 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 2 분 도보 (110m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 8 분 (570m)
Toei Asakusa Line / Takanawadai 역에서 도보로 10 분 (750m)",없음,85 석,예,"연기 분리
(흡연 좌석이 있습니다. 자세한 내용은 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명",,,https://www.facebook.com/niku18banya/,"자매 상점에 관한 정보 : Tanaka Livestock Ningyocho 지점 주소 : Grande Ningyocho B1F, 3-12-11 Nihonbashi Ningyocho, Chuo-Ku, Tokyo",,"4,000 엔에서 4,999 엔까지의 싱글 링크와 5,000 엔 이상의 링크를 포함하는 코스가 포함 된 코스가 있습니다.",야채 요리 전문,"맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"점심으로 점심만한 연회/음료 파티 솔로 작별 파티에 이용할 수있는 개인 방 환영 파티 체리 꽃보기/체리 꽃보기 레스토랑 크리스마스 저녁 식사 파티 새해 파티 마시는 와인은 예약 할 수 있습니다.
다른 사용 장면을 참조하십시오",,,,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001266757/archive/2870053-633fa404ea0da.jpg,PayPay,,,,
焼肉酒場 牛恋 五反田店,Yakiniku Bar Ushiren Gotanda 지점,https://retty.me/area/PRE13/ARE13/SUB1303/100001500915/,03-6420-0940,야키 니쿠 이자카야 호르몬,"[Sun, 화요일, 금요일, 토요일, 공휴일 및 휴일 전]
점심 11:30-14:00 L.O. 13:30
저녁 식사 16 : 30-20 : 00 L.O. 19:30","매주 월요일
새해 휴일 (확인하십시오)","저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"B1F, 1-26-4 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로코지 역에서 도보 2 분 (150m)
JR Yamanote Line / Gotanda Station 3 분 도보 (210m)
JR Yamanote Line / Osaki Station에서 도보로 9 분 (720m)",예,48 석,없음,"연기 분리
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",예,,https://www.instagram.com/ushikoi/,https://www.facebook.com/ushikoi/,,,,고기 요리 전문,"맥주, 사케, 쇼치, 와인",사용 가능한 예약,"점심 모든 당신이 마시는 연회/음주 파티 개인 실
다른 사용 장면을 참조하십시오","활발한 상점
숨는 곳","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",,예,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001500915/archive/1745214-5efef8ce41901.jpg,PayPay,https://x.com/ushikoi,,,
海鮮居酒屋 まんげつ 五反田店,해산물 Izakaya Mangetsu Gotanda 지점,https://retty.me/area/PRE13/ARE13/SUB1303/100001491802/,03-6431-9088,이자카야 일본 요리 해산물과 해산물 요리 스시,"[월요일부터 금요일까지, 휴일 전]
 11:30-23:30
[태양, 토요일, 휴일]
 13:00-23:30
*Gurunavi, Tabelog 및 Hot Pepper가 최신 비즈니스 상황입니다. 확인하십시오.","매주 일요일
*일요일이 국경일이라면 월요일입니다
새해 휴일 (2022 년 12 월 31 일 -2023 년 1 월 3 일)","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Kano Building B1, 1-25-1 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 2 분 (120m)
JR Yamanote Line / Gotanda Station 3 분 도보 (240m)
JR Yamanote Line / Osaki Station에서 도보로 9 분 (710m)",,60 석,없음,"연기 분리
(흡연 좌석이 있습니다. 자세한 내용은 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,https://e185106.gorp.jp/,,,,,,,,,"점심 만세 연회/음료 파티 개인 방 작별 파티를 환영 파티 연말 파티 새해 파티 술 마시는 와인 저녁 식사 쌀 흡연 허용 개인 방 점심 Shochu PayPay 지불 이용 가능한 캐주얼 요리 연말 파티
다른 사용 장면을 참조하십시오",,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001491802/archive/2870303-633fd686c7b66.jpg,PayPay,https://x.com/uotomizu,,,
五反田焼肉じゅう兵衛 はらみ堂 和牛一頭流,Gotanda Yakiniku jubei haramido wagyu 쇠고기 편도,https://retty.me/area/PRE13/ARE13/SUB1303/100000012283/,050-5461-3611,야키니쿠 호르몬 이자카야 쇠고기 요리,"[월요일 ~ 수요일과 금요일]
저녁 식사 17:00-23:30 L.O. 22:45
[나무]
점심 17:00-23:30 L.O. 22:45
[태양, 토요일, 휴일]
점심 12:00-15:00 L.O. 14:30
저녁 식사 17:00-23:00 L.O. 22:15","하루 종일 개점
새해 휴일 (확인하십시오)
12/31 ~ 1/2","점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔",예,,"1-32-2 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보로 4 분 거리 (250m)
JR Yamanote Line / Gotanda Station 4 분 도보 (320m)
Tokyu Meguro Line / Fudomae 역에서 도보로 11 분 (810m)",,55 석,없음,"예
완전히 흡연이 허용됩니다
(흡연은 평일에만 허용됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"[공식적인]
https://haramido-gotanda.foodre.jp/
https://urutora-d.com/",,,,,,,,,"식사, 기념일, 점심, 소녀의 밤, 고기, 점심, 저녁, 연말 파티, all-you-can-drink, 날짜, 쿠폰 이용 가능, 새해 파티, 개인 객실 날짜, Paypay Payment, Paypay Points, 온라인 예약, 작별 파티, 전용 파티, 개인 룸
다른 사용 장면을 참조하십시오",,,,,,,,03-3491-8938,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000012283/cover/7163-55bafef569f65.jpg,PayPay,,,,
ファイヤーホール4000,소방관 4000,https://retty.me/area/PRE13/ARE13/SUB1303/100001329861/,03-6450-3384,"뜨거운 냄비, 테이크 아웃, Shabu-Shabu","[Sun, 화요일, 금요일, 토요일]
점심 11:30-14:30 L.O. 14:00
저녁 식사 17:00-22:00 L.O. 21:30
[축하해요]
 11:30-14:30 L.O. 14:00
 17:30-22:00 L.O. 21:00
모든 좌석은 2 시간 안에 이용할 수 있으며 (라이트 세트는 90 분 안에 이용 가능), 마지막 주문은 주문 30 분 전에 배치됩니다.
그러나 이것은 상점의 최종 주문 수락 (21:30) 및 마감 시간 (22:00)에 따라 다를 수 있습니다.
(예 : 21:30 예약을위한 마지막 주문)
우리는 확장을 받아들이지 않습니다.",매주 월요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Rakuten Edy, Waon, Quicpay","1-25-19 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 6 분 도보 (410m)
JR Yamanote Line / 오사키 역에서 도보로 8 분 (620m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보로 9 분 (660m)",없음,"64 석
(4 명 X 2, 대형 홀, 10 명 X 2 및 2 ~ 8 명을위한 테이블을위한 반 개인 객실, 테이블 및 그룹을 결합하여 수용 할 수 있습니다.",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",불가능합니다,,https://www.instagram.com/explore/locations/1995389397346841/4000/,https://www.facebook.com/firewhole4000/,,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","전 만점 가격 : 2,000 엔 -2,999 엔",생산 구역에 특화되고 매우 매운 메뉴를 이용할 수 있습니다.,"맥주, 술, 와인, 샤 옥싱 와인이 있습니다",사용 가능한 예약,"점심, 개인 객실, 싱글 룸, 크리스마스 저녁 식사, 세련된 저녁 식사, 저녁, 쌀, 비 조화, 개인 객실, 점심, 세련된, 개인 실, 엔터테인먼트, 슈퍼 매운, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",차분한 분위기,테이크 아웃 가능성,없음,예,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001329861/archive/3596149-6812cec0bd1c6.jpg,PayPay,,,,
謝朋殿 大崎店,Saehoden Osaki 매장,https://retty.me/area/PRE13/ARE13/SUB1303/100000104227/,03-3779-9216,"중국 음식, 볶음밥, 쌀 그릇, 야키소바","[월요일부터 금요일까지]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-22:00 L.O. 20:45
[태양, 토요일, 휴일]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-21:00 L.O. 20:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",Amex,,"2F, 오사키 뉴 시티, 1-6-5, 오사카, 시나가와 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 오사키 역에서 도보로 1 분 (68m)
도쿄 이케 가미 라인 / 오사키 히로 코지 스테이션 10 분 도보 (750m)
JR Yamanote Line / Gotanda Station 10 분 도보 (800m)",,160 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",,https://www.shahoden.com/shop/osaki.html,,,,,,,,,"점심, 개인 실, 저녁 식사, 쌀, 비 흡연, 개인 실, 점심, 개인 실,",,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3295387.jpg,,,,,
鳥貴族 五反田東口店,Torikigoku Gotanda East Exit 매장,https://retty.me/area/PRE13/ARE13/SUB1303/100001232142/,03-6277-3288,야키토리,"[하루 종일]
 17:00-29:00 L.O. 28:30","매년 1 월 1 일, 매년 12 월 31 일","점심:-
저녁 식사 : ~ 2,000 엔",Amex,,"Kitahara Building 4F, 1-14-14 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 2 분 도보 (82m)
도쿄 이케 가미 라인 / 오사키 히로코지 역에서 도보 6 분 (420m)
JR Yamanote Line / Osaki Station에서 도보로 10 분 (760m)",,78 석,예,,예,,,,,,,,,,,개인 룸은 첫 번째 열차 저녁 식사가 열릴 때까지 열렸습니다.,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34693444.jpg,PayPay,,,,
牛タンと串焼き 松の葉 五反田,"쇠고기 혀와 구운 꼬치, 소나무 잎, 고탄",https://retty.me/area/PRE13/ARE13/SUB1303/100001737213/,03-6417-0586,이자카야,"[하루 종일]
점심 11:00-15:00
저녁 식사 17:00-23:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2-26-7 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 4 분 도보 (300m)
도쿄 이케 가미 라인 / 오사키 히로코지 역에서 도보 5 분 (380m)
Tokyu Meguro Line / Fudomae 역에서 도보로 10 분 (770m)",없음,50 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,,,,"점심 모든 란드 링크 개인 객실 Sake 이용 가능한 저녁 식사 흡연 허용 개인 실 점심 쇼치를 구입할 수 있습니다 급여 지불 지불 가능 캐주얼
다른 사용 장면을 참조하십시오",,,,,,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001737213/archive/3284689-6613a7468127d.jpg,PayPay,,,,
thee morning sunshiNe,너 아침 햇살,https://retty.me/area/PRE13/ARE13/SUB1303/100001467136/,03-6420-3103,식당 바 바,,불규칙한 휴일,"점심:-
저녁 식사 : ~ 4,000 엔",예,,"3F Bellville, 1-26-8 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로코지 역에서 도보 2 분 (150m)
JR Yamanote Line / Gotanda Station 3 분 도보 (220m)
JR Yamanote Line / Osaki Station에서 도보로 10 분 (730m)",,27 석,,,예,,,https://www.instagram.com/theemorningsunshine/,,,,,,,,개인 실,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/20768394.jpg,,,,,
ワインの酒場。ディプント 五反田店,와인 바. DUBINTO GOTANDA 매장,https://retty.me/area/PRE13/ARE13/SUB1303/100001453271/,03-5860-2280,고기 바 와인 바 이탈리아 바 이자카야 이탈리아 음식 햄버거,"[월요일부터 금요일, 토요일, 휴일 전]
저녁 식사 17:00-28:30 L.O. 28:00
[일요일과 휴일]
저녁 식사 17:00-23:00 L.O. 22:30
영업 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.",매주 일요일과 공휴일,"점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
식당
JCB",,"2F, Dai-Kawano Building, 1-15-10 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda 역에서 도보 2 분 (96m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 6 분 (450m)
JR Yamanote Line / Osaki Station에서 도보로 10 분 (770m)",없음,"90 석
(개인 서비스를 사용하는 경우 최대 120 명을 제공 할 수 있습니다.)","예
(좌석이 넓기 때문에 카운터에서 예약하는 사람들이 많이 있습니다.)","예
흡연실 사용 가능
(상점에 흡연 부스가 있습니다 ♪)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,https://www.dipunto.wine/,,,"QR 코드 결제도 가능합니다!
급여 지불 AU 급여 D 급여 임금 지불 R Pay Merpay alipay wechat","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을위한 all-you-can-drink를 포함하는 코스와 5,000 엔 이상에 대한 싱글 링크를 포함하는 코스가 포함 된 코스가 있으며, 2 시간 반에 걸쳐 두 번의 링크를 포함하는 코스가 있습니다.","우리는 고기 요리, 수입 재료 및 성분을 생산하며 알레르기가있는 고객을 수용 할 수 있습니다.","맥주, 와인, 위스키",사용 가능한 예약,"독창적 인 연회/음주 파티 솔로 작별 파티에 이용할 수있는 개인 실
다른 사용 장면을 참조하십시오","보기가 좋습니다
개방성이 있습니다
조용한 가게
활발한 상점
차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",,,,,없음,,"프로젝터, TV 및 모니터, 오디오 장비",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001453271/archive/1014062-5d24453B0370f.jpg,PayPay,,언어 지원 메뉴가 있습니다,,
