식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,Wi-Fi 사용,전화 번호,외국어 지원,영상,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,전원 공급 장치 사용,X (트위터),맥주 제작자,추가 장비,온라인 예약
夕月,저녁 달,https://retty.me/area/PRE13/ARE7/SUB703/100000072204/,050-5304-3198,일본 요리 카포/작은 레스토랑,"[하루 종일]
저녁 식사 18:00-23:00 L.O. 22:00","불규칙한 휴일
가게가 닫히면 상점에 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 30,000 엔",예,PayPay,,"1f, 2-44-3 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 4 분 (300m)
도쿄 도요코 라인 / 유텐지 스테이션 11 분 도보 (850m)
도쿄 도요코 라인 / Daikanyama 역에서 도보로 12 분 (950m)",없음,18 석,예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
6 명을 예약 할 수있는 사람의 수에 대한 최저 한도
예약 할 수있는 제한된 수의 사람들 : 10 명","[공식적인]
https://nakameguro-yuuduki.foodre.jp/","*어린이는 임대 할 때만 서비스를 사용할 수 있습니다.
*코스를 예약하는 6 명 이상의 사람들이 라이센스를 만들 수 있습니다.
*미리 예약 한 사람들이 있다면, 6 명 이상이 우리를 방문 할 수 있더라도 자녀를 받아들이지 않을 것입니다.
[취소 정책]
전날 취소 된 경우 50%
하루에 취소하면 100% 식사 요금이 청구됩니다.
사람들의 수가 감소하면 감소 된 수에 대한 수수료를 청구합니다.",,,,예약이 필요합니다,"기념일 결혼 기념일 생일 날짜 성인 숨겨져있는 저녁 식사 엔터테인먼트 저녁 식사 결혼식을위한 새해 파티 이용 가능한 연말-엔드 파티를 이용할 수없는 연말 페이 페이 지불 이용 가능 급여 지불 포인트 온라인 예약 이용 가능 세련
다른 사용 장면을 참조하십시오",,,,불가능합니다,불가능합니다,없음,03-3791-5671,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100000072204/archive/2549741-619F4040A4358.jpg,https://www.instagram.com/nakameguro_yuuzuki/,,,,,,,
兜 中目黒,카 부토 나카 메 구로,https://retty.me/area/PRE13/ARE7/SUB703/100001356881/,050-5461-4430,야키니쿠,"[하루 종일]
 11:00-5:00 L.O. 4:00",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 8,000 엔",예,PayPay,,"2f Raffine Nakameguro, 3-3-13 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보로 1 분 (76m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (660m)
JR Yamanote Line / Ebisu Station 14 분 도보 (1.1km)",없음,88 석,없음,"연기 분리
(수동 흡연 조치 (Advanced Health Promotion Act)에 관한 법률은 2020 년 4 월 1 일부터 발효되었습니다. 최신 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",불가능합니다,"[공식적인]
https://kabuto-nakameguro.foodre.jp/
https://kabtonakameguro.owst.jp/",,,,,,"날짜, 개인 실, 기념일, 점심, 성인 은신처, 저녁 식사, 고기, 연말 파티, 새해 파티, 크리스마스 저녁 식사, 쿠폰 이용 가능, 지불금 지불 가능, 온라인 예약, 작별 파티, 환영 파티, 점심 음주
다른 사용 장면을 참조하십시오",,,,,,,03-6303-0629,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001356881/archive/1970335-5f86c34f949b7.png,,,,,,,,
iro,Iro,https://retty.me/area/PRE13/ARE7/SUB703/100001677801/,03-6303-1860,카포/작은 레스토랑 크리에이티브 요리 일본 음식,"[하루 종일]
 17:00-24:00 L.O. 23:00
(식당이 완전히 예약되면 식당은 첫 번째 그룹 예약 시점부터 문을 엽니 다.)","불규칙한 휴일
12 월에 문을 닫았습니다
[4/8/11/16/16/25 위/19 일/26 일/30 일/31 일]","점심:-
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"Higashiyama Suzuboso 105, 1-9-13 Higashiyama, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보로 9 분 (700m)
Tokyu Denentoshi Line / Ikejiri Ohashi Station 13 분 도보 (1.0km)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 14 분 (1.1km)",없음,12 석,"예
(카운터에서 8 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",예,,"아이들은 개인 실에서만 환영합니다.
예약 할 때 알려주십시오.","8,000 엔 이상의 코스",우리는 야채 요리와 생선 요리에 대해 특히 알고 있습니다,"술, 쇼치, 와인",사용 가능한 예약,"개인 실, 쌀, 저녁 식사, 엔터테인먼트, 세련된 개인 실, 개인 실, 엔터테인먼트, 데이트, 소녀의 밤, 결혼 기념일, 음료수, 음료 와인, 어린이, 개인 실, 비 흡연, 개인 실, 기념일, 기념일과 함께 즐기십시오
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",없음,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001677801/archive/347397-6758ff446a28.jpg,,,,불가능합니다,,,,
焼鳥スエヒロガリ,Yakitori Suehirogari,https://retty.me/area/PRE13/ARE7/SUB703/100001222196/,03-6712-2233,야키토리 오믈렛 라이스,"[하루 종일]
저녁 식사 17:00-23:30",불규칙한 휴일,"점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"3-6-4 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (770m)
도쿄 도요코 라인 / 유텐지 스테이션 13 분 도보 (1.0km)","없음
근처 (할인 없음) 사용 가능",10 석,"예
(카운터 시트는 주로 사용됩니다)","불가능합니다
(모든 좌석은 금연합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.",야채 요리 전문,"맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"데이트 소녀의 밤 연회 및 음주 파티 싱글 싱글 OK 성인 은신처 작별 파티를 환영 파티 체리 꽃보기 및 레스토랑 벚꽃과 함께 크리스마스 저녁 식사 연말 파티를 마시는 새해 파티를 마시는 와인을 마시는 주차
다른 사용 장면을 참조하십시오",,,,,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001222196/archive/725475-5c789354aa5c8.jpg,,,,,,,,
博多ちょうすけ 中目黒店,Hakata Chosuke Nakameguro 매장,https://retty.me/area/PRE13/ARE7/SUB703/100001310694/,050-5462-8053,이자카야 우동,"[월요일부터 금요일까지]
 17:00-23:00 L.O. 22:30
[태양, 토요일, 휴일]
 15:00-23:00 L.O. 22:30
*상황에 따라 제품이 변경 될 수 있습니다.",불규칙한 휴일,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Nanaco, Waon, Quicpay","3-5-29 Kamimeguro, Meguro-Ku, 도쿄 52 Nakameguro 엘리베이터 아래
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (180m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (830m)
Tokyu Toyoko Line / Yutenji 역에서 도보 13 분 (970m)",없음,32 석,예,"불가능합니다
(흡연은 상점 밖에 소유되어 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,"서비스 요금이 없습니다
전채 요금 : 400 엔 (세금 포함)","3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스",생선 요리 전문,"맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"쌀, 저녁 식사, 마실, 음료수, 음료, 연회 및 음료 파티, 솔로 환영 파티, 벚꽃 시청이있는 레스토랑, 연말 파티, 새해 파티, 밤 늦게 개장, 급여 지불 가능, 캐주얼
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성",,예,,없음,03-6452-4170,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001310694/archive/3560374-67e0488f94c9f.jpg,https://www.instagram.com/hakatachosuketokyo/,https://www.facebook.com/niwakayachosuke/,"3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을 포함한 코스와 5,000 엔 이상을위한 모든 싱크 링크를 포함하는 코스가 포함 된 코스가 포함되어 있습니다.",,,,,온라인 예약
cocon,코코,https://retty.me/area/PRE13/ARE7/SUB703/100001611829/,050-6876-7404,프랑스 요리,"[토요일, 일요일 및 월요일]
점심 : 12 : 30-16 : 00
저녁 식사 : 18:00
[tue, thu, fri]
오후 6 시부 터 (밤에만 개장)",매주 수요일,"점심 : ~ 8,000 엔
저녁 식사 : ~ 15,000 엔",예,,,"Chiyo Nakameguro 건물 부록 4f, 3-8-3 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (670m)
JR Yamanote Line / Ebisu Station 14 분 도보 (1.1km)",예,"11 석
(카운터/7 좌석, 테이블/4 좌석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,"8,000 엔 이상의 코스","우리는 수입 재료에 대해 특히 알고 있으며, 생산 영역에 대해서는 특히 알레르기가있는 고객을 수용 할 수 있습니다.",,사용 가능한 예약,"날짜, 여자 밤, 결혼 기념일, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 음료수, 음료 와인, 아이들과 함께 즐기기, 비 흡연, 무료 WiFi, 기념일, 세련된 크리스마스, 크리스마스 2024
다른 사용 장면을 참조하십시오","천장이 높습니다
조용한 가게
차분한 분위기","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",,예,불가능합니다,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001611829/archive/2637861-62215211ddccd.png,https://www.instagram.com/cocon_nakame/,,,,,,,
REGIONALE,지역,https://retty.me/area/PRE13/ARE7/SUB703/100001234431/,03-5724-3638,이탈리아 바,"[Sun, 화요일, 금요일, 토요일]
점심 11:30-14:00
[tue-fri-sat]
저녁 식사 17:30-22:00",매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",Amex,PayPay,,"1 층, Dimora Nakameguro, 4-8-12 Nakameguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro Station 14 분 도보 (1.1km)
JR Yamanote Line / Ebisu Station 15 분 도보 (1.2km)
도쿄 메트로 히비 야 라인 / 나카 메 구로 스테이션 15 분 도보 (1.2km)",,25 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 와인 음료, 저녁 식사, 쌀, 비 조화, 세련된 점심, 급여 지불 지불, 성인 날짜, 성인 연말 파티, 성인 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/4513577.jpg,,https://www.facebook.com/regionale.jp,,,,,,
アカベコ,아카베코,https://retty.me/area/PRE13/ARE7/SUB703/100000880992/,03-5794-8283,오덴이자 카야 술 바,"[하루 종일]
 17:30-23:30 L.O. 22:45",불규칙한 휴일,"점심:-
저녁 식사 : ~ 5,000 엔",Amex,PayPay,,"2-12-3 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (160m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (760m)
도쿄 도요코 라인 / 유텐지 스테이션 14 분 도보 (1.1km)",예,50 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://tabelog.com/tokyo/a1317/a131701/13166514/,,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.",고기 요리 전문,맥주와 술이 있습니다,사용 가능한 예약,"데이트 소녀의 밤 연회와 음주 파티 싱글 싱글 OK 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술을 마시는 포도주 마시는 세련된 저녁 식사
다른 사용 장면을 참조하십시오",,,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000880992/archive/27796-59b37f3f2c236.jpg,,https://www.facebook.com/akabeko-26488487035656/,"ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 5,000 엔 이상, 2 시간 동안 온전한 링크",,,,,
関西煮 理 ”OSAMUTOKYO”,"캔자이 스튜 ""오사 무토 키오""",https://retty.me/area/PRE13/ARE7/SUB703/100001680435/,090-8863-2562,Izakaya Oden 일본 요리,"[하루 종일]
저녁 18 : 00-23 : 00
*마지막 입장 시간은 오후 9시입니다",불규칙한 휴일,"점심 : 비즈니스 시간
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
식당
JCB",,,"3 층, 2-16-1 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (180m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (810m)
도쿄 도요코 라인 / 유텐지 스테이션 13 분 도보 (1.0km)",없음,20 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,,,"맥주, 사케, 쇼치, 와인",사용 가능한 예약,"연회 및 음주 파티 참여 저녁 식사 파티 싱글 OK Entertainment 작별 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인을 마시는 와인을 마시는 세련된 개인 공간
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳",,없음,"예
초등학생들은 환영합니다",불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001680435/archive/2935063-63912eb64f65c.jpg,,,,불가능합니다,,,,
ristorante scintilla,Ristorante Scintilla,https://retty.me/area/PRE13/ARE7/SUB703/100001524308/,03-6452-4395,이탈리아 요리,"[tue-fri, sat, holiday]
저녁 식사 18:00-23:00 L.O. 21:00
11/28에서 12/17의 영업 시간은 17:30에서 22:00으로 변경됩니다 (L.O 20:00).",매주 일요일마다,"점심 : 비즈니스 시간
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"2-44-9 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 6 분 (410m)
도쿄 도요코 라인 / 유텐지 스테이션 10 분 도보 (740m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 14 분 (1.1km)",예,12 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명",,,,,,,,"웨딩 기념일 연회 및 음주 파티 개인 객실 참여 저녁 식사 파티 싱글 OK Entertainment Farewell 파티 환영 파티 체리 꽃보기/체리 꽃보기 레스토랑 크리스마스 저녁 식사 연말 파티 새해 파티 마시는 와인 세련
다른 사용 장면을 참조하십시오",,,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001524308/archive/1924795-5f7d98533299d.jpg,,,,,,,,
ビストロ ヒンジ 中目黒,비스트로 힌지 나카 메 구로,https://retty.me/area/PRE13/ARE7/SUB703/100001510737/,03-5724-3215,작은 레스토랑,"[Sun, 월요일, 수요일, 금요일, 토요일, 휴일]
 11:30-14:30
 17:30-23:00 L.O. 22:00
불규칙한 휴일","매월 첫 번째 수요일 매월 셋째 주 수요일마다 매주 화요일
매주 화요일
매월 첫 번째와 세 번째 수요일","점심 : ~ 4,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
식당
JCB",PayPay,,"2-11-1 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (170m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (770m)
도쿄 도요코 라인 / 유텐지 스테이션 14 분 도보 (1.1km)",없음,24 석,예,"불가능합니다
(상점 입구 근처에 흡연 공간이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 1 명
최대 16 명을 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 1 사람
최대 40 명이 임대 할 수 있습니다 (스탠드 스탠딩 식사)",https://www.hinge.jp/,PayPay,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","그는 야채 요리, 고기 요리 및 소유자가 특히",와인이 있습니다,사용 가능한 예약,"점심, 데이트, 약혼, 저녁 식사, 싱글 파티, 엔터테인먼트, 크리스마스 저녁 식사, 어린이와 함께 즐기기, 예약, 저녁 식사, 저녁 식사, 비 흡연, 점심 날짜, 지불금 지불 가능, 성인 날짜, 세련된, Merikuri
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
단독 주택 레스토랑
숨는 곳","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",없음,"예
초등학생은 환영합니다. 기발한 아기를 가져올 수 있으며 어린이 메뉴를 이용할 수 있습니다.",불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001510737/archive/1245158-5dc251B970136.jpeg,,,"ALL-YOU-CAN-DRINK 가격 : 2,000 엔 -2,999 엔, 한 시간 반 동안 온전한 링크",불가능합니다,,,,
中目黒 牡蠣入レ時,굴이 추가 될 때 Nakameguro,https://retty.me/area/PRE13/ARE7/SUB703/100000845635/,03-5720-6055,굴 바 해산물과 해산물 이자카야 바,"[하루 종일]
 17:00-24:00 L.O. 23:00
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
혼잡하다면 2 시간 동안 지속됩니다.
이해 해주셔서 감사합니다.
늦은 밤에, 마감 시간은 생 굴이 다 떨어 지 자마자 일찍 일 수 있으므로 전화로 저희에게 연락하십시오.","불규칙한 휴일
이벤트는 일이 다 떨어 지 자마자 밤 늦게 끝날 수 있습니다.
미리 확인하십시오","점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,하야케,"Takagi Annex 5f, 1-19-7 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 8 분 (600m)
JR Yamanote Line / Ebisu Station 13 분 도보 (1.0km)","예
특별 P, 근처 (할인 없음)",20 석,예,"불가능합니다
(모든 좌석은 금연합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명",,,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다",우리는 야채 요리와 생선 요리에 대해 특히 알고 있습니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"날짜 연회 및 음주 파티 참여 저녁 식사 동일 사람 엔터테인먼트 작별 파티를 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인 마시는 와인을 마시는 주차장은 아이들과 함께 즐거운 주차장이 있습니다.
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
숨는 곳
테라스가 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",,"예
초등학생들은 환영합니다",불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000845635/archive/725306-5c7892b50c2c0.jpg,,https://www.facebook.com/kakiiredoki/,,,,,,
nou,누,https://retty.me/area/PRE13/ARE7/SUB703/100001549609/,03-6303-0034,식당 비스트로 크리에이티브 요리,"[월요일 ~ 목요일]
 18:00-23:00
[금요일, 토요일, 휴일 전]
 17:00-0:00
[낮]
 17:00-23:00
하루에 방문하는 경우 더 쉽게 만들기 위해 저희에게 전화하십시오 ☆","불규칙한 휴일
불규칙한 휴일 : 12 월 -1 월 [11.18.26.30 -1 월 5 일]","점심:-
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"1-9-11-2F 히가시야마, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 9 분 (670m)
도쿄 도요코 라인 / 다이키 야마 역 13 분 도보 (1.0km)
Tokyu Denentoshi Line / Ikejiri Ohashi Station 14 분 도보 (1.1km)",없음,15 석,예,"불가능합니다
(상점 밖에서 이용 가능한 흡연 공간)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
최대 20 명까지 임대 할 수 있습니다",,,"8,000 엔 이상의 코스",우리는 야채 요리와 생선 요리에 대해 특히 알고 있습니다,"맥주, 쇼치, 와인, 위스키",사용 가능한 예약,"날짜, 여자의 밤, 성인의 은신처, 와인을 마시고, 개인, 저녁 식사, 쌀, 흡연, 생일, 생일, 크래프트 맥주를 마실 수 있으며, 쇼치, 세련된, 세련된, 메리 크리스마스 2024
다른 사용 장면을 참조하십시오","개방성이 있습니다
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다",없음,,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001549609/archive/3476895-675805053889.jpg,https://www.instagram.com/nou_nakameguro/,,,예 (무료),,,,
ICARO,ICARO,https://retty.me/area/PRE13/ARE7/SUB703/100000001423/,050-5461-4017,이탈리아 음식 파스타 게임,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17 : 30-24 : 00 L.O. 22:00
11 월의 오프닝은 위와 같습니다.
오후 10 시로 오십시오.",매주 일요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 8,000 엔",예,,,"4F Nakameguro, 2-44-24 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 4 분 (290m)
도쿄 도요코 라인 / 유텐지 스테이션 11 분 도보 (870m)
도쿄 도요코 라인 / 다이키 야마 역 13 분 도보 (1.0km)",,28 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://icaro-nakameguro.foodre.jp/",,,,,,"기념일 성인 은신처 데이트 소녀들과 함께 즐거운 아이들과 함께 즐거운 와인 크리스마스 저녁 식사를 마시는 크리스마스 저녁 식사 비 흡연 연말 파티 새해 파티 세련된 성인 데이트 성인 새해 파티 크리스마스 2024 성인 연말 파티
다른 사용 장면을 참조하십시오",,,,,,,03-5724-8085,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000001423/archive/1903935-5f7a7da670a15.png,,,,,,,,
東山無垢,Higashiyama Muku,https://retty.me/area/PRE13/ARE7/SUB703/100001710948/,070-3149-4112,일본 요리 일본 요리,개막 시간 : 오후 6시 (오후 8시에 마지막 항목),"매주 월요일
주로 월요일에 한 달에 약 6 번
*우리는 일시적으로 개방되거나 폐쇄 될 수 있습니다.","점심:-
저녁 식사 : ~ 20,000 엔",Amex,,,"Shizuhiroso 1f, 1-15-5 Higashiyama, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 10 분 (730m)
Tokyu Denentoshi Line / Ikejiri Ohashi Station 13 분 도보 (1.0km)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 14 분 (1.1km)",없음,8 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,,,,예약이 필요합니다,"성인 은신처, 개인 용도, 생일, 결혼 기념일, 금연, 무료 Wi-Fi, 기념일, 세련된",,,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001710948/archive/3456906-673c77ff6b082.jpg,,,,,,,,
