식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,IC 카드 지불,흡연,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,드레스 코드,X (트위터),추가 장비,온라인 예약,쇼핑 직무 정보,맥주 제작자,인근 시설
牛たん 荒 新宿西口店,Gyutan Ara Shinjuku West Exit Branch,https://retty.me/area/PRE13/ARE1/SUB112/100000453604/,03-5339-7203,"쇠고기 혀, 쌀 그릇, 이자카야","[하루 종일]
점심 11:30-14:00
[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:00
[태양, 토요일, 휴일]
저녁 식사 17:00-22:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",Amex,,"후지 빌딩 B2, 1-16-4 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보로 1 분 (56m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (220m)",,8 석,예,예,,https://g189401.gorp.jp,,,,,,"점심, 연회 및 음주 파티, 개인 객실, 단일 방, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된, 저녁 식사, 쌀, 고기, 비 흡연, 개인 실, 세련된 객실, 세련된 개인 객실, 세련된 개인 객실
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36452635.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
NEO新宿アツシ,네오 신주쿠 아츠시,https://retty.me/area/PRE13/ARE1/SUB104/100001730569/,03-6457-8532,바 햄버거,"[월]
저녁 18 : 00-23 : 00
[Sun, 화요일, 목요일, 금요일, 토요일]
점심 12:00-16:00
[Sun, 화요일, 금요일, 토요일]
저녁 18 : 00-20 : 00
 20:00-5:00
12 : 00 ~ 16 : 00 점심
18 : 00 ~ 20 : 00 저녁 시간
20 : 00 ~ 5 : 00 다음날 바 시간
*점심은 매주 수요일마다 문을 닫습니다
*매주 금요일 오후 8 시부 터 DJ 시간!
일요일에 열립니다",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
JCB",PayPay,"Sankei Building 4F, 3-3-7 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보 1 분 (29m)
JR Yamanote Line / Shinjuku 역에서 도보로 6 분 (450m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 6 분 (460m)",없음,29 석,예,"예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",,PayPay 호환,,야채 요리 전문,"맥주, 위스키, 칵테일",사용 가능한 예약,"흡연 허용 늦은 밤 오픈 혼자 OK 성인 은신처는 최초의 기차 급여 지불 지불 이용 가능한 점심 개인 룸 쌀 저녁 식사 객실 세련된 점심 스타일리쉬 한 개인 실 개인 실 무료 Wi -Fi까지 열릴 수 있습니다.
다른 사용 장면을 참조하십시오","활발한 상점
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",불가능합니다,,예 (무료),예,,언어 지원 메뉴가 있습니다,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001730569/archive/324464-65c5b1f71987.jpg,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,TV 및 모니터 사용 가능,,,,
ふく鶴,크레인,https://retty.me/area/PRE13/ARE1/SUB113/100000843616/,03-3370-8107,이자카야 일본 음식 야키토리,"[월요일부터 금요일까지]
 11:30-14:00
 18:00-22:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"1f Karasawa Dai 2 건물, 2-19-12 요요기, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보로 1 분 (76m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 1 분 거리 (79m)
Odakyu Odawara Line / Minami Shinjuku Station에서 도보 6 분 (410m)",,20 석,"예
(카운터에서 6 석)",없음,,,,,,,,"점심, 연회 및 음주 파티, 싱글 OK OK, FOREWELL PARTY, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 술을 마실 수 있습니다
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29687387.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
情熱のすためしどんどん 西新宿本店,열정적 인 시련은 Nishi-Shinjuku Main Store입니다,https://retty.me/area/PRE13/ARE1/SUB112/100001175987/,03-5909-5888,"쇠고기 그릇, 커틀 그릇,라면, 카레, Tonkotsu라면","[하루 종일]
 0:00-24:00","하루 종일 개점
24 시간을 엽니 다","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,PayPay,"Sakuragi Building 1f, 1-15-1 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (120m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (200m)",,48 석,"예
(10)",없음,,https://gardengroup.co.jp/sutameshi/,,,,,,"점심, 솔로, 브런치, 세련된, 아침 식사, 첫 번째 기차, 저녁 식사, 쌀, 비 흡연, 세련된, 늦은 밤, 급여 지불 지불이 가능할 때까지 문을 엽니 다
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34443794.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
信州炉端 串の蔵 新宿東口店,Shinshu Robata Kushinokura Shinjuku East Exit 지점,https://retty.me/area/PRE13/ARE1/SUB101/100000773337/,03-6457-8649,이자카야 야키토리 말 고기 요리 테이크 아웃 소바 (SOBA),"[태양, 월요일부터 금요일, 토요일]
 11:30-24:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"3-34-15 신주쿠, 신주쿠 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 1 분 (67m)
JR Yamanote Line / Shinjuku Station에서 도보로 3 분 (200m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (210m)",,180 석,예,예,,,,,,,,"점심 만세 연회/음주 파티 솔로 작별 파티에 이용할 수있는 개인 방 환영 파티 체리 꽃보기/체리 꽃보기 레스토랑 크리스마스 저녁 식사 파티 새해 파티 마시는 와인 세련
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000773337/archive/2097588-5fb478dd711e5.jpg,,"연기 분리
(별도의 흡연 구역에서 사용할 수있는 개인 실. 그렇게하고 싶은지 알려주십시오 ♪)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,"https://www.facebook.com/%E4%BF%A1%E5%B7%9E, 7he7%82%89%E7%AB%AF-%4%B8%B2%E3%81%E8%94%B5-%E3%81%8F %E3%81%97%E3%81%AE%E3%81%8f%E3%82%89- E6%96%B0%e5%AE%BF%E6%9D B1%E5%8F%A3%e5%BA%97-47860520818362/",,,,,,,,
肉とチーズ料理 シカゴピザ ファームテーブル 新宿東口駅前店,고기와 치즈 음식 시카고 피자 농장 테이블 신주쿠 이스트 출구 지점,https://retty.me/area/PRE13/ARE1/SUB101/100001289363/,03-6635-6208,이자카야 고기 바 치즈 요리,"[하루 종일]
저녁 식사 16:00-24:00 L.O. 23:30",하루 종일 개점,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"Shinjuku Sun Building 9F, 3-23 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보로 1 분 (55m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 1 분 (55m)
도쿄 메트로 마루치 라인 / 신주쿠 산체 홈 스테이션에서 도보로 2 분 (150m)","없음
근처 (할인 없음) 사용 가능","70 석
(개인 객실 2 명을위한 개인 실)",,"예
두 사람을 위해
4 명
6 명
7 명 이상","예
제한된 수의 사람들이 임대 할 수있는 (좌석) : 100 명",,,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.",고기 요리 전문,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"솔로 손님을 대상으로 이용할 수있는 모든 싱크 링크 연회/음주 파티 개인 방은 아름다운 야간보기 파티 환영 파티 환영 파티 크리스마스 저녁 파티 새해 파티 술 마시고 와인 주차장을 마시고 즐길 수 있습니다.
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성",예,불가능합니다,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001289363/archive/1497896-5e5d80e305605.jpg,,"불가능합니다
((흡연 부스 이용 가능/흡연은 부스에서만 허용됩니다)))))))))))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2,999 엔 미만의 모든 링크 코스, ALL-YOU-CAN-DRINK COUSS는 이용 가능하며, 3,000 엔 -3,999 엔, All-You-Can-Drink 코스는 4,000 엔 -4,999 Yen, All-You-Can-Drink for 2 Hour-yen for 2 시간입니다. 3 시간 이상",없음,https://x.com/tenkuunosakura_,,,,,
ふく鶴,크레인,https://retty.me/area/PRE13/ARE1/SUB113/100000843616/,03-3370-8107,이자카야 일본 음식 야키토리,"[월요일부터 금요일까지]
 11:30-14:00
 18:00-22:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"1f Karasawa Dai 2 건물, 2-19-12 요요기, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보로 1 분 (76m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 1 분 거리 (79m)
Odakyu Odawara Line / Minami Shinjuku Station에서 도보 6 분 (410m)",,20 석,"예
(카운터에서 6 석)",없음,,,,,,,,"점심, 연회 및 음주 파티, 싱글 OK OK, FOREWELL PARTY, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 술을 마실 수 있습니다
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29687387.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
北の幸と宮崎地鶏 幸,Kita No Sachi와 Miyazaki 현지 닭,https://retty.me/area/PRE13/ARE1/SUB101/100000729407/,03-3203-9339,이자카야 치킨 요리,"[월요일부터 금요일과 토요일]
 18:00-3:00",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 5,000 엔",Amex,,"메트로 빌딩 5 층, 2-11-7 Kabukicho, 신주쿠 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 후쿠토신 라인 / Higashi-Shinjuku Station에서 도보 4 분 (280m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 5 분 (330m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 7 분 (520m)",,,예,없음,,,,,,,,"저녁 식사, 금연, 늦은 밤에 영업합니다",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/23434193.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
新宿っ子居酒屋 とととりとん はなれ,신주쿠이자 카야 토 토 토리 톤 하레,https://retty.me/area/PRE13/ARE1/SUB112/100001560707/,03-3367-7100,이자카야,"[하루 종일]
 16:00-23:30
요리 L.O. 22:30 음료 L.O. 23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,,"로얄 빌딩 B1, 7-21-1 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 니시-신주쿠 역에서 도보 1 분 (42m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (240m)
JR Yamanote Line / Shinjuku Station에서 도보 4 분 (320m)",없음,52 석,예,없음,예,,,,,,,"개인 저녁 식사, 쌀, 흡연 허용",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36561453.jpg,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
串焼き 石川,이시카와 꼬치,https://retty.me/area/PRE13/ARE1/SUB112/100000017019/,050-5304-0326,이자카야 치킨 요리,"[월요일부터 금요일과 토요일]
 17:30-23:30
※중요한※
토요일에 대한 정보는 상점에 문의하십시오.",매주 일요일,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2f Matsuzawa Building, 7-12-23 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 4 분 거리 (250m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 6 분 (430m)
도쿄 메트로 마루치 노선 / 니시-신주쿠 역에서 도보 6 분 (480m)",예,"16 석
(16 석 (카운터의 7 석, 4 개의 테이블 및 5 석) [우리의 상점은 알코올 입구를 허용하지 않습니다])",예,없음,불가능합니다,https://sumamoba.com/portal,,,"고기 요리, 소유자-체프 및 매장 준비 전문","맥주, 사케, 쇼치",사용 가능한 예약,"흡연 허용 엔터테인먼트 연말 파티 싱글 사람들을위한 싱글 파티 환영 파티 캐주얼 세련된 성인 새해 파티 빠른 새해 파티 성인 연말 파티 빠른 새해 파티 빠른 새해 파티 빠른 새해 파티
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳",,,불가능합니다,,예,03-3371-0333,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000017019/archive/1430100-5e3905e98de18.jpeg,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,사포로,
鉄板酒場 鐵一 西新宿店,Teppan Bar Tepichi Nishi Shinjuku 지점,https://retty.me/area/PRE13/ARE1/SUB112/100001599998/,050-5457-6951,이자카야,"[월요일부터 금요일까지]
 11:30-20:00 L.O. 19:00
[태양, 토요일, 휴일]
 12:00-20:00 L.O. 19:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔","비자
마스터 카드
JCB",,"Nishimura Building 1f, 7-10-10 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보 2 분 (110m)
JR Yamanote Line / Shinjuku Station에서 도보로 3 분 거리 (170m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 4 분 (260m)",,70 석,,없음,,,,,,,,"점심, 저녁, 쌀, 흡연 허용",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30910290.jpg,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
鎌倉野菜とチーズフォンデュ 新宿ガーデンファーム 新宿東口駅前店,카마 쿠라 야채와 치즈 퐁듀 신주쿠 정원 농장 신주쿠 이스트 출구 스테이션 스토어,https://retty.me/area/PRE13/ARE1/SUB101/100001353241/,03-6273-2217,이탈리아 요리,"[하루 종일]
 17:00-24:00",명확하지 않습니다,"점심:-
저녁 식사 : ~ 3,000 엔",예,,"5 층, 신주쿠 Isshiki 건물, 3-18-1 신주쿠, 신주쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보 1 분 (11m)
JR Yamanote Line / Shinjuku Station에서 도보로 1 분 (32m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 1 분 (35m)",,80 석,,예,,,,,,,,개인 룸 저녁 식사 라이스 비 흡연,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/19928677.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
Green Italian TORCIA,녹색 이탈리아 토르시아,https://retty.me/area/PRE13/ARE1/SUB104/100001605008/,050-5304-3314,이탈리아 파스타,"점심 11 : 00-15 : 00 (L.O)
차 15:00-17:00
저녁 식사 17 : 00-22 : 00 (21:00 L.O)
*()의 시간은 마지막 순서의 시간입니다.
폐쇄 : Isetan이 폐쇄 된 날과 동일합니다",명확하지 않습니다,"점심 : ~ 4,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"7 층, Isetan Shinjuku Store, 3-14-1 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 1 분 (53m)
JR Yamanote Line / Shinjuku Station에서 도보로 4 분 (250m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 4 분 (260m)",예,55 석,예,없음,,"[공식적인]
https://greeitaliantorcia.foodre.jp/",,,,,,"데이트, 여자 밤, 점심 소녀의 밤, 세련된, 점심, 점심 날짜, 저녁 식사, 세련된 점심 새해 파티, 연말 파티, 크리스마스 저녁 식사, 점심 음주, 크리스마스 2024, 세련된, 멜리 클리, 세련된
다른 사용 장면을 참조하십시오",,,,,,예,03-3357-0014,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001605008/archive/2604682-61F0EB6047F21.JPG,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
CARROZZA,카로 자,https://retty.me/area/PRE13/ARE1/SUB105/100001188823/,03-5269-8010,이탈리아 파스타 와인 바,"[월요일, 수요일부터 금요일까지]
점심 11:30-15:00
[Sun, 월요일, 수요일, 금요일, 토요일, 휴일]
저녁 18 : 00-22 : 00
[태양, 토요일, 휴일]
점심 12:00-15:30",매주 화요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",Amex,PayPay,"1st Nitto Building의 1f, 1-2-11 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 기 윤 엔 메이 스테이션에서 도보 2 분 (140m)
도쿄 메트로 마루치 라인 / 신주쿠 산체 홈 스테이션에서 도보로 9 분 (690m)
Jr Chuo / Sobu Line / Sendagaya 역에서 도보 10 분 (750m)","없음
근처 (할인 없음) 사용 가능","18 석
(7 개의 카운터 좌석, 11 개의 테이블 좌석)",예,없음,예,,,,,,,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 와인, 주차, 개인 주차, 이용 가능, 저녁 식사, 쌀, 비 흡연, 급여 지불 지불, 세련된, 성인 데이트, 성인 연말 파티, 성인 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/25486318.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
スパゲッティ カケハシ,스파게티 카키사,https://retty.me/area/PRE13/ARE1/SUB112/100001749598/,03-5989-0015,이탈리아 파스타,"[월요일부터 금요일까지]
 11:00-21:00 L.O. 20:30
[축하해요]
 11:00-20:30 L.O. 20:00","매주 일요일마다
토요일과 일요일이 공휴일이라면 우리는 문을 닫을 것입니다.
시장 문제로 인해 우리는 여름과 새해 공휴일에 문을 닫습니다.
자세한 내용은 공식 Instagram을 확인하십시오.","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",,"신주쿠 노무라 빌딩 2F, 1-26-2 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 니시-신주쿠 역에서 도보 1 분 (53m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Shinjuku 역에서 도보 3 분 (240m)","예
이웃 P (할인) 사용 가능",24 석,예,없음,,,,,,,,"점심, 와인, 주차, 저녁 식사, 쌀, 금연",,,,불가능합니다,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001749598/archive/3358521-66909926a855a.jpg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, Au Wallet","불가능합니다
(흡연은 건물 내부에서 이용 가능합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/kakehashi_shinjuku?igsh=mtb1ohvwbni2z3b5&utm_source=qr,https://www.facebook.com/profile.php?id=61562043654980,,,https://x.com/kakehashi0723,,,,,
シカゴピザ×個室イタリアン Ark Lounge 新宿西口駅前店,시카고 피자 x 개인 이탈리아 레스토랑 Ark Lounge Shinjuku West Exit Ekimae 지점,https://retty.me/area/PRE13/ARE1/SUB112/100001165148/,03-5990-5432,이탈리아 음식 이자카야 바 치즈 음식 피자,"[하루 종일]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-23:00 L.O. 22:30
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.","하루 종일 개점
새해 연말 연시","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"4 층, 메이지 빌딩, 1-4-5 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 1 분 (62m)
JR Yamanote Line / Shinjuku 역에서 도보로 1 분 (68m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 4 분 (250m)",없음,50 석,"예
([카운터 시트는 소파 형 좌석] 휴식 공간에서 편안하고 멋진 시간을 즐기고 도시의 번잡함을 잊어 버릴 수 있습니다.","예
두 사람을 위해
4 명
6 명
7 명 이상",예,https://www.hotpepper.jp/strj001051217/,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스 및 8,000 엔 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 알레르기, 채식 메뉴, 어린이 메뉴, 유명한 레스토랑에서 훈련 된 요리사, 주인 요리사 및 매장 준비에 특히 도움이됩니다.","맥주, 쇼카, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 여자 파티, 모든 링크, 단체 날짜, 연회 및 음주 파티, 개인 객실, 싱글 룸, 성인 숨기기, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인, 어린이와 함께 즐길 수있는, 스타일리시, 유기농 요리, 영어를 말하면
다른 사용 장면을 참조하십시오","개방성이 있습니다
조용한 가게
활발한 상점
차분한 분위기
단독 주택 레스토랑
숨는 곳","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다","예
유아 및 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있고, 어린이 메뉴 이용 가능",,예 (무료),예,,"영어 중국어 한국
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001165148/archive/56366-5bba27d6064d1.jpg,,"불가능합니다
(상점에는 흡연 공간이 없습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/arklounge_shinjuku/,https://www.facebook.com/ark-469215036511453/,"999 엔 미만의 모든 금액 가격, All-You-Can-Drink 가격 1000-1999 엔, All-You-Can-Drink Price 2000-2999 엔, 전 ALL-YOU-CAN-DRINK 3000-4999 엔, 2999999 YEN, ALL-YOU-CAN-DRINK PROPES의 ALL-YOU-CAN-DRINK 가격 5000 YEN 또는 ALL-YOU-CAN-DRINK 가격 3000-3999 엔, all-you-can-drink 코스에는 4000-4999 엔이 포함되며, 싱글 링크 코스에는 5000 엔 이상, 1 시간 반 동안 all-you-can-drink, 2 시간 반 동안 모두 당신이 온전한 링크, 2 시간 반 동안 모두 3 시간 동안, 3 시간 동안, 3 시간 반 마감, 3 시간 반 마감, 3 시간 반 마감 3 시간 반 동안 만약을 모두 마시십시오",평상복,https://x.com/ark5432,"프로젝터, TV 및 모니터, 오디오 장비",,,,
