식당 이름,번역된 식당 이름,URL,영상,텔,장르,영업 시간,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,사용 장면,Wi-Fi 사용,전화 번호,닫힌 날,사적인,인스 타 그램,예약,쇼핑 직무 정보,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,대기,서비스,드레스 코드,애완 동물,추가 장비,IC 카드 지불,발언,아이들이 들어 오세요,전원 공급 장치 사용,외국어 지원,페이스 북,X (트위터),맥주 제작자
添好運 日比谷店,소고 긴 Hibiya 상점,https://retty.me/area/PRE13/ARE2/SUB202/100001409745/,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30073191.jpg,03-6550-8818,딤섬 중국 요리 테이크 아웃,"[하루 종일]
 11:00-23:00 L.O. 22:00","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",예,PayPay,"1f Hibiya Chante Annex 1-2-2 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (53m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (53m)
도쿄 메트로 긴자 라인 / Ginza Station에서 도보로 3 분 거리 (180m)",,84 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://timhowan.jp/,"점심, 여자 밤, 혼자, 크리스마스 저녁 식사, 세련된, 저녁, 비 흡연, 점심, 여자 밤, 세련된 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,"하루 종일 개점
・ 시설과 동일합니다",,,,,,,,,,,,,,,,,,,https://www.facebook.com/timhowanjapan/,,
キッチン大正軒,부엌 도식,https://retty.me/area/PRE13/ARE2/SUB202/100000037117/,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34168628.jpg,03-3201-0147,"서양식 음식, 카레, 돼지 고기 커틀, 햄버거","[월요일부터 금요일까지]
 11:00-14:30
[결혼과 금요일]
 17:30-20:00
[토양]
 11:00-15:00","점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"도쿄 교통 홀 B1F, 2-10-1 유라 커코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (44m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (51m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome Station에서 도보 2 분 (110m)",,"13 석
(카운터의 9 석, 4 명을위한 1 개의 테이블)",예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 솔로, 세련된, 저녁 식사, 쌀, 흡연, 세련된, 점심",,,매주 일요일과 공휴일,,https://www.instagram.com/taisyoken/,,,,,,,,,,,,,,,,,https://www.facebook.com/pages/kitchen taishoken/168607706494784/,https://x.com/taisyoken4129,
あけぼの,아케 보노,https://retty.me/area/PRE13/ARE2/SUB202/100000061667/,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36921366.jpg,03-3211-3934,"Tonkatsu, Rice Bowl, Katsudon, Tempura","[월요일부터 금요일, 토요일, 휴일]
점심 11:00-15:00
[월요일, 화요일, 목요일, 금요일 및 휴일]
저녁 식사 17:00-20:00","점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"도쿄 교통 홀 B1F, 2-10-1 유라 커코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (44m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (48m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome Station에서 도보 2 분 (120m)",,"12 석
(카운터 만)","예
(카운터 만)","불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 솔로, 세련된, 저녁 식사, 비 흡연, 세련된, 점심, 바삭 바삭한, 연말 파티, 바삭 바삭한, 새해 파티
다른 사용 장면을 참조하십시오",,,"매주 일요일
점심은 수요일과 토요일에만 문을 엽니 다",,,,,,,,,,,,,,,,,,,,,
カフェ&ブックス ビブリオテーク 東京・有楽町,"Cafe & Books Bibliotheque Yurakucho, 도쿄",https://retty.me/area/PRE13/ARE2/SUB202/100000040889/,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000040889/archive/1843514-5f5736bb24c7e.jpg,03-5222-1566,팬케이크 카페 과자 서양식 음식 파르페,"[하루 종일]
 11:00-21:00 L.O. 20:30
[당분간, 2020 년 6 월 3 일 수요일 시작]
업무 시간을 단축 할 것입니다.
● 평일, 토요일 및 공휴일 11 : 00-21 : 00 (L.O. 20:30)
● 월요일과 일요일 11 : 00-20 : 00 (L.O. 19:30)
*우리는 COVID-19 감염을 예방하기위한 조치를 시행하고 있습니다
*고객과 직원의 안전을 보장하기 위해 방문자 수를 제한하면서 운영 할 것입니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",예,,"2-5-1 유라 커코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ginza 역에서 도보 1 분 (59m)
JR Yamanote Line / Yurakucho Station (110m)에서 도보로 2 분
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (110m)","예
특별 P 사용 가능",50 석,없음,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"https://www.bibliotheque.ne.jp/
https://tabelog.com/tokyo/a1301/a130102/13132377/","점심, 여자 밤, 연회 및 음주 파티, 싱글은 괜찮아, 작별 파티, 환영 파티, 체리 꽃보기가있는 레스토랑, 벚꽃 시청, 연말 파티, 새해 파티, 와인, 주차, 세련된 저녁 식사
다른 사용 장면을 참조하십시오",예,,"불규칙한 휴일
폐쇄 : 없음",불가능합니다,https://www.instagram.com/bibliotheque_yurakucho/,사용 가능한 예약,,"2,999 엔 미만의 코스",,"우리는 야채 요리에 대해 특히 알고 있으며, 알레르기가있는 고객을 수용하고 매장 내에서 준비 할 수 있습니다.","맥주, 와인, 위스키, 칵테일",차분한 분위기,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,불가능합니다,,,,"예
아이들을 환영하고, 유치원 어린이는 환영하고, 초등학생은 환영 받고, 기저귀를 이용할 수 있습니다.",불가능합니다,언어를 말할 수있는 직원이 있습니다,https://www.facebook.com/bibliothequetokyo/,https://x.com/biblio_tokyo,
かき小屋 新橋,오두막 신 바시를 흔들었다,https://retty.me/area/PRE13/ARE2/SUB202/100000747881/,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000747881/archive/168529-5ec8e00498cd8.jpg,050-3184-3545,해산물과 해산물 굴 바이자카야 바베큐,"[월요일부터 금요일까지]
저녁 식사 16:00-23:00 L.O. 22:00
[토양]
 12:00-23:00 L.O. 22:00
[일요일과 휴일]
 12:00-22:00 L.O. 21:00
영업 시간은 하루에 따라 다를 수 있습니다
영업 시간은 변경 될 수 있습니다.","점심 : ~ 4,000 엔
저녁 식사 : ~ 6,000 엔","비자
JCB",PayPay,"1-6-1 Uchisai-Cho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보 2 분 (140m)
Toei Mita Line / Uchisaicho 역에서 도보로 4 분 거리 (300m)
Toei Oedo Line / Shiodome 역에서 도보로 4 분 거리 (320m)",없음,"80 석
(소파 좌석 이용 가능)",없음,"불가능합니다
(흡연은 상점 내부에서 금지됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"https://r.gnavi.co.jp/g203630/
https://tabelog.com/tokyo/a1301/a130103/13149468/","점심 모든 당신이 먹는 린 링크 연회 및 음주 파티를 환영 파티 연말 파티 새해 파티 술 마시기 와인을 마시는 아이들과 함께 사용 가능하게 사용할 수 있습니다.
다른 사용 장면을 참조하십시오",없음,,하루 종일 개점,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
임대 가능 (좌석) : 80 명",,사용 가능한 예약,,"3,000 엔에서 3,999 엔으로 제공됩니다",,우리는 생선 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 칵테일",숨는 곳,음료를 가져올 수 있습니다,,불가능합니다,,,"*상점 전화가 현재 깨졌습니다.
문의 사항이 있으시면 본사에 문의하십시오.
본사 : 03-3413-9555 (주중 11 : 00-18 : 00)

가져올 수 있습니다
전자 돈을 사용할 수 없습니다","예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",,https://x.com/kaki_shinbashi,
Peter,베드로,https://retty.me/area/PRE13/ARE2/SUB202/100000004791/,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36855208.jpg,03-6270-2888,스테이크 서부 음식 면도 얼음 프랑스 요리 바 샌드위치 초콜릿,"[하루 종일]
점심 11:30-15:00
저녁 18 : 00-22 : 00","점심 : ~ 5,000 엔
저녁 식사 : ~ 15,000 엔",예,,"한반도 도쿄 24F, 1-8-1 유라쿠치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho Station에서 도보로 1 분 (23m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (24m)","예
이웃 P (할인) 사용 가능",112 석,"예
(바 라운지에서)","연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",https://www.peninsula.com/ja/tokyo/hotel-fine-dining/peter-bar-grill,"점심, 데이트, 여자 야간 파티, 결혼 기념일, 개인 실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 아름다운 나이트 뷰 레스토랑, 크리스마스 저녁 식사, 와인, 주차, 아이들과 함께 즐기기
다른 사용 장면을 참조하십시오",,,하루 종일 개점,불가능합니다,,사용 가능한 예약,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.",,,와인과 칵테일이 있습니다,,"놀라운 응답 가능
축하 가능성
소믈리에가 있습니다
복장 규정 포함",,,,,,예,,,,,
日比谷 松本楼 洋食 グリル＆ガーデンテラス,Hibiya Matsumotoro Western Food Grill & Garden Terrace,https://retty.me/area/PRE13/ARE2/SUB202/100000005292/,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3382389.jpeg,03-3503-1451,서양식 푸드 하야시 쌀 테이크 아웃 오믈렛 라이스 햄버거 카레,"[하루 종일]
 11:00-21:00 L.O. 20:30","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",Amex,PayPay,"1-2 Hibiya Park, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 3 분 거리 (180m)
도쿄 메트로 히비야 라인 / 히비야 역에서 도보 3 분 (180m)
도쿄 메트로 마루치 노선 / 카스 수미 제지 역에서 도보로 3 분 거리 (210m)",예,120 석,없음,"불가능합니다
(흡연은 상점 밖에서 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://www.matsumotoro.co.jp/,"점심, 개인 객실, 싱글 룸, 체리 꽃보기, 체리 꽃보기가있는 레스토랑, 와인, 세련된, 개인 실, 개인 실, 저녁 식사, 저녁 식사, 비 연소, 개인 실, 점심, 세련된, 개인 실
다른 사용 장면을 참조하십시오",,,"하루 종일 개점
새해 휴일",예,,사용 가능한 예약,,,,,와인이 있습니다,테라스가 있습니다,,,,,,,,,,,,
珈琲館 紅鹿舎,커피 하우스 코카샤,https://retty.me/area/PRE13/ARE2/SUB202/100000004911/,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3663975.jpg,03-3502-0848,커피 숍 카페 과자 파르 페시 아이스 피자 팬케이크 푸딩 햄버거,"[월요일부터 금요일까지]
 11:00-23:00
[태양, 토요일, 휴일]
 10:00-23:00","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"Matsui Building 1f, 1-6-8 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (46m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (48m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보 2 분 (140m)",없음,65 석,"예
(약 6 석)","예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(저렴한 담배 연기는 평일에 허용됩니다. 모든 좌석은 주말에 담배를 피우지 않습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 연회 및 음주 파티, 싱글 OK, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 어린이 브런치, 스타일리쉬, 쌀, 맛있는 레스토랑 및 싼 레스토랑, 흡연 허용, 세련된 점심, 나이트 카페
다른 사용 장면을 참조하십시오",,,"하루 종일 개점
새해 공휴일이 마감되었습니다",,,,,,,,와인이 있습니다,단독 주택 레스토랑,,,,,,,예,,,,,
ザ・ペニンシュラ ブティック&カフェ,반도 부티크 & 카페,https://retty.me/area/PRE13/ARE2/SUB202/100000023742/,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/37000656.jpg,03-6270-2717,"카페, 케이크 상점, 라운지, 부드러운 서비스, 초콜릿, 프렌치 토스트, 쿠키, 크림 퍼프, 푸딩, 젤리, 기념품","[하루 종일]
 11:00-18:00","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",예,,"한반도 도쿄 B1F, 1-8-1 유라 커코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho Station에서 도보로 1 분 (23m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (24m)",,25 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.peninsula.com/tokyo/jp/default.aspx#/tokyo/jp/dining/the_peninsula_boutique_and_cafe/,"점심, 여자 밤, 한 사람이 즐길 수 있고, 와인, 세련된, 흡연, 생일, 점심, 여자 밤, 세련된 점심을 마실 수 있습니다.
다른 사용 장면을 참조하십시오",,,"하루 종일 개점
카페 11 : 00-17 : 00
부티크 11 : 00-18 : 00",,,,,,,,,,,,,,,,,,,,,
パークサイドダイナー,파크 사이드 식당,https://retty.me/area/PRE13/ARE2/SUB202/100000002058/,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35575088.jpg,03-3539-8046,"서양식 음식, 팬케이크, 햄버거, 쌀 그릇, 라운지","[하루 종일]
 6:00-23:00 L.O. 23:00","점심 : ~ 3,000 엔
저녁 식사 : ~ 5,000 엔",예,PayPay,"1-1-1 Uchisai-cho, Chiyoda-Ku, 도쿄 제국 호텔 도쿄 메인 빌딩 1f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 2 분 거리 (150m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (150m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보로 5 분 (370m)",,3 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://www.imperialhotel.co.jp/tokyo/restaurant/parkside-diner,"점심, 데이트, 결혼 기념일, 개인 실, 싱글 룸, 크리스마스 저녁 식사, 와인 브런치, 세련된, 아침 식사, 저녁 식사, 쌀, 비 흡연, 생일, 개인 객실 점심, 개인 객실 날짜
다른 사용 장면을 참조하십시오",,,"하루 종일 개점
자세한 업무 시간은 공식 웹 사이트를 확인하십시오",,,,,,,,,,,,,,,,,,,,,
ザ・ロビー ザ・ペニンシュラ東京,로비 도쿄 반도,https://retty.me/area/PRE13/ARE2/SUB202/100000002882/,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35426492.jpg,03-6270-2888,카페 서부 푸드 팬케이크 과자 샌드위치,"[태양, 월요일부터 목요일까지]
 6:30-23:00
[금과 앉았다]
 6:30-24:00","점심 : ~ 5,000 엔
저녁 식사 : ~ 8,000 엔",예,,"한반도 도쿄 1f, 1-8-1 유라 커코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho Station에서 도보로 1 분 (23m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (24m)","예
특별 P 사용 가능",100 석,없음,"불가능합니다
(흡연은 상점 내부에서 금지됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.peninsula.com/tokyo/jp/dining/the_lobby/default.aspx,"점심, 데이트, 여자 밤, 싱글, 엔터테인먼트, 체리 꽃보기, 체리 꽃보기, 크리스마스 저녁 식사, 와인, 주차, 어린이와 함께 즐거운, 브런치, 세련된, 아침 식사.
다른 사용 장면을 참조하십시오",,,"하루 종일 개점
아침 식사 06 : 30-11 : 00
점심 11 : 30-14 : 30
애프터눈 티 14 : 30-21 : 00
저녁 18 : 00-22 : 00

칵테일 시간
[태양에서 thu] 22 : 00-23 : 00
[Fri and Sat] 22 : 00-24 : 00",,,사용 가능한 예약,,,,,와인과 칵테일이 있습니다,,"놀라운 응답 가능
축하 가능성",평상복,불가능합니다,,,,예,,,,,
JSレネップ,JS Renep,https://retty.me/area/PRE13/ARE2/SUB202/100000004240/,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30429615.jpg,03-3595-0417,독일 요리 맥주 홀 Izakaya 바,"[월요일 ~ 목요일]
 16:00-23:30 L.O. 22:45
[금]
 16:00-26:00 L.O. 25:30
[태양, 토요일, 휴일]
 12:00-23:30 L.O. 22:45","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"JR 고위 철도 2-1-8 Yurakucho, Chiyoda-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (120m)
JR Yamanote Line / Yurakucho Station (120m)에서 도보로 2 분
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (170m)",없음,100 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 연회 및 음주 파티, 싱글은 괜찮아, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된 공간, 저녁 식사, 쌀, 흡연 허용, 세련된 점심, 밤 늦은 밤에 열립니다.
다른 사용 장면을 참조하십시오",,,하루 종일 개점,"예
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",,사용 가능한 예약,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.",,,와인과 칵테일이 있습니다,,"놀라운 응답 가능
축하 가능성",,,,,,,,,https://www.facebook.com/pages/js renep/158075780870462,,
TexturA,텍스트,https://retty.me/area/PRE13/ARE2/SUB202/100001477729/,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/37022969.jpg,03-6259-1144,창조적 인 요리 중국 요리 스페인 요리 테이크 아웃 카페,"[Sun, 화요일, 금요일, 토요일 및 휴일]
 11:00-23:00
높은 캐주얼 캐주얼 식당 지역
점심 점심 11 : 00-14 : 00 lo13 : 30
카페 카페 14 : 00-17 : 00 LO16 : 00
저녁 식사 17 : 00-23 : 00 LO22 : 00

고급 레스토랑 공간
점심 점심 12 : 00-15 : 00 LO13 : 00
저녁 18 : 00-23 : 00 (20:30에서 마지막)","점심 : ~ 3,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Yurakucho Electric Building 1f, 1-7-1 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (31m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (33m)
도쿄 메트로 긴자 라인 / Ginza Station에서 도보로 3 분 거리 (180m)",,,,,,https://whaves.co.jp/textura/,"점심, 데이트, 소녀의 밤, 싱글, 엔터테인먼트, 체리 꽃보기, 체리 꽃보기, 크리스마스 저녁 식사, 와인, 세련된 저녁, 저녁 식사, 생일, 점심 데이트, 여자 밤, 세련된 점심.
다른 사용 장면을 참조하십시오",,,매주 월요일,,https://www.instagram.com/hirofumi.saitoo/,,,,,,,,,,,,,,,,,https://www.facebook.com/hirofumi.saitoo,,
いちにぃさん 日比谷店,Ichini-San Hibiya 상점,https://retty.me/area/PRE13/ARE2/SUB202/100000059481/,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/26701504.jpg,03-3501-3123,"Shabu-Shabu, Rice Bowl, Sashimi, Pork Cutlet, Soba (Soba)","[월요일부터 금요일과 토요일]
 11:00-22:30 L.O. 21:15
[일요일과 휴일]
 11:00-21:30 L.O. 20:45","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Chiyoda Building 2f Kagoshima Yurakukan, 1-6-4 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (18m)
JR Yamanote Line / Yurakucho Station에서 도보로 1 분 (18m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (170m)",,80 석,"예
(14 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://ichiniisan.jp/access/hibiya/,"점심, 솔로, 크리스마스 저녁, 세련된 저녁 식사, 저녁 식사, 쌀, 비 조화, 세련된 점심, 쇼치, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,"하루 종일 개점
연말 제외",,,,,,,,,,,,,,,,,,,,,
醍醐 有楽町店,Daigo Yurakucho 매장,https://retty.me/area/PRE13/ARE2/SUB202/100000746370/,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/2553122.jpg,03-3596-1129,야키니쿠 쇠고기 요리,"[하루 종일]
 11:30-14:30 L.O. 14:00
[월요일부터 금요일까지]
 17:00-23:00 L.O. 22:20
[태양, 토요일, 휴일]
 17:00-22:00 L.O. 21:20","점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔",Amex,PayPay,"1-6-1 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (24m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (25m)
도쿄 메트로 긴자 라인 / Ginza Station에서 도보로 3 분 거리 (190m)",,50 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://yakiniku-daigo.com/shop_info/yurakucho/,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 세련된 저녁 식사, 저녁 식사, 쌀, 고기, 비 흡연, 생일, 세련된 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,하루 종일 개점,,,,,,,,,,,,,,,신용 카드 : 저녁 식사 만 가능합니다,,,,,,
Buvette,BUVETTE,https://retty.me/area/PRE13/ARE2/SUB202/100001410679/,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36250136.jpg,03-6273-3193,식당 바 와인 바 카페,"[월요일부터 금요일까지]
 8:00-23:30
[태양, 토요일, 휴일]
 9:00-23:30","점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔",예,,"도쿄 미드 타운 Hibiya 1f, 1-1-2 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (72m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (74m)",,115 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://www.hibiya.tokyo-midtown.com/jp/restaurants/10800/,"점심, 데이트, 여자의 밤, 개인 실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 크리스마스 저녁 식사, 와인 브런치, 세련된, 아침 식사, 저녁 식사, 저녁 식사, 비영리, 개인 객실 날짜
다른 사용 장면을 참조하십시오",,,"하루 종일 개점
[예약에 관한]
점심과 저녁 모두에 예약이 불가능합니다",,https://www.instagram.com/buvettetokyo/,,,,,,,,,,,,,,,,,,,
