식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,IC 카드 지불,흡연,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,드레스 코드,X (트위터),추가 장비,온라인 예약
icocca,Icocca,https://retty.me/area/PRE13/ARE1/SUB106/100001602890/,050-5462-4764,야키니 쿠이자 카야,"[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:30 L.O. 22:30
[낮]
저녁 식사 16:00-22:00 L.O. 21:00
[축하/축하 전]
저녁 식사 17:00-23:00 L.O. 22:30
팔리 자마자 끝납니다
*일요일이 공휴일 전날 인 경우 오후 5 시부 터 오후 11 시까 지 영업합니다.","매월 두 번째 일요일 매월 네 번째 일요일마다
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.
*일요일이 공휴일 전날 인 경우 오후 5 시부 터 오후 11 시까 지 영업합니다.
*마감 일은 다를 수 있습니다.
일요일에 예약하려면 전화로 상점에 연락하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Nishi-Shinjuku 2 Takahashi Building, 3f, 7-14-6 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 니시-신주쿠 역에서 도보로 3 분 거리 (220m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 4 분 (270m)
Jr Yamanote Line / Shinjuku Station에서 도보 4 분 (280m)",없음,36 석,예,예,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
제한된 수의 사람들이 임대 할 수있는 제한된 수 (좌석) : 36 명","[공식적인]
https://yakinikuicocca.foodre.jp/",,"5,000 ~ 5,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.",고기 요리 전문,"맥주, 쇼카, 와인, 칵테일",사용 가능한 예약,"고기, 저녁 식사, 쌀, 개인, 싱글, 여자의 밤, 생일, 어린이, 점심 음료, 애프터 파티, 엔터테인먼트, 결혼, 크리스마스 저녁 식사, 온라인 예약 가능, 작별 파티
다른 사용 장면을 참조하십시오",,,예,,,없음,03-6676-4682,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001602890/archive/3217924-658B8CB25FCD2.JPG,,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/icocca_ni_icocca/,,"전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크",,https://x.com/grilldeicocca,,
Bar Shapers,바 모양,https://retty.me/area/PRE13/ARE1/SUB106/100001723630/,050-5462-4703,술집,"[월요일부터 금요일과 토요일]
 18:00-5:00",매주 일요일,"점심:-
저녁 식사 : ~ 4,000 엔",예,PayPay,"빈티지 1, 4 층, 1-15-9 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (110m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (180m)",예,31 석,예,예,,"[공식적인]
https://bar-shapers.foodre.jp/
https://bar-shapers.amebaownd.com/",,,,,,"날짜, 저녁 식사, 작별 파티, 싱글 파티, 저녁 식사, 엔터테인먼트, 환영 파티, 연회 및 음주 파티, 애프터 파티, 첫 번째 열차까지 개장, 늦은 밤에 오픈, 지불금 지불 가능, 캐주얼, 개인 실, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,,,예,03-6258-5773,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001723630/archive/322895-65a6197b7bdcb.jpeg,,"예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/bar_shapers,,,,https://x.com/bar_shapers,,
鳥京 新宿総本店,Torikyo Shinjuku 메인 매장,https://retty.me/area/PRE13/ARE1/SUB101/100001563818/,050-5262-7482,이자카야 야키토리,"[월요일부터 금요일까지]
 16:00-5:00 L.O. 4:30
[태양, 토요일, 휴일]
 13:00-5:00 L.O. 4:30",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Torikyo Building 1f, 1-22-1 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 2 분 (100m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (240m)
JR Yamanote Line / Shinjuku Station에서 도보로 4 분 (250m)",없음,150 석,예,"예
두 사람을 위해
4 명
6 명
7 명 이상",예,"[공식적인]
https://torikyo-shinjukuhonten.foodre.jp/",,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.",우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"개인 실, 하루 종일 마시기, 흡연, 쌀, 늦은 밤에 문을 닫고, 냉담한, 저녁 식사, 그룹 데이트, 연회, 파티, 고기, 솔로 환영 파티, 음료수, 첫 열차, 생일, 엔터테인먼트, 개인 파티, 파티, 파티, 음료 쇼치까지 열립니다.
다른 사용 장면을 참조하십시오","활발한 상점
골목을 향합니다","놀라운 응답 가능
축하 가능성",예,,,없음,03-6233-8780,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001563818/archive/3453705-6736E917CCC802.png,,"예
완전히 흡연이 허용됩니다
(흡연은 2020 년 4 월 1 일 또는 이후 자리에서 이용할 수 있습니다!)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 2 시간 동안 all-you-can-drink, 3 시간 이상 동안 싱글 링크",,,,
NIKKO KANAYA HOTEL CRAFT GRILL,Nikko Kanaya Hotel Craft Grill,https://retty.me/area/PRE13/ARE1/SUB104/100001281007/,050-5461-2021,이자카야 카페,"[월요일부터 금요일까지]
점심 11:30-15:00
저녁 식사 17:00-23:00
[태양, 토요일, 휴일]
 11:30-23:00
* [토요일, 일요일 및 휴일] 오후 3 시부 터 오후 5 시까 지 카페를 사용할 것입니다.","불규칙한 휴일
시설과 동일합니다
*새해 공휴일 동안 영업일 및 시간이 바뀔 수 있습니다.","점심 : ~ 4,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"B1, 3-32-6 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 1 분 (76m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 4 분 (270m)
Jr Yamanote Line / Shinjuku Station에서 도보 4 분 (280m)",예,75 석,예,"예
4 명
6 명",,"https://nikkokanayahotelcraftgrill.foodre.jp/
https://www.dd-holdings.jp/shops/craftgrill/shinkyuku#/","다른 지불 방법
카드 : UnionPay
전자 돈 : ID
QR 지불 : Paypay, Rakuten Pay, DPay, Aupay, Merpay, Wechatpay, Alipay, Bank Pay","3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.",,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",,"야간 카페는 아이들과 함께 즐거운 점심 개인 방 저녁 개인 방 저녁 식사 데이트 날짜를 솔로 손님을 위해 사용할 수 있습니다.
다른 사용 장면을 참조하십시오",,,예,,,예,03-5361-7548,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001281007/archive/2491483-6156EA93D163.jpg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크",,,,
焼肉29テラス 新宿御苑店,Yakiniku 29 Terrace Shinjuku Gyoen 지점,https://retty.me/area/PRE13/ARE1/SUB104/100001725907/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全席個室居酒屋 肉寿司食べ放題 肉ヤロー 新宿本店,"모든 좌석 전용 이자카야, 모든 고기 고기 초밥, 고기 야로 신주쿠 메인 스토어",https://retty.me/area/PRE13/ARE1/SUB101/100001595412/,050-5304-1764,이자카야 고기 바 이탈리아 바 야키토리 스테이크,"[하루 종일]
 11:00-24:00 L.O. 23:00
신주쿠 역에서 도보로 1 분! 우리의 자랑스런 맨 에이트와 음료!
완전히 개인 실은 2 ~ 70 명을 수용 할 수 있습니다.",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
JCB",PayPay,"Wings Building 2F, 1-15-8 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 3 분 (200m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Shinjuku Station에서 도보로 3 분 거리 (210m)","없음
근처 (할인 없음) 사용 가능","60 석
((모든 좌석은 2 개의 개인 실, 30 명의 개인 손님입니다! 편안한 개인 실",없음,"예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
임대 가능 (좌석) : 80 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 30 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)","[공식적인]
https://nikuyaro.foodre.jp/
https://nikuyaro.owst.jp/",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 유기농 야채, 요리사가 해외에서 훈련을 받고, 요리사가 유명한 식당에서 훈련을 받고 요리사가 훈련을받는 것에 대해 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"개인 객실, 점심 시간, 날짜, 쌀 먹는 것, 쌀, 고기, 고기, 세련된 개인 실, 생일, 지불금 지불 이용 가능, 연말 파티, 새해 파티, 급여 지불 포인트 받기, 온라인 예약, 전후에, 모든 맨, 캔-캔-링크, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
나이트 뷰를 볼 수 있습니다
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성","예
유아, 미취학 아동, 초등학생 어린이를 환영합니다",,,예,080-9800-3340,"영어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001595412/archive/2923847-63807455e7759.jpg,,,,,"999 엔 미만의 모든 금액 가격, All-You-Can-Drink 가격 1000-1999 엔, All-You-Can-Drink Price 2000-2999 엔, 전 ALL-YOU-CAN-DRINK 3000-4999 엔, 2999999 YEN, ALL-YOU-CAN-DRINK PROPES의 ALL-YOU-CAN-DRINK 가격 5000 YEN 또는 ALL-YOU-CAN-DRINK 가격 3000-3999 엔, all-you-can-drink 코스에는 4000-4999 엔이 포함되며, 싱글 링크 코스에는 5000 엔 이상, 2 시간 동안 온전한 링크, 2 시간 반 동안 싱글 링크, 3 시간 이상은 모두 3 시간 이상 만 담당합니다.",평상복,,"TV 및 모니터, 오디오 장비",
もつ焼街中華X&C,Motsuyaki Town Chinese X & C.,https://retty.me/area/PRE13/ARE1/SUB104/100001613103/,050-5462-7127,이자카야 중국 요리,"[월요일, 화요일 및 휴일 전]
저녁 식사 17:00-25:00
[금요일과 토요일까지]
저녁 식사 16:00-23:00 L.O. 22:30
[낮]
저녁 식사 15:00-23:00 L.O. 22:30
[축하해요]
 13:00-25:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"3-8-4 신주쿠, 신주쿠-쿠, ​​도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보 1 분 (38m)
도쿄 메트로 마루치 노선 / 신주쿠 기 얀마 스테이션에서 도보 6 분 (440m)
JR Yamanote Line / Shinjuku Station에서 도보로 7 분 거리 (490m)",없음,30 석,예,"예
4 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
최대 40 명을 임대 할 수 있습니다","[공식적인]
https://xenlonclaudia.foodre.jp/","[적격 송장에 대해]
적격 송장 (송장)에 대해 영수증을 발행 할 수 있습니다.
*최신 등록 상태의 경우, 국가 세금 기관의 송장 시스템 자격 송장 발행 회사를 확인하거나 매장에 문의하십시오.",,고기 요리 전문,맥주와 와인이 있습니다,사용 가능한 예약,"개인 객실 데이트 소녀의 밤 성인 숨겨진 저녁 식사 싱글 OK 환영 파티 캐주얼 세련
다른 사용 장면을 참조하십시오","차분한 분위기
골목을 향합니다",소믈리에가 있습니다,예,,불가능합니다,없음,03-3353-8636,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001613103/archive/3465493-6746f07e5d6ed.jpg,,"예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,
すっぽん ふぐ 日本料理 新宿あぐら屋,새우 푸구 일본 요리 신주쿠 아구라야,https://retty.me/area/PRE13/ARE1/SUB101/100000092383/,050-5461-5412,새우 요리 해산물과 해산물 요리 사시미,"[월요일부터 금요일과 토요일]
저녁 식사 17:00-22:30 L.O. 22:00
전염병을 예방하기 위해 당분간 상점을 방문하는 고객 수를 조정할 것입니다.
우리는 계속해서 특별한 조치를 제공 할 것입니다.","매주 월요일마다 일요일 휴가
새해 휴일 (확인하십시오)
예약이 필요합니다


*일요일, 월요일 및 1 월부터 10 월까지의 휴일; 일요일과 휴일은 11 월과 12 월에 문을 닫습니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Nisshin Building 5F, 2-37-5 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보로 3 분 거리 (220m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 6 분 (440m)
JR Yamanote Line / Shin-Okubo 역에서 도보로 7 분 거리 (560m)","없음
근처 (할인 없음) 사용 가능","19 석
(15 개의 테이블 좌석과 4 개의 카운터 좌석을 임대하는 경우 직접 문의하십시오.)",예,"예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
임대 가능 (좌석) : 19 명",,"전염병을 예방하기 위해 당분간 상점을 방문하는 고객 수를 조정할 것입니다.
우리는 계속해서 특별한 조치를 제공 할 것입니다. 정말 죄송하지만
※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※
온라인 예약의 경우 답장이 있으면 연락 할 수 있습니다.
※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※
우리는 당신의 이해와 용서를 요구합니다.

2021 년 3 월 31 일, 건물은 4 층에서 5 층으로 재배치되어 다시 문을 열었습니다.
상점을 방문 할 때 조심하십시오.","7,000 엔 ~ 7,999 엔 코스, 8,000 엔 코스 이상으로 구입할 수 있습니다.","우리는 생선 요리에 중점을두고 생산 공간에 중점을두고, 알레르기가있는 고객을 수용 할 수 있으며, 유명한 식당에서 훈련을 받았으며, 매장 내에서 준비했습니다.","맥주, 사케, 쇼치, 와인, 위스키",예약이 필요합니다,"날짜, 소녀의 밤, 개인 실, 성인의 은신처, 세련된 개인 실, 새해 파티, 쿠폰 이용 가능, 환영 파티, 크리스마스 2024, 고급스러운 크리스마스, 스타일리쉬, 페이 페이 포인트 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳
테라스가 있습니다
정원이 있습니다","놀라운 응답 가능
축하 가능성",불가능합니다,불가능합니다,예 (무료),예,03-3200-2724,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000092383/archive/2519759-617a0555554f.jpg,,"예
흡연실 사용 가능
(식당의 ​​모든 좌석은 금연이 아닙니다. 흡연 좌석은 옥상 정원에서 이용할 수 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/shinjukuaguraya/,,없음,,,
麺屋 海神,Menya Sea God,https://retty.me/area/PRE13/ARE1/SUB101/100000003512/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Parlor SHINJUKU,브루클린 팔러 신주쿠,https://retty.me/area/PRE13/ARE1/SUB104/100000003794/,050-5462-3535,카페,"[월요일부터 금요일까지]
 12:00-23:00 L.O. 21:30
[태양, 토요일, 휴일]
 11:30-23:00 L.O. 21:30
자세한 내용은 공식 웹 사이트를 확인하십시오.
새해 공휴일 동안 특별 개막 시간","불규칙한 휴일
marui Annex는 같은 날에 문을 닫았습니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex",PayPay,"Shinjuku Marui Annex B1F, 3-1-26 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 1 분 (50m)
JR Yamanote Line / Shinjuku 역에서 도보로 6 분 (450m)","없음
근처 (할인 없음) 사용 가능",140 석,예,없음,불가능합니다,"https://brooklynparlor-shinjuku.foodre.jp/
https://www.brooklynparlor.co.jp/",,,,와인과 칵테일이 있습니다,사용 가능한 예약,"소녀의 밤, 식사, 점심, 저녁 식사, 소녀의 밤, 카페, 세련된 점심, 날짜, 솔로 환영 파티, 세련된, 연말 파티, 새해 파티, 점심 날짜, 마시는 크래프트 맥주
다른 사용 장면을 참조하십시오",차분한 분위기,,예,,,,03-6457-7763,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000003794/archive/178360-5f2642c27a4de.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"전 만점 가격 : 3,000 엔 -4,999 엔",,,,온라인 예약
風雲児,후우 지,https://retty.me/area/PRE13/ARE1/SUB113/100000003449/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
うどん 慎,Udon Gen,https://retty.me/area/PRE13/ARE1/SUB113/100000005877/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
すごい煮干ラーメン 凪 新宿ゴールデン街店 本館,놀라운 말린 정어리라면 나기 신주쿠 골든 가이 상점 본관,https://retty.me/area/PRE13/ARE1/SUB101/100000004587/,03-3205-1925,라면 쓰키 멘 Gyoza 중국 요리,"[하루 종일]
 0:00-24:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"신주쿠 골든 가이 (Shinjuku Golden Gai), 1-1-10-2F 카 부키코, 신주쿠 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Shinjuku Station에서 도보 4 분 (310m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 4 분 거리 (310m)","없음
근처 (할인 없음) 사용 가능","10 석
(카운터 만)","예
(10 석)",없음,불가능합니다,https://n-nagi.com/,,,,이용 가능한 맥주,,"점심, 솔로 손님을 위해 점심, 성인 은신처, 주차, 어린이, 브런치, 세련된, 아침 식사, 첫 번째 기차, 저녁 식사, 쌀, 비 조화, 세련된, 점심, 늦은 밤에 문을 엽니 다.
다른 사용 장면을 참조하십시오",,,예,불가능합니다,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36684734.jpg,,"불가능합니다
(흡연은 포함되지 않습니다 (모든 좌석은 점심 시간에 담배를 피우지 않습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/ramennagi,,평상복,https://x.com/ramennagi_jp,,
カフェ アリヤ,카페 아리 야,https://retty.me/area/PRE13/ARE1/SUB104/100000020254/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
つけ麺 五ノ神製作所,"Tsukemen Gonokami Manufacturing Co., Ltd.",https://retty.me/area/PRE13/ARE1/SUB113/100000004303/,03-5379-0203,Tsukemen Rice Bowl 테이크 아웃 소금라면라면,"[하루 종일]
 11:00-21:00
* 수프와 국수가 떨어지 자마자 끝납니다.",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"1f, 5-33-16 Sendagaya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 2 분 (120m)
JR Yamanote Line / Shinjuku Station에서 도보 4 분 (310m)
JR Yamanote Line / Yoyogi Station 6 분 도보 (440m)","없음
근처 (할인 없음) 사용 가능","16 석
(L 자형 카운터 시트 만)","예
(16 석)",없음,불가능합니다,https://gonokamiseisakushoco.com/,,,,이용 가능한 맥주,,"점심, 솔로 손님, 성인 은신처, 와인 음료, 주차장, 아이들과 함께 즐기기
다른 사용 장면을 참조하십시오",숨는 곳,,예,불가능합니다,불가능합니다,없음,,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32225462.jpg,,"불가능합니다
(흡연 없음 (입구 옆에 재떨이가 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/gonokamiseisakusyo/,,평상복,https://x.com/tsuke_men_gnkm,,
らぁめん 満来,라면 마라이,https://retty.me/area/PRE13/ARE1/SUB112/100000015222/,03-3340-2727,라면 문신 돼지 현지 미식가 돼지 고기 요리,"[하루 종일]
 11:00-23:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"1-4-10 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku 역에서 도보로 1 분 (60m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 1 분 (62m)
도쿄 메트로 마루치 노선 / 니시-신주쿠 역에서 도보 4 분 (280m)","없음
근처 (할인 없음) 사용 가능",15 석,"예
(카운터 좌석 만)",없음,불가능합니다,,,,고기 요리 전문,,,"점심, 단일 용도, 주차, 어린이와 함께 즐거운, 세련된, 저녁 식사, 쌀, 맛있고 저렴한 레스토랑, 고기, 비 흡연, 세련된 점심
다른 사용 장면을 참조하십시오",,,예,불가능합니다,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36912957.jpg,,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,평상복,https://x.com/manrai_shinjuku,,
タイ国料理 バンタイ,태국 요리 금지 태국,https://retty.me/area/PRE13/ARE1/SUB101/100000001521/,03-3207-0068,"태국 음식, 실란트로 요리,라면, 야키토리, 카레","[월요일부터 금요일까지]
점심 11:30-15:30 L.O. 15:00
저녁 식사 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
 11:30-23:00 L.O. 22:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-23-14 Kabukicho, Shinjuku-Ku, 도쿄, 3 층, 1st Metro Building
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 1 분 (64m)
JR Yamanote Line / Shinjuku Station에서 도보 3 분 (190m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (190m)",없음,110 석,없음,없음,불가능합니다,https://ban-thai.studio.site/,,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.",,"맥주, 사케, 쇼치, 와인, 위스키, 샤 옥싱 와인",저녁 식사 시간에만 사용할 수 있습니다,"점심, 날짜, 여자 밤, 연회 및 음주 파티, 싱글, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 아이들과 함께 즐거운, 세련된, 영어를 사용하는 저녁 식사
다른 사용 장면을 참조하십시오",,"축하 가능성
테이크 아웃 가능성",예,불가능합니다,,예,,영어,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/3642748.jpg,,"불가능합니다
(금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/banthai_shinjyuku,https://www.facebook.com/shinjuku Thai Cuisine Bantai-1647175185527299/,,,https://x.com/banthaitokyo,,
