식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,영상,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자,온라인 예약
居酒屋 大将 渋谷本店,Izakaya Daisho Shibuya Main Branch,https://retty.me/area/PRE13/ARE8/SUB802/100001623030/,03-6433-7444,이자카야,,,"점심:-
저녁 식사 : ~ 3,000 엔",,PayPay,"1F Denen Building, 25-2 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (93m)",,,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,흡연 허용 페이 페이 지불이 허용되었습니다,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34081874.jpg,,,,,,,,,,
フォーのお店 ハノイのホイさん,하노이에있는 포의 상점 호이,https://retty.me/area/PRE13/ARE8/SUB803/100000008606/,03-3464-8450,베트남 요리 타이 요리 샌드위치 Okonomiyaki Curry,"[월]
 11:30-16:00 L.O. 15:30
[tue-fri, sat, holiday]
점심 11:30-16:00 L.O. 15:30
저녁 식사 17:00-22:00 L.O. 21:15
자세한 내용은 공식 웹 사이트를 확인하십시오.
국경일이 월요일이면 점심 시간에만 문을 엽니 다. 2024 년 4 월 1 일 현재","매주 일요일
자세한 내용은 공식 웹 사이트를 확인하십시오.
저녁 식사는 매주 월요일에 문을 닫습니다. 여름 방학 및 새해 공휴일 가능","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Kyoei Building, 17-6 Sakuragaokacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (210m)","없음
근처 (할인 없음) 사용 가능","34 석
(10 개의 카운터 좌석, 24 개의 테이블 좌석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://www.hoi-san.com/,,"2,999 엔 미만의 코스","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선",매장 내 준비,"맥주, 쇼카, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"점심, 연회 및 음주 파티, 싱글은 괜찮아, 작별 파티, 환영 파티, 체리 꽃보기와 체리 꽃보기가있는 레스토랑, 연말 파티, 새해 파티, 와인, 주차장, 어린이와 함께 즐거운, 개인 저녁 식사
다른 사용 장면을 참조하십시오",차분한 분위기,"테이크 아웃 가능성
배송 가능",없음,예,불가능합니다,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000008606/archive/2535162-618b92d9189f3.jpg,,,,,,,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Quicpay",,,
博多餃子舎 603 渋谷店,Hakata Gyozasha 603 Shibuya Store,https://retty.me/area/PRE13/ARE8/SUB806/100000029302/,03-5456-6036,Izakaya Gyoza 해산물 및 해산물 요리라면 Motsunabe,"[하루 종일]
저녁 식사 17:00-23:30 L.O. 23:00",새해 휴일 (확인하십시오),"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2-7-1 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (34m)","예
근처 (할인 없음) 사용 가능","44 석
((2 층은 30 명 이상의 사람들에게 개방되어 있습니다! 개인 용도는 25 명에게 공개됩니다!)",예,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 25 명","https://www.hotpepper.jp/strj000727143/
https://tabelog.com/tokyo/a1303/a130301/13061627/
https://r.gnavi.co.jp/bbx76z1e0000/",,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, 전산 된 점수 가격 3,000-4,999 엔, 모든 냉장수 코스는 2,999 엔 아래에 포함될 수 있으며, 모든 링크 코스는 3,000-3,999 엔, 4,0009999 년에 포함될 수 있습니다. 전산 된 코스는 5,000 엔 이상을 포함 할 수 있으며, 2 시간 이상, 2 시간 동안 모든 싱크 드링크, 2 시간 동안 완전히 흠뻑 적시고, 3 시간 이상 싱글 링크를 포함시킬 수 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리 및 식품 생산 공간에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"all-you-can-drink banquets/drink parties farewell 파티를 환영 파티 연말 파티 새해 파티를 마실 수 있습니다. 술을 마실 수 있습니다. 와인을 마실 수 있습니다.
다른 사용 장면을 참조하십시오","보기가 좋습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
숨는 곳",축하 가능성,,"예
초등학생들은 환영합니다",불가능합니다,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000029302/archive/610343-5be68b78527c8.jpg,,,,,,,,,,
宮崎料理 万作 渋谷ヒカリエ店,미야자키 요리 만사 쿠 시부야 히카리 지점,https://retty.me/area/PRE13/ARE8/SUB805/100001236753/,03-6712-6450,이자카야 일본 요리 해산물과 해산물 핫팟 일본 요리 사시미 스시 샤브 샤무,"[하루 종일]
점심 11:00-15:00 L.O. 14:30
[월요일부터 금요일과 토요일]
저녁 식사 17:00-22:50 L.O. 21:45
[일요일과 휴일]
저녁 식사 17:00-21:50 L.O. 20:45
팔리 자마자 끝납니다
자세한 내용은 공식 웹 사이트를 확인하십시오.","하루 종일 개점
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.
시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
식당
JCB",PayPay,"Shibuya Hikarie 6f, 2-21-1 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (43m)",없음,"68 석
(소파 좌석 이용 가능)",없음,"불가능합니다
(흡연 공간은 외부 및 외부에서 사용할 수 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
최대 68 명을 임대 할 수 있습니다",https://mansaku-shibuyahikarie.com/,,"2,999 엔, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 전산 점수 가격 : 2,000-2,999 엔, 4,000-4,999 엔, 5,000 엔 (5,000 엔)을위한 전 ALL-YOU-CAN DRINK, 한 시간 동안 ALL-YOU-CAN-DRINK, ALL-YOU-CAN-DRINK, ALL-YOU-CAN-DRINK. 3 시간 넘게 만약을 만듭니다","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 유기농 야채, 알레르기가있는 고객을 수용 할 수 있으며, 요리사는 해외에서 훈련을 받고, 요리사는 유명한 레스토랑에서 훈련 경험을 가지고 있으며, 요리사는 유명한 레스토랑에서 훈련 경험을 가지고 있으며, 매장 준비 경험이 있습니다.","맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"점심 모든 당신이 먹는 것만 큼 냉담한 연회/음료 파티 개인 객실 약혼 저녁 식사 싱글 손님 엔터테인먼트 작별 파티 환영 파티 크리스마스 저녁 파티 새해 파티 세련된 유기농 요리
다른 사용 장면을 참조하십시오","개방성이 있습니다
조용한 가게
차분한 분위기
숨는 곳
상단에 있습니다
상업용 시설에 위치합니다
운송 시설에 있습니다","놀라운 응답 가능
축하 가능성",,"예
아이들은 환영합니다, 유치원 어린이는 환영합니다, 초등학생은 환영 받고, 기저귀를 이용할 수 있으며, 아기 음식을 당신과 함께 가져갈 수 있습니다.",불가능합니다,예 (무료),예,"영어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001236753/archive/1099073-5d6fa12b08539.jpg,,,https://www.facebook.com/%E5%AE%AE%Ae%EANE%E5%B4%8E%E6%96%99990%86%E4%B8%87%E4%BD%9C- %E6%B8%8B%E8%B0%B7%E3%83%92%E3%82%AB%E3%83%AA%E3%82%A8%E5%BA%97-914783885244231/,,,,"Suica, Rakuten Edy, Quicpay",,,
居酒屋すみれ,이자카야 세미르,https://retty.me/area/PRE13/ARE8/SUB806/100000054240/,03-5728-3360,이자카야 음식 스톨 사시미,"[월요일 ~ 목요일]
 17:00-24:00 L.O. 23:30
[금요일, 토요일, 휴일 전]
 17:00-26:00 L.O. 25:30
[일요일과 휴일]
 17:00-23:00 L.O. 22:30",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"6-2 Maruyamacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 2 분 (160m)
JR Yamanote Line / Shibuya Station에서 도보로 5 분 거리 (370m)",없음,326 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"【합의】
PayPay 사용 가능","3,000 엔에서 3,999 엔으로 제공됩니다","3,000 엔에서 3,999 엔, 2 시간 반에 걸친 탁월한 링크를 포함하는 코스가 있습니다.",,이용 가능한 맥주,,"all-you-can-eat all-you-can-mink 싱글 패스 린스 자신 세일리쉬 디너 디너 맛/저렴한 레스토랑 흡연은 흡연 할 수 있습니다.
다른 사용 장면을 참조하십시오",,,,불가능합니다,불가능합니다,,예,언어 지원 메뉴가 있습니다,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000054240/archive/1988407-5f89625e8dc76.jpeg,,,,,,,"Suica, Nanaco, Rakuten Edy, Quicpay",,,
宮崎料理 万作 渋谷ヒカリエ店,미야자키 요리 만사 쿠 시부야 히카리 지점,https://retty.me/area/PRE13/ARE8/SUB805/100001236753/,03-6712-6450,이자카야 일본 요리 해산물과 해산물 핫팟 일본 요리 사시미 스시 샤브 샤무,"[하루 종일]
점심 11:00-15:00 L.O. 14:30
[월요일부터 금요일과 토요일]
저녁 식사 17:00-22:50 L.O. 21:45
[일요일과 휴일]
저녁 식사 17:00-21:50 L.O. 20:45
팔리 자마자 끝납니다
자세한 내용은 공식 웹 사이트를 확인하십시오.","하루 종일 개점
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.
시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
식당
JCB",PayPay,"Shibuya Hikarie 6f, 2-21-1 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (43m)",없음,"68 석
(소파 좌석 이용 가능)",없음,"불가능합니다
(흡연 공간은 외부 및 외부에서 사용할 수 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
최대 68 명을 임대 할 수 있습니다",https://mansaku-shibuyahikarie.com/,,"2,999 엔, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 전산 점수 가격 : 2,000-2,999 엔, 4,000-4,999 엔, 5,000 엔 (5,000 엔)을위한 전 ALL-YOU-CAN DRINK, 한 시간 동안 ALL-YOU-CAN-DRINK, ALL-YOU-CAN-DRINK, ALL-YOU-CAN-DRINK. 3 시간 넘게 만약을 만듭니다","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 유기농 야채, 알레르기가있는 고객을 수용 할 수 있으며, 요리사는 해외에서 훈련을 받고, 요리사는 유명한 레스토랑에서 훈련 경험을 가지고 있으며, 요리사는 유명한 레스토랑에서 훈련 경험을 가지고 있으며, 매장 준비 경험이 있습니다.","맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"점심 모든 당신이 먹는 것만 큼 냉담한 연회/음료 파티 개인 객실 약혼 저녁 식사 싱글 손님 엔터테인먼트 작별 파티 환영 파티 크리스마스 저녁 파티 새해 파티 세련된 유기농 요리
다른 사용 장면을 참조하십시오","개방성이 있습니다
조용한 가게
차분한 분위기
숨는 곳
상단에 있습니다
상업용 시설에 위치합니다
운송 시설에 있습니다","놀라운 응답 가능
축하 가능성",,"예
아이들은 환영합니다, 유치원 어린이는 환영합니다, 초등학생은 환영 받고, 기저귀를 이용할 수 있으며, 아기 음식을 당신과 함께 가져갈 수 있습니다.",불가능합니다,예 (무료),예,"영어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001236753/archive/1099073-5d6fa12b08539.jpg,,,https://www.facebook.com/%E5%AE%AE%Ae%EANE%E5%B4%8E%E6%96%99990%86%E4%B8%87%E4%BD%9C- %E6%B8%8B%E8%B0%B7%E3%83%92%E3%82%AB%E3%83%AA%E3%82%A8%E5%BA%97-914783885244231/,,,,"Suica, Rakuten Edy, Quicpay",,,
VINO,싸구려 이탈리아 적 포도주,https://retty.me/area/PRE13/ARE8/SUB805/100000005722/,03-3409-9575,이탈리아 요리 이자카야 식당 바 파스타 피자 이탈리아 바,"[월요일부터 금요일까지]
점심 12:00-15:00
[월요일부터 금요일, 토요일, 휴일]
저녁 식사 17 : 30-23 : 30","매주 일요일
*예약에서만 열립니다. 자세한 내용은 상점에 문의하십시오.
*3 일간의 휴일에는 마지막 날이 문을 닫습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
Amex",,"1f, Shoei Building, 1-11-3 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (250m)",없음,"50 석
(소파 좌석, 테라스 및 야외 좌석 이용 가능, 라운드 테이블 이용 가능)",없음,"불가능합니다
(흡연은 개인 일 때만 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 53 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)",,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스 및 8,000 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, All-You-Can-Drink 코스는 2,999 엔 미만으로 구매할 수 있으며, All-You-Can-Drink 코스는 3,000 엔 -3,999 엔, 3,999 엔, 4,000 세 미만의 구매할 수 있습니다. 5,000 엔 이상 구매","우리는 야채 요리, 고기 요리, 생산 재료, 주인 요리사와 식당의 준비에 대해 특히","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 모든 당신이 사라진 연회와 술 파티 싱글 싱글 싱글 파티를 환영 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인을 마시는 아이들과 함께 와인을 즐겁게하는 세련된 개인 공간 저녁 식사
다른 사용 장면을 참조하십시오","조용한 가게
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성
배송 가능",평상복,"예
초등학생들은 환영합니다",,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000005722/archive/1681793-5ec635c42740e.jpg,,,https://www.facebook.com/restaurantbar-%EF%BC%BC%B6%EF%BC%A9%EF%BC%BC%EABC%EF%BC%AF-%E3%83%93%E3%83%BC%BC%B7-1948534050404040404050404091/,,"프로젝터, TV 및 모니터, 오디오 장비",,,,,
個室居酒屋 鳥一 渋谷店,개인 실 Izakaya Toriichi Shibuya 지점,https://retty.me/area/PRE13/ARE8/SUB802/100001696451/,03-6635-1876,이자카야 고기 바,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-24:00
[태양, 토요일, 휴일]
저녁 식사 16:00-24:00",,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"31-9 Udagawacho, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (210m)",예,70 석,예,"연기 분리
(흡연 분리 (흡연 분리는 개인 실에서 이용할 수 있습니다. 언제든지 문의하십시오.) *건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,,"5%/금요일, 토요일, 주말 전일 주말 500 엔/쿠폰 카드를 사용할 수 없습니다.",,,,,사용 가능한 예약,"전가 먹는 데이트 데이트 소녀 파티 모든 당신이 흠뻑 젖은 그룹 데이트 데이트 사유실 마시기 포도주 저녁 식사 쌀 흡연 허용 생일 개인 방 날짜 all-can-eat 세련된 개인 실 개인 실 개인 실 개인 실 개인 실 개인 실
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001696451/archive/305375-6461cadbd0982.jpg,,,,,,,,,,
個室居酒屋 鳥一 渋谷店,개인 실 Izakaya Toriichi Shibuya 지점,https://retty.me/area/PRE13/ARE8/SUB802/100001696451/,03-6635-1876,이자카야 고기 바,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-24:00
[태양, 토요일, 휴일]
저녁 식사 16:00-24:00",,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"31-9 Udagawacho, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (210m)",예,70 석,예,"연기 분리
(흡연 분리 (흡연 분리는 개인 실에서 이용할 수 있습니다. 언제든지 문의하십시오.) *건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,,"5%/금요일, 토요일, 주말 전일 주말 500 엔/쿠폰 카드를 사용할 수 없습니다.",,,,,사용 가능한 예약,"전가 먹는 데이트 데이트 소녀 파티 모든 당신이 흠뻑 젖은 그룹 데이트 데이트 사유실 마시기 포도주 저녁 식사 쌀 흡연 허용 생일 개인 방 날짜 all-can-eat 세련된 개인 실 개인 실 개인 실 개인 실 개인 실 개인 실
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001696451/archive/305375-6461cadbd0982.jpg,,,,,,,,,,
初つぼみ 渋谷店,첫 번째 버드 시부야 상점,https://retty.me/area/PRE13/ARE8/SUB803/100000025726/,03-3463-2284,이자카야 해산물과 해산물,"[월요일부터 목요일과 토요일]
저녁 식사 17:00-23:00 L.O. 22:30
[금요일/휴가 전]
저녁 식사 17:00-23:30 L.O. 23:00
[일요일과 휴일]
저녁 식사 17:00-22:00 L.O. 21:30",하루 종일 개점,"점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"Shibuya Square Building A, 1-9-5 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (140m)",,208 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,,"날짜, 개인 실, 싱글 룸, 성인 가이성
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/16811765.jpg,,,,,,,,,,
VINO,싸구려 이탈리아 적 포도주,https://retty.me/area/PRE13/ARE8/SUB805/100000005722/,03-3409-9575,이탈리아 요리 이자카야 식당 바 파스타 피자 이탈리아 바,"[월요일부터 금요일까지]
점심 12:00-15:00
[월요일부터 금요일, 토요일, 휴일]
저녁 식사 17 : 30-23 : 30","매주 일요일
*예약에서만 열립니다. 자세한 내용은 상점에 문의하십시오.
*3 일간의 휴일에는 마지막 날이 문을 닫습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
Amex",,"1f, Shoei Building, 1-11-3 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (250m)",없음,"50 석
(소파 좌석, 테라스 및 야외 좌석 이용 가능, 라운드 테이블 이용 가능)",없음,"불가능합니다
(흡연은 개인 일 때만 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 53 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)",,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스 및 8,000 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, All-You-Can-Drink 코스는 2,999 엔 미만으로 구매할 수 있으며, All-You-Can-Drink 코스는 3,000 엔 -3,999 엔, 3,999 엔, 4,000 세 미만의 구매할 수 있습니다. 5,000 엔 이상 구매","우리는 야채 요리, 고기 요리, 생산 재료, 주인 요리사와 식당의 준비에 대해 특히","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 모든 당신이 사라진 연회와 술 파티 싱글 싱글 싱글 파티를 환영 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인을 마시는 아이들과 함께 와인을 즐겁게하는 세련된 개인 공간 저녁 식사
다른 사용 장면을 참조하십시오","조용한 가게
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성
배송 가능",평상복,"예
초등학생들은 환영합니다",,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000005722/archive/1681793-5ec635c42740e.jpg,,,https://www.facebook.com/restaurantbar-%EF%BC%BC%B6%EF%BC%A9%EF%BC%BC%EABC%EF%BC%AF-%E3%83%93%E3%83%BC%BC%B7-1948534050404040404050404091/,,"프로젝터, TV 및 모니터, 오디오 장비",,,,,
アンカラ 道玄坂店,Ankara Dogenzaka 상점,https://retty.me/area/PRE13/ARE8/SUB803/100000026450/,03-3780-1366,터키 요리 식당 바 창조적 요리,"[월요일부터 금요일과 토요일]
 17:00-24:00 L.O. 23:15
[일요일과 휴일]
 17:00-23:00 L.O. 22:15
점심 시간에는 20 개 이상의 예약이 열려 있습니다.
온라인으로 예약 할 수도 있습니다.
언제든지 온라인으로 예약 할 수 있습니다!",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드",,"Social Dogenzaka B1F, 1-14-9 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya 역에서 도보로 5 분 (400m)
Keio Inokashira Line / Shinsen 역에서 도보로 7 분 (500m)
도쿄 도요코 라인 / 다이키 야마 역 15 분 도보 (1.2km)",없음,65 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://ankara.jp/,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","4,000 엔에서 4,999 엔까지의 싱글 링크를 포함하는 코스와 5,000 엔 이상의 링크, 한 시간 반 동안 만약을 포함한 코스가 2 시간 동안, 2 시간 동안 전액 만약, 3 시간 동안 전적으로 다루는 코스가 있습니다.","우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","맥주, 와인, 칵테일",사용 가능한 예약,혼자서 즐길 수 있습니다. 크리스마스 저녁 식사 와인 음료 저녁 식사 쌀 흡연 허용,"차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",,,,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000026450/archive/3576465-67f420375a4db.jpg,,,,,,,,,,
