restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,remarks,usage_scenes,wifi_available,phone_number,video,lecture,available_drinks,cooking_specialties,drinking_specialties,waiting,service,reservation,dress_code,child_friendly,pet_friendly,foreign_language_support,power_supply_available,additional_equipment,instagram,ic_card_payment,쇼핑 직무 정보,facebook,twitter,beer_maker
一角 HIBIYA CENTRAL MARKET,Ichikaku Hibiya Central Market,https://retty.me/area/PRE13/ARE2/SUB202/100001413663/,03-6205-8996,이자카야 일본 요리 과자,"[하루 종일]
 11:00-23:00 L.O. 22:00","하루 종일 개점
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",예,,"3F, 도쿄 미드 타운 Hibiya, 1-1-2 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (70m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (74m)",,80 석,예,"불가능합니다
(도쿄 미드 타운 Hibiya의 같은 층에 흡연 구역이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.hibiya.tokyo-midtown.com/jp/shops/30200/,,"점심, 솔로, 세련된, 저녁, 쌀, 맛있고 저렴한 레스토랑, 비 흡연, 세련된, 점심, 이브닝 카페
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32739835.jpg,,,,,,,,,,,,,,https://www.instagram.com/hibiya_central_market/,,,https://www.facebook.com/hibiya.central.market,,
ジョーズ シャンハイ ニューヨーク 銀座店,Jaws Shanghai New York Ginza 매장,https://retty.me/area/PRE13/ARE2/SUB202/100001554812/,050-3184-4888,중국 요리 Dandan Noodles DIM SOM DIM SOM,"[하루 종일]
점심 11 : 30-16 : 00 L.O. 15:00
저녁 식사 17:00-20:00 L.O. 19:30
영업 시간과 알코올 제공은 지방 정부의 요청에 따라 진행됩니다.
우리는 우리 가게에 당신을 환영하기를 고대합니다.",새해 휴일 (확인하십시오),"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
식당
JCB",PayPay,"Hulic Square B1F, 2-2-3 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (29m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (31m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 1 분 (32m)",없음,160 석,예,"불가능합니다
(건물에 흡연 공간이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,https://www.joesshanghai.net/ginza,"Pasmo
Rakuten Pay
라인 지불","점심, 데이트, 여자 파티, 모든 링크, 연회 및 음주 파티, 개인 객실, 참여 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 마시는 와인, 세련된 저녁 식사
다른 사용 장면을 참조하십시오",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36391826.jpg,,,매장 내에서 준비된 슈퍼 매운 메뉴,와인이 있습니다,,,,없음,불가능합니다,불가능합니다,,불가능합니다,,,"Suica, Rakuten Edy, Quicpay",,,,
NADABAN by HAL YAMASHITA 東京ミッドタウン日比谷店,Hal Yamashita Tokyo Midtown Hibiya 지점에 의해 Nadaban,https://retty.me/area/PRE13/ARE2/SUB202/100001411462/,03-6273-3386,Udon Izakaya 테이크 아웃 Robatayaki,"[태양, 월요일부터 금요일, 토요일]
 11:00-23:00 L.O. 22:45","매년 1 월 1 일에 문을 엽니 다
시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",예,,"도쿄 미드 타운 Hibiya 2F, 1-1-2 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (72m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (75m)",,40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.hibiya.tokyo-midtown.com/jp/restaurants/21500/,,"점심, 솔로, 세련된, 저녁 식사, 쌀, 비 흡연, 세련된, 점심",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35670118.jpg,,,,,,,,,,,,,,,,,,,
芳蘭,팬글란,https://retty.me/area/PRE13/ARE2/SUB202/100000015244/,03-3580-8868,"라면, 쌀 쌀장라면, Tonkotsu라면","[월요일부터 금요일과 토요일]
 11:00-26:00
[일요일과 휴일]
 11:00-24:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"TS Hibiya Building, 1-2-9 Yurakucho, Chiyoda-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (120m)
JR Yamanote Line / Yurakucho Station에서 도보 2 분 (130m)
도쿄 메트로 긴자 라인 / Ginza Station에서 도보로 3 분 거리 (200m)",,33 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,"점심, 솔로, 세련된, 저녁, 쌀, 맛있고 싸고 흡연, 흡연, 세련된, 늦은 밤
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36959115.jpg,,,,,,,,,,,,,,,,,,,
三田製麺所 有楽町店,미타 국수 유라쿠치 지점,https://retty.me/area/PRE13/ARE2/SUB202/100000000625/,03-3595-3807,Tsukemen라면,"[하루 종일]
 11:00-26:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"1-3-7 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (63m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (63m)
도쿄 메트로 진 자 라인 / Ginza Station에서 도보 2 분 (150m)",,9 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://mita-seimen.com,,"점심, 솔로, 저녁 식사, 금연, 늦은 밤에 문을 엽니 다",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/13178763.jpg,,,,,,,,,,,,,,,,,,,
カレーショップ C＆C 有楽町店,카레 상점 C & C Yurakucho 매장,https://retty.me/area/PRE13/ARE2/SUB202/100000724486/,명확하지 않습니다,카레 서양 음식 햄버거,"[월요일부터 금요일까지]
 7:30-23:00
[태양, 토요일, 휴일]
 9:00-21:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"2-9-14 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (22m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (22m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome Station에서 도보 2 분 (150m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,"점심, 솔로, 브런치, 세련된, 아침 식사, 저녁, 쌀, 비 조화, 세련된 점심
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/25971570.jpg,,,,,,,,,,,,,,,,,,,
まんぷく食堂,만푸쿠 식당,https://retty.me/area/PRE13/ARE2/SUB202/100000060607/,03-3211-6001,이자카야 해산물 쌀 스테이크 쌀 쌀 야키소바 서부 음식,"[tue-fri]
 17:00-25:00
[토양]
 14:00-25:00
[일요일과 휴일]
 14:00-23:00",매주 월요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,PayPay,"2-4-1 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (37m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (44m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보 2 분 (100m)",없음,48 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://manpuku-syokudo.com/,,"싱글 OK 스타일리시 한 저녁 식사 저녁 식사 맛/저렴한 레스토랑 고기 흡연 허용 점심 마시는 애프터 페이 페이 지불 가능
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/25562231.jpg,,,,,,,,,,,,,,,,,https://www.facebook.com/pages/manpuku shokudo/479955912038849,https://x.com/manpukushokudo,
日比谷Bar 日比谷店,Hibiya Bar Hibiya 상점,https://retty.me/area/PRE13/ARE2/SUB202/100000079486/,03-3581-9195,바 식사 바 이자카야,"[하루 종일]
 17:00-23:30 L.O. 23:00","하루 종일 개점
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심:-
저녁 식사 : ~ 4,000 엔",Amex,,"4 층, Yurakucho 1-Chome 건물, 1-2-6, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (90m)
JR Yamanote Line / Yurakucho Station (90m)에서 도보로 2 분
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (170m)","예
근처 (할인 없음) 사용 가능",27 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (4 명
최대 20 명까지 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 4 명
최대 20 명이 예약 할 수 있습니다 (스탠드 스탠딩 식사)",http://www.hibiya-bar.com,,"전산 된 링크 연회/음주 파티 개인 방 작별 파티를 환영 파티 연말 파티 새해 파티 와인 음료 주차장 이용 가능 개인 공간 저녁 식사 비 스며 밍 무료 Wi-Fi
다른 사용 장면을 참조하십시오",예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31810878.jpg,,"3,000 엔에서 3,999 엔으로 인한 모든 코스가 포함 된 코스와 4,000 엔에서 4,999 엔을위한 모든 코스를 포함하는 코스와 5,000 엔 (5,000 엔), 2 시간 동안 올스 링크를 포함하는 모든 코스를 포함하는 코스가 있습니다.",,"맥주, 술, 와인, 위스키, 칵테일","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
휴대품 룸이 있습니다",사용 가능한 예약,없음,불가능합니다,불가능합니다,,불가능합니다,,,,,https://www.facebook.com/hibiyabar,https://x.com/hibiyabar,
日比谷 林屋新兵衛,Hibiya Hayashiya Shinbei,https://retty.me/area/PRE13/ARE2/SUB202/100001411467/,03-6550-8727,카페 과자 일본 과자 일본 과자 과자,"[하루 종일]
 11:00-23:00 L.O. 22:00","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",,,"도쿄 미드 타운 Hibiya 2F, 1-1-2 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (70m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (74m)",,42 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://kyo-hayashiya.jp/shoplist/hibiya/,,"점심, 솔로, 체리 꽃보기, 체리 꽃보기와 함께 레스토랑, 세련된, 저녁 식사, 비 흡연, 세련된 점심, 이브닝 카페
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35815026.jpg,,,,,,,,,,,,,,,,,,,
隠れ家個室居酒屋 御庭 有楽町店,숨겨진 개인 실 Izakaya Oniwa Yurakucho 지점,https://retty.me/area/PRE13/ARE2/SUB202/100001395959/,03-6550-8783,이자카야 해산물과 해산물 Sashimi Motsunabe,"[하루 종일]
 11:00-23:00 L.O. 22:00",불규칙한 휴일 매월 13 일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"TS Hibiya Building의 4 층, 1-2-9 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (130m)
JR Yamanote Line / Yurakucho Station에서 도보 2 분 (130m)
도쿄 메트로 긴자 라인 / Ginza Station에서 도보로 3 분 거리 (200m)","없음
근처 (할인 없음) 사용 가능","65 석
(커플 좌석 이용 가능)",없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명",,,"점심 모든 당신 만-링크 연회/음료 파티 개인 실
다른 사용 장면을 참조하십시오",예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001395959/archive/2816034-6301be12627b9.jpg,"3,000 엔에서 3,999 엔으로 제공됩니다","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 3,000-4,999 엔, 2 시간 동안 all-you-can-drink",우리는 생선 요리에 대해 특히 그렇습니다,"맥주, 사케, 쇼치, 와인",,놀라운 응답 가능,사용 가능한 예약,없음,예,불가능합니다,,,,,,,,,
一角 HIBIYA CENTRAL MARKET,Ichikaku Hibiya Central Market,https://retty.me/area/PRE13/ARE2/SUB202/100001413663/,03-6205-8996,이자카야 일본 요리 과자,"[하루 종일]
 11:00-23:00 L.O. 22:00","하루 종일 개점
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",예,,"3F, 도쿄 미드 타운 Hibiya, 1-1-2 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (70m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (74m)",,80 석,예,"불가능합니다
(도쿄 미드 타운 Hibiya의 같은 층에 흡연 구역이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.hibiya.tokyo-midtown.com/jp/shops/30200/,,"점심, 솔로, 세련된, 저녁, 쌀, 맛있고 저렴한 레스토랑, 비 흡연, 세련된, 점심, 이브닝 카페
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32739835.jpg,,,,,,,,,,,,,,https://www.instagram.com/hibiya_central_market/,,,https://www.facebook.com/hibiya.central.market,,
まんぷく食堂,만푸쿠 식당,https://retty.me/area/PRE13/ARE2/SUB202/100000060607/,03-3211-6001,이자카야 해산물 쌀 스테이크 쌀 쌀 야키소바 서부 음식,"[tue-fri]
 17:00-25:00
[토양]
 14:00-25:00
[일요일과 휴일]
 14:00-23:00",매주 월요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,PayPay,"2-4-1 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (37m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (44m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보 2 분 (100m)",없음,48 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://manpuku-syokudo.com/,,"싱글 OK 스타일리시 한 저녁 식사 저녁 식사 맛/저렴한 레스토랑 고기 흡연 허용 점심 마시는 애프터 페이 페이 지불 가능
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/25562231.jpg,,,,,,,,,,,,,,,,,https://www.facebook.com/pages/manpuku shokudo/479955912038849,https://x.com/manpukushokudo,
居酒屋 金陵本店,Izakaya Kinryo 메인 지점,https://retty.me/area/PRE13/ARE2/SUB202/100000089516/,03-3503-4994,이자카야,"[월요일부터 금요일, 토요일, 휴일]
 17:00-22:45","매주 일요일
*긴 공휴일 (Golden Week, New Year 's 등)에 대한 정보는 상점에 확인하십시오.","점심:-
저녁 식사 : ~ 4,000 엔",불가능합니다,PayPay,"2-1-20 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (79m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (81m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보 2 분 (120m)",,,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,"저녁 식사, 흡연 허용, 지불금 지불 허용, 빠르고 쉬운 연말 파티, 빠르고 쉬운 새해 파티",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/581857.jpg,,,,,,,,,,,,,,,,,,,
日比谷Bar 日比谷店,Hibiya Bar Hibiya 상점,https://retty.me/area/PRE13/ARE2/SUB202/100000079486/,03-3581-9195,바 식사 바 이자카야,"[하루 종일]
 17:00-23:30 L.O. 23:00","하루 종일 개점
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심:-
저녁 식사 : ~ 4,000 엔",Amex,,"4 층, Yurakucho 1-Chome 건물, 1-2-6, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (90m)
JR Yamanote Line / Yurakucho Station (90m)에서 도보로 2 분
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (170m)","예
근처 (할인 없음) 사용 가능",27 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (4 명
최대 20 명까지 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 4 명
최대 20 명이 예약 할 수 있습니다 (스탠드 스탠딩 식사)",http://www.hibiya-bar.com,,"전산 된 링크 연회/음주 파티 개인 방 작별 파티를 환영 파티 연말 파티 새해 파티 와인 음료 주차장 이용 가능 개인 공간 저녁 식사 비 스며 밍 무료 Wi-Fi
다른 사용 장면을 참조하십시오",예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31810878.jpg,,"3,000 엔에서 3,999 엔으로 인한 모든 코스가 포함 된 코스와 4,000 엔에서 4,999 엔을위한 모든 코스를 포함하는 코스와 5,000 엔 (5,000 엔), 2 시간 동안 올스 링크를 포함하는 모든 코스를 포함하는 코스가 있습니다.",,"맥주, 술, 와인, 위스키, 칵테일","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
휴대품 룸이 있습니다",사용 가능한 예약,없음,불가능합니다,불가능합니다,,불가능합니다,,,,,https://www.facebook.com/hibiyabar,https://x.com/hibiyabar,
隠れ家個室居酒屋 御庭 有楽町店,숨겨진 개인 실 Izakaya Oniwa Yurakucho 지점,https://retty.me/area/PRE13/ARE2/SUB202/100001395959/,03-6550-8783,이자카야 해산물과 해산물 Sashimi Motsunabe,"[하루 종일]
 11:00-23:00 L.O. 22:00",불규칙한 휴일 매월 13 일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"TS Hibiya Building의 4 층, 1-2-9 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (130m)
JR Yamanote Line / Yurakucho Station에서 도보 2 분 (130m)
도쿄 메트로 긴자 라인 / Ginza Station에서 도보로 3 분 거리 (200m)","없음
근처 (할인 없음) 사용 가능","65 석
(커플 좌석 이용 가능)",없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명",,,"점심 모든 당신 만-링크 연회/음료 파티 개인 실
다른 사용 장면을 참조하십시오",예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001395959/archive/2816034-6301be12627b9.jpg,"3,000 엔에서 3,999 엔으로 제공됩니다","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 3,000-4,999 엔, 2 시간 동안 all-you-can-drink",우리는 생선 요리에 대해 특히 그렇습니다,"맥주, 사케, 쇼치, 와인",,놀라운 응답 가능,사용 가능한 예약,없음,예,불가능합니다,,,,,,,,,
讃アプローズ,박수 갈채,https://retty.me/area/PRE13/ARE2/SUB202/100000064545/,03-3595-2271,카이세키 요리,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-14:30
저녁 식사 17:00-22:30
[태양, 토요일, 휴일]
 11:30-22:30",하루 종일 개점,"점심 : ~ 5,000 엔
저녁 식사 : ~ 15,000 엔","비자
식당
JCB",,"임페리얼 호텔 본관 중간 층, 1-1-1 Uchisai-Cho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho Station에서 도보 2 분 (96m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (96m)
Toei Mita Line / Uchisaicho 역에서 도보로 5 분 (350m)",,100 석,없음,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,"점심, 개인 객실, 약혼 저녁 식사 파티, 싱글 파티, 엔터테인먼트, 크리스마스 저녁 식사, 저녁 식사, 저녁 식사, 저녁 식사, 흡연 허용, 개인 객실 점심, 개인 객실 엔터테인먼트, 세련된, 럭셔리 크리스마스, 크리스마스 2024 성인 연말 파티, 성인 새해 파티
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/6911200.jpg,,,,,,,,,,,,,,,,,,,
妻家房 有楽町店,Tsumayabo Yurakucho 매장,https://retty.me/area/PRE13/ARE2/SUB202/100000003160/,03-6266-0108,한국 음식,"[태양, 월요일부터 금요일, 토요일]
 11:00-23:00","불규칙한 휴일
Yurakucho Itosia와 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Yurakucho Itosia B1, 2-7-1 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho Station에서 도보 2 분 (91m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (92m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보 2 분 (130m)",,67 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"https://www.saikabo.com/
https://www.saikabo.com/restaurant/yuurakutyou/",,"점심, 개인 실, 솔로, 스타일리시, 저녁 식사, 비 연소, 개인 객실, 점심, 세련된, 개인 실, PayPay Payment availy
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32366157.jpg,,,,,,,,,,,,,,,,,,,
ジョーズ シャンハイ ニューヨーク 銀座店,Jaws Shanghai New York Ginza 매장,https://retty.me/area/PRE13/ARE2/SUB202/100001554812/,050-3184-4888,중국 요리 Dandan Noodles DIM SOM DIM SOM,"[하루 종일]
점심 11 : 30-16 : 00 L.O. 15:00
저녁 식사 17:00-20:00 L.O. 19:30
영업 시간과 알코올 제공은 지방 정부의 요청에 따라 진행됩니다.
우리는 우리 가게에 당신을 환영하기를 고대합니다.",새해 휴일 (확인하십시오),"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
식당
JCB",PayPay,"Hulic Square B1F, 2-2-3 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (29m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (31m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 1 분 (32m)",없음,160 석,예,"불가능합니다
(건물에 흡연 공간이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,https://www.joesshanghai.net/ginza,"Pasmo
Rakuten Pay
라인 지불","점심, 데이트, 여자 파티, 모든 링크, 연회 및 음주 파티, 개인 객실, 참여 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 마시는 와인, 세련된 저녁 식사
다른 사용 장면을 참조하십시오",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36391826.jpg,,,매장 내에서 준비된 슈퍼 매운 메뉴,와인이 있습니다,,,,없음,불가능합니다,불가능합니다,,불가능합니다,,,"Suica, Rakuten Edy, Quicpay",,,,
