restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,cooking_specialties,drinking_specialties,reservation,usage_scenes,child_friendly,wifi_available,phone_number,video,ic_card_payment,instagram,remarks,lecture,available_drinks,waiting,service,dress_code,pet_friendly,power_supply_available,additional_equipment,twitter,foreign_language_support,facebook,beer_maker,인근 시설
東京スタイル鶏らーめん ど・みそ鶏,도쿄 스타일 치킨라면 미소 치킨,https://retty.me/area/PRE13/ARE15/SUB1501/100001399981/,03-6263-2738,라면 쓰키 멘 소금라면,"[월요일부터 금요일까지]
 11:00-23:00
[태양, 토요일, 휴일]
 11:00-21:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"1f Sumiyoshi Building, 1-17-12 Kyobashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 3 분 거리 (210m)
도쿄 메트로 진 자 라인 / 니혼 바시 (도쿄) 역에서 도보 5 분 (380m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 5 분 거리 (390m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://blog.livedoor.jp/do_miso/archives/2000498.html,,,,"점심, 저녁, 쌀, 맛있는/저렴한 레스토랑, 비 조화, 세련된 점심, 급여 지불 지불 가능",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35609632.jpg,,https://www.instagram.com/domiso_tori/,,,,,,,,,,https://x.com/domiso_co_ltd,,,,
グランドレ,그랜드 르,https://retty.me/area/PRE13/ARE15/SUB1501/100000884044/,03-3510-6682,카페 과자,"[월요일부터 금요일까지, 휴일 전]
 7:00-20:00
[토양]
 9:00-18:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"Maruhiro Kyobashi Building 1f, 1-5-12 Kyobashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 2 분 거리 (110m)
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 4 분 거리 (300m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (310m)",,,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 솔로, 브런치, 아침 식사, 저녁 식사, 쌀, 흡연, 세련된 점심
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36963544.jpg,,,,,,,,,,,,,,https://www.facebook.com/pages/coffee Shop-Grandre/164569677049228,,
花葵　別邸,Hanaoki Beige,https://retty.me/area/PRE13/ARE15/SUB1501/100001545329/,03-5542-1940,이자카야 테이크 아웃,"[월요일부터 금요일까지]
점심 11:30-14:00
저녁 식사 17:00-22:30
[토양]
 16:00-21:30",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"도쿄 스퀘어 가든 B1F, 3-1-1 Kyobashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 교오바시 (도쿄) 역에서 도보로 1 분 거리 (59m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome 역에서 도보로 3 분 거리 (230m)
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 4 분 거리 (280m)","예
특별 P 사용 가능","58 석
(30 명을위한 최대 연회 수. 테이블 좌석, 개인 실.",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 58 명",https://hanaaoi-kyobashi.com/,"우리는 야채 요리, 고기 요리 및 유기농 야채에 특히 그렇습니다.","맥주, 사케, 쇼치",사용 가능한 예약,"점심 만세 연회/음주 파티 솔로 작별 파티에 이용할 수있는 개인 방 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 음주 음료 와인 세련된 주차장이 있습니다.
다른 사용 장면을 참조하십시오","예
유아, 유치원 어린이, 초등학생을 환영합니다",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001545329/archive/183584-5f519F1616ec6.jpg,,,"(운송 전자 자금 (Suica 등), Rakuten Edy, Nanaco, Waon, ID)","4,000 엔에서 4,999 엔으로 구입할 수 있습니다","5,000 엔 이상의 모든 금액 가격",,,평상복,불가능합니다,,,,,,,
ちゃい九炉 八重洲店,Chai Kyuro Yaesu 매장,https://retty.me/area/PRE13/ARE15/SUB1501/100001063601/,03-3274-1234,이자카야 해산물과 해산물 스시 사시미,"[선, 월요일, 화요일 및 휴일]
저녁 식사 16:00-24:30 L.O. 24:00
[수요일, 목요일, 토요일]
저녁 식사 16:00-27:00 L.O. 26:30
[금요일/휴가 전]
저녁 식사 16:00-28:00 L.O. 27:30","불규칙한 휴일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
2023 년 12 월 30 일부터 2024 년 1 월 1 일까지 폐쇄되었습니다","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1st Yamamoto Building 1st and 2nd Floors, 3-2-3 Nihonbashi, Chuo-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 2 분 거리 (160m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (260m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 5 분 거리 (370m)",없음,80 석,없음,"예
완전히 흡연이 허용됩니다
(모든 좌석은 연기 친화적입니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","https://www.chaikuro-yaesu.com/
https://chiclo-yaesu-tokyo.gorp.jp/
https://r.gnavi.co.jp/ga4a606/",우리는 생선 요리에 대해 특히 그렇습니다. 생산 구역에 특히 그렇습니다.,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"당신이 온전한 린 링크 환영 파티 새해 파티를 마실 수 있습니다
다른 사용 장면을 참조하십시오",,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001063601/archive/1071435-5d561769a7382.png,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Quicpay",,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, ALL-YOU-CAN-DRINK 가격 2,000-2,999 엔, ALL-YOU-CAN-DRINK 가격 3,000-4,999 엔, All-You-Can-Drink 가격 3,000-4,999 엔, All-You-Can-Drink 코스는 4,000-4,4,99999999999999999999991 엔 코스에는 5,000 엔 이상을위한 모든 싱크 링크, 1 시간 반 동안 싱글 링크, 2 시간 반 동안 싱글 링크, 2 시간 반 동안 싱글 링크, 3 시간 반 동안 싱글 링크, 3 시간 반 동안 싱글 링크가 포함됩니다.","차분한 분위기
골목을 향합니다","테이크 아웃 가능성
배송 가능",,"예
상점에서 구입할 수 있습니다",,TV 및 모니터 사용 가능,,"영어 중국어 한국
직원과 함께 언어 지원 메뉴가 있습니다",https://www.facebook.com/chai kyuro-yaesu store-204025140379851,,
九州料理個室居酒屋 縁喜 東京駅・八重洲店,Kyushu 개인 실 Izakaya Enki 도쿄 역/Yaesu 지점,https://retty.me/area/PRE13/ARE15/SUB1501/100001455075/,03-4580-8037,이자카야 해산물과 해산물 요리 일본 음식 사시미 모스 나 베 야키토리,"[하루 종일]
 16:00-23:00 L.O. 22:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex",,"Shohei Building, 1-5-1 Kyobashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 교오바시 (도쿄) 역 (160m)에서 도보 2 분
JR Yamanote Line / 도쿄 역에서 도보로 3 분 (240m)
Toei Asakusa Line / Takaramachi (도쿄) 역 5 분 도보 (370m)","예
근처 (할인 없음) 사용 가능",200 석,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"예
예약 할 수있는 사람의 수에 대한 최저 한도 2 명",,"우리는 야채 요리, 고기 요리, 생선 요리, 매장 내에서 준비된 것입니다.",,사용 가능한 예약,"전산 된 링크 연회/음주 파티 개인 객실 연말 파티를 이용할 수있는 주차 이용 가능한 영어 사용 가능한 개인 공간 저녁 식사 쌀 흡연 허용 무료 Wi-Fi Drink Shochu Casual
다른 사용 장면을 참조하십시오",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001455075/archive/1042453-5d3eda80e0598.jpg,,,,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","전 만점 가격 : 1,000 엔 -1,999 엔","보기가 좋습니다
풍경은 아름답습니다","놀라운 응답 가능
축하 가능성",,,,,,"영어 중국어
언어를 말할 수있는 직원이 있습니다",,,
肉×魚バル Meat Meets Fish 日本橋本店,고기는 Fish Nihonbashi 메인 매장을 만납니다,https://retty.me/area/PRE13/ARE15/SUB1501/100001754307/,03-6910-3585,이자카야 바 치킨 요리 해산물과 해산물 요리 스테이크,"[하루 종일]
점심 11:00-14:30
저녁 식사 17:00-23:30",,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당",PayPay,"Yaesu City Building, 1f, 1-4-5 Yaesu, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 니혼 바시 (도쿄) 역에서 도보 1 분 (74m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (190m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (270m)",예,30 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 점심, 혼자 마시기, 쌀, 저녁 식사, 급여 지불 지불 가능, 캐주얼, 싱글 링크, 음료수, 금연, 무료 Wi-Fi, 음료 Shochu
다른 사용 장면을 참조하십시오",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001754307/archive/3493115-6777c9c87e884f.jpg,,,,,,,,,,,,,,,,
四川料理 食為鮮 東京店,사천 요리 음식 요리 도쿄 지점,https://retty.me/area/PRE13/ARE15/SUB1501/100000017980/,03-3231-8266,이자카야 중국 요리,"[하루 종일]
 11:00-23:30 L.O. 23:00",매년 1 월 1 일에 문을 엽니 다,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1f Ishin Building, 2-11-7 Yaesu, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome Station에서 도보 2 분 (160m)
도쿄 메트로 진 자 라인 / 키오바시 (도쿄) 역에서 도보로 3 분 거리 (210m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (290m)",,60 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 저녁, 저녁 식사, 맛있는 레스토랑, 싼 레스토랑, 흡연 허용, 급여 지불 지불 수락",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/17517794.jpg,,,,,,,,,,,,,,,,
銀の月 八重洲店,진가 티키 야 에스 매장,https://retty.me/area/PRE13/ARE15/SUB1501/100001192750/,03-3517-1688,Izakaya 해산물과 해산물 요리 Motsunabe,"[월요일부터 목요일, 휴일 전]
 16:00-24:30
[금]
 16:00-28:30
[태양, 토요일, 휴일]
 16:00-23:30",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔",Amex,,"6 층, 2 차 Yayoi Building, 3-4-1 Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 3 분 (210m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 4 분 거리 (270m)
도쿄 메트로 진 자 라인 / 키오바시 (도쿄) 역에서 도보로 5 분 거리 (330m)",,50 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명",,https://www.ichirokudo.com/,,,,개인 실은 첫 번째 열차 저녁 식사 흡연이 늦은 밤 허용 될 때까지 열립니다.,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/15640560.jpg,,,,,,,,,,,,,,,,
本格上海料理 新世界,정통 상하이 요리 신세계,https://retty.me/area/PRE13/ARE15/SUB1501/100000082578/,03-3567-6323,중국 요리 이자카야 상하이 요리/상하이 게 야키소바,"[월요일부터 금요일과 토요일]
 11:00-15:00
 16:00-23:00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",Amex,PayPay,"2-9-12 Kyobashi, Chuo-Ku, 도쿄 Nippon Kogyo 건물 1 건물 B1F
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 2 분 거리 (120m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 3 분 거리 (200m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 6 분 거리 (470m)",,50 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,"점심, 개인 실, 저녁 식사, 쌀, 흡연 허용, 개인 실, 급여 지불 지불 수락",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31824955.jpg,,,,,,,,,,,,,,,,
雪園 京橋店,Yukien Kyobashi 매장,https://retty.me/area/PRE13/ARE15/SUB1501/100000271043/,03-3535-5931,"중국 음식, 쌀 그릇, 야키소바","[월요일부터 금요일, 토요일, 휴일 전]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17 : 30-22 : 00 L.O. 19:30
[축하해요]
점심 12:00-15:00 L.O. 14:30
저녁 식사 17 : 30-21 : 00 L.O. 18:30",매주 일요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",Amex,PayPay,"3-6-3 Kyobashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 교오바시 (도쿄) 역 1 분 도보 (65m)
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 2 분 거리 (160m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome 역에서 도보로 3 분 거리 (230m)",,65 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",,,,,,"점심, 개인 객실, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 크리스마스 저녁 식사, 세련된, 저녁 식사, 쌀, 비 흡연, 개인 실, 점심, 세련된 방, 개인 객실, 개인 객실, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35308336.jpg,,,,,,,,,,,,,,https://www.ac,,
銀の月 八重洲店,진가 티키 야 에스 매장,https://retty.me/area/PRE13/ARE15/SUB1501/100001192750/,03-3517-1688,Izakaya 해산물과 해산물 요리 Motsunabe,"[월요일부터 목요일, 휴일 전]
 16:00-24:30
[금]
 16:00-28:30
[태양, 토요일, 휴일]
 16:00-23:30",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔",Amex,,"6 층, 2 차 Yayoi Building, 3-4-1 Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 3 분 (210m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 4 분 거리 (270m)
도쿄 메트로 진 자 라인 / 키오바시 (도쿄) 역에서 도보로 5 분 거리 (330m)",,50 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명",,https://www.ichirokudo.com/,,,,개인 실은 첫 번째 열차 저녁 식사 흡연이 늦은 밤 허용 될 때까지 열립니다.,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/15640560.jpg,,,,,,,,,,,,,,,,
季彩膳 酔心 東京駅店,Kisaizen Suicon 도쿄 스테이션 매장,https://retty.me/area/PRE13/ARE15/SUB1501/100000049566/,03-3275-3909,카포/한국 레스토랑 카이세키 요리 사시미 소바 (SOBA),"[월요일부터 금요일까지]
 11:00-22:00 L.O. 21:30
[태양, 토요일, 휴일]
 11:00-21:00 L.O. 20:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔",Amex,,"Yaesu Underground Mall 2-1, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 2 분 (150m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 4 분 거리 (300m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 5 분 거리 (390m)",,70 석,없음,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://www.e-sushin.com/,,,,"점심 연회/음주 파티 개인 방 작별 파티 환영 파티 연말 파티 새해 파티를 이용할 수있는 저녁 식사 쌀 흡연 허용 개인 방 점심
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28210466.jpg,,,,,,,,,,,,,,,,
薮伊豆総本店,Yabu Izu 메인 매장,https://retty.me/area/PRE13/ARE15/SUB1501/100000081255/,03-3242-1240,소바 (소바) 템포라 이자카야 카레,"[월요일부터 금요일까지, 휴일]
점심 11:00-15:00
[월요일 ~ 목요일]
저녁 식사 17:00-22:00 L.O. 21:00
[금]
저녁 식사 17:00-22:30 L.O. 21:30
[토양]
점심 11:30-15:00
[토요일/휴일]
저녁 식사 17:00-20:00 L.O. 19:30",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"3-15-7 Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 4 분 거리 (280m)
도쿄 메트로 히비야 라인 / 카야 바차 스테이션에서 도보로 5 분 (370m)
Toei Asakusa Line / Takaramachi (도쿄) 역 6 분 (410m)",,75 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",,https://www.yabuizu-souhonten.com/,,,,"점심, 연회 및 음주 파티, 개인 객실, 싱글 OK, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 스타일리쉬, 저녁, 쌀, 비 흡연, 개인 실, 세련된 점심, 세련된 개인 실, Shochu는 급여 지불금을 즐길 수 있습니다.
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31385429.jpg,,,,,,,,,,,,,,,,
いっぱい喰い亭,많은 식사,https://retty.me/area/PRE13/ARE15/SUB1501/100000866386/,03-6225-2484,소바 (Soba) 스탠딩 음료 이자카야 쌀 그릇,"[월요일부터 금요일까지]
 11:00-14:00
 17:00-21:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"1F 신-야 에스 빌딩, 2-10-10, 야 에스, 쿠오 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 3 분 거리 (170m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome Station에서 도보로 3 분 거리 (180m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (290m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 솔로, 세련된, 저녁 식사, 비 흡연, 세련된, 점심, 바삭 바삭한, 연말 파티, 바삭 바삭한, 새해 파티
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/24384854.jpg,,https://www.instagram.com/kuitei_ippai/,,,,,,,,,,,,,,
洋麺屋 五右衛門 八重洲地下街店,Yomenya Goemon Yaesu Underground Mall 매장,https://retty.me/area/PRE13/ARE15/SUB1501/100000777339/,03-6202-0223,"파스타, 창의적인 요리","[월요일부터 금요일까지, 휴일 전]
 11:00-22:00 L.O. 21:30
[태양, 토요일, 휴일]
 11:00-21:30 L.O. 21:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",Amex,PayPay,"Yaesu Underground Mall Orange Road, 2-1 Yaesu, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 2 분 (110m)
도쿄 메트로 진 자 라인 / 키오바시 (도쿄) 역에서 도보로 5 분 거리 (350m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 5 분 거리 (400m)",,36 석,예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 저녁, 저녁 식사, 금연, 급여 지불 지불 가능",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/11432805.jpg,,,,,,,,,,,,,,,,
油そば専門店 山ト天 京橋店,"Yamatoten Kyobashi Branch, Yakisoba의 전문점",https://retty.me/area/PRE13/ARE15/SUB1501/100000799819/,03-6265-1671,라멘 소바 (Soba) 노인 소바 쌀 그릇 Okonomiyaki,"[월요일부터 금요일과 토요일]
점심 11:30-16:00 L.O. 15:30
[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:30
[토양]
저녁 식사 17:00-22:00 L.O. 21:30","매주 일요일과 공휴일
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"도쿄 스퀘어 가든 B1, 3-1-1 Kyobashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 교오바시 (도쿄) 역에서 도보로 1 분 거리 (60m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome 역에서 도보로 3 분 거리 (220m)
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 4 분 거리 (280m)",예,27 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,맥주와 쇼치,사용 가능한 예약,"점심, 연회 및 음주 파티, 싱글은 괜찮아, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 어린이와 함께 즐거운, 세련된, 개인 공간, 저녁 식사, 쌀, 맛있는 레스토랑, 싼 레스토랑, 비 흡연, 세련된 점심, Shochu는 즐길 수 있습니다.
다른 사용 장면을 참조하십시오",예,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000799819/archive/2063405-5fa6b5893968b.jpeg,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Quicpay",,*점심 시간에는 현금 (티켓 머신) 또는 PayPay (직원 지원) 만 제공됩니다.,,,,,없음,불가능합니다,불가능합니다,,,언어 지원 메뉴가 있습니다,,,
グランドレ,그랜드 르,https://retty.me/area/PRE13/ARE15/SUB1501/100000884044/,03-3510-6682,카페 과자,"[월요일부터 금요일까지, 휴일 전]
 7:00-20:00
[토양]
 9:00-18:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"Maruhiro Kyobashi Building 1f, 1-5-12 Kyobashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 2 분 거리 (110m)
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 4 분 거리 (300m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (310m)",,,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 솔로, 브런치, 아침 식사, 저녁 식사, 쌀, 흡연, 세련된 점심
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36963544.jpg,,,,,,,,,,,,,,https://www.facebook.com/pages/coffee Shop-Grandre/164569677049228,,
