식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,주소,입장,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,사용 장면,영상,QR 코드 결제,주차,사적인,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,대기,서비스,아이들이 들어 오세요,맥주 제작자,추가 장비,페이스 북,당신이 마실 수있는 모든 것,애완 동물,Wi-Fi 사용,외국어 지원,IC 카드 지불,인스 타 그램,드레스 코드,전화 번호,발언,전원 공급 장치 사용,X (트위터),지역
すし定,스시 선호도,https://retty.me/area/PRE13/ARE11/SUB1101/100000076555/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,칸다
蛇の目鮨本店 神田駅東口一番街,"Janome Sushi Main Store, Ichibangai, Kanda Station의 동쪽 출구",https://retty.me/area/PRE13/ARE11/SUB1101/100000076539/,03-3251-7446,초밥 사시미,"[월요일부터 금요일까지]
 12:00-13:00
 17:00-22:00","매주 토요일마다 일요일 휴가
-일 영업 시간은 준비 상황에 따라 변경 될 수 있습니다. 사전 확인을 권장합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 8,000 엔",Amex,"2-12-12 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (91m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 6 분 (410m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 거리 (490m)","26 석
(10 카운터, 16 개의 2 층 테이블)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www5a.biglobe.ne.jp/~janome/,"점심, 연회 및 음주 파티, 싱글, 엔터테인먼트, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 저녁 식사, 쌀, 맛있는 레스토랑, 저렴한 레스토랑, 금연, 세련된 점심, Shochu, Paypay Paymentaby
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35163138.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
鮨しいな,너무 초밥입니다,https://retty.me/area/PRE13/ARE11/SUB1101/100001690680/,03-6260-9750,초밥,,,"점심:-
저녁 식사 : ~ 20,000 엔",,"Gems Shin-Nihonbashi 4f, 1-9-19 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Kanda (도쿄) 역 3 분 (210m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 5 분 거리 (330m)",,,,,,독신자 OK 세련된 급여 지불 결제 가능,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34506550.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
金多楼寿司,Kintaro Sushi,https://retty.me/area/PRE13/ARE11/SUB1101/100000076521/,03-3251-7912,초밥 사시미,"[월요일부터 금요일과 토요일]
 17:00-22:30 L.O. 21:00","매주 일요일과 공휴일
*점심에는 5,000 엔의 예약이 필요합니다","점심:-
저녁 식사 : ~ 15,000 엔",Amex,"2-2 Kanda Sudacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 (170m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 3 분 거리 (240m)
JR Yamanote Line / Akihabara 역에서 도보로 5 분 (360m)",29 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://www.kanda-kintarou.co.jp/,"개인 객실 약혼 저녁 식사 파티 싱글 룸 엔터테인먼트 크리스마스 저녁 식사 저녁 식사 저녁 식사 저녁 식사 저녁 식사 비 스며 든 개인 룸 엔터테인먼트 급여 지불 지불 이용 럭셔리 크리스마스 크리스마스 2024
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/4983355.jpg,PayPay,없음,불가능합니다,,,사케와 쇼치,사용 가능한 예약,,,,,,,,,,,,,,,,,,칸다
神田江戸っ子寿司 西口店,Kanda Edokko Sushi West Exit Branch,https://retty.me/area/PRE13/ARE11/SUB1101/100000021124/,03-3258-1253,초밥 쌀 그릇 사시미 시라수 쌀 그릇 일본 요리 해산물 및 해산물,"[월요일, 화요일, 목요일, 금요일]
 11:00-23:00
[태양, 토요일, 휴일]
 11:00-21:30",매주 수요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",Amex,"그린 빌딩, 3-13-10 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (20m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (410m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 거리 (510m)",25 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://edokko.co.jp/,"점심, 저녁 식사, 쌀, 금연, 세련된 점심, 급여 지불 지불 가능",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34338196.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
寿司バル 弁慶 神田店,스시 바 Benkei Kanda 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001467895/,050-3466-6905,스시 바,"[월요일부터 금요일, 토요일, 휴일]
 11:00-14:00
 17:00-22:00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",예,"Hongo Building 1f, 3-8-10 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 스테이션 2 분 도보 (100m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 5 분 (400m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 7 분 거리 (510m)",28 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://benkei-kanda.gorp.jp/,"점심, 솔로, 크리스마스 저녁, 음료수, 세련된, 저녁, 쌀, 비 조화, 세련된 점심
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/37022528.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
は満寿司,하만 스시,https://retty.me/area/PRE13/ARE11/SUB1101/100000076615/,03-3254-0588,초밥,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:00-22:30 L.O. 22:00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔",,"2-12-10 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (110m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 (390m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 6 분 (480m)",,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"저녁 식사, 흡연은 급여 지불 지불이 허용되었습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35418695.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
いく代寿司,이쿠다이 스시,https://retty.me/area/PRE13/ARE11/SUB1101/100000040263/,03-3256-1943,"초밥, 쌀 그릇, 사시미",,,"점심:-
저녁 식사 : ~ 15,000 엔",,"3-15-6 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (150m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (430m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 6 분 (430m)",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/14602064.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
神田江戸っ子寿司 中央店,Kanda Edokko Sushi Chuo 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100000696028/,03-3252-8050,초밥,"[월요일 ~ 목요일]
 11:00-22:20
[금]
 11:00-22:30
[토양]
 11:00-21:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",예,"2-13-11 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (50m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (430m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 거리 (490m)",20 석,"예
(카운터 만)","불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://edokko.co.jp/,"점심, 저녁 식사, 저녁 식사, 금연",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/10033358.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
すし徳,스시 토쿠,https://retty.me/area/PRE13/ARE11/SUB1101/100000076577/,03-3251-3414,초밥 해산물과 해산물,"[월요일부터 금요일까지]
 17:30-25:00",매주 토요일마다 일요일 휴가,"점심:-
저녁 식사 : ~ 5,000 엔",불가능합니다,"2-11-21 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 (170m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 거리 (340m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (470m)",12 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"저녁 식사, 흡연 허용",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/1235975.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
神田 笹鮨,칸다 사즈시,https://retty.me/area/PRE13/ARE11/SUB1101/100000042627/,03-3252-3344,"초밥, 해산물 및 해산물 요리, 쌀 그릇","[월요일부터 금요일, 토요일, 휴일 전]
점심 11:30-13:30 L.O. 13:30
저녁 식사 17:00-22:00 L.O. 21:30",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",불가능합니다,"2-8-5 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (150m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 거리 (380m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (430m)",20 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://sasazushi.com/,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 세련된, 저녁, 쌀, 비 조화, 세련된 점심
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3129989.jpg,,,,,,,,,,,,,https://www.facebook.com/kandasasazushi,,,,,,,,,,,https://x.com/kanda_sasazushi,칸다
鮨 はし本,초밥 하시 책,https://retty.me/area/PRE13/ARE11/SUB1101/100001361736/,03-5577-4748,초밥,,매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 15,000 엔",Amex,"1f, Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 스테이션 5 분 도보 (390m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 5 분 (390m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 5 분 (390m)","16 석
(8 개의 카운터 좌석, 4 개의 테이블 시트 x 2)","예
(2+6 L 자형 카운터, 총 8 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,금연 페이 페이 지불 가능,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36638668.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
鮨DINING 辰,초밥 식당 타츠,https://retty.me/area/PRE13/ARE11/SUB1101/100000855366/,03-5217-1511,"초밥, 쌀 그릇, 사시미","[월요일부터 금요일, 토요일, 휴일 전]
점심 11:30-14:00
[월요일부터 수요일과 휴일 전]
저녁 식사 17:00-23:00 L.O. 22:30
[Thu/Gold]
저녁 식사 17:00-24:00 L.O. 23:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",불가능합니다,"1 층, Harmony Hall, 2-17-8 Kanda Tsukacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 2 분 거리 (120m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 2 분 (120m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 2 분 거리 (130m)",10 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 솔로, 크리스마스 저녁 식사, 저녁 식사, 쌀, 금연",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32696575.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
や台ずし 神田駅西口町,Yadai Sushi Kanda Station West Exit Town,https://retty.me/area/PRE13/ARE11/SUB1101/100001147542/,03-6206-8813,스시 이자카야,"[월요일부터 금요일과 토요일]
 16:00-27:30
[일요일과 휴일]
 16:00-23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔",Amex,"1f Imonuchi Kanda 3-Chome Building, 3-12-5 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (61m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (430m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 거리 (500m)",38 석,예,,없음,https://yossix-shop.com/detail/2044,저녁 식사는 밤에 늦게 영업하는 지불금 지불이 가능합니다,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/18131198.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
神田 江戸ッ子寿司 中店,Kanda Edoko Sushi Naka-Ten,https://retty.me/area/PRE13/ARE11/SUB1101/100000003908/,03-3258-6139,"초밥, 쌀 그릇, 사시미, 해산물 및 해산물","[월요일부터 금요일까지]
 11:00-22:50
[금]
 11:00-21:20",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",Amex,"사쿠라이 빌딩 1f, 3-19-8 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (46m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (440m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 역에서 도보 6 분 (440m)",27 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://edokko.co.jp/b/mise/naka/nakaten.htm,"점심, 저녁, 저녁 식사, 금연, 급여 지불 지불 가능",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/16229208.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
玉寿司,타마 초밥,https://retty.me/area/PRE13/ARE11/SUB1101/100000076601/,03-3256-3220,초밥,,,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",,"2-16-8 Kanda Tsukacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 3 분 거리 (220m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 3 분 거리 (220m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 3 분 거리 (220m)",,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,맛있고 저렴한 식당 흡연이 허용됩니다,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3627996.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
神田よしかめ,칸다 요시키 메,https://retty.me/area/PRE13/ARE11/SUB1101/100000076627/,03-3251-4372,초밥 사시미,"[월요일부터 금요일까지, 휴일 전]
 17:00-25:00
[태양/토요일]
 17:30-22:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔",Amex,"2-13-22 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (11m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (420m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 7 분 거리 (500m)",45 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"저녁 식사, 맛있는 레스토랑, 저렴한 레스토랑, 금연 지불이 허용됩니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/5412998.jpg,PayPay,없음,,,,,,,,,,,https://www.ac,,,,,,,,,,,,칸다
GolfBar59,Golfbar59,https://retty.me/area/PRE13/ARE11/SUB1101/100001322084/,03-5207-5628,술집,"[월요일부터 금요일까지, 휴일 전]
 14:00-29:00
[토양]
 14:00-27:00
[일요일과 휴일]
 14:00-24:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
우리도 늦은 밤에 문을 엽니 다! 우리는 또한 휴가 계획을 제공하므로 자유롭게 전화하십시오.",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","4f Uchikanda 3-14 건물, 3-14-7 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (81m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (460m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 6 분 (460m)","40 석
(3 골프 시뮬레이터 사용 가능)","예
(막대 만 사용 가능)","예
(금연 좌석 없음)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",https://golfbar59.owst.jp/,"전산 된 날짜 모든 날짜 전일 링크 연회/음료 파티 개인 방 선량 파티 환영 파티 파티 파티 파티 다트 이용 가능한 개인 개막식 첫 번째 기차 저녁 식사가 허용되는 개인 실
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001322084/archive/1319718-5de65efa15b5f.jpg,PayPay,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
최대 40 명을 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사 식사) : 60 명","5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.",,"맥주, 쇼카, 와인, 위스키, 칵테일",사용 가능한 예약,"개방성이 있습니다
조용한 가게
활발한 상점
차분한 분위기
숨는 곳",,불가능합니다,,"TV/모니터, 다트, 놀이",https://www.facebook.com/111961756984565/,"ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 2,999 엔 미만의 모든 링크 코스, All-You-Can-Drink 코스, 3,000-3,999 엔, All-You-Can-Drink 코스를 이용할 수 있습니다. 2 시간 동안 당신이 다루는 것",,예,,,https://www.instagram.com/golfbar.fiftynine,,,,,,칸다
魚匠屋 神田本店,Uoshoya Kanda 메인 상점,https://retty.me/area/PRE13/ARE11/SUB1101/100001630947/,03-5577-5749,이자카야,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
저녁 식사 17:00-23:00 L.O. 22:00
점심 L.O. 13:30
저녁 식사 L.O. 음식 22:00 음료 22:30",매주 일요일마다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB","뉴 칸다 빌딩 B1F, 3-3 Kanda Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (98m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 5 분 (380m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (380m)",43 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,"급여 지불 지불, 싱글, 연말 파티, 새해 파티, 점심, 개인 실, 술 마시기, 와인 마시기, 어린이와 함께 즐기기, 개인 실, 쌀, 비 흡연, 개인 실, 점심, 세련된 개인 객실.
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001630947/archive/2998906-6402feba62059.jpeg,PayPay,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",,"우리는 야채 요리, 생선 요리, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,차분한 분위기,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",예,,,https://www.facebook.com/gyoshouyakanda,,불가능합니다,예,,,,없음,,"*매장은 금요일과 공휴일 전날에 문을 엽니 다.
임대에 대한 정보는 전화로 문의하십시오. 추정 임대료는 20 만 엔입니다.",예 (무료),,칸다
Big-Pig 神田カープ本店,Big-Pig Kanda 잉어 메인 상점,https://retty.me/area/PRE13/ARE11/SUB1101/100000026746/,03-3255-6262,Okonomiyaki Izakaya 현지 요리,"[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:15
[태양, 토요일, 휴일]
점심 13:00-16:00
저녁 식사 16:00-21:00 L.O. 20:15
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
https://bigpig-kanda.com/","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
프로 야구는 일요일과 공휴일에 문을 열 수 있으므로 확인하려면 저희에게 전화하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","후지 엘리베이터 빌딩 B1F, 3-4-6 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 거리 (200m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 7 분 (500m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 7 분 거리 (540m)",120 석,예,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","[공식적인]
https://bigpigkandacarphonten.foodre.jp/
https://bigpig-kanda.com/",올스 잉크 링크 식사 연말 파티 새해 파티 연회 및 음주 파티 급여 지불 지불 이용할 수있는 작별 파티를 환영 파티 개인 객실 저녁 식사,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000026746/archive/2686295-6263cc08cac4a.jpg,PayPay,"없음
근처 (할인 없음) 사용 가능",예,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.",우리는 생산 영역에 대해 특히 그렇습니다. 매우 매운 메뉴가 있고 매장 내에서 준비된,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"개방성이 있습니다
천장이 높습니다
활발한 상점","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",예,,"TV 및 모니터, 오디오 장비",https://www.facebook.com/bigpigkanda/,"3,000 엔에서 3,999 엔까지의 싱글 링크와 4,000 엔에서 4,999 엔까지의 코스가 포함 된 코스가 있습니다.",불가능합니다,예,"영어
언어 지원 메뉴가 있습니다",,,,,,,,칸다
中むら,나카무라,https://retty.me/area/PRE13/ARE11/SUB1101/100000076822/,03-3255-1722,야키토리 이자카야,"[월요일부터 금요일까지]
 17:30-23:30",매주 토요일마다 일요일 휴가,"점심:-
저녁 식사 : ~ 4,000 엔",불가능합니다,"Uchikanda Kyodo Building B1F, 2-11-6 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 5 분 도보 (330m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (410m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 6 분 (410m)",27 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,개인 룸 저녁 식사 쌀 흡연이 허용됩니다,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36290447.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
