식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,영상,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자
ワイン食堂 がっと 渋谷円山町店,와인 레스토랑 Gatto Shibuya Maruyamacho 지점,https://retty.me/area/PRE13/ARE8/SUB804/100000733147/,03-3464-5568,비스트로 프랑스 와인 바,"[월요일부터 금요일까지, 휴일 전, 휴일 전]
점심 11:30-14:30 L.O. 14:30
[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 18 : 00-24 : 00 L.O. 22:30","1 월 1 일, 1 월 2 일, 1 월 3 일, 1 월 4 일, 1 월 5 일, 12 월 31 일,
자세한 내용은 공식 웹 사이트를 확인하십시오.
긴 휴가의 경우 마지막 날은 문을 닫습니다.
*우리는 휴일의 마지막 날에 문을 닫습니다.
*우리는 12 월 31 일부터 1 월 5 일까지 문을 닫습니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"17-2-1F 마루야마 마코, 시부야 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 2 분 (83m)
JR Yamanote Line / Shibuya Station 10 분 도보 (790m)
Keio Inokashira Line / Komaba Higashidaimae Station에서 도보 15 분 (1.1km)","예
근처 (할인 없음) 사용 가능",20 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
최대 20 명까지 임대 할 수 있습니다
최대 20 명이 예약 할 수 있습니다 (스탠드 스탠딩 식사)",https://gatto-wine.com/,"와인과 재료를 가져올 수 있습니다
1,800 엔 (세금 제외)에 사용할 수 있습니다.
예약 할 때 저희에게 연락하십시오.","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 2 시간 2 시간 동안 2 시간 5 시간 만에 링크","우리는 야채 요리, 고기 요리 및 요리사가 유명한 식당에서 훈련을 받았으며 매장 내에서 준비했습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"저녁 식사, 소녀의 밤, 날짜, 생일, 점심 날짜, 점심 소녀의 밤, 급여 지불 지불, 급여 지불 포인트, 온라인 예약 가능, 연말 파티, 크리스마스 저녁 식사, 새해 파티, 저녁 식사, 캐주얼, 성인, 성인 날짜
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",없음,예,,,예,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000733147/archive/2380202-60B0B0B7F467BC2.JPG,,,,,,,,,
海鮮土鍋居酒屋 うにtoいくら 渋谷道玄坂店,해산물 점토 냄비 이자카야 바다에서 Iromo Shibuya dogenzaka 지점,https://retty.me/area/PRE13/ARE8/SUB806/100001761411/,050-5462-7186,Izakaya Shabu-Shabu Seafood와 Seafood Sashimi,"[월요일부터 금요일, 토요일, 휴일 전]
저녁 식사 17:00-23:00",매주 일요일과 공휴일,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"7-5 Maruyamacho, Shibuya-Ku, 도쿄, Wharf Shibuya Dogenzaka 6f
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 2 분 (150m)
JR Yamanote Line / Shibuya Station에서 도보로 5 분 거리 (380m)",없음,"32 석
(최대 16 명까지 이용할 수있는 테이블 좌석이 있습니다.)",예,"연기 분리
(흡연은 테라스에서 허용됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 32 명","[공식적인]
https://uni-to-ikura.foodre.jp/
https://uni-to-ikura.foodre.jp/","운송 전자 자금, ID, Quicpay 및 QR 코드 지불이 지원됩니다.","5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",우리는 생선 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"저녁 식사 및 쌀, 독신 인민 급여 지불 지불 가능 작별 인사 파티 웰컴 파티 get paypay points 온라인 예약 가능
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다
테라스가 있습니다","놀라운 응답 가능
축하 가능성",없음,예,불가능합니다,예 (무료),예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001761411/archive/3473140-6751d55eac3ef.jpg,03-5422-3913,,,,,,Quicpay,,
宇田川 紫扇,우다가와 퍼플 팬,https://retty.me/area/PRE13/ARE8/SUB802/100001215907/,050-5262-9772,이자카야 일본 요리 해산물과 해산물 요리,"[하루 종일]
 17:00-23:30 L.O. 23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Kokusai Building의 5 층, 13-16 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (210m)
Keio Inokashira Line / Shinsen 역에서 도보로 9 분 (690m)",예,"55 석
(10 명을위한 개인 실 x 1 개인 실 x 1 카운터 x 9 테라스 x 12)",예,"흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",,,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 3,000-4,999 엔, 2 시간 동안 all-you-can-drink, 3 시간 이상 동안 온전한 링크",우리는 고기 요리와 생선 요리에 대해 특히 알고 있습니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"성인 은신처, 저녁 식사, 전 만해도 마시기, 크리스마스 저녁 식사, 연말 파티, 개인 실, 개인 실 엔터테인먼트, 엔터테인먼트, 환영 파티, 새해 파티, 테라스, 작별 파티, 비 흡연, 개인 객실 데이트와 함께 세련된, 스타일리쉬
다른 사용 장면을 참조하십시오","개방성이 있습니다
조용한 가게
활발한 상점
차분한 분위기
테라스가 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",,,,,예,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001215907/archive/954071-5cf7196780ee3.png,03-6416-4887,,,,,,,스페인 경사,아사히
渋谷 HIGHBALL BAR,시부야 하이볼 바,https://retty.me/area/PRE13/ARE8/SUB802/100001386291/,050-5304-9931,바 크래프트 맥주 바,"[월요일부터 금요일까지]
 16:00-29:00 L.O. 28:00
[토양]
 15:00-29:00 L.O. 28:00
[일요일과 휴일]
 15:00-23:00 L.O. 22:00
*마지막 음료 주문은 마감 시간 30 분 전입니다.
*업무 시간 이전에도 연회를 이용할 수 있습니다!
*공식 웹 사이트에는 이해하기 쉽고 큰 거래가 포장되어 있습니다! 아래의 ""홈페이지""를 방문하십시오",하루 종일 개점,"점심:-
저녁 식사 : ~ 2,000 엔",예,,"23-10 Udagawacho, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 1 분 도보 (32m)",,69 석,,"연기 분리
흡연실 사용 가능
(좌석 외에도 상점 안에는 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://highballbar-shibuya.com/,dpay/aupay/line pay/rakuten pay/merpay/alipay/wechat pay/paypay/id,,,,,,"고기 쌀 후-파티 연회/음주 파티 저녁 식사 날짜 연말 파티 쿠폰 이용 가능 PayPay Point 온라인 예약 가능 전부-마시 링크 작별 파티 환영 파티 캐주얼
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001386291/archive/1361947-5e05bdbad086e.png,050-2018-8953,,,,,,,,
筋肉食堂 RAYARD MIYASHITA PARK,근육 레스토랑 Rayard Miyashita Park,https://retty.me/area/PRE13/ARE8/SUB805/100001549194/,050-5462-7646,"햄버거, 스테이크, 고기 바, 식당 바, 이자카야, 테이크 아웃","[월요일부터 금요일까지]
점심 11:00-15:00 L.O. 14:30
[태양, 토요일, 휴일]
 11:00-23:00 L.O. 22:00
마지막 순서
음식 LO22 : 00 / 음료 LO22 : 30
그랜드 메뉴는 주말과 휴일에 하루 종일입니다.","불규칙한 휴일
자세한 내용은 공식 웹 사이트를 확인하십시오.
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"6-20-10 Jingumae, Shibuya-Ku, 도쿄, 3 층, Miyashita Park South
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (170m)",예,"48 석
(40 개의 테이블 좌석, 8 개의 카운터 시트)","예
(8 개의 카운터 좌석)","불가능합니다
(가게 밖으로 나간 후 시설 내부에 흡연 부스가 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 48 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 40 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명","https://kinnikushokudo.jp/
https://mitsui-shopping-park.com/urban/miyashita/store/1568850.html","Jr Shibuya Station의 Hachiko 출구에서 도보 3 분
Rayard Miyashita Park의 3 층
(시설 내 반쯤 지점에 있습니다.)
비 베이 요코 코 입구 근처의 엘리베이터
또는 에스컬레이터를 사용하여 쉽게 할 수 있습니다.
모른다면 자유롭게 전화하십시오!","3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을위한 all-you-can-drink를 포함하는 코스와 5,000 엔 이상에 대한 싱글 링크를 포함하는 코스가 포함 된 코스가 있으며, 2 시간 반에 걸쳐 두 번의 링크를 포함하는 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리 및 현지 재료에 대해 특히 알고 있으며, 알레르기가있는 고객을 수용하고 매장 내에서 준비 할 수 있습니다.","맥주, 쇼치, 와인, 위스키",사용 가능한 예약,"점심 영어를 사용하는 저녁 식사, 저녁 식사, 연말 파티, 새해 파티, 개인 실, 작별 파티, 환영 파티, 점심 음주, Paypay Points 온라인 예약 가능
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
차분한 분위기
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,"예
아이들은 환영하고, 미취학 아동은 환영하고, 초등학생들은 환영하며, 알레르기 식품을 환영합니다.",불가능합니다,예 (무료),예,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001549194/archive/2918907-637734b924345.jpg,03-6712-5229,,https://www.facebook.com/kinnikushokudo/,https://x.com/kinnikushokudo,,https://www.instagram.com/kinikushokudo/,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, Au Wallet",,
陸奥の里 渋谷店,Mutsu No Sato Shibuya 상점,https://retty.me/area/PRE13/ARE8/SUB802/100001691720/,050-5462-6053,Izakaya Shabu-Shabu Yakitori,"[하루 종일]
 11:00-24:00 L.O. 23:30
전화 문의 (11 : 00-23 : 00)
*우리는 전화를 순서대로 응답 할 것이므로 전화를 걸지 않고 기다리십시오. (더 이상 23:00부터 연결할 수 없습니다)
*수의 사람들의 변경에 관한 취소 정책에 대해 통지 할 때는 위 시간 내에 확실히 알려주십시오.",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"세인트 루이스 빌딩 5F, 26-3 우다 가와치, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 1 분 도보 (32m)","없음
근처 (할인 없음) 사용 가능",150 석,없음,"연기 분리
(흡연에 능숙하지 않은 고객의 경우, 우리는 완전히 개인 실에서 흡연을 분리 할 수있을 것입니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명","[공식적인]
https://ouhonjo-shibuya.foodre.jp/","*신청 수수료가 이용 가능 (코스 제외)
*우리는 또한 점심과 심야 연회를 받아들입니다. 저희에게 연락하십시오.
*고객 만족도를 향상시키기 위해 비밀 조사에서 추첨에 협력 할 것을 요청합니다! 계정은 지정된 고객에게 무료입니다.","3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔 All-You-Can-Drink 코스를위한 All-You-Can-Drink가 포함되어 있습니다.","우리는 고기 요리, 매장 내 생산 공간 및 매장 내 준비에 대해 특히","맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"점심, 점심, 개인 객실, 저녁 식사, 저녁 식사, 엔터테인먼트, 급여 지불 지불 허가, 전부-마시는, 모든 당신이 먹고, 모든 당신이 싱글, 웰컴 파티, PayPay 포인트 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
활발한 상점
차분한 분위기","놀라운 응답 가능
축하 가능성",없음,"예
유아, 미취학 아동, 초등학생 어린이를 환영합니다",불가능합니다,,예,언어 지원 메뉴가 있습니다,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001691720/archive/3357949-66894e6755405.jpg,03-6635-1880,,,,"프로젝터, TV 및 모니터 사용 가능",,,,
本格タイ料理 バル プアン 渋谷店,정통 태국 요리 바루 푸안 시부야 지점,https://retty.me/area/PRE13/ARE8/SUB806/100001464160/,03-6455-2096,태국 음식 테이크 아웃,"[하루 종일]
점심 11:30-14:30
저녁 식사 17:00-23:15 L.O. 22:30
점심 : 음식 L.O. 14:30 음료 L.O. 14:30
저녁 식사 : 음식 L.O. 22:30 음료 L.O. 22:45",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Zarriga Building의 2F, 1-5-9 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (53m)",예,40 석,예,"불가능합니다
(외부 통로에서는 흡연이 금지되어 있습니다 (재 계층을 원하시면 직원에게 연락하십시오))))))))))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://puan-shibuya.owst.jp/,,,,,,,"쿠폰 이용 가능한 페이 페이 지불 이용 가능한 페이 페이 포인트 온라인 예약 이용 가능한 연말 파티 새해 파티 점심 식사 점심 식사 저녁 식사 저녁 식사 작별 파티 캐주얼
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001464160/archive/2717922-62899387b1afb.png,,,,,,https://www.instagram.com/puanshibuya/,,,
RISTORO神南,Ristoro Jinnan,https://retty.me/area/PRE13/ARE8/SUB802/100001714198/,050-5462-3938,비스트로 프랑스 요리,"[하루 종일]
점심 12:00-15:00 L.O. 14:30
저녁 식사 18:00-23:00 L.O. 22:30
유휴 시간 : 15 : 00-18 : 00 (음료 만 해당)","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : ~ 2,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Hare Jinnan Annex, 1-5-19 Jinnan, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya 역에서 도보로 8 분 (600m)
도쿄 메트로 치 요다 라인 / 9 분 동안 메이 지 징 투마 역에서 도보로 도보 (700m)
JR Yamanote Line / Harajuku Station 10 분 도보 (800m)",예,40 석,"예
(식사 전후에 첨부 된 바 카운터에서 마실 수 있습니다.)","(흡연 구역은 테라스에서 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://ristoro-jinnan.foodre.jp/
https://www.udagawacafe.com/ristoro/",,"8,000 엔 이상의 코스",,,"맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 저녁 식사, 고기, 성인 숨겨울, 엔터테인먼트, 급여 지불 지불 가능, 새해 파티, 환영 파티, 점심 음주, 연말 파티, 성인 날짜, 세련된, 급여표 포인트, 온라인 예약 가능
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳
테라스가 있습니다
정원이 있습니다","놀라운 응답 가능
축하 가능성",없음,"불가능합니다
알레르기 음식을 사용할 수 있습니다","불가능합니다
상점 밖에서 사용할 수 있습니다",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001714198/archive/3389748-66d194a69353535.jpg,03-5456-0028,,,,,https://www.instagram.com/ristoro_jinnan/,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, AU 지갑",,
ツク夜ノ白兎,쓰쿠 나이트 흰 토끼,https://retty.me/area/PRE13/ARE8/SUB806/100001683666/,050-5462-1650,이자카야 해산물과 해산물 야키토리,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-28:30 L.O. 28:00
[태양, 토요일, 휴일]
저녁 식사 13:00-28:30 L.O. 28:00
마감 시간은 하루에 따라 다를 수 있습니다",하루 종일 개점,"저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1f Nagashima Daiichi 건물, 1-22-12 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen 역에서 도보 3 분 (240m)
JR Yamanote Line / Shibuya Station에서 도보로 5 분 (340m)",예,"70 석
((실내] 20 개의 카운터 좌석, 22 개의 테이블 좌석, 20 개의 자리가있는 좌석 [외부] 8 개의 테라스 좌석)))",예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://tsukuyonosirousagi.foodre.jp/","카드가 허용됩니다
(비자, 마스터, JCB, AMEX)

전자 돈을 사용할 수 있습니다
(운송 전자 돈 (Suica 등), ID)

QR 코드 결제는 불가능합니다",,,생선 요리 전문,"맥주, 와인, 칵테일",,"흡연 허용 한 사람 OK Rice Dinner Paypay Points 온라인 예약 이용 가능 연말 파티 새해 파티 점심 점심 캐주얼 세련된 성인 데이트 성인 파티 성인 연말 파티
다른 사용 장면을 참조하십시오",,,,,"예
상점 밖에서 사용할 수 있습니다",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001683666/archive/2925701-63855df00cae1.jpg,03-5990-4950,,,,,,,,
塩・酒・肴 中井商店,"소금, 알코올, 간식 Nakai Shoten",https://retty.me/area/PRE13/ARE8/SUB805/100001749920/,050-5462-7034,일본 요리 이자카야,"[월요일부터 금요일까지]
점심 11:00-15:00
저녁 15:00-22:00
[태양, 토요일, 휴일]
 11:00-22:00",,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Shibuya Axch 2F, 2-17-1 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (180m)",예,46 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심 만세 연회/음료 작별 파티 Rice Dinner Entertainment 환영 파티 급여 지불 지불 이용 가능 Paypay Point 온라인 예약 이용 가능한 점심 마시는 캐주얼 개인 객실
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001749920/archive/344373-672c294f54d3a.jpg,03-6427-4558,,,,,,,,
中華麺店 喜楽,중국 국수 가게 키라쿠,https://retty.me/area/PRE13/ARE8/SUB806/100000256935/,03-3461-2032,라면 중국 요리 gyoza 쌀 그릇 tonkotsu라면 소금라면,"[Sun, 월요일, 화요일, 목요일, 금요일, 토요일 및 공휴일]
 11:30-20:30",매주 수요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"2-17-6 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (180m)
Keio Inokashira Line / Shinsen 역에서 도보로 5 분 (400m)",,"14 석
((1 층, 7 개의 카운터 좌석, 2 층, 20 개의 테이블 좌석)))))",예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 솔로, 음료수, 세련된, 저녁, 맛있고, 싸고, 저렴하고, 금연, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/36934827.jpg,,,,,,,,,
牛かつ もと村 渋谷店,Ushikatsu Motomura Shibuya 상점,https://retty.me/area/PRE13/ARE8/SUB805/100000834001/,050-1720-9137,쇠고기 요리 서부 음식 사시미,"[하루 종일]
 11:00-22:00 L.O. 22:00","하루 종일 개점
・ 새해 공휴일 (확인하십시오)","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"3-18-10 시부야, 시부야-쿠, 도쿄, 오노 빌딩 2 B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (120m)",,"10 석
(모든 카운터 좌석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해",,https://www.gyukatsu-motomura.com/shop/shibuya,,,,,,,"점심, 솔로, 세련된, 저녁 식사, 쌀, 고기, 금연, 세련된, 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/11443538.jpg,,,https://www.facebook.com/gyukatsu.motomura/,https://x.com/gyukatsu_moto,,,,,
4番サード魚真,"No. 4, 세 번째 uoma",https://retty.me/area/PRE13/ARE8/SUB804/100000089589/,03-3464-4477,해산물과 해산물 요리 이자카야 사시미 초밥,"[월요일부터 목요일과 토요일]
 17:00-24:00 L.O. 23:30
[금]
 17:00-24:30 L.O. 23:30
[일요일과 휴일]
 16:30-23:30 L.O. 23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"Shoto CS Court 1f, 1-29-5 Shoto, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen 역에서 도보로 5 분 (330m)
JR Yamanote Line / Shibuya Station에서 도보로 6 분 (410m)",,65 석,예,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",,,,,,,,,"날짜, 소녀의 밤, 그룹 데이트, 싱글, 성인 은신처, 체리 꽃보기, 체리 꽃보기가있는 레스토랑, 크리스마스 저녁 식사, 술, 와인, 세련된, 저녁 식사, 저녁, 비 흡연, 생일
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34710802.jpg,,,,,,https://www.instagram.com/yoban.third.uoshin/,,,
