식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,페이스 북,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,사용 장면,대기,서비스,Wi-Fi 사용,전화 번호,영상,IC 카드 지불,사적인,발언,예약,아이들이 들어 오세요,전원 공급 장치 사용,인스 타 그램,X (트위터),외국어 지원,드레스 코드,애완 동물,추가 장비
リストランテ カノビアーノ,Ristorante Canobiano,https://retty.me/area/PRE13/ARE13/SUB704/100001336038/,03-5434-3854,파스타 과자 이탈리아 요리 해산물 카페,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:30
[하루 종일]
저녁 식사 17:30-21:30 L.O. 21:30
[태양, 토요일, 휴일]
점심 11 : 30-15 : 00 L.O. 15:00","하루 종일 개점
그 날에 따라 예약 될 수 있습니다","점심 : ~ 5,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
식당
JCB",,"1-8-1 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 3 분 (220m)
Tokyu Meguro Line / Fudomae 역에서 도보로 9 분 (690m)
JR Yamanote Line / Gotanda Station 15 분 도보 (1.1km)","예
특별 P 사용 가능","66 석
(홀 66 석 / 8 개의 테라스 좌석 / 개인 실 1 개 (최대 8 명))",예,"불가능합니다
(호텔 내부에 인접 해)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",https://www.hotelgajoen-tokyo.com/restaurant/shop/canoviano,,"3,000 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","5,000 엔 이상을 사용할 수 있습니다","우리는 야채 요리, 고기 요리, 생선 요리, 현지에서 생산 된 재료, 알레르기, 채식 메뉴, 어린이 메뉴, 요리사가 해외에서 훈련, 유명한 요리사가 요리하고 매장 준비를 수용 할 수 있습니다.","맥주, 와인, 위스키, 칵테일","점심, 연회 및 음주 파티, 개인 객실, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 주차장, 어린이와 함께 즐기기, 스타일리쉬, 영어를 사용하여 영어를 구사할 수 있습니다.
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
차분한 분위기
단독 주택 레스토랑
테라스가 있습니다
호텔에 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
휴대품 룸이 있습니다
소믈리에가 있습니다
복장 규정 포함",예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001336038/archive/545603-5baaf81e262dc.jpg,,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
최대 70 명을 임대 할 수 있습니다 (좌석)
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 40 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)",Amazon Pay / We Chat Pay / D Pay / Alipay / Pring / Nets / Takeme Pay / Square / Payid / Atone,사용 가능한 예약,"예
유아와 어린이, 유치원 어린이, 초등학생, 기저귀를 이용할 수 있고, 이유식을 가져올 수 있고, 이유식은 아기 음식, 어린이 메뉴, 알레르기 음식을 수용 할 수 있습니다",예 (무료),,,"영어 이탈리아어
언어 지원 메뉴가 있습니다",평상복,불가능합니다,프로젝터 및 사운드 장비
ふく割烹 花家,후쿠 카포 한나 야,https://retty.me/area/PRE13/ARE13/SUB704/100000105673/,03-3492-8780,Fugu 요리 일본 요리 카포/작은 레스토랑,"[하루 종일]
저녁 식사 17:00-22:00 L.O. 22:00","불규칙한 휴일
개막 시간 : 불규칙
약 11 시경
약 17:00","점심 : 비즈니스 시간
저녁 식사 : ~ 20,000 엔","Amex
식당
JCB",,"1-16-7 메 구로, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 9 분 (710m)
JR Yamanote Line / Ebisu Station 14 분 도보 (1.1km)
Tokyu Meguro Line / Fudomae 역에서 도보 16 분 (1.3km)",없음,"28 석
(타치 바 20)","예
(카운터 8)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,"8,000 엔 이상의 코스",,,,개인 룸 저녁 식사 라이스 비 흡연,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/2382645.jpg,,,,,,,,,,,,
庄や 目黒408店,Shoya Meguro 408 매장,https://retty.me/area/PRE13/ARE13/SUB704/100000106530/,03-3779-4491,이자카야,"[월]
 17:00-23:00
[Sun, 화요일, 금요일, 토요일]
 17:00-4:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",예,,"Shimomeguro 1-1-2 Shimomeguro, Meguro-Ku, 도쿄 2 위 및 3 층
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (150m)
Tokyu Meguro Line / Fudomae Station에서 도보로 11 분 (880m)
JR Yamanote Line / Gotanda Station 16 분 도보 (1.2km)",,206 석,,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,개인 실은 첫 번째 열차 저녁 식사 흡연이 늦은 밤 허용 될 때까지 열립니다.,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/23092951.jpg,,,,,,,,,,,,
目黒の和食 さとう,메 구로의 일본 요리 사토,https://retty.me/area/PRE13/ARE13/SUB704/100001341754/,03-6450-2555,일본 요리 일본 요리 카포/작은 레스토랑,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
[월요일부터 금요일과 토요일]
저녁 식사 17 : 30-23 : 00 L.O. 21:30","매주 일요일
불규칙한 휴일","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",Amex,,"메이플 탑 빌딩, 2-13-26 Kamiosaki, Shinagawa-ku, 도쿄, B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 4 분 (320m)
도쿄 메트로 남보쿠 라인 / 시로 카네이이 스테이션 10 분 도보 (780m)
JR Yamanote Line / Gotanda Station 13 분 도보 (1.0km)",,25 석,"예
(카운터에서 5 석)","불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://www.meguro-whashoku-sato.com/restaurant,,,"전 만점 가격 : 2,000 엔 -2,999 엔",,"맥주, 사케, 쇼치, 와인","점심, 연회 및 음주 파티, 개인 객실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 술, 와인, 세련된, 저녁, 비영리
다른 사용 장면을 참조하십시오",조용한 가게,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001341754/archive/234647-594F72756762A.png,,,"신용 카드 용 저녁 식사 (Visa, Master, JCB, Amex, Diners)",사용 가능한 예약,,,,,,,,
おいどん不動前店,Oidon Fudomae 매장,https://retty.me/area/PRE13/ARE13/SUB704/100000104746/,03-3493-1288,Izakaya 현지 요리 Kyushu 요리,"[월요일 ~ 목요일]
저녁 식사 17:00-23:30 L.O. 22:30
[금]
저녁 식사 17:00-4:00 L.O. 3:00
[태양, 토요일, 휴일]
저녁 식사 16 : 00-23 : 30 L.O. 22:30","하루 종일 개점
l.O. 음료
몬-목도 23:00
금 3:30
토요일, 일요일 및 휴일 23:00","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"4-30-9 Nishi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tokyu Meguro Line / Fudomae 역에서 도보로 1 분 (32m)
JR Yamanote Line / Meguro 역에서 도보로 11 분 (820m)
JR Yamanote Line / Gotanda Station 14 분 도보 (1.1km)",,50 석,예,,예,,,,,,,개인 객실은 첫 번째 열차 저녁 식사 저녁 식사 저녁 식사 개인 객실이 밤 늦게 영업 할 때까지 영업합니다.,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36205745.jpg,,,,,,,,,,,,
F.PARADE Life,F.Parade Life,https://retty.me/area/PRE13/ARE13/SUB704/100001239505/,070-1230-9396,굴 바이자카야,"[월]
 17:00-23:30 L.O. 22:30
[tue-fri]
 17:00-23:00 L.O. 22:30
[tue-fri-sat]
 23:00-4:00 L.O. 2:30
[토양]
 15:00-23:00 L.O. 22:00
[낮]
 15:00-23:30 L.O. 22:30
[축하해요]
 15:00-23:00 L.O. 22:30","불규칙한 휴일
새해 휴일 (확인하십시오)
다른 불규칙한 휴일","점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
식당
JCB",PayPay,"Torek Building 4F, 1-4-8 Meguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (150m)
Tokyu Meguro Line / Fudomae Station에서 도보로 12 분 (940m)
도쿄 메트로 Namboku 라인 / 시로 카네이이 스테이션 17 분 도보 (1.3km)",없음,"38 석
((2 카운터 x 4 좌석, 4 개의 테이블 x 4 좌석, 2 명 x 1 좌석, 12 개의 개인 실)))))","예
(창 근처에서 연속으로 2 명이 x 3 좌석)","연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(재산은 상점 외부의 계단에 설치되어 있습니다. 모든 개인 실은 전자 담배와 가열 된 담배로 제한됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",http://www.fparade-life.com/.,https://www.facebook.com/fparadelife/,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 3,000-4,999 엔, 3,000-3,999 엔, 전산 된 링크 코스에는 4,000-4,999 엔, 2 시간 동안 온 All-You-Can-Drink에 대한 all-you-can-drink가 포함됩니다.","우리는 고기 요리, 생선 요리, 식품 생산 공간 및 유기농 야채에 특히 중요합니다.","맥주, 쇼치, 와인, 위스키, 칵테일","all-you-can eat 여자 파티 모든 당신이 다진 링크 연회 및 음주 파티 개인 객실 솔로 작별 파티에 이용할 수있는 개인 객실 파티 연말 파티 가라오케 시설과 와인을 마시는 첫 번째 기차 저녁 식사 저녁 식사까지 유기농 요리를 열 수 있습니다.
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001239505/archive/367432-5A69BCC1177FD.png,Quicpay,예,"400 엔의 요금
개인 실 사용 수수료 : 시간당 3,000 엔",사용 가능한 예약,,,https://www.instagram.com/fparadelife.meguro/,,,없음,,"가라오케 사용 가능, TV 및 모니터 사용 가능"
やきにく屋はやし Produce 焼肉ジャンボ,Yakinikuya Hayashi는 Yakiniku 점보를 생산합니다,https://retty.me/area/PRE13/ARE13/SUB704/100001723465/,03-6303-9129,"야키니쿠, 호르몬, 쇠고기 요리, 쇠고기 혀","[하루 종일]
 17:00-23:30 L.O. 22:30",하루 종일 개점,"점심:-
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2-17-22 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 8 분 (580m)
도쿄 메 구로 라인 / 푸 도마 역에서 도보로 9 분 (670m)
JR Yamanote Line / Gotanda Station 18 분 도보 (1.4km)",없음,"28 석
(10 개의 개인 실, 10 개의 테이블, 4 개의 상자 x 2)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명",https://lapin-blanc.biz/yakinikuya-hayashi/,,,,우리는 고기 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일","아이들과 함께 개인 룸 저녁 식사 즐거운 저녁 식사, 비영리, 개인 실",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33709257.jpg,,,,사용 가능한 예약,예,,https://www.instagram.com/yakinikuya.hayashi/,,,,,
目黒のひもの屋,메 구로의 스틱 가게,https://retty.me/area/PRE13/ARE13/SUB704/100000002524/,03-3442-8088,이자카야 해산물과 해산물 요리 Robatayaki,"[하루 종일]
 16:00-26:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,,"크리스탈 타워 B1F, 2-14-5 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (120m)
도쿄 메트로 Namboku 라인 / 시로 카네이 스테이션에서 도보 13 분 (990m)
도쿄 메 구로 라인 / 푸 도마 스테이션 13 분 도보 (1.0km)",,100 석,,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",https://e-808.com/himonoya/index.html,,,,,,개인 룸 저녁 식사 흡연은 늦은 밤에 허용되었습니다,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/1871023.jpg,,,,,,,,,,,,
林屋茶園 目黒店,Hayashiya Tea Garden Meguro 지점,https://retty.me/area/PRE13/ARE13/SUB704/100001394159/,03-5447-5310,카페 달콤한 상점 테이크 아웃,"[월요일부터 금요일까지]
 10:00-21:00 L.O. 20:30
[하루 종일]
점심 11:00-14:30
저녁 식사 17:00-21:00
[태양, 토요일, 휴일]
 9:00-21:00 L.O. 20:30
*11:00부터 아침 식사가 있습니다 (프렌치 토스트, Warabimochi 및 Kudzu Neri 세트, 오늘의 케이크 세트 및 차만 제공).
*식사는 11:00 ~ 14:30 및 17:00에서 21:00까지 구입할 수 있습니다.
*테이크아웃
주중 : 10 : 00-20 : 00 (L.O 19:30)
토요일, 일요일, 휴일, 9 : 00-20 : 00 (L.O 19:30)
일요일에 열립니다","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1F Meguro Central Square, 3-1-2 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (96m)
Tokyu Meguro Line / Fudomae Station에서 도보로 12 분 (920m)
JR Yamanote Line / Gotanda Station 13 분 도보 (1.0km)","예
특별 P 사용 가능",40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://kyo-hayashiya.jp/shoplist/meguro/,https://www.facebook.com/hayashiya.chaen/,,,"우리는 야채 요리, 생선 요리 및 채식 메뉴에 대해 특별합니다.",,PayPay 지불 가능 Paypay Points 온라인 예약 가능 점심 식사 세련,"차분한 분위기
상업용 시설에 위치합니다",테이크 아웃 가능성,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001394159/archive/2868019-63363649cf660.jpg,"Suica, Nanaco, Rakuten Edy, Waon, Quicpay",불가능합니다,"PayPay, DPAY, AU 급여",사용 가능한 예약,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",,https://www.instagram.com/hayashiya.meguro/,,"영어
언어를 말할 수있는 직원이 있습니다",없음,,
蕎麦懐石 義 恵比寿,소바 카이세키 요시 에비 수,https://retty.me/area/PRE13/ARE13/SUB704/100001425798/,050-5304-3179,소바 (소바) 일본 음식,"[하루 종일]
점심 12:00-14:00
저녁 18 : 00-22 : 00","불규칙한 휴일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심 : ~ 5,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Peerless B1F, 2-3-20 Mita, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 8 분 (590m)
JR Yamanote Line / Meguro Station 13 분 도보 (1.0km)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 14 분 (1.1km)",예,19 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://gi-ebisu.owst.jp/,,"4,000 엔 ~ 4,999 엔 코스, 7,000 엔 ~ 7,999 엔 코스로 제공됩니다.",,,,"점심, 엔터테인먼트, 저녁 식사, 개인 실, 환영 파티, 날짜, 새해 파티, 와인 마시는 와인, 크리스마스 2024, 성인 연말 파티, 럭셔리 크리스마스, 성인 새해 파티, 세련된, 작별 파티, 점심, PayPay Points Get Paypay Points
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳",,예,03-6303-1105,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001425798/archive/154629-5e7865fc9cbe8.jpeg,"Suica, Nanaco, Rakuten Edy, Waon, Quicpay",,,,불가능합니다,,http://www.instagram.com/sobakaiseki_gi,,,없음,불가능합니다,
恵比寿 逆月,Ebisu Reverse Moon,https://retty.me/area/PRE13/ARE13/SUB704/100001623589/,050-5462-6068,일본 요리 이자카야 해산물 및 해산물 요리 카포/작은 요리 레스토랑,"[하루 종일]
저녁 식사 17:00-23:00 L.O. 22:00
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
{월요일, 화요일, 수요일, 목요일, 금요일}
봐라. 요리 22:00 음료 22:30
{토요일과 일요일}
봐라. 요리 22:00 음료 22:30","불규칙 휴일 매년 1 월 2 일 매년 1 월 3 일 매년 1 월 4 일 매년 12 월 31 일 매년 1 월 4 일
자세한 내용은 공식 웹 사이트를 확인하십시오.
불규칙한 휴일","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Yaguchi Building 1f, 1-11-26 Mita, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 9 분 (710m)
JR Yamanote Line / Meguro 역에서 도보 10 분 (780m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 17 분 (1.3km)","없음
근처 (할인 없음) 사용 가능",17 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명","[공식적인]
https://ebisu-sakazuki.foodre.jp/
https://www.sakazukiya.com/ebisu/",,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 코스에는 5,000 엔 이상의 링크, 2 시간 동안 온전한 링크, 2 시간 반 동안 온전한 링크가 포함됩니다.","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키","저녁 식사, 식사, 엔터테인먼트, 개인 실, 음료수, 데이트, 예약, 예약, 즐길 수 있고, 술에 취하고, 술에 취해, 술에 취할 수 있고, Paypay 포인트로 지불 할 수 있으며, 온라인으로 예약 할 수 있습니다. 새해 파티, Farewell Party, Farewell Party, Farewell Party, Farewell Party.
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",없음,03-6712-2235,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001623589/archive/3353818-668799ed1fb2.jpg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Quicpay",예,"적격 송장 (송장)을 수용하기 위해 영수증을 발행 할 수 있습니다.
*최신 등록 상태의 경우, 국가 세금 기관의 송장 시스템 자격 송장 발행 회사를 확인하거나 매장에 문의하십시오.

*LA Carte와 Kaiseki 모두에 대해 10%의 서비스 요금이 청구됩니다.",사용 가능한 예약,"예
유아, 유치원 어린이, 초등학생을 환영합니다",예 (무료),,,,,,
バルマルシェ・コダマ ステーキ&ロブスター アトレ目黒店,바 마르케 코다마 스테이크 & 랍스터 아트 르구로 지점,https://retty.me/area/PRE13/ARE13/SUB704/100001380001/,050-5304-3221,바 스테이크 해산물과 해산물 서부 푸드 바,"[하루 종일]
점심 11:00-16:00 L.O. 15:00
저녁 식사 17:00-21:30 L.O. 21:30
[Sun, Friday, Saturday 및 Holidays]
아침 8:30-10:30 L.O. 10:00","불규칙한 휴일
폐쇄 된 날은 Atre와 동일합니다

*고기 요리의 마지막 주문은 오후 9시입니다.
*예약은 저녁 식사 만 허용됩니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",예,,"2 층, Atre Meguro 2, 3-1-1 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 1 분 도보 (65m)
Tokyu Meguro Line / Fudomae Station에서 도보로 11 분 (880m)
JR Yamanote Line / Gotanda Station 14 분 도보 (1.1km)",,82 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","[공식적인]
https://barmarchekodama.foodre.jp/",,,,,,"All-You-Can-Drink Dinning Dinner 저녁 식사 새해 파티 점심 개인 방 싱글 룸 엔터테인먼트 고기 아침 식사 포인트 온라인 예약 가능 연말 파티 환영 파티 점심 점심 세련된 성인 날짜
다른 사용 장면을 참조하십시오",,,,03-5435-4105,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001380001/archive/471818-5b3ee1d8d353e.jpg,,,,,,,,,,,,
つきはし,Tsukihashi,https://retty.me/area/PRE13/ARE13/SUB704/100000856981/,050-5461-5730,"일본 요리, 카포 및 작은 레스토랑","[월요일부터 금요일까지]
저녁 식사 18:00-22:30 L.O. 21:30
[토양]
저녁 식사 18 : 00-21 : 30 L.O. 20:30
* 점심 사업은 잠시 동안 폐쇄됩니다.

폐쇄를 포함하여 상점에 대한 정보는 때때로 Facebook에 게시됩니다.
https://www.facebook.com/tukihashi/
협력 해 주셔서 대단히 감사합니다.",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"메 구로 파르테논 건물 4F, 1-5-17 메 구로, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 4 분 (320m)
도쿄 메 구로 라인 / 푸 도마 스테이션 13 분 도보 (1.0km)
JR Yamanote Line / Ebisu Station 17 분 도보 (1.3km)",,25 석,"예
(6 석)","불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,http://tukihashi.com/index.html,,"5,000 ~ 5,999 엔 코스가 있으며 8,000 엔 코스가 있습니다.",,,일본어를 사용할 수 있습니다,"날짜, 소녀의 밤, 저녁 식사, 싱글, 저녁 식사, 고기, 새해 파티, 연말 파티, 성인의 은신처, 연회 및 음주 파티, 작별 파티, 환영 파티, 비 흡연, 점심 날짜, 점심 소녀 밤, 급여 지불 포인트 받기
다른 사용 장면을 참조하십시오",차분한 분위기,,,03-6417-9023,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000856981/archive/1842769-5f56fe43e06c2.jpg,,,,사용 가능한 예약,,,,,,,,
sibafu,시바 푸,https://retty.me/area/PRE13/ARE13/SUB704/100000757098/,050-5304-6117,다이닝 바 이자카야,"[하루 종일]
저녁 식사 17:00-23:00 L.O. 22:00","불규칙한 휴일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Bernard House 1f, 1-7-5 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 5 분 (400m)
Tokyu Meguro Line / Fudomae 역에서 도보로 10 분 (730m)
JR Yamanote Line / Gotanda Station 19 분 도보 (1.5km)","없음
근처 (할인 없음) 사용 가능",32 석,예,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://sibafu.foodre.jp/",https://www.facebook.com/gotosibafu/,"2,999 엔 미만, 3,000 엔 ~ 3,999 엔","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 2 시간 동안 all-you-can-drink, 3 시간 이상 동안 싱글 링크",매장 내 준비,"맥주, 쇼치, 와인, 위스키, 칵테일","저녁 식사, 쌀, 음료 와인, 파티, 파티, 솔로, 생일, 흡연, 고기, 애프터 파티, 소녀의 밤, 날짜, 공예 맥주, 급여 지불 지불, 온라인 예약, 연말 파티, 새해 파티
다른 사용 장면을 참조하십시오",숨는 곳,놀라운 응답 가능,예,03-6321-6315,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000757098/archive/245737-596458c9b0438.jpg,,,,,,,,,,,,
