식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,주소,입장,주차,좌석,흡연,개인 실,사적인,상점 웹 사이트,인스 타 그램,페이스 북,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,QR 코드 결제,카운터 좌석,강의,당신이 마실 수있는 모든 것,IC 카드 지불,X (트위터),서비스,대기,발언,애완 동물,외국어 지원,전원 공급 장치 사용,드레스 코드,추가 장비,맥주 제작자
Big-Pig 神田カープ本店,Big-Pig Kanda 잉어 메인 상점,https://retty.me/area/PRE13/ARE11/SUB1101/100000026746/,03-3255-6262,Okonomiyaki Izakaya 현지 요리,"[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:15
[태양, 토요일, 휴일]
점심 13:00-16:00
저녁 식사 16:00-21:00 L.O. 20:15
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
https://bigpig-kanda.com/","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
프로 야구는 일요일과 공휴일에 문을 열 수 있으므로 확인하려면 저희에게 전화하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","후지 엘리베이터 빌딩 B1F, 3-4-6 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 거리 (200m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 7 분 (500m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 7 분 거리 (540m)","없음
근처 (할인 없음) 사용 가능",120 석,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,"[공식적인]
https://bigpigkandacarphonten.foodre.jp/
https://bigpig-kanda.com/",,https://www.facebook.com/bigpigkanda/,우리는 생산 영역에 대해 특히 그렇습니다. 매우 매운 메뉴가 있고 매장 내에서 준비된,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,올스 잉크 링크 식사 연말 파티 새해 파티 연회 및 음주 파티 급여 지불 지불 이용할 수있는 작별 파티를 환영 파티 개인 객실 저녁 식사,예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000026746/archive/2686295-6263cc08cac4a.jpg,PayPay,예,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","3,000 엔에서 3,999 엔까지의 싱글 링크와 4,000 엔에서 4,999 엔까지의 코스가 포함 된 코스가 있습니다.",,,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능","개방성이 있습니다
천장이 높습니다
활발한 상점",,불가능합니다,"영어
언어 지원 메뉴가 있습니다",,,"TV 및 모니터, 오디오 장비",
隠れ房ねぎし,숨겨진 녹색 양파,https://retty.me/area/PRE13/ARE11/SUB1101/100001205072/,03-3526-2786,카포/작은 식당,"[월요일부터 금요일과 토요일]
 11:30-14:00
[월요일부터 금요일까지]
 17:00-23:30
[토양]
 17:00-22:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",예,"야코 빌딩 1f, 3-7 칸다 카지치, 키 요다 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 거리 (130m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (310m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 4 분 거리 (320m)",,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 연회 및 음주 파티, 개인 객실, 단일 방, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 술 마시기, 세련된, 저녁 식사, 쌀, 흡연 허용, 개인 객실, 스타일리쉬 한 점심, 세련된 개인 객실
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/11358563.jpg,,예,,,,,,,,,,,,,
GolfBar59,Golfbar59,https://retty.me/area/PRE13/ARE11/SUB1101/100001322084/,03-5207-5628,술집,"[월요일부터 금요일까지, 휴일 전]
 14:00-29:00
[토양]
 14:00-27:00
[일요일과 휴일]
 14:00-24:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
우리도 늦은 밤에 문을 엽니 다! 우리는 또한 휴가 계획을 제공하므로 자유롭게 전화하십시오.",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","4f Uchikanda 3-14 건물, 3-14-7 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (81m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (460m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 6 분 (460m)",없음,"40 석
(3 골프 시뮬레이터 사용 가능)","예
(금연 좌석 없음)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
최대 40 명을 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사 식사) : 60 명",https://golfbar59.owst.jp/,https://www.instagram.com/golfbar.fiftynine,https://www.facebook.com/111961756984565/,,"맥주, 쇼카, 와인, 위스키, 칵테일",사용 가능한 예약,"전산 된 날짜 모든 날짜 전일 링크 연회/음료 파티 개인 방 선량 파티 환영 파티 파티 파티 파티 다트 이용 가능한 개인 개막식 첫 번째 기차 저녁 식사가 허용되는 개인 실
다른 사용 장면을 참조하십시오",불가능합니다,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001322084/archive/1319718-5de65efa15b5f.jpg,PayPay,"예
(막대 만 사용 가능)","5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 2,999 엔 미만의 모든 링크 코스, All-You-Can-Drink 코스, 3,000-3,999 엔, All-You-Can-Drink 코스를 이용할 수 있습니다. 2 시간 동안 당신이 다루는 것",,,,"개방성이 있습니다
조용한 가게
활발한 상점
차분한 분위기
숨는 곳",,,,,,"TV/모니터, 다트, 놀이",
PRONTO 神田グランドセントラルホテル店,Pronto Kanda Grand Central Hotel 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100001441781/,03-6260-8164,카페,"[월요일부터 금요일까지]
 6:30-23:00
[태양, 토요일, 휴일]
 6:30-18:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",예,"2-2 Kanda Tsukacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (280m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 4 분 거리 (310m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (320m)",,80 석,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://shop.pronto.co.jp/,,,,,,"점심 개인 룸 브런치 아침 식사 이용 가능 저녁 식사 쌀 흡연 허용 전용 방 점심 야간 카페 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34794035.jpg,PayPay,,,,,,,,,,,,,,
中むら,나카무라,https://retty.me/area/PRE13/ARE11/SUB1101/100000076822/,03-3255-1722,야키토리 이자카야,"[월요일부터 금요일까지]
 17:30-23:30",매주 토요일마다 일요일 휴가,"점심:-
저녁 식사 : ~ 4,000 엔",불가능합니다,"Uchikanda Kyodo Building B1F, 2-11-6 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 5 분 도보 (330m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (410m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 6 분 (410m)",,27 석,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,개인 룸 저녁 식사 쌀 흡연이 허용됩니다,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36290447.jpg,,예,,,,,,,,,,,,,
輝きらり,빛나는,https://retty.me/area/PRE13/ARE11/SUB1101/100000455911/,03-3526-0710,일본 요리 사시미 카포/작은 레스토랑 술 바,"[월요일부터 금요일까지]
 11:30-13:30
 17:00-23:00","매주 일요일과 공휴일
*점심은 예약 할 수 있습니다. 예약은 전날 22:00까지 토요일에만 허용됩니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB","46 Kanda Konyacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 (240m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 4 분 거리 (300m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (440m)","예
근처 (할인 없음) 사용 가능",39 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",불가능합니다,http://www.kanda-kirari.com/,,,"우리는 야채 요리, 고기 요리, 생선 요리 및 현지 재료에 대해 특히 알고 있으며, 알레르기가있는 고객을 수용하고 매장 내에서 준비 할 수 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"점심, 데이트, 연회 및 음주 파티, 개인 실, 성인 가이성, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 술 마시기, 주차 가능, 저녁 식사, 저녁 식사, 비 흡연, 개인 객실 날짜, 점심 데이트, 개인 객실 엔터테인먼트, 무료 와이파이.
다른 사용 장면을 참조하십시오",불가능합니다,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33768519.jpg,PayPay,"예
(카운터에서 5 석)","5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 3,000-4,999 엔, 2 시간 동안 all-you-can-drink, 2 시간 반 동안 모두 당신이 흠집",,,"놀라운 응답 가능
축하 가능성","조용한 가게
차분한 분위기
숨는 곳
골목을 향합니다","- 신용 카드는 저녁 식사를 위해서만 허용됩니다. 그러나 원하는 모든 것을 마실 수 있다면 카드를 사용할 수 없습니다.
짐 5 개 이상의 티켓 예약은 전화로 만들 수 있습니다.",불가능합니다,,예 (무료),없음,,
魚匠屋 神田本店,Uoshoya Kanda 메인 상점,https://retty.me/area/PRE13/ARE11/SUB1101/100001630947/,03-5577-5749,이자카야,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
저녁 식사 17:00-23:00 L.O. 22:00
점심 L.O. 13:30
저녁 식사 L.O. 음식 22:00 음료 22:30",매주 일요일마다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB","뉴 칸다 빌딩 B1F, 3-3 Kanda Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (98m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 5 분 (380m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (380m)",없음,43 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",,,https://www.facebook.com/gyoshouyakanda,"우리는 야채 요리, 생선 요리, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"급여 지불 지불, 싱글, 연말 파티, 새해 파티, 점심, 개인 실, 술 마시기, 와인 마시기, 어린이와 함께 즐기기, 개인 실, 쌀, 비 흡연, 개인 실, 점심, 세련된 개인 객실.
다른 사용 장면을 참조하십시오",예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001630947/archive/2998906-6402feba62059.jpeg,PayPay,예,,,,,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",차분한 분위기,"*매장은 금요일과 공휴일 전날에 문을 엽니 다.
임대에 대한 정보는 전화로 문의하십시오. 추정 임대료는 20 만 엔입니다.",불가능합니다,,예 (무료),없음,,
Big-Pig 神田カープ本店,Big-Pig Kanda 잉어 메인 상점,https://retty.me/area/PRE13/ARE11/SUB1101/100000026746/,03-3255-6262,Okonomiyaki Izakaya 현지 요리,"[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:15
[태양, 토요일, 휴일]
점심 13:00-16:00
저녁 식사 16:00-21:00 L.O. 20:15
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
https://bigpig-kanda.com/","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
프로 야구는 일요일과 공휴일에 문을 열 수 있으므로 확인하려면 저희에게 전화하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","후지 엘리베이터 빌딩 B1F, 3-4-6 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 거리 (200m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 7 분 (500m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 7 분 거리 (540m)","없음
근처 (할인 없음) 사용 가능",120 석,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,"[공식적인]
https://bigpigkandacarphonten.foodre.jp/
https://bigpig-kanda.com/",,https://www.facebook.com/bigpigkanda/,우리는 생산 영역에 대해 특히 그렇습니다. 매우 매운 메뉴가 있고 매장 내에서 준비된,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,올스 잉크 링크 식사 연말 파티 새해 파티 연회 및 음주 파티 급여 지불 지불 이용할 수있는 작별 파티를 환영 파티 개인 객실 저녁 식사,예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000026746/archive/2686295-6263cc08cac4a.jpg,PayPay,예,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","3,000 엔에서 3,999 엔까지의 싱글 링크와 4,000 엔에서 4,999 엔까지의 코스가 포함 된 코스가 있습니다.",,,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능","개방성이 있습니다
천장이 높습니다
활발한 상점",,불가능합니다,"영어
언어 지원 메뉴가 있습니다",,,"TV 및 모니터, 오디오 장비",
神田 日本酒バル 酒趣,Kanda Sake Bar Sake Bar Sake,https://retty.me/area/PRE13/ARE11/SUB1101/100000768275/,03-3254-3353,이자카야 바 바 바,"[월요일부터 금요일, 토요일, 휴일 전]
저녁 식사 17:00-23:15 L.O. 22:45
마감 시간은 하루에 따라 다를 수 있습니다","매주 일요일과 공휴일
새해 휴일 (확인하십시오)
긴 휴가의 경우 마지막 날은 문을 닫습니다.
우리는 휴일 전 일요일에 문을 열었습니다.
[Mon-Sat] 음료 lo 22:45","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
JCB","야노 빌딩 1F, 5-5 칸다 코요 아코, 키 요다 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 4 분 (320m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 5 분 거리 (330m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 7 분 거리 (510m)",예,"16 석
(Covid-19를 방지하기 위해 카운터 좌석이 적을 수 있습니다.)","불가능합니다
(흡연 금지
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,https://www.facebook.com/kanda.shushu/,,"맥주, 사케, 와인",사용 가능한 예약,"싱글 OK Entertainment Sake Sake Dicke Micking Rice All-You-Can-Drink Farewell Party 쿠폰 이용 가능 급여 지불 지불 연말 파티 새해 파티 성인 날짜
다른 사용 장면을 참조하십시오",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000768275/archive/2850927-632a7a61e980c.png,PayPay,"예
(파티션은 카운터 좌석에 설치됩니다. 불편을 끼쳐 드려 죄송합니다.",,"5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",,https://x.com/shushu_kanda,,"차분한 분위기
숨는 곳",,,,,,,
caiman table,카이만 테이블,https://retty.me/area/PRE13/ARE11/SUB1101/100001281891/,050-5303-6581,이탈리아 파스타 바,"[월요일부터 금요일까지]
점심 11:30-13:30
저녁 식사 18:00-23:00 L.O. 21:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Kadokura Building 1f, 4-5-15 Nihonbashi Motoishicho, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Kanda (도쿄) 역 3 분 (240m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (310m)","없음
근처 (할인 없음) 사용 가능","23 석
(카운터 좌석/17 석, 6 인 상자 좌석/1 좌석)","불가능합니다
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://caiman-table.foodre.jp/
https://www.caiman-table.com",,,"우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료 및 요리사가 유명한 레스토랑에서 훈련을 받았으며 매장 내에서 준비했습니다.",맥주와 와인이 있습니다,저녁 식사 시간에만 사용할 수 있습니다,"생일, 솔로 손님, 그룹 데이트, 저녁 식사, 점심 날짜, 맛있는 레스토랑 및 저렴한 레스토랑, 급여 지불 지불, 온라인 예약 가능, 연말 파티, 크리스마스 저녁 식사, 새해 파티, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오",,예,03-3241-0151,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001281891/archive/940438-5ce7b97595a77.jpg,PayPay,예,"5,000 ~ 5,999 엔 코스로 제공됩니다","5,000 엔 이상을 사용할 수 있습니다",,,축하 가능성,"차분한 분위기
숨는 곳","∎ 점심 코스 만 예약 할 수 있습니다.
・ 금요일에 많은 예약이 있으므로 일찍 예약하십시오.",,,예 (무료),없음,,
ちょいす,조금,https://retty.me/area/PRE13/ARE11/SUB1101/100001050419/,050-5304-1121,이자카야 해산물과 해산물 요리 일본 음식,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:30 L.O. 22:30",매주 토요일마다 일요일 휴가,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔",예,"B1, 1-4 Y101 건물, Kanda Sudacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 1 분 (72m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 1 분 거리 (79m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 6 분 (420m)",,"35 석
(35 석 (카운터, 테이블, 반 개인 객실 포함)))))","예
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://choice.foodre.jp/",,,,,,"저녁 식사, 연회 및 음주 파티, 술, 고기, 연말 파티, 새해 파티, 캐주얼, 세련된, 새해 파티, 신입생 파티, 성인 연말 파티, 빠른 새해 파티, 신속 새해 파티
다른 사용 장면을 참조하십시오",,,03-3256-3993,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001050419/archive/186501-58ee10dcbfeb9.jpg,,예,,,,,,,,,,,,,
BAR DO-ZO,바 도조,https://retty.me/area/PRE13/ARE11/SUB1101/100001764712/,050-5462-7412,술집,"[월요일부터 금요일과 토요일]
 20:00-5:00",매주 일요일,"점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","2 층, Higashi Building, 3-7-3 Kanda Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (110m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 5 분 (360m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (370m)","없음
근처 (할인 없음) 사용 가능",15 석,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,https://www.instagram.com/bar.do_zo,,,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"늦은 밤에 문을 연, 개인 파티, 파티/음주 파티, 흡연 허용, 파티 후, 첫 번째 열차까지 문을 엽니 다",불가능합니다,예,03-3251-8531,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001764712/archive/3495208-6782019cd0b62.jpg,,예,,"모든 금액 가격 : 3,000-4,999 엔, 2 시간의 싱글 링크","Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, Au Wallet",,"놀라운 응답 가능
축하 가능성","개방성이 있습니다
활발한 상점",,불가능합니다,,,없음,"노래방, TV 및 모니터, 다트",
名代カツ揚げ つらら,유명한 튀김 큐렛 ICilla,https://retty.me/area/PRE13/ARE11/SUB1101/100001770504/,050-5462-7952,이자카야는 식사 Tonkatsu Rice Bowl을 설정합니다,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:00-15:00
저녁 식사 17:00-22:00 L.O. 21:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드","Kanda Square 1f, 2-2-1 Kanda Nishikicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 3 분 거리 (230m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 3 분 거리 (240m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 3 분 거리 (240m)",없음,"48 석
(28 개의 카운터 좌석, 20 개의 테이블 좌석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://katsuage-tsurara.com/,https://www.instagram.com/katsuage_tsurara/,,,,사용 가능한 예약,"점심, 쌀, 저녁 식사, 급여 지불 지불 가능",,없음,03-6285-0800,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001770504/archive/3541415-67ca4cbddd585e.jpg,PayPay,예,,,,,,,,,,,,,
ちょいす,조금,https://retty.me/area/PRE13/ARE11/SUB1101/100001050419/,050-5304-1121,이자카야 해산물과 해산물 요리 일본 음식,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:30 L.O. 22:30",매주 토요일마다 일요일 휴가,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔",예,"B1, 1-4 Y101 건물, Kanda Sudacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 1 분 (72m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 1 분 거리 (79m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 6 분 (420m)",,"35 석
(35 석 (카운터, 테이블, 반 개인 객실 포함)))))","예
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://choice.foodre.jp/",,,,,,"저녁 식사, 연회 및 음주 파티, 술, 고기, 연말 파티, 새해 파티, 캐주얼, 세련된, 새해 파티, 신입생 파티, 성인 연말 파티, 빠른 새해 파티, 신속 새해 파티
다른 사용 장면을 참조하십시오",,,03-3256-3993,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001050419/archive/186501-58ee10dcbfeb9.jpg,,예,,,,,,,,,,,,,
