restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,lecture,available_drinks,cooking_specialties,drinking_specialties,reservation,usage_scenes,waiting,service,dress_code,child_friendly,pet_friendly,wifi_available,phone_number,foreign_language_support,video,twitter,remarks,power_supply_available,additional_equipment,facebook,ic_card_payment,instagram,beer_maker,온라인 예약
升三,마구산,https://retty.me/area/PRE13/ARE662/SUB66202/100001162088/,03-5954-0608,이자카야 크리에이티브 요리,18 : 00-23 : 00 LO22 : 00,매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,,"1f, 1-7-20 미나 디크 부쿠로, 토시마 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 6 분 (420m)
도쿄 메트로 후쿠토신 라인 / Zoshigaya 역에서 도보로 7 분 거리 (540m)
Toei Toden Arakawa Line / Kishimojinmae Station에서 도보 8 분 (570m)",,"13 석
(5 개의 카운터 시트, 4 테이블 x 2)",예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,Sake는 이용 가능하며 흡연이 허용됩니다,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/2875456.jpg,,,,,,,,,
かぶら屋 池袋6号店,Kaburaya Ikebukuro No. 6 매장,https://retty.me/area/PRE13/ARE662/SUB66201/100001269096/,03-5927-8879,이자카야 소바 (소바) 카레,"[하루 종일]
 16:00-23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"Nespa Building B1F, 1-35-4 Nishi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 3 분 거리 (170m)",,49 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://www.kaburaya.bz/shop/post-41/,,,,,,"저녁 식사, 맛있는 레스토랑, 저렴한 레스토랑, 금연 지불이 허용됩니다",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36424355.jpg,,,,,,,,,
FIRST AIRLINES,첫 번째 항공사,https://retty.me/area/PRE13/ARE662/SUB66201/100001321770/,03-6907-0981,이자카야 프랑스 이탈리아 요리,"[월요일부터 금요일까지]
 17:30-23:00
[태양, 토요일, 휴일]
 12:30-23:00
자세한 내용은 공식 웹 사이트를 확인하십시오.","하루 종일 개점
자세한 내용은 공식 웹 사이트를 확인하십시오.
예약이 필요합니다
우리는 12/30에서 1/4에서만 폐쇄됩니다.","점심:-
저녁 식사 : ~ 5,000 엔",불가능합니다,,"8f Ikebukuro Park Heim West, 3-31-5 Nishi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 2 분 거리 (130m)
도쿄 메트로 유라 커코 라인 / 카나마 마치 역에서 도보로 9 분 (650m)",없음,"12 석
(일등석 좌석 : 8 석; 비즈니스 클래스 좌석 : 4 석)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,,"우리는 야채 요리, 고기 요리, 생선 요리 및 식품 생산 공간에 특히 적합합니다.",,예약이 필요합니다,"점심, 연회 및 음주 파티, 싱글은 괜찮아, 성인 은신처, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인을 마시고, 어린이, 개인 공간, 쌀, 비영리, 스타일리쉬
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기",축하 가능성,,예,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001321770/archive/873152-5cbee5cad6bfd.png,https://x.com/first__airlines,"신용 카드 : 온라인 예약 전용 카드 〇, 현금 전용 매장에서만 현금",,"프로젝터, TV 및 모니터, 오디오 장비, 놀이",https://www.facebook.com/firstairlines/,,https://www.instagram.com/first_airlines/,,
ぶくろ酒場,부쿠로 바,https://retty.me/area/PRE13/ARE662/SUB66202/100000873368/,03-3971-5908,이자카야 카포/작은 레스토랑,"[월요일부터 금요일과 토요일]
점심 11 : 30-14 : 45 L.O. 14:15
저녁 식사 17:00-23:00 L.O. 23:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"Pare d 'Or Ikebukuro 1f, 3-8-5 Higashi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 9 분 (660m)
도쿄 메트로 유라 커코 라인 / 9 분 동안 히가시-비슷한 부쿠로 (670m)
Toei Toden Arakawa Line / Higashi-Kikebukuro 4-Chome Station에서 도보 12 분 (890m)",,38 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 저녁 식사, 저녁 식사, 맛있는 레스토랑, 저렴한 레스토랑, 금연
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36526823.jpg,,,,,,,,,
魚と馬刺しの専門店 魚馬る 池袋店,"물고기 및 말 사시미, Oumaru Ikebukuro 지점을위한 전문점",https://retty.me/area/PRE13/ARE662/SUB66202/100001456237/,070-1317-6789,이자카야 해산물과 해산물 핫팟,"[하루 종일]
 11:00-29:00
[정규 업무 시간] 일요일부터 목요일과 공휴일 17 : 00-24 : 00, 금요일과 토요일 및 공휴일 전날 16 : 00-24 : 00
11:00에서 16:00까지 점심 연회에 예약이 필요하며 심야 연회는 24:00에서 29:00까지 예약해야합니다.",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
식당
JCB",,"11F 청동 빌딩, 1-23-11 미나미 비케이부 쿠로, 토시마 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Ikebukuro Station에서 1 분 거리 (62m)
도쿄 메트로 유라쿠코 라인 / 히가시-비스듬한 부쿠로 역에서 도보 8 분 (600m)",예,150 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 150 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 150 명",,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","999 엔 미만의 all-you-drink 가격, 전적으로-링크 가격 1000-1999 엔, 전세계 점점 가격 2000-2999 엔, all-you-can-drink 가격 3000-4999 엔, 2 시간 동안, 2 시간 동안, 2 시간 동안, 전 만-캔-링크",우리는 고기 요리와 생선 요리에 대해 특히 알고 있습니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 All-you-can-Eat all-you-can-drink 개인 룸 싱글 룸 쿠폰 이용 가능한 술 마시기 와인 어린이와 함께 즐길 수있는 와인 마시는 와인 영어 사용 가능 첫 번째 기차 저녁 식사 흡연이 허용 될 때까지 개인 오픈을 사용할 수 있습니다.
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",,예,,예,,영어 중국어,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001456237/archive/1151862-5d8f2a393ef3a.jpg,,전채 수수료 (코스 제외),사용 가능 (충전 가능),,,,,,
ふんわりダイニング 池袋,푹신한 식당 Ikebukuro,https://retty.me/area/PRE13/ARE662/SUB66201/100001389194/,03-5391-0381,Izakaya Gyoza,"[하루 종일]
점심 11:00-15:00 L.O. 14:45
저녁 식사 17:00-23:00 L.O. 22:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"부동산 키시노 빌딩 1F, 2-31-10 IKEBUKURO, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro Station (190m)에서 도보로 3 분 거리
도쿄 메트로 유라 커코 라인 / 카나마 마치 역에서 도보로 9 분 (670m)",예,45 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,"2,999 엔 미만, 3,000 엔 ~ 3,999 엔",2 시간 반 동안 마실 수있는 모든 것,,,사용 가능한 예약,"점심으로 냉담한 연회/음료 작별 파티를 환영 파티 연말 파티 새해 파티를 마실 수 있습니다. 와인을 마실 수 있습니다. 저녁 식사를 빌릴 수 있습니다.
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성",,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001389194/archive/1148727-5d8d8e8c75a60.png,,,,,,,,,
ブクロのショーちゃん,Bukuro의 쇼,https://retty.me/area/PRE13/ARE662/SUB66201/100001343145/,03-6907-0705,이자카야,"[월요일부터 금요일, 토요일, 휴일]
 17:00-24:00",매주 일요일,"점심:-
저녁 식사 : ~ 3,000 엔",불가능합니다,,"오다야 빌딩 B1, 2-9-1 Ikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 2 분 거리 (99m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,연회/음주 파티 작별 파티를 환영 파티 연말 파티 새해 파티 저녁 식사 식당/저렴한 레스토랑 비소,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/11280290.jpg,,,,,,,,,
個室居酒屋 Green Garden 池袋,개인 실 Izakaya Green Garden Ikebukuro,https://retty.me/area/PRE13/ARE662/SUB66201/100001201877/,03-6912-8575,이자카야,"[하루 종일]
 15:00-29:00",,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"Nishigata Building 2F, 1-37-15 Nishiikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 2 분 거리 (110m)",,30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,"2,999 엔 미만으로 이용할 수 있습니다",,,,"소녀의 밤, 그룹 데이트, 개인 실, 솔로 손님, 크리스마스 저녁 식사, 음료수, 와인, 세련된, 첫 번째 기차, 저녁 식사, 쌀, 비영리, 세련된, 개인 실, 그룹 데이트, 개인 실, 엔터테인먼트, 늦은 밤까지 영업합니다.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/12785874.jpg,,,,,,,,,
満留賀,만루가,https://retty.me/area/PRE13/ARE662/SUB66202/100000037285/,03-3984-0045,소바 (Soba) Udon Rice Bowl,"[월요일부터 금요일과 토요일]
 11:00-15:00 L.O. 14:45
 17:00-22:00 L.O. 21:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-36-3 Higashi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 6 분 (410m)
도쿄 메트로 유라 커코 라인 / 9 분 동안 히가시 비크 부쿠로 (710m)","예
근처 (할인 없음) 사용 가능",,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다",,,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",,"점심, 연회 및 음주 파티, 개인 객실, 독신, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 주차 가능, 영어권 이용 가능, 저녁 식사, 흡연 허용, 개인 실, 무료 Wifi, Shochu, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,테이크 아웃 가능성,,,,예,,"영어 중국어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36552710.jpg,,"상점 내부에서 흡연은 완전히 금지됩니다
상점 입구의 흡연 구역",,,,,,,
福清菜館 福来園,후쿠아시나 칸 후 쿠라 이엔,https://retty.me/area/PRE13/ARE662/SUB66201/100001349782/,03-4530-9161,광동 요리 중국 요리,"[하루 종일]
 11:00-0:00 L.O. 23:30",명확하지 않습니다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,PayPay,"Amuse Ikebukuro 1-43-9 Nishi-Kikebukuro, Toshima-Ku, 도쿄 1f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 3 분 거리 (180m)",,80 석,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 개인 실, 저녁 식사, 쌀, 흡연 허용, 개인 객실 점심, 급여 지불 지불, 럭셔리 크리스마스, 크리스마스 2024
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/27535494.jpg,,,,,,,,,
パセラリゾーツ 池袋西口店,Pasela Resorts Ikebukuro West Exit 매장,https://retty.me/area/PRE13/ARE662/SUB66201/100000021223/,03-3987-9338,이자카야 햄버거 파르페,"[월요일부터 금요일까지, 휴일 전]
 17:00-8:30 L.O. 8:00
[태양, 토요일, 휴일]
 13:00-8:30 L.O. 8:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
식당
JCB",,"2-40-1 Ikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 3 분 거리 (170m)",,300 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,https://www.pasela.co.jp/shop/ikebukuro_nishiguchi/,,,,,,"점심 연회 및 음주 파티 개인 방 작별 파티를 환영 파티 연말 파티 새해 파티 마시는 첫 번째 기차 저녁 식사 쌀 흡연이 허용 될 때까지 열린 나이트 룸 밤 나이트 나이트 카페가 열립니다.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36223720.jpg,,,,,,,,,
個室居酒屋 Green Garden 池袋,개인 실 Izakaya Green Garden Ikebukuro,https://retty.me/area/PRE13/ARE662/SUB66201/100001201877/,03-6912-8575,이자카야,"[하루 종일]
 15:00-29:00",,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"Nishigata Building 2F, 1-37-15 Nishiikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 2 분 거리 (110m)",,30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,"2,999 엔 미만으로 이용할 수 있습니다",,,,"소녀의 밤, 그룹 데이트, 개인 실, 솔로 손님, 크리스마스 저녁 식사, 음료수, 와인, 세련된, 첫 번째 기차, 저녁 식사, 쌀, 비영리, 세련된, 개인 실, 그룹 데이트, 개인 실, 엔터테인먼트, 늦은 밤까지 영업합니다.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/12785874.jpg,,,,,,,,,
中華旬彩料理・火鍋 聚,중국 계절 요리/뜨거운 냄비,https://retty.me/area/PRE13/ARE662/SUB66202/100001266052/,03-5904-8986,중국 음식,"[하루 종일]
 11:00-23:00 L.O. 22:00",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",예,,"선샤인 시티 알파 3F, 3-1-1 Higashi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 유라 커코 라인 / 히가시-비슷한 부쿠로 스테이션에서 도보로 4 분 거리 (290m)
Toei Toden Arakawa Line / Higashi-Kikebukuro 4-Chome Station에서 도보로 7 분 거리 (510m)
Toei Toden Arakawa Line / Toden Zoshigaya Station에서 도보 8 분 (590m)",,92 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 개인 객실, 솔로, 크리스마스 저녁 식사, 세련된 저녁 식사, 저녁 식사, 쌀, 비 흡연, 개인 객실, 점심, 세련된, 개인 실, 엔터테인먼트, 캐주얼, 성인 연말 파티, 빠르고 쉬운 연말 연말 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36200947.jpg,,,,,,,,,
ha-ha 1coin dining bar & cafe,Ha-Ha 1coin 식당 바 & 카페,https://retty.me/area/PRE13/ARE662/SUB66201/100000004991/,03-3971-5808,카페 식당 바 이탈리아 요리,"[월요일부터 금요일과 토요일]
 11:45 ~ 14:30
 18:00-24:00","매주 일요일
・ 정기 휴일에 문을 닫았습니다. 불규칙한 휴일","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",불가능합니다,PayPay,"Miyake Building 1f, 2-12-5 Ikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 1 분 (57m)",,"24 석
(20 테이블 좌석, 4 개의 카운터 시트)",예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 날짜, 연회 및 음주 파티, 싱글 OK, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 스타일리쉬, 저녁, 쌀, 흡연 허용, 점심, 세련된 점심, 야간 카페
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35164984.jpg,,신용 카드 : 저녁 식사 만 가능합니다,,,,,,,
パンプ クラフト ビア バー,펌프 크래프트 맥주 바,https://retty.me/area/PRE13/ARE662/SUB66202/100001165978/,03-6323-5619,맥주 바 식당 바 술집,"[불]
 17:00-23:00
[태양, 수요일, 금요일, 토요일]
 15:00-23:00","매주 월요일
공휴일에 월요일에 개장합니다","점심:-
저녁 식사 : ~ 5,000 엔",불가능합니다,,"1f Ikebukuro Crown Heights, 3-8-3 미나 디크 부쿠로, 토시마 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 5 분 거리 (400m)
도쿄 메트로 후쿠토신 라인 / 조시 가야 스테이션에서 도보로 7 분 거리 (530m)
Toei Toden Arakawa Line / Kishimojinmae Station에서 도보로 7 분 거리 (540m)",,30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"데이트는 독신 사람들을위한 괜찮습니다. 크리스마스 저녁 식사 세련된 저녁 식사 저녁 식사 저녁 식사 비 조화를 즐기십시오.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/2881184.jpg,,,,,https://www.facebook.com/pumpcraftbeerbar/,,https://www.instagram.com/pumpcraftbeerbar/,,
銀座 天一 池袋東武店,Ginza Tenichi Ikebukuro Tobu 매장,https://retty.me/area/PRE13/ARE662/SUB66201/100000958411/,03-5391-3210,튀김 쌀 그릇,"[하루 종일]
 10:00-20:00","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",비자,,"Nishi-Kikebukuro Tobu 백화점 Ikebukuro 1-1-25, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 1 분 (55m)",,"7 석
(카운터 만 있습니다)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,점심 브런치 저녁 식사 저녁 식사 비 흡연,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36214558.jpg,,,,,,,,,
個室居酒屋 Green Garden 池袋,개인 실 Izakaya Green Garden Ikebukuro,https://retty.me/area/PRE13/ARE662/SUB66201/100001201877/,03-6912-8575,이자카야,"[하루 종일]
 15:00-29:00",,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"Nishigata Building 2F, 1-37-15 Nishiikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 2 분 거리 (110m)",,30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,"2,999 엔 미만으로 이용할 수 있습니다",,,,"소녀의 밤, 그룹 데이트, 개인 실, 솔로 손님, 크리스마스 저녁 식사, 음료수, 와인, 세련된, 첫 번째 기차, 저녁 식사, 쌀, 비영리, 세련된, 개인 실, 그룹 데이트, 개인 실, 엔터테인먼트, 늦은 밤까지 영업합니다.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/12785874.jpg,,,,,,,,,
だし茶漬け えん エミオ池袋店,Dashichazuke en imio Ikebukuro Branch,https://retty.me/area/PRE13/ARE662/SUB66202/100001178280/,03-3590-9696,일본 요리 기타,"[월요일부터 금요일과 토요일]
 8:00-23:30 L.O. 23:10
[일요일과 휴일]
 8:00-22:00 L.O. 21:40","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔","비자
마스터 카드",PayPay,"B1, Seibu Ikebukuro Line, 1-28-1 Minami Ikebukuro, Toshima-Ku, Tokyo의 티켓 게이트 내부
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 2 분 거리 (93m)",,19 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://dashichazuke-en.com/index.php,,,,,,"점심, 솔로, 브런치, 아침 식사, 저녁 식사, 쌀, 금연, 지불금 지불 가능",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/26259887.jpg,,,,,,,,,
bar moon walk 池袋東口店,바 문 워크 Ikebukuro East Exit 매장,https://retty.me/area/PRE13/ARE662/SUB66202/100001299577/,03-3980-4255,바 식당 바 술집,"[하루 종일]
 17:00-29:00 L.O. 28:30",하루 종일 개점,"점심:-
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"시마다 빌딩 2F, 1-4-4 Higashi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 3 분 거리 (170m)
도쿄 메트로 유라 커코 라인 / 히가시-비스듬한 부쿠로 스테이션에서 도보 8 분 (590m)","없음
근처 (할인 없음) 사용 가능",28 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 25 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명
예약 할 수있는 사람 수에 대한 최저 한도 (스탠드 스탠드 식사) 25 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명",,"2,999 엔 미만의 코스","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 2 시간 동안 all-you-can-drink, 3 시간 이상 동안 싱글 링크",,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"연회 및 음주 파티 싱글 파티를위한 OK Farewell 파티 환영 파티 연말 파티 새해 파티 주차 이용 가능한 세련된 영어 사용 가능한 세련된 영어를 사용할 수 있습니다. 첫 번째 기차 저녁 식사 흡연이 허용되는 첫 번째 기차 저녁 식사를 허용 할 때까지 무료로 열릴 수 있습니다.
다른 사용 장면을 참조하십시오",,,,,,예,,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/9629048.jpg,https://x.com/barmoonwalk_is,,예 (무료),,https://www.facebook.com/barmoonwalk/,,,,
