restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,ic_card_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,facebook,lecture,available_drinks,cooking_specialties,drinking_specialties,reservation,usage_scenes,waiting,service,dress_code,child_friendly,pet_friendly,power_supply_available,wifi_available,phone_number,foreign_language_support,additional_equipment,video,qr_code_payment,store_website,instagram,remarks,인근 시설,twitter,beer_maker
おにやんま 日本橋店,Oniyanma Nihonbashi 지점,https://retty.me/area/PRE13/ARE15/SUB1503/100001552120/,명확하지 않습니다,"Sanuki Udon, Tempura, Udon, Soba (Soba)","[월요일부터 금요일까지]
 7:00-23:00
[태양, 토요일, 휴일]
 7:00-22:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"1F, 2-15-3 Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / Nihonbashi (도쿄) 역 (32m)에서 도보로 1 분
도쿄 메트로 히비야 라인 / 카야 바흐 스테이션에서 도보로 3 분 (220m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 5 분 (360m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 브런치, 세련된, 아침 식사, 저녁, 쌀, 비 조화, 세련된, 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34993124.jpg,PayPay,,,,,,
スターバックスコーヒー 日本橋本町店,스타 벅스 커피 Nihonbashi Honmachi 지점,https://retty.me/area/PRE13/ARE15/SUB1503/100000085036/,03-5200-1008,"카페, 커피 전문점, 테이크 아웃, 초콜릿","[월요일부터 금요일까지]
 7:00-22:00
[태양, 토요일, 휴일]
 8:00-21:00",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",예,,"Fuso Nihonbashi Building, 2-4-5 Nihonbashi Honmachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 3 분 거리 (170m)
JR Sobu 메인 라인 / 신-니혼 바시 (Shin-Nihonbashi Station)에서 도보로 3 분 거리 (220m)
도쿄 메트로 히비야 라인 / 코 덴 마흐코 역에서 도보로 7 분 (500m)",,48 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 연회 및 음주 파티, 싱글은 괜찮은 작별 파티, 환영 파티, 연말 파티, 새해 파티, 브런치, 아침 식사, 저녁 식사, 저녁 식사, 금연, 야간 카페, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/25375670.jpg,PayPay,"https://www.starbucks.co.jp
https://store.starbucks.co.jp/detail-53/",,,,,
ヴィノスやまざき　コレド室町店,Vinos Yamazaki Coredo Muromachi 매장,https://retty.me/area/PRE13/ARE15/SUB1503/100000880240/,03-6262-3166,와인 바 테이크 아웃 스퀘어 음료 스탠딩 음료,"[하루 종일]
 10:00-22:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",예,,"1 층, Coredo Muromachi 2, 2-3-1, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 2 분 (94m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 3 분 거리 (230m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 6 분 거리 (460m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 와인, 이용 가능, 브런치, 저녁 식사, 쌀, 금연",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/27000357.jpg,,,,,,,
割烹 とよだ,카포 도요다,https://retty.me/area/PRE13/ARE15/SUB1503/100000013089/,03-3241-1025,카포/작은 식당,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:30-14:30
저녁 식사 17:00-22:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 15,000 엔",Amex,,"1-12-3, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 1 분 (68m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 4 분 (310m)
도쿄 메트로 진 자 라인 / 니혼 바시 (도쿄) 역에서 도보 5 분 (380m)",,56 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 개인 실, 저녁 식사, 쌀, 비 흡연, 개인 실, 점심",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/21103534.jpg,,,,,,,
博多ニューコマツ コレド室町テラス,Hakata New Komatsu Coredo Muromachi 테라스,https://retty.me/area/PRE13/ARE15/SUB1503/100001507602/,03-6910-3224,Izakaya Motsunabe Bar Mizutaki,"[하루 종일]
 11:00-23:00 L.O. 22:30","불규칙한 휴일
*우리는 1 월 1 일 토요일에 문을 닫습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
식당
JCB","Suica, Rakuten Edy, Quicpay","Coredo Murachici Terrace B1F, 3-2-1, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 2 분 거리 (84m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 2 분 (84m)
JR Yamanote Line / Kanda (도쿄) 역 5 분 도보 (400m)",없음,"40 석
(주로 카운터에서 즐길 수있는 공간)",예,"불가능합니다
(흡연 금지 : 이해해 주셔서 감사합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,,,"3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을위한 all-you-can-drink를 포함하는 코스와 5,000 엔 이상에 대한 싱글 링크를 포함하는 코스가 포함 된 코스가 있으며, 2 시간 반에 걸쳐 두 번의 링크를 포함하는 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 식사를 좋아, 솔로, 음료수, 아이들과 함께 즐기기, 세련된, 저녁 식사, 쌀, 비 흡연, 세련된 점심, 음료 쇼치, 바삭 바삭한 연말 파티, 바삭 바삭한, 새해 파티
다른 사용 장면을 참조하십시오",,,,예,,,없음,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001507602/archive/1767573-5f14e194f0acb.jpg,,"https://mitsui-shopping-park.com/urban/muromachi/store/1383711.html
https://comatsu.co/#page/hakatanewcomatsu",,"(전자 머니 ID도 사용할 수 있습니다)

★ 개인 : 품목을 예약하려면 사람, 예산 등의 수와 함께 저희에게 연락하십시오!
★ 요청이 있으면 언제든지 문의하십시오.",,,
完全個室 日本酒×焼き鳥居酒屋 鶏のまるよし 日本橋店,완전히 개인 실 x 야키토리 이자카야 치킨 마루 요시 니혼 바시 지점,https://retty.me/area/PRE13/ARE15/SUB1503/100001693786/,사적인,이자카야 야키토리,"[태양, 월요일부터 목요일까지]
 11:00-24:00 L.O. 23:30
[금요일, 토요일, 휴일 전]
 11:00-4:00 L.O. 3:30
[축하해요]
 11:00-24:00","하루 종일 개점
(불규칙한 휴일이 있습니다)","점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"Toyo Building, 3F, 1-5-2, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보로 1 분 (33m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 4 분 거리 (320m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 5 분 거리 (330m)",없음,200 석,"없음
(모든 좌석은 많은 수의 개인 실에서 구입할 수 있습니다! 자랑스러운 닭 요리를 즐기기 위해 시간을내어 ♪)","연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,,"3,000 엔에서 3,999 엔으로 제공됩니다",,,,,"점심 싱글 링크 연회/음료 파티 싱글을위한 개인 실
다른 사용 장면을 참조하십시오",,,,,,,없음,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36212055.jpg,PayPay,,,전채에 대한 세금을 포함하여 480 엔이 청구됩니다.,,,
令和楼,Reiwaro,https://retty.me/area/PRE13/ARE15/SUB1503/100001679835/,03-6225-2600,이자카야 중국 요리,"[월요일부터 금요일, 토요일, 휴일]
점심 11:00-15:00
저녁 식사 17:00-23:00 L.O. 22:00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"3-4-18 Nihonbashi Honmachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 1 분 (70m)
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보로 3 분 거리 (220m)
도쿄 메트로 히비야 라인 / 코 덴 마흐 코 스테이션에서 도보로 5 분 (400m)","없음
근처 (할인 없음) 사용 가능",30 석,없음,"불가능합니다
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,,야채 요리에 중점을 둔 채식 메뉴를 사용할 수 있습니다.,쇼쿠와 와인,사용 가능한 예약,"점심 모든 당신이 점화 된 연회/음료 작별 파티를 환영 파티 연말 파티 새해 파티 술 마시기 와인 주차장 마시는 와인 주차를 마시고 테라스 저녁 식사로 예약 할 수 있습니다.
다른 사용 장면을 참조하십시오","차분한 분위기
테라스가 있습니다",,,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,예 (무료),예,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001679835/archive/2926945-6386d5ddba7f8.jpg,PayPay,,,,,,
金波,킨파,https://retty.me/area/PRE13/ARE15/SUB1503/100001306752/,03-3277-2721,이자카야,"[월요일부터 금요일까지]
 11:00-13:30
 17:00-23:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"Mochizuki Building, 1-12-7, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 2 분 (130m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 5 분 거리 (330m)
도쿄 메트로 진 자 라인 / 니혼 바시 (도쿄) 역에서 도보 6 분 (410m)",,,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 저녁 식사, 쌀, 맛있고 저렴한 레스토랑, 비소, 세련된 점심",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3306899.jpg,,,,,,,
テング酒場八重洲一丁目店,Tengu Sakaba Yaesu 1-Chome 지점,https://retty.me/area/PRE13/ARE15/SUB1503/100000084447/,03-3242-6708,이자카야 쌀 그릇 야키토리 꼬치,"[월요일부터 금요일까지]
 11:30-23:30 L.O. 23:00
[태양, 토요일, 휴일]
 16:00-23:00 L.O. 22:30","하루 종일 개점
오후 10시 이후에 입장 할 수 있습니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","Amex
JCB",,"Yaesu Amerex Building B1F, 1-5-9 Yaesu, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 2 분 거리 (160m)
JR Yamanote Line / 도쿄 역에서 도보 3 분 (220m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (240m)",,148 석,없음,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 저녁, 쌀, 흡연 허용",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36913061.jpg,,"https://www.teng.co.jp/
https://www.teng.co.jp/shopsearch/shops/view/ba577616",,,,,
どさんこ酒場 森町しげぞう 八重洲店,Dosanko Bar Morimachi Shigezo Yaesu 지점,https://retty.me/area/PRE13/ARE15/SUB1503/100001155226/,03-6265-1135,이자카야 사샤 시미 해산물과 해산물 푸드 쌀,"[월요일부터 금요일까지]
점심 11:00-15:00 L.O. 14:30
[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:00 L.O. 22:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
식당",,"도쿄 타티 모노 야 에스 빌딩 B2, 1-4-16 Yaesu, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 2 분 거리 (110m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (190m)
JR Yamanote Line / 도쿄 역에서 도보로 3 분 (240m)",,175 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 개인 객실, 솔로, 스타일리쉬, 저녁 식사, 쌀, 맛있고 저렴한 레스토랑, 흡연 허용, 개인 객실, 점심, 세련된 점심, 세련된 개인 실, Paypay Payably
다른 사용 장면을 참조하십시오",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36347298.jpg,PayPay,http://www.tksgroup.jp/category/bland/local/,,,,,
ヴィノスやまざき　コレド室町店,Vinos Yamazaki Coredo Muromachi 매장,https://retty.me/area/PRE13/ARE15/SUB1503/100000880240/,03-6262-3166,와인 바 테이크 아웃 스퀘어 음료 스탠딩 음료,"[하루 종일]
 10:00-22:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",예,,"1 층, Coredo Muromachi 2, 2-3-1, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 2 분 (94m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 3 분 거리 (230m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 6 분 거리 (460m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 와인, 이용 가능, 브런치, 저녁 식사, 쌀, 금연",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/27000357.jpg,,,,,,,
おにやんま 日本橋店,Oniyanma Nihonbashi 지점,https://retty.me/area/PRE13/ARE15/SUB1503/100001552120/,명확하지 않습니다,"Sanuki Udon, Tempura, Udon, Soba (Soba)","[월요일부터 금요일까지]
 7:00-23:00
[태양, 토요일, 휴일]
 7:00-22:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"1F, 2-15-3 Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / Nihonbashi (도쿄) 역 (32m)에서 도보로 1 분
도쿄 메트로 히비야 라인 / 카야 바흐 스테이션에서 도보로 3 분 (220m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 5 분 (360m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 브런치, 세련된, 아침 식사, 저녁, 쌀, 비 조화, 세련된, 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34993124.jpg,PayPay,,,,,,
グラマシー ニューヨーク 高島屋日本橋店,Gramercy New York Takashimaya Nihonbashi 지점,https://retty.me/area/PRE13/ARE15/SUB1503/100000066579/,03-3272-8090,"카페, 케이크 상점, 초콜릿, 파르페, 서양 과자, 기념품","[하루 종일]
 10:30-19:30","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",예,,"2-4-1 Nihonbashi, Chuo-Ku, 도쿄 타카시마야 Nihonbashi Branch B1F
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보 1 분 (80m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 6 분 (430m)",,"10 석
((모든 카운터))",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 세련된, 저녁 식사, 쌀, 비 흡연, 세련된, 점심",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28776578.jpg,,https://xn--ecklc6c4f5gtcc.jp/,,,,,
室町ボンクール本店,Murachi Boncourt 메인 스토어,https://retty.me/area/PRE13/ARE15/SUB1503/100000702856/,03-5201-3811,베이커리 카페 케이크 상점 서양식 음식,"[월요일부터 금요일까지]
 7:30-20:00
[토양]
 8:00-18:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"Bansei Murachi Building 1f, 4-3-12, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 2 분 거리 (110m)
JR Yamanote Line / Kanda (도쿄) 역 3 분 (230m)
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (250m)",,7 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 브런치, 아침 식사, 저녁 식사, 쌀, 금연, 지불금 지불 가능",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/27883158.jpg,PayPay,,,,,,
大もり,큰 무게,https://retty.me/area/PRE13/ARE15/SUB1503/100000012168/,03-3241-6865,이자카야 카레,"[월요일부터 금요일까지, 휴일 전]
 11:30-14:00
 17:30-22:30 L.O. 22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,,"Omori Building, 1-11-4, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보 1 분 (78m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 5 분 거리 (340m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 5 분 (360m)",,22 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 저녁 식사, 쌀, 맛있는 레스토랑, 저렴한 레스토랑, 비영리, 쇼치, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/2706106.jpg,PayPay,,,,,,
ふくべ,후브,https://retty.me/area/PRE13/ARE15/SUB1503/100000040949/,03-3271-6065,이자카야 해산물과 해산물,"[월요일부터 금요일과 토요일]
 16:30-22:40",매월 두 번째 토요일마다 매월 네 번째 토요일마다 일요일 휴가,"점심 : ~ 4,000 엔
저녁 식사 : ~ 5,000 엔",불가능합니다,,"1-4-5 Yaesu, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 1 분 거리 (75m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (190m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (280m)",없음,"40 석
(9 석은 카운터에서 이용 가능)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.",,,일본어를 사용할 수 있습니다,사용 가능한 예약,"혼자서 크리스마스 저녁 식사를 즐길 수 있습니다. 이용 가능 세련한 저녁 식사 저녁 식사 맛있는/저렴한 레스토랑 비 조화 Senbero
다른 사용 장면을 참조하십시오",차분한 분위기,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36107938.jpg,,,,,,,
金波,킨파,https://retty.me/area/PRE13/ARE15/SUB1503/100001306752/,03-3277-2721,이자카야,"[월요일부터 금요일까지]
 11:00-13:30
 17:00-23:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"Mochizuki Building, 1-12-7, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 2 분 (130m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 5 분 거리 (330m)
도쿄 메트로 진 자 라인 / 니혼 바시 (도쿄) 역에서 도보 6 분 (410m)",,,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 저녁 식사, 쌀, 맛있고 저렴한 레스토랑, 비소, 세련된 점심",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3306899.jpg,,,,,,,
ラ・シュセット,La Schsett,https://retty.me/area/PRE13/ARE15/SUB1503/100001470729/,03-6661-9706,프랑스 요리 비스트로 게임,"[Sun, 화요일, 금요일, 토요일 및 휴일]
점심 11:30-14:30 L.O. 13:30
저녁 식사 17:30-22:30 L.O. 21:30","매주 월요일
월요일이나 공휴일 인 경우 화요일","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1-7 Nihonbashi Daidenmacho, Chuo-Ku, 도쿄 Nihonbashi North Place 1f
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / 코 덴 마흐 코 스테이션에서 도보 2 분 (140m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 4 분 거리 (320m)
JR Sobu Main Line / Bakurocho Station에서 도보로 7 분 거리 (510m)",,"28 석
(개인 테이블 룸 이용 가능 (1 룸/2 ~ 4 명/커튼 분배기)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",,,,,,,,"점심, 개인 실, 저녁 식사, 쌀, 비 흡연, 개인 실, 점심",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31857088.jpg,,,,,,,
肉寿司 肉和食 KINTAN コレド室町,고기 초밥 고기 일본 음식 Kintan Coredo Murachi,https://retty.me/area/PRE13/ARE15/SUB1503/100001329736/,03-3516-1129,Yakiniku 쇠고기 혀 카포/작은 식당 호르몬 햄버거,"[태양, 월요일부터 금요일, 토요일]
점심 11:00-15:00 L.O. 14:30
[월]
저녁 식사 17:30-21:45 L.O. 21:00
[tue-fri-sat]
저녁 식사 17:30-22:45 L.O. 22:00
[일요일과 휴일]
저녁 식사 17:00-21:45 L.O. 21:00","하루 종일 개점
Coredo Muromachi의 날과 마찬가지로 문을 닫았습니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 10,000 엔",예,,"3F, 2-2-1, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 1 분 (44m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 3 분 거리 (210m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 6 분 거리 (430m)",,62 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 데이트, 소녀의 밤, 연회 및 음주 파티, 개인 객실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 마시기, 와인, 세련된 저녁 식사
다른 사용 장면을 참조하십시오",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34523254.jpg,,http://ww25.muromachi-Kintan.com/?subid1240829-2344-574d-bd32-416ecaf1c42,,,,,
