restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,instagram,lecture,cooking_specialties,drinking_specialties,reservation,usage_scenes,waiting,wifi_available,phone_number,video,available_drinks,service,dress_code,child_friendly,pet_friendly,power_supply_available,foreign_language_support,additional_equipment,qr_code_payment,facebook,twitter,remarks,ic_card_payment,쇼핑 직무 정보,beer_maker,온라인 예약
新橋いずみ,신바시 이즈미,https://retty.me/area/PRE13/ARE2/SUB1601/100001452920/,03-6809-1400,이자카야,"[월요일부터 금요일, 토요일, 휴일]
 17:00-2:00",매주 일요일,"점심:-
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB","3-9-5 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 4 분 거리 (250m)
Toei Mita Line / Uchisaicho 역에서 도보로 4 분 거리 (320m)
Toei Oedo Line / Shiodome 역에서 도보로 5 분 (360m)",,,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,개인 룸 저녁 흡연 허용 늦은 밤 Shochu는 취할 수 있습니다.,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/25318706.jpg,,,,,,,,,,,,2 층이 있습니다,,,,
しんばし 初藤,신바시 하츠 토,https://retty.me/area/PRE13/ARE2/SUB1601/100000750368/,03-3580-2856,Izakaya 일본 요리 해산물 및 해산물 요리 소바 (소바) Okonomiyaki 햄버거,"[월요일부터 금요일까지]
 11:00-23:00
[토요일/휴일]
 11:00-22:00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",Amex,"2F, New Shinbashi Building, 2-16-1, 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보 2 분 (95m)
Toei Oedo Line / Shiodome 역에서 도보로 3 분 거리 (190m)
Toei Mita Line / Uchisaicho 역에서 도보로 5 분 (330m)",,74 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",,https://hatsufuji.com/,,,,,,"점심 연회/음주 파티 싱글을위한 개인 방 작별 파티 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티 술을 마시는 와인 저녁 식사 쌀을 마시는 사다
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34625676.jpg,,,,,,,,,,,,,,,,
鮨 創作和食 長部,"초밥, 창조적 인 일본 요리, 머리",https://retty.me/area/PRE13/ARE2/SUB1601/100000085864/,03-3433-7016,초밥 해산물 그릇,,,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",,"1 층, Noshiro Building, 6-10, 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Onarimon Station에서 도보로 5 분 (400m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 7 분 거리 (490m)
Toei Oedo Line / Shiodome 역에서 도보로 7 분 거리 (520m)",,"10 석
(카운터에서 6 석, 4 명을위한 1 개의 테이블)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,연회/음주 파티 작별 파티를 환영 파티 연말 파티 새해 파티 맛있는 레스토랑/저렴한 레스토랑 비 스모킹,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/12813047.jpg,,,,,,,,,,,,,,,,
しまだ鮨,시마 다시 초밥,https://retty.me/area/PRE13/ARE2/SUB1601/100000058270/,03-3501-0411,"초밥, 해산물, 사시미, 쌀 그릇","[월요일부터 금요일과 토요일]
점심 11:30-14:00
저녁 식사 17:00-22:00 L.O. 21:00","매주 일요일
월요일이 국경일이면 문을 닫습니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 15,000 엔",Amex,"1-13-6 Nishishinbashi, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Uchisaicho 역에서 도보로 2 분 거리 (140m)
도쿄 메트로 마루치 노선 / 카스 수미 제지 스테이션에서 도보 5 분 (380m)
도쿄 메트로 진 자 라인 / 토라노몬 역에서 도보로 5 분 (390m)",,31 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,http://www.shimadazushi.com/,,,,,,"점심, 개인 실, 저녁 식사, 쌀, 흡연 허용, 개인 실 점심",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3483422.jpg,,,,,,,,,,,,,,,,
すし処 まさ,Sushidokoro Masa,https://retty.me/area/PRE13/ARE2/SUB1601/100000041977/,080-5442-9866,초밥,"[월요일부터 금요일, 토요일, 휴일 전]
 17:30-22:00","매주 일요일과 공휴일
17:30에서 20:30 및 20:30으로의 두 번의 변화","점심:-
저녁 식사 : ~ 10,000 엔",불가능합니다,"신바시 에키 마 빌딩 No. 2 B1F, 2-21-1, 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 1 분 (10m)
Toei Oedo Line / Shiodome 역에서 도보로 1 분 (60m)",,3 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"싱글 OK Entertainment 크리스마스 저녁 식사 세련된 저녁 식사 저녁 식사 비 흡연 페이 페이 지불 이용 럭셔리 크리스마스 크리스마스 크리스마스 2024
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36545278.jpg,,,,,,,,,PayPay,,,,,,,
寿し かわごえ,초밥 카와이,https://retty.me/area/PRE13/ARE2/SUB1601/100000715573/,03-6450-1272,초밥,,,"점심 : ~ 2,000 엔
저녁 식사 : ~ 10,000 엔",,"2F, Dr Building, 6-5-3, 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Onarimon Station에서 도보로 5 분 (340m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 7 분 거리 (560m)
JR Yamanote Line / Shinbashi Station에서 도보로 7 분 거리 (560m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,금연,,,,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/34312342.jpg,,,,,,,,,,,,,,,,
Bar & Mixology No Shaker,바 & 믹스 학자 없음 쉐이커,https://retty.me/area/PRE13/ARE2/SUB1601/100000821072/,050-5304-8385,술집,"[월요일부터 금요일과 토요일]
 19:00-30:00
영업 시간이 변경되었습니다
오후 7시 - 오전 6시 다음날 아침","매주 일요일
월요일이 국경일이라면 우리는 문을 닫습니다.","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","3-9-2 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 5 분 (330m)
Toei Mita Line / Uchisaicho 역에서 도보 6 분 (450m)
Toei Oedo Line / Shiodome 역에서 도보로 8 분 (600m)",없음,10 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"https://barnoshaker.owst.jp/
https://www.hotpepper.jp/strj001168399/",,,,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",,"날짜, 결혼식, 파티, 결혼 기념일, 솔로, 흡연 허용, 늦은 밤, 온라인 예약 가능, 캐주얼
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
골목을 향합니다",예,03-6721-5912,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000821072/archive/1219825-5db6c27d9bb6d.jpg,,,평상복,불가능합니다,불가능합니다,예 (무료),"영어
언어를 말할 수있는 직원이 있습니다",TV 및 모니터 사용 가능,,,https://x.com/no_shaker,,,,,
ザ・ローズ&クラウン 新橋店,Rose & Crown Shinbashi 매장,https://retty.me/area/PRE13/ARE2/SUB1601/100000060861/,03-3597-0045,맥주 홀 스테이크 펍 햄버거,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-15:00
[월요일 ~ 목요일]
저녁 식사 17:00-23:30
[금요일/휴가 전]
저녁 식사 17:00-26:00
[토양]
저녁 식사 17:00-23:00
*개장 시간은 각 지방 정부의 정책과 귀하가 거주하는 상업 시설에 따릅니다.","매주 일요일과 공휴일
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
JCB","신바시 브릭 스트리트 홀 1F, 2-14-3, 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Uchisaicho 역에서 도보로 3 분 거리 (180m)
JR Yamanote Line / Shinbashi Station에서 도보로 3 분 거리 (240m)
Toei Oedo Line / Shiodome 역에서 도보로 5 분 (390m)",없음,120 석,예,"예
(점심은 흡연으로 분리되며 모든 좌석은 저녁 식사를 위해 담배를 피 웁니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,,,,우리는 고기 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 개인 실, 싱글 룸, 크리스마스 저녁 식사, 어린이와 함께 즐기기, 영어를 구사할 수있는, 개인 실, 저녁 식사, 고기, 흡연 허용, 전용 객실 점심, 개인 객실 엔터테인먼트, 늦은 밤, 애프터 파티
다른 사용 장면을 참조하십시오","활발한 상점
골목을 향합니다",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000060861/archive/1168817-5d95e2adcb4f5.jpg,"3,000 엔에서 3,999 엔으로 인한 싱글 링크와 5,000 엔 이상을위한 all-you-can-drink, 2 시간 동안 싱글 링크를 포함한 코스가 포함 된 코스가 있습니다.",,없음,예,불가능합니다,,"영어
직원과 함께 언어 지원 메뉴가 있습니다",프로젝터 및 사운드 장비,,,,,,,,
オールドタイランド 新橋店,오래된 태국 신 바시 상점,https://retty.me/area/PRE13/ARE2/SUB1601/100000697397/,03-6206-1532,"태국 음식, 실란트로 요리, 카레","[월요일부터 금요일, 토요일, 휴일]
점심 11:30-15:00 L.O. 14:30
[토요일/휴일]
저녁 식사 17:00-23:00 L.O. 22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,"K-451F, 2-15-3 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 3 분 거리 (170m)
Toei Mita Line / Uchisaicho 역에서 도보로 3 분 거리 (240m)
Toei Oedo Line / Shiodome 역에서 도보로 4 분 거리 (300m)",,34 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명",,https://www.sscy.co.jp/business_restaurant/oldthailand/,,,,,,"점심, 데이트, 소녀의 밤, 연회 및 음주 파티, 개인 실, 싱글, 성인 은신처, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 세련된, 저녁 식사, 비 흡연, 개인 객실 점심
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000697397/archive/1664732-5eb220843c48c.jpg,,,,,,,,,PayPay,,,,,,,
炭の屋でですけ,숯 가게에서,https://retty.me/area/PRE13/ARE2/SUB1601/100000749207/,03-3431-3442,이자카야 야키토리,"[월요일부터 금요일, 토요일, 휴일]
 11:30-20:00 L.O. 18:00
[낮]
 12:00-20:00 L.O. 18:00
*영업 시간은 현재 업무 시간을 단축하도록 요청 받고 있습니다.","1 월 1 일, 1 월 2 일, 1 월 3 일, 1 월 4 일, 12 월 31 일
새해 휴일 (확인하십시오)
*직원이 집에 없을 때는 음성 지침을 사용하여 예약이 수락됩니다.
<비즈니스 정보>
◎ 16 : 00-18 : 30 숨겨진 시간
↑ 해피 아워 이벤트 : 컵당 300 엔.

△ 18 : 30-21 : 00 예약을 일찍 예약하십시오.

〇21 : 00-27 : 00 연락하여 그룹인지 확인하십시오.","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Nishihara Building 1f, 3-16-4 Shinbashi, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 1 분 (80m)
Toei Oedo Line / Shiodome 역에서 도보로 3 분 거리 (190m)
Toei Mita Line / Uchisaicho 역에서 도보로 5 분 (380m)",없음,70 석,예,"연기 분리
(2020 년 4 월 1 일부터 지하 좌석 만 담배를 피 웁니다 (전자 담배 만 해당).
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명",https://www.dedesuke.com/suminoya/,,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"점심 모든 당신이 흠뻑 젖은 연회/음주 파티 개인 방 약혼 저녁 식사 싱글 게스트 엔터테인먼트 작별 파티를 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티 음료 음료 와인 어린이와 함께 즐기십시오.
다른 사용 장면을 참조하십시오","활발한 상점
숨는 곳
골목을 향합니다",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000749207/archive/314461-5a06f63b5b9b0.jpg,"전 만점 가격 : 1,000-1,999 엔, 4,000-4,999 엔 (4,000-4,999 엔), 5,000 엔 이상에서 온 올스크 링크, 2 시간 동안 2 시간 동안 2 시간 동안 2 시간 동안, 2 시간 동안, 3 시간 동안, 모두 3 시간 동안, 모두, 2 시간 동안, 싱글 링크를 다루고 있습니다. 3 시간 반 동안 만약을 모두 마시십시오","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성
배송 가능",없음,예,,,,,PayPay,,,,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon",,,
Bar & Mixology No Shaker,바 & 믹스 학자 없음 쉐이커,https://retty.me/area/PRE13/ARE2/SUB1601/100000821072/,050-5304-8385,술집,"[월요일부터 금요일과 토요일]
 19:00-30:00
영업 시간이 변경되었습니다
오후 7시 - 오전 6시 다음날 아침","매주 일요일
월요일이 국경일이라면 우리는 문을 닫습니다.","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","3-9-2 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 5 분 (330m)
Toei Mita Line / Uchisaicho 역에서 도보 6 분 (450m)
Toei Oedo Line / Shiodome 역에서 도보로 8 분 (600m)",없음,10 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"https://barnoshaker.owst.jp/
https://www.hotpepper.jp/strj001168399/",,,,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",,"날짜, 결혼식, 파티, 결혼 기념일, 솔로, 흡연 허용, 늦은 밤, 온라인 예약 가능, 캐주얼
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
골목을 향합니다",예,03-6721-5912,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000821072/archive/1219825-5db6c27d9bb6d.jpg,,,평상복,불가능합니다,불가능합니다,예 (무료),"영어
언어를 말할 수있는 직원이 있습니다",TV 및 모니터 사용 가능,,,https://x.com/no_shaker,,,,,
cafe VAN,카페 밴,https://retty.me/area/PRE13/ARE2/SUB1601/100000755869/,03-3434-6448,카페,"[월요일부터 금요일과 토요일]
 7:00-20:00","매주 일요일과 공휴일
토요일에 불규칙한 휴일","점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,"5-17-5 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shiodome 역에서 도보로 6 분 (410m)
JR Yamanote Line / Shinbashi Station에서 도보로 6 분 (420m)
Toei Mita Line / Onarimon Station에서 도보로 7 분 거리 (520m)",없음,,예,"연기 분리
(흡연은 테라스 좌석에서만 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,http://cafevan-shimbashi.com/,,,"우리는 야채 요리, 생선 요리 및 채식 메뉴에 대해 특별합니다.","술, 쇼카, 와인, 칵테일",사용 가능한 예약,"점심, 연회 및 음주 파티, 싱글, 싱글, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 아이들과 함께 즐기기
다른 사용 장면을 참조하십시오",숨는 곳,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3736697.jpg,,"놀라운 응답 가능
축하 가능성",,예,예,,,,PayPay,https://www.facebook.com/cafe-van-272068182895832/,,,,,,
もつ焼き カミヤ,카미야 모츠야키,https://retty.me/area/PRE13/ARE2/SUB1601/100000727953/,03-3436-1391,호르몬,"[월요일부터 금요일까지, 휴일 전]
 16:30-23:00 L.O. 22:30",매주 토요일마다 일요일 휴가,"점심:-
저녁 식사 : ~ 3,000 엔",불가능합니다,"4-19-1 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보 2 분 (150m)
Toei Oedo Line / Shiodome 역에서 도보로 3 분 거리 (230m)",,30 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,싱글은 괜찮아 세련된 저녁 식사 저녁 식사 맛/저렴한 레스토랑 흡연 허용 주 쿠가 술에 취할 수 있습니다.,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36371789.jpg,,,,,,,,,,,,,,,,
とんかつ 酒菜 くら,"돼지 고기 커틀, 사케, 쿠라",https://retty.me/area/PRE13/ARE2/SUB1601/100001273545/,03-3597-9522,돼지 고기 커틀릿 세트 식사,"[월요일부터 금요일과 토요일]
 11:30-14:30
[월요일부터 금요일까지]
 17:30-21:30",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",Amex,"1f Maruman5 Building, 1-11-8 Nishishinbashi, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Uchisaicho 역에서 도보로 3 분 거리 (190m)
도쿄 메트로 긴자 라인 / 토라노몬 역에서 도보로 5 분 거리 (330m)
도쿄 메트로 마루치 노선 / 카스 수미 제지 스테이션에서 도보로 5 분 (360m)",,8 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 저녁 식사, 저녁 식사, 금연, 지불금 지불 가능",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28656976.jpg,,,,,,,,,PayPay,,,,,,,
旬彩酒楽 寅正,Shunsai Sake Raku Toramasa,https://retty.me/area/PRE13/ARE2/SUB1601/100001683871/,03-3289-0030,이자카야 일본 요리 돼지 고기 요리,"[월요일부터 금요일까지]
점심 11:00-15:00 L.O. 14:30
[월요일 ~ 목요일]
저녁 식사 17:00-26:00 L.O. 25:30
[금]
저녁 식사 17:00-29:00 L.O. 28:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
언제든지 Instagram에 게시되었습니다","매주 토요일마다 일요일 휴가
새해 휴일 (확인하십시오)
Instagram에 대한 알림도 있습니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Isobe Building B1F, 2-18-4 Shinbashi, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 1 분 (40m)
Toei Oedo Line / Shiodome 역에서 도보 2 분 (100m)","예
근처 (할인 없음) 사용 가능","23 석
(12 개의 카운터 좌석, 4 개의 테이블, 2 개의 테이블, 3 개의 테이블)",예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,https://www.instagram.com/toramasa_tokyo,,"우리는 야채 요리, 고기 요리, 생선 요리, 현지 농산물, 채식 메뉴, 어린이 메뉴 및 매장 내 준비에 대해 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"첫 번째 열차가 밤 늦게 열릴 때까지 개장 할 때까지 점심 연회/음주 파티 작별 파티를 환영 파티 연말 파티 새해 파티를 마실 수 있습니다
다른 사용 장면을 참조하십시오",숨는 곳,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001683871/archive/3299491-662cfe0086bb.png,,,,예,,,"영어
언어 지원 메뉴가 있습니다",,PayPay,,,PayPay와 같은 다양한 QR 지불이 가능합니다,"Suica, Rakuten Edy, Waon, Quicpay",,,
旬彩酒楽 寅正,Shunsai Sake Raku Toramasa,https://retty.me/area/PRE13/ARE2/SUB1601/100001683871/,03-3289-0030,이자카야 일본 요리 돼지 고기 요리,"[월요일부터 금요일까지]
점심 11:00-15:00 L.O. 14:30
[월요일 ~ 목요일]
저녁 식사 17:00-26:00 L.O. 25:30
[금]
저녁 식사 17:00-29:00 L.O. 28:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
언제든지 Instagram에 게시되었습니다","매주 토요일마다 일요일 휴가
새해 휴일 (확인하십시오)
Instagram에 대한 알림도 있습니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Isobe Building B1F, 2-18-4 Shinbashi, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 1 분 (40m)
Toei Oedo Line / Shiodome 역에서 도보 2 분 (100m)","예
근처 (할인 없음) 사용 가능","23 석
(12 개의 카운터 좌석, 4 개의 테이블, 2 개의 테이블, 3 개의 테이블)",예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,https://www.instagram.com/toramasa_tokyo,,"우리는 야채 요리, 고기 요리, 생선 요리, 현지 농산물, 채식 메뉴, 어린이 메뉴 및 매장 내 준비에 대해 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"첫 번째 열차가 밤 늦게 열릴 때까지 개장 할 때까지 점심 연회/음주 파티 작별 파티를 환영 파티 연말 파티 새해 파티를 마실 수 있습니다
다른 사용 장면을 참조하십시오",숨는 곳,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001683871/archive/3299491-662cfe0086bb.png,,,,예,,,"영어
언어 지원 메뉴가 있습니다",,PayPay,,,PayPay와 같은 다양한 QR 지불이 가능합니다,"Suica, Rakuten Edy, Waon, Quicpay",,,
鹿児島県霧島市 塚田農場 新橋レンガ通り店,"Tsukada Farm Shinbashi Brick Street Branch, Kirishima City, Kagoshima 현",https://retty.me/area/PRE13/ARE2/SUB1601/100000702996/,050-3032-2048,이자카야 치킨 요리 현지 요리 소바 (Soba),"[월요일부터 금요일까지]
 17:00-23:00
[태양/토요일]
 16:00-23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔",예,"2F, Mikuni Shinbashi Building, 2-14-6, Shinbashi, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Uchisaicho 역에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Shinbashi Station에서 도보로 4 분 거리 (260m)
Toei Oedo Line / Shiodome 역에서 도보로 5 분 (400m)",없음,106 석,없음,"연기 분리
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://shop.ap-holdings.jp/tsukadanojo/detail/69/,,,고기 요리 전문,Shochu를 사용할 수 있습니다,,"연회 및 음주 파티 작별 파티를 환영 파티 연말 파티 새해 파티 술을 마시면 아이들과 함께 즐거운 와인을 마시는 술을 마실 수 있습니다.
다른 사용 장면을 참조하십시오",,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/17670413.jpg,,,없음,예,불가능합니다,불가능합니다,,,PayPay,,,,,,선 토리,
