식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,사용 장면,Wi-Fi 사용,전화 번호,영상,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,대기,서비스,예약,아이들이 들어 오세요,드레스 코드,애완 동물,외국어 지원,전원 공급 장치 사용,추가 장비,IC 카드 지불,인스 타 그램,쇼핑 직무 정보,페이스 북,X (트위터),맥주 제작자
やさいの王様 日比谷シャンテ店,쉬운 Hibiya Chante 상점의 왕,https://retty.me/area/PRE13/ARE2/SUB202/100000039293/,050-5461-4357,야채 요리 창의적인 요리,"[하루 종일]
 11:00-22:00 L.O. 21:00
바이러스의 확산이 증가함에 따라 업무 시간은 3 월 22 일부터 오후 11시 ~ 10시 00 시가되며 알코올은 재개됩니다!","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 5,000 엔",예,PayPay,"Toho Hibiya 건물 1-2-2 Yurakucho, Chiyoda-Ku, 도쿄 (Hibiya Chante) 본관 B2F
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (110m)
JR Yamanote Line / Yurakucho 역에서 도보로 6 분 (450m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보 6 분 (460m)",,58 석,없음,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://yasai-no-ohsama.com/,,"점심, 여자 밤, 싱글 OK, 저녁 식사, 저녁 식사, 점심 날짜, 세련된 점심, 모든 흠집, 새해 파티, 환영 파티, 금연, 지불금 지불 가능, 점심 음주, 크리스마스 2024, 성인 연말 파티, 스타일리쉬
다른 사용 장면을 참조하십시오",,03-5501-9881,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000039293/archive/1891137-5f7543a687ab0.png,,,,,,,,,,,,,,,,,,,
日比谷サロー,Hibiya Saro,https://retty.me/area/PRE13/ARE2/SUB202/100000020165/,050-5304-4667,비어 가든 테이크 아웃,"[tue-fri]
점심 11:30-14:30 L.O. 14:00
저녁 식사 16:00-21:30
[태양/토요일]
 11:30-18:00 L.O. 17:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
자세한 내용은 공식 FB를 확인하십시오.
주중 : 11 : 30-21 : 00 (최대 21:30)
토요일, 일요일 및 휴일 : 11 : 30-18 : 00 (시즌에 따라 20:00)
*비즈니스 시간은 악천후 중에 변할 수 있으며 개막 시간은 계절에 따라 다를 수 있습니다. 자세한 내용은 소셜 미디어 또는 기타 수단에 문의하십시오.
■ 닫힌 날
월요일 (휴일 변경, 휴일 가능)","매주 월요일
자세한 내용은 공식 웹 사이트를 확인하십시오.
주중 : 11 : 30-21 : 00 (최대 21:30)
토요일, 일요일 및 휴일 : 11 : 30-18 : 00 (시즌에 따라 20:00)
*비즈니스 시간은 악천후 중에 변할 수 있으며 개막 시간은 계절에 따라 다를 수 있습니다. 자세한 내용은 소셜 미디어 또는 기타 수단에 문의하십시오.
■ 닫힌 날
월요일 (휴일 변경, 휴일 가능)","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1-1 Hibiya Park, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 3 분 거리 (170m)
JR Yamanote Line / Yurakucho 역에서 도보로 3 분 거리 (170m)","없음
근처 (할인 없음) 사용 가능","135 석
(1 층 테라스 약 120 석, 2 층에 독점적으로 예약 된 45 개의 개인 실)",없음,"불가능합니다
(흡연 구역 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 가능 (좌석) : 120 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
최대 150 명이 예약 할 수 있습니다 (독점 식사)","[공식적인]
https://hibiyasaro.foodre.jp/
https://hibiyasaroh.jp/","16:00- 테이블 충전 ¥ 200
코스 식사에는 요금이 포함됩니다.","점심, 점심, 저녁 식사, 모든 링크, 엔터테인먼트, 데이트, 개인 실, 새해 파티, 개인 객실 점심, 개인 방 날짜, 점심 날짜, 크래프트 맥주 즐기기, 캐주얼, 환영 파티
다른 사용 장면을 참조하십시오",예,03-3591-2411,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000020165/archive/2078044-5fac3280ec09d.jpeg,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","5,000 엔이 넘는 싱크대를 포함하는 코스가 있으며, 한 시간 반 동안 냉담한 링크가 포함됩니다.",우리는 생산 영역에 대해 특히 그렇습니다. 매우 매운 메뉴가 있고 매장 내에서 준비된,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 샤 옥싱 와인","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
나이트 뷰를 볼 수 있습니다
단독 주택 레스토랑
숨는 곳
테라스가 있습니다","축하 가능성
테이크 아웃 가능성",사용 가능한 예약,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",없음,"예
상점 밖에서 사용할 수 있습니다","영어
언어 지원 메뉴가 있습니다",불가능합니다,"TV 및 모니터, 오디오 장비","Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Quicpay",,,https://www.facebook.com/hibiyasaroh/,,
春秋ツギハギ 日比谷,봄과 가을 Hibiya,https://retty.me/area/PRE13/ARE2/SUB202/100000010835/,050-5304-5857,일본 음식 테이크 아웃,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 13:30
저녁 식사 17:00-22:30 L.O. 21:30
[태양, 토요일, 휴일]
점심 11:30-15:00 L.O. 13:30
저녁 식사 17:00-22:00 L.O. 21:00","하루 종일 개점
∎ 새해 휴가 중 닫기 ・ 첫 번째 일요일에 저녁 식사를 위해 문을 닫았습니다.","점심 : ~ 4,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Nissei Building B1F, 1-1-1 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (33m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (36m)",예,"275 석
(테이블 좌석, 소파 좌석, 스시 카운터 시트, 완전히 개인 실, 반 개인 객실, 50 명 이상을위한 대형 개인 객실)","예
(스시 카운터)","예
흡연실 사용 가능
(흡연은 점심 시간 동안 금지됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,"https://shunjutsugihagi-hibiya.foodre.jp/
http://www.shunju.com/ja/restaurants/tsugihagi/",,"싱글은 저녁, 점심, 점심, 데이트, 개인 실, 저녁 식사, 고기, 엔터테인먼트, 와인, 페이 페이 포인트, 연말 파티, 새해 파티에 적합합니다.
다른 사용 장면을 참조하십시오",예,03-3595-0511,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000010835/archive/2465389-612cbc9df0ec5.jpg,,,,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일","차분한 분위기
숨는 곳",,사용 가능한 예약,"불가능합니다
유아 및 어린이, 유치원 어린이, 초등학생 및 어린이 메뉴 이용 가능",,불가능합니다,,,프로젝터와 휴대품 룸이 있습니다,,,,,,
厚切り牛タン食べ放題 一心たん助 旦 有楽町,두꺼운 얇게 썬 쇠고기 혀 isshin tansuke dan yurakucho를 먹을 수있는 모든 것,https://retty.me/area/PRE13/ARE2/SUB202/100001578234/,03-6268-8515,야키 니쿠 쇠고기 혀 고기 바,"[하루 종일]
저녁 식사 16:00-22:00 L.O. 21:40",새해 휴일 (확인하십시오),"점심 : 비즈니스 시간
저녁 식사 : ~ 8,000 엔",예,PayPay,"1F 난초 광장 건물, 1-2-11 유라쿠치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (160m)
JR Yamanote Line / Yurakucho Station에서 도보 2 분 (160m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (230m)",예,"48 석
(좌석이 매일 가득 차 있기 때문에 좌석 요청을받지 않습니다. 모든 좌석은 열려 있습니다.)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,https://isshintansuke.tokyo/,,PayPay 지불 이용 가능한 연말 파티 새해 파티 All-You-Can Eat and Drink Christmas 2024 세련된,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001578234/archive/2685962-6263853215adc.jpg,"5,000 ~ 5,999 엔 코스로 제공됩니다","999 엔 미만의 all-you-can-drink 가격, 모든 당신이 마시는 가격 1000-1999 엔, 한 시간 반 동안 당신이 흠집",,"맥주, 쇼카, 위스키, 칵테일","활발한 상점
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",사용 가능한 예약,불가능합니다,,불가능합니다,,,,,,,,,
四万十川 銀座,Shimanto River Ginza,https://retty.me/area/PRE13/ARE2/SUB202/100001466718/,050-5262-8439,이자카야 테이크 아웃 스시,"[하루 종일]
저녁 식사 16:00-23:00 L.O. 22:00",*새해 공휴일 동안 영업일 및 시간이 바뀔 수 있습니다.,"점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Shinkansen 고가 트랙 아래 건물 1F, 2-1-21 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 2 분 거리 (99m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (110m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보 2 분 (130m)",없음,"114 석
(타타미 좌석 이용 가능 / Horikotatsu 좌석 이용 가능)",예,"불가능합니다
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,"https://www.dd-holdings.jp/brands/shimantogawa/
https://www.dd-holdings.jp/shops/shimantogawa/yurakucho#/
https://www.dd-holdings.jp/brands?company=1","다른 지불 방법
카드 : UnionPay
전자 돈 : ID
QR 지불 : Paypay, Rakuten Pay, DPay, Aupay, Merpay, Wechatpay, Alipay, Bank Pay","데이트, 저녁 식사, 저녁 식사, 저녁, 술, 점심 날짜, 세련된, 아이들과 함께 즐기고, 혼자서, 쿠폰을 이용할 수 있고, 새해 파티, 세련된
다른 사용 장면을 참조하십시오",예,03-3591-5202,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001466718/archive/2225218-602b2e9ec28d3.jpg,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","5,000 엔 이상을 사용할 수 있습니다",,"맥주, 사케, 쇼치, 와인, 칵테일","풍경은 아름답습니다
차분한 분위기",,사용 가능한 예약,예,,,,,,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon",,,https://www.facebook.com/dd.shimanto.yurakucho/,,
LEXUS MEETS...,렉서스가 만나 ...,https://retty.me/area/PRE13/ARE2/SUB202/100001750827/,050-5462-8127,카페 과자,"[하루 종일]
점심 11:00-22:00 L.O. 21:30
11 : 00-22 : 00을 꺼내십시오",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"도쿄 미드 타운 Hibiya 1f, 1-1-2 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (70m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (70m)","예
특별 P 사용 가능",110 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,https://lexus.jp/brand/lexus_meets/,,"싱글 OK 점심, 저녁 식사, 마시기, 저녁 식사, 저녁 식사, 저녁 식사, 와인, 세련된",예,03-6273-3225,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36450295.jpg,,,,,,,사용 가능한 예약,,,,,,,,https://www.instagram.com/lexusmeets/,,,,
サバティーニ・ディ・フィレンツェ 東京店,사바 티니 디 플로렌스 도쿄,https://retty.me/area/PRE13/ARE2/SUB202/100001438060/,03-3508-4800,이탈리아 음식 파스타 서부 음식,"[하루 종일]
점심 11 : 30-15 : 00 L.O. 14:00
[월요일부터 금요일과 토요일]
저녁 식사 17 : 30-22 : 00 L.O. 20:00
[일요일과 휴일]
저녁 식사 17:30-21:30 L.O. 19:30","매년 1 월 1 일
시설과 동일합니다","점심 : ~ 6,000 엔
저녁 식사 : ~ 30,000 엔","비자
마스터 카드
Amex
식당
JCB",,"3f Hulic Square, 2-2-3 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (61m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (63m)
도쿄 메트로 긴자 라인 / Ginza Station에서 도보 1 분 (78m)","예
이웃 P (할인) 사용 가능","76 석
((◆ 개인 사용에 대한 최소 보증 (가격 수수료) (세금 제외) [점심] 주중 : 420,000 엔; 토요일, 일요일 및 휴일 : 630,000 엔; [저녁 식사] 일요일 : 630,000 엔; 토요일, 평일; 예산은 예산 일뿐입니다.",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://sabatini-tokyo.com/,,"날짜 연말 파티 크리스마스 저녁 식사 새해 파티 성인 새해 파티 크리스마스 2024 성인 연말 파티 럭셔리 크리스마스
다른 사용 장면을 참조하십시오",예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001438060/archive/2845117-631fe602c059c.jpg,,,,,,,,"불가능합니다
초등학생들은 환영합니다",반 공식,,,,,,,,,,
DIYA 東京ミッドタウン日比谷店,디야 도쿄 미드 타운 히비야 매장,https://retty.me/area/PRE13/ARE2/SUB202/100001410966/,050-5462-2505,인도 요리 인도 카레 닭 요리,"[하루 종일]
 11:00-22:30 L.O. 21:30","하루 종일 개점
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",예,PayPay,"도쿄 미드 타운 Hibiya, 1-1-2 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (73m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (76m)",,60 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://diya-midtownhibiya.foodre.jp/
https://www.hibiya.tokyo-midtown.com/jp/restaurants/22000/",,"작별 파티, 여자 밤, 점심, 세련된 점심, 세련된 점심, 크리스마스 저녁 식사, 크래프트 맥주, 급여 지불 지불, 새해 파티, 점심 시간 음주, 빠르고 쉬운 연말 파티, 빠르고 쉬운 새해 파티, 캐주얼
다른 사용 장면을 참조하십시오",,03-6550-8765,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001410966/archive/2356296-609e16e862e62.jpeg,,,,,,,,,,,,,,,,,,,
王道焼肉豆だいふく,클래식 Yakiniku Beans daifuku,https://retty.me/area/PRE13/ARE2/SUB202/100001712820/,03-6206-1298,야키니쿠 호르몬 이자카야,"[하루 종일]
 16:00-23:00",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 8,000 엔",,,"G22, 1-7-1 Uchisai-Cho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 4 분 거리 (250m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 4 분 (250m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 4 분 거리 (290m)",,,,,,,,,연말 파티 새해 파티 디너 식사 크리스마스 크리스마스 2024 세련된,,,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/34863162.jpg,,,,,,,,,,,,,,,,,,,
やさいの王様 日比谷シャンテ店,쉬운 Hibiya Chante 상점의 왕,https://retty.me/area/PRE13/ARE2/SUB202/100000039293/,050-5461-4357,야채 요리 창의적인 요리,"[하루 종일]
 11:00-22:00 L.O. 21:00
바이러스의 확산이 증가함에 따라 업무 시간은 3 월 22 일부터 오후 11시 ~ 10시 00 시가되며 알코올은 재개됩니다!","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 5,000 엔",예,PayPay,"Toho Hibiya 건물 1-2-2 Yurakucho, Chiyoda-Ku, 도쿄 (Hibiya Chante) 본관 B2F
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (110m)
JR Yamanote Line / Yurakucho 역에서 도보로 6 분 (450m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보 6 분 (460m)",,58 석,없음,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://yasai-no-ohsama.com/,,"점심, 여자 밤, 싱글 OK, 저녁 식사, 저녁 식사, 점심 날짜, 세련된 점심, 모든 흠집, 새해 파티, 환영 파티, 금연, 지불금 지불 가능, 점심 음주, 크리스마스 2024, 성인 연말 파티, 스타일리쉬
다른 사용 장면을 참조하십시오",,03-5501-9881,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000039293/archive/1891137-5f7543a687ab0.png,,,,,,,,,,,,,,,,,,,
個室ダイニング ウメ子の家 有楽町駅前店,개인 식당 Umeko 's House Yurakucho Ekimae 지점,https://retty.me/area/PRE13/ARE2/SUB202/100000731885/,050-5303-1803,이자카야,"[하루 종일]
 17:00-23:30 L.O. 22:30
*마지막 음료 주문은 마감 시간 30 분 전입니다.
*개장 시간 전에도 연회를 이용할 수 있습니다!
*공식 웹 사이트에는 이해하기 쉽고 큰 거래가 포장되어 있습니다! 아래의 ""홈페이지""를 방문하십시오",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔",예,,"Yurakucho의 7f, 2-3-5 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (15m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (17m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보로 1 분 (56m)",없음,140 석,없음,"연기 분리
흡연실 사용 가능
(좌석 외에도 상점 안에는 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,https://umeko.dkdining.com/ginza//,"dpay/aupay/line pay/rakuten pay/merpay/alipay/wechat pay/paypay/id
좌석 수수료가 있습니다. (코스 당시 가격에 포함)","저녁 식사, 고기, 개인 실, 연회 및 음료, 모든 링크, 쌀, 연말 파티, 새해 파티, 작별 파티, 환영 파티, 흡연 허용, 쿠폰 가능, 급여 판매 포인트, 온라인 예약, 캐주얼, 새해 신년 파티
다른 사용 장면을 참조하십시오",없음,050-2018-8860,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000731885/archive/3285371-6613f9eb7f227.jpg,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크",고기 요리 전문,"맥주, 와인, 칵테일","조용한 가게
차분한 분위기","놀라운 응답 가능
축하 가능성",,,,,,,,,,,,,
板前バル LIVE FISH MARKET 日比谷グルメゾン店,Hibiya Gourmet Bar Live Fish Market Hibiya Gourmet 매장,https://retty.me/area/PRE13/ARE2/SUB202/100001547324/,03-6807-5780,스시 소바 (소바) 이자카야,"[월요일부터 금요일까지]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-23:30 L.O. 22:30
[토양]
 11:00-23:30 L.O. 22:30
[일요일과 휴일]
 11:00-23:00 L.O. 22:00
점심
(우리는 주말과 휴일에 점심 메뉴를 제공하지 않습니다. 하루 종일 저녁 식사 메뉴 만 제공됩니다.)
저녁
(주말과 휴일에는 유휴 시간이 없으므로 언제든지 먹을 수 있습니다.)","하루 종일 개점
(우리는 1/1/12에만 문을 닫습니다)","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Hibiya Gourmet, 1-7-21 Uchisai-Cho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 5 분 (340m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 5 분 (340m)
JR Yamanote Line / Shinbashi Station에서 도보로 5 분 거리 (340m)",없음,"56 석
(카운터의 6 석, 30 개의 테이블, 20 개의 개인 실 (개인 실에 대한 최소 보장 수수료는 점심 시간 10 만 엔, 저녁 식사 시간에는 250,000 엔입니다. 자세한 내용은 전화로 문의하십시오.)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,,,"점심 모든 당신이 점화 된 연회와 음주 파티 싱글 OK Entertainment Farewell 파티 환영 파티 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술 마시는 와인 저녁 식사 쌀 지불금 지불 이용 가능한 세련된 성인 연말-엔드 파티
다른 사용 장면을 참조하십시오",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001547324/archive/2109724-5fbcae91af8d8.jpg,,,,,,,사용 가능한 예약,,,,,,,,https://www.instagram.com/itamaebarhibiya/,,,,
全席個室じぶんどき有楽町日比谷店,모든 좌석 개인 실 jibundoki yurakucho hibiya 지점,https://retty.me/area/PRE13/ARE2/SUB202/100001692580/,050-5462-2626,Izakaya 크리에이티브 요리 일본 요리,"[하루 종일]
 17:00-23:30",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Matsui Building 3.4f, 1-6-8 Yurakucho, Chiyoda-Ku, 도쿄, 3 층
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (42m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (43m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보 2 분 (140m)",없음,152 석,없음,"연기 분리
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,좌석 수수료가 있습니다. (코스 당시 가격에 포함),"저녁 식사, 연회 및 음료, 쌀, 고기 페이 페이 지불 이용 가능 Paypay Points 온라인 예약 이용 가능 연말 파티 파티 캐주얼 작별 파티를 환영합니다.
다른 사용 장면을 참조하십시오",없음,050-2018-8863,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001692580/archive/3293761-66262a872bc36.jpg,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크",야채 요리 전문,"맥주, 사케, 칵테일","조용한 가게
차분한 분위기","놀라운 응답 가능
축하 가능성",사용 가능한 예약,,,,,,,,,,,,
