식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,영상,인스 타 그램,외국어 지원,QR 코드 결제,발언,페이스 북,X (트위터),추가 장비,온라인 예약,맥주 제작자
AWkitchen TOKYO 新丸ビル店,Awkitchen 도쿄 신 마루 빌딩 스토어,https://retty.me/area/PRE13/ARE15/SUB1504/100000004452/,050-5262-4614,이탈리아 점심 뷔페,"[월요일부터 금요일까지]
 11:00-15:30 L.O. 14:30
[월요일부터 금요일과 토요일]
 17:00-2:00 L.O. 23:00
[태양, 토요일, 휴일]
 11:00-16:00 L.O. 15:30
[일요일과 휴일]
 17:00-22:00 L.O. 21:00","하루 종일 개점
신 마루치 건물과 동일합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex",,"신 마루치 건물의 5 층, 1-5-1 마루치 마주치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 4 분 (250m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 4 분 거리 (320m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 6 분 (480m)","없음
이웃 P (할인) 사용 가능",100 석,예,,없음,"예
임대 가능 (좌석) : 80 명
예약 할 수있는 제한된 수 (스탠드 스탠딩 식사) : 180 명","[공식적인]
https://awkitchentokyo-shinmarubld.foodre.jp/
https://aw-kitchen.com/1653/","8,000 엔 이상의 코스",,야채 요리 전문,"쇼 쿠, 와인, 칵테일",사용 가능한 예약,"소녀의 밤, 날짜, 기념일, 점심, 저녁 식사, 크리스마스 저녁 식사, 연말 파티, 올해 파티, 와인을 마시는 새해 파티, 소녀의 밤, 세련된 점심, 심야 오프닝, 작별 파티, 환영 파티, 점심 음주, 냉정, 성인 데이트
다른 사용 장면을 참조하십시오","차분한 분위기
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",,예,,,,03-5224-8071,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000004452/archive/2412514-60dd735ed9a09.jpeg,,"영어
직원과 함께 언어 지원 메뉴가 있습니다",,,,,,,
ル・ブール・ノワゼット 丸の内,Le Bourg Noisette Marunouchi,https://retty.me/area/PRE13/ARE15/SUB1504/100001446298/,03-6275-6007,프랑스 요리 비스트로 와인 바 햄버거 카페,"[하루 종일]
점심 11:00-15:00 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00","불규칙한 휴일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
시설과 동일합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
식당
JCB",,"Nijubashi Square, 3-2-3 Marunouchi, Chiyoda-Ku, 도쿄 1f
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (58m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (58m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 1 분 (80m)","예
이웃 P (할인) 사용 가능, 이웃 (할인 없음)","73 석
(한 레스토랑 안에 ""와인 바""와 ""레스토랑""에 2 개의 공간을 설치하여 48 개의 와인 바와 25 개의 레스토랑을 설립하여 파리 메인 스토어보다 매일 다양한 상황에서 즐길 수있게되었습니다.)","예
(이국적인 분위기로 가득 찬 세련된 바 스타일. 퇴근 후 연인이나 친구와 쉽게들을 수 있습니다.)","예
(흡연 구역은 상점 내부에서 완전히 금연을하고 있으며 흡연 구역은 상점 외부와 시설에서 이용할 수 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://www.lebeurrenoisettetokyo.com/,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스 및 8,000 엔 코스가 있습니다.",,"우리는 야채 요리, 생선 요리, 수입 재료, 유기농 야채, 채식 메뉴, 요리사가 해외에서 훈련을 받고, 요리사가 유명한 식당에서 훈련을 받았으며, 요리사가 유명한 요리사가 준비했으며, 요리사를 매장 내에 있습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 여자 파티, 모든 링크, 연회 및 음주 파티, 약혼 디너 파티, 단일 파티, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 주차, 스타일리쉬 한 즐기기
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
골목을 향합니다
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성
휴대품 룸이 있습니다
소믈리에가 있습니다
테이크 아웃 가능성",반 공식,"예
유아, 유치원 어린이, 초등학생을 환영합니다",,예 (무료),예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001446298/archive/705088-5c63abbbd6802.jpg,,"영어 이탈리아어
직원과 함께 언어 지원 메뉴가 있습니다",,"식당 결혼식, 두 사람에게 완벽한 결혼식 후 파티, 1.5 번째 후 파티에 사용할 수 있습니다.
언제든지 질문하십시오.
웨딩 파티는 신부와 신랑에게 일생에 한 번 햇볕이 잘 드는 공연입니다. 그것은 두 사람에 관한 것이 아니라 두 가족이 연결할 수있는 기회이기도합니다. 그렇기 때문에 아마도 처음으로 많은 이벤트가있을 것입니다! 먼저 공연장 조건과 질문을 포함하여 두 사람이 원하는 것을 알려주십시오.

요리법 (미식가 음식)은 모두가 즐길 수있는 것입니다",,,휴대품 룸이 있습니다,,
炙り炭焼き をどり 大手町店,구운 숯 Odori Otemachi 지점,https://retty.me/area/PRE13/ARE15/SUB1504/100001279488/,03-3278-8577,Izakaya Yakitori Okoyaki,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:00-14:00 L.O. 14:00
[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:00 L.O. 22:00
[토양]
저녁 식사 17:00-22:00 L.O. 21:00","매주 일요일과 공휴일
새해 휴일 (확인하십시오)
시설과 동일합니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
JCB",,"Otemachi Financial City Grand Cube B1F, 1-9-2, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역 (150m)에서 도보 2 분
도쿄 메트로 토자이 라인 / 테이크 바시 스테이션 6 분 (470m)",예,62 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 제한된 수의 사람들 : 52 명
예약 할 수있는 제한된 수 (스탠드 스탠딩 식사) : 70 명",https://www.jc-comsa.co.jp/brand/restaurant/odori/,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","4,000 엔에서 4,999 엔으로 인한 모든 코스와 5,000 엔 이상을위한 all-you-can-drink, 2 시간 동안, 2 시간 반 동안 싱글 링크를 포함하는 코스가 포함 된 코스가 있습니다.",고기 요리 전문,"맥주, 사케, 쇼치",저녁 식사 시간에만 사용할 수 있습니다,"점심 만세 연회와 음주 파티 싱글 싱글 싱글 싱글 파티 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티 음주 음료 와인 어린이 세련된 저녁 식사
다른 사용 장면을 참조하십시오",,,,예,불가능합니다,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001279488/archive/754199-5c8230d994a93.jpg,,,PayPay,,,,,,
欧風小皿料理 沢村 丸の内,유럽 ​​스타일의 작은 접시 접시 Sawamura Marunouchi,https://retty.me/area/PRE13/ARE15/SUB1504/100000026009/,03-3240-0033,서양식 빵집 프랑스 음식,"[하루 종일]
점심 11:00-17:00
[월요일부터 금요일과 토요일]
저녁 식사 17:00-3:00
[일요일과 휴일]
저녁 식사 17:00-22:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",Amex,,"신마루 빌딩 7F, 1-5-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (55m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (200m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (230m)",,58 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 데이트, 소녀의 밤, 연회 및 음주 파티, 싱글, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된, 저녁 식사, 저녁 식사, 비 흡연, 점심 날짜, 점심 소녀 밤
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36764549.jpg,,,,,,,,,
SÉZANNE,세잔,https://retty.me/area/PRE13/ARE15/SUB1504/100001585623/,03-522-5810,프랑스 요리,"[Sun, 수요일, 금요일, 토요일 및 휴일]
점심 12:00-13:30
저녁 18 : 00-20 : 00
점심 : 12 : 00-14 : 00 LO13 : 45
저녁 식사 : 18 : 00-22 : 30 LO21 : 00",매주 화요일 매주 월요일,"점심 : ~ 15,000 엔
저녁 식사 : ~ 60,000 엔",,,"태평양 세기 장소, 1-11-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (61m)
도쿄 메트로 유라쿠코 라인 / Ginza 1-Chome Station에서 도보 5 분 (330m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 5 분 거리 (340m)",,42 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://www.sezanne.tokyo/,,,,,사용 가능한 예약,"점심, 개인 객실, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 크리스마스 저녁 식사, 와인, 세련된, 저녁 식사, 쌀, 비 흡연, 개인 실, 럭셔리 크리스마스를 즐기십시오.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34517459.jpg,,,,서비스 요금 15%,,,,,
pizzeria&bar La Don Na,피자 리아 & 바 라 돈 나,https://retty.me/area/PRE13/ARE15/SUB1504/100001562653/,03-6262-7900,이탈리아 요리,,,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",,,"2-5-18 Otemachi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (170m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (260m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (300m)",,,,,,,,,,,,,성인 은신처 급여 지불 지불 가능 캐주얼,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35851008.jpg,https://www.instagram.com/pizzeriabarladonna/,,PayPay,,https://www.facebook.com/people/pizzeriabar-la-don-na/100063469275115/,,,,
オペレッタ ピザ アンド シーフード 丸の内トラストタワー店,오페레타 피자와 해산물 마루치 트러스트 타워,https://retty.me/area/PRE13/ARE15/SUB1504/100000453519/,03-5288-0800,이탈리아 요리,자세한 내용은 공식 웹 사이트를 확인하십시오.,"매주 토요일마다 일요일 휴가
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
시설과 동일합니다
・ 토요일에 예약 만 개장합니다. ・ 그룹 예약은 일요일과 공휴일에 허용됩니다.","점심 : ~ 4,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Marunouchi Trust Tower Main Building, 2F, 1-8-3 Marunouchi, Chiyoda-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 2 분 (110m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (170m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 4 분 거리 (290m)",예,144 석,없음,"불가능합니다
흡연실 사용 가능
(상점 안에는 흡연 부스가 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상","예
임대 가능 (좌석) : 80 명
예약 할 수있는 제한된 수 (스탠드 스탠딩 식사) : 180 명",https://operetta-marunouchi.owst.jp/,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간 전후 2 시간, 2 시간 30 분 만에 다소 링크, 3 시간 이상","우리는 야채 요리, 고기 요리, 수입 재료, 유기농 야채, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"모든 마감, 그룹 날짜, 연회 및 음주 파티, 개인 실, 개인 실, 약혼 저녁 식사 파티, 솔로 손님, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 어린이와 함께 즐거운, 스타일리시 한 유기 요리
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점
호텔에 있습니다","놀라운 응답 가능
축하 가능성
휴대품 룸이 있습니다
소믈리에가 있습니다
테이크 아웃 가능성",,"예
유아 및 어린이, 유치원 어린이, 초등학생, 이유식 이용 가능",불가능합니다,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000453519/archive/1555796-5e7da066510dc.jpg,,"영어 이탈리아어
직원과 함께 언어 지원 메뉴가 있습니다",,,,,"프로젝터, TV 및 모니터, 오디오 장비, 놀이, 휴대품 회의실",,
洋食バル マ・メゾン,서양식 푸드 바 Maison,https://retty.me/area/PRE13/ARE15/SUB1504/100000451580/,03-3215-1441,이탈리아 요리 이탈리아 바 햄버거 파스타 서부 요리,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
점심 11:00-14:30 L.O. 14:00
[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:00 L.O. 22:00
[토요일/휴일]
저녁 식사 16 : 30-22 : 00 L.O. 21:00",매주 일요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
식당
JCB",,"Kokusai Building B1F, 3-1-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (52m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (52m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (180m)",,28 석,없음,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.ma-maison.co.jp,,,,,,"점심, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 마시기 와인, 저녁 식사, 쌀, 흡연 허용, Shochu, 세련된, 성인 데이트, 캐주얼, 성인 연말 파티, 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/12196355.jpg,,,,,,,,,
Wattle Tokyo,와틀 도쿄,https://retty.me/area/PRE13/ARE15/SUB1504/100000001069/,03-5288-7828,호주 요리,"[tue-fri/전 휴일 전]
점심 11:00-15:00 L.O. 14:00
[Sun, 화요일, 금요일, 토요일, 공휴일 및 휴일 전]
저녁 식사 17:00-20:00 L.O. 19:00
[태양, 토요일, 휴일]
점심 11:00-15:30 L.O. 14:30
영업 시간은 하루에 따라 다를 수 있습니다","매주 월요일
Shinmaru 건물과 동일합니다
∎ 초등학교 시대의 고객은 주말과 휴일을 제외하고는 매장을 방문 할 수 없습니다 (※ 어린이는 평일 오후 1시 이후에 허용됩니다)","점심 : ~ 5,000 엔
저녁 식사 : ~ 10,000 엔",예,,"신 마루치 건물 건물 6f, 1-5-1 마루치치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (60m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (180m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (210m)","예
이웃 P (할인) 사용 가능",85 석,없음,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://www.marunouchi.com/tenants/4602/,"5,000 ~ 5,999 엔 코스가 있으며 8,000 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 한 시간 반 동안 온전한 링크",우리는 고기 요리에 대해 특별히 알고 있으며 재료를 생산합니다,"맥주, 와인, 위스키",,"점심, 데이트, 여자 야간 파티, 결혼 기념일, 연회 및 음주 파티, 개인 실, 약혼 저녁 식사, 싱글, 엔터테인먼트, 엔터테인먼트, 아름다운 야간보기, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인을 마시는 와인
다른 사용 장면을 참조하십시오","천장이 높습니다
상업용 시설에 위치합니다",축하 가능성,없음,"예
초등학생들은 환영합니다",불가능합니다,불가능합니다,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000001069/archive/2005933-5f8e912111c41.jpg,https://www.instagram.com/wattle.tokyo/,,,,,,,,
過門香 丸の内トラストタワー店,Kammonka Marunouchi Trust Tower Store,https://retty.me/area/PRE13/ARE15/SUB1504/100000448884/,03-5288-7788,중국 음식,자세한 내용은 공식 웹 사이트를 확인하십시오.,하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 8,000 엔",예,,"Marunouchi Trust Tower N Building, 1-8-1 Marunouchi, Chiyoda-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 1 분 (77m)
JR Yamanote Line / 도쿄 역에서 도보 2 분 (93m)
도쿄 메트로 긴자 라인 / Nihonbashi (도쿄) 역에서 도보로 3 분 거리 (230m)",,185 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",,https://kamonka-tokyo.jp/,,,,,,"모든 당신이-먹은 날짜 전일 당신이-링크 연회/음료 파티 개인 방 약혼 저녁 식사 파티 싱글 OK Entertainment Farewell 파티 환영 파티 크리스마스 저녁 파티를 마시는 새해 파티를 마시는 개인 실
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000448884/archive/2124592-5fc6f0ac8226c.png,,,,,,,,,
スパイスビストロB 丸ビル店,Spice Bistro B Marubiru Branch,https://retty.me/area/PRE13/ARE15/SUB1504/100001424256/,03-6256-0455,비스트로 파스타 식당 바,"[하루 종일]
 11:00-15:00
[월요일부터 금요일까지]
 17:00-23:00
[태양, 토요일, 휴일]
 17:00-22:00","하루 종일 개점
(Marubiru와 동일)","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",예,,"Marunouchi Building 5F, 2-4-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (56m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (170m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (210m)",예,45 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.marunouchi.com/tenants/9742/,,,,,,"점심, 데이트, 싱글 링크, 독신, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 어린이, 저녁 식사, 저녁 식사, 비 연소, 점심 데이트, 세련된 점심, 무료 와이파이, 크래프트 맥주, 음료
다른 사용 장면을 참조하십시오",,,,예,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001424256/archive/2150704-5fd7031c77949.jpg,,,,,https://www.facebook.com/spicebistrob/,,,,
ステーキ&トラットリア カルネジーオ 大手町,스테이크 & 트라 토리아 카네지오 오타 마치,https://retty.me/area/PRE13/ARE15/SUB1504/100001280037/,03-6262-5325,"스테이크, 파스타, 서양 음식","[월요일부터 금요일과 토요일]
 11:30-15:30
 17:30-23:30",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 20,000 엔",예,,"1-9-2 Otemachi, Chiyoda-Ku, 도쿄, 그랜드 큐브 1F, 오타 마시 파이낸셜 시티
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 2 분 (110m)
도쿄 메트로 토 자이 라인 / 테이크 바시 스테이션 6 분 (430m)",,58 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 데이트, 싱글, 엔터테인먼트, 크리스마스 저녁 식사, 와인 음료 저녁 식사, 쌀, 고기, 금연, 점심 날짜, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/8213504.jpg,,,PayPay,,,https://x.com/hashtag/carnezio,,,
焼鳥さむしん,야키토리 사무신,https://retty.me/area/PRE13/ARE15/SUB1504/100001699395/,03-6256-0292,야키토리 치킨 요리,,,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",,,"Marunouchi Eiraku Building, 1-4-1 Marunouchi, Chiyoda-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 1 분 거리 (65m)
JR Yamanote Line / 도쿄 역에서 도보 2 분 (150m)",,,,,,,https://whaves.scrate.jp/,,,,,,독신 크리스마스 저녁 스타일리쉬 캐주얼,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36844218.jpg,,,,,,,,,
アルカナ東京,아르카나 도쿄,https://retty.me/area/PRE13/ARE15/SUB1504/100000797272/,03-6833-4139,프랑스 스테이크,"[하루 종일]
점심 11:00-15:30 L.O. 14:00
저녁 식사 17 : 30-22 : 00 L.O. 20:00",불규칙한 휴일,"점심 : ~ 5,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
식당
JCB",Suica,"6f, 2-7-2 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (68m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 4 분 거리 (310m)","예
이웃 P (할인) 사용 가능",152 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 1 명
임대 가능 (좌석) : 80 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 120 명","https://arcana.co.jp/
http://arcana.co.jp/tokyo/other/reservation.html","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스 및 8,000 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 전산 점수 가격 : 3,000-4,999 엔, 모든 링크 코스에는 5,000 엔 이상, 2 시간 동안 2 시간 동안 2 시간 동안, 2 시간 동안, 2 시간 동안, 3 시간 동안, 2 시간 동안, 2 시간 동안, 2 시간 동안, 2 시간 동안, 2 시간 동안, 2 시간 동안, 2 시간 동안, 2 시간 동안 모두-싱글 링크를 포함합니다. 3 시간 반 동안 만약을 모두 마시십시오","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 알레르기, 채식 메뉴, 어린이 메뉴, 요리사가 해외에서 훈련을 받고, 요리사가 유명한 식당에서 훈련 경험을 가지고 있으며, 식당에서 훈련 경험이 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 데이트, 여자 파티, 모든 링크, 결혼 기념일, 연회 및 음주 파티, 개인 객실, 약혼 저녁, 싱글, 엔터테인먼트, 엔터테인먼트, 아름다운 야간 전망, 작별 파티, 크리스마스 저녁, 새해 파티, 새해 파티
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다
테라스가 있습니다
정원이 있습니다
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
휴대품 룸이 있습니다
소믈리에가 있습니다",없음,"예
아이들은 환영합니다, 유치원 어린이는 환영 받고, 초등학생을 환영하고, 이유식을 가져오고, 어린이 메뉴를 이용할 수 있고, 알레르기 음식을 수용 할 수 있습니다",불가능합니다,예 (무료),예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000797272/archive/94193-583eda276d209.jpg,,"영어 프랑스어
직원과 함께 언어 지원 메뉴가 있습니다",,,https://www.facebook.com/arcanatokyokarato,https://x.com/arcana_tokyo,"프로젝터, TV 및 모니터, 오디오 장비, 휴대품 회의실",,
