식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,인스 타 그램,페이스 북,X (트위터),IC 카드 지불,발언,서비스,드레스 코드,애완 동물,전원 공급 장치 사용,추가 장비,외국어 지원
龍祥軒 三田店,Ryushoken Mita 지점,https://retty.me/area/PRE13/ARE16/SUB1302/100001533760/,050-5462-7025,중국 음식,"[월요일부터 금요일까지]
 11:00-15:00
 17:00-23:00
[토요일/휴일]
점심 11:00-15:00
저녁 식사 17:00-21:00",매주 일요일마다,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"YK 건물, 5-14-16 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 4 분 거리 (260m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (400m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (670m)",없음,70 석,,"연기 분리
(흡연은 정규 시간 동안 이용할 수 있으며 점심이나 저녁 식사 흡연은 허용되지 않습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://mita-ryushohken.foodre.jp/",,,,,,"점심, 저녁, 저녁 식사, 저녁 식사, 연회, 음료, 모든 링크, 점심, 지불금 지불, 급여 지불 포인트, 온라인 예약 가능, 작별 파티, 환영 파티, 인기있는 레스토랑
다른 사용 장면을 참조하십시오",,,예,03-6809-4809,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001533760/archive/3444900-672c68b5aed39.jpg,,,,,,,,,,,
アジアン酒場 親の家,아시아 바부모의 집,https://retty.me/area/PRE13/ARE16/SUB1302/100001343371/,03-6809-5998,이자카야 햄버거,"[월요일부터 금요일과 토요일]
 11:30-14:30 L.O. 14:00
[월요일부터 금요일까지]
 17:00-0:00 L.O. 23:30
[토양]
 17:00-22:00 L.O. 21:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"105 Leela Hijirizaka, 3-4-10 Mita, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 4 분 거리 (250m)
JR Yamanote Line / Tamachi (도쿄) 역 6 분 (420m)
Toei Asakusa Line / Sengakuji 역에서 도보로 11 분 (850m)",,35 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://oyanoie.foodre.jp/",,,,,,"점심, 연회 및 음주 파티, 싱글, 싱글, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 술 마시기, 와인 마시기, 세련된, 저녁 식사, 쌀, 흡연 허용, 세련된 점심, 음주, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001343371/archive/3544140-67ce5eda72835.jpg,https://www.instagram.com/myanmar.sakabar_oyanoie/,https://www.facebook.com/myanmar.japanese/,,,,,,,,,
中華居酒屋 興祥園,중국 Izakaya Koshoen,https://retty.me/area/PRE13/ARE16/SUB1302/100000713101/,03-6435-3262,중국 음식 Izakaya Gyoza,"[월요일부터 금요일까지]
 11:00-23:00","매주 일요일마다
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
JCB",PayPay,"Tex Shibaura B1F, 3-14-5 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (350m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 6 분 거리 (460m)
Toei Asakusa Line / Sengakuji 역에서 도보로 11 분 (850m)","예
근처 (할인 없음) 사용 가능",45 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 전산 된 가격 : 2,000-2,999 엔, 한 시간 반 동안 싱글 링크",매장 내 준비,"맥주, 술, 쇼치, 샤 옥싱 와인이 있습니다",저녁 식사 시간에만 사용할 수 있습니다,"점심, 라이스, 개인 실, 개인 실, 급여 지불금 지불, 급여 지불 포인트 받기, 온라인 예약 가능, 새해 파티, 캐주얼, 신입생 파티, 신속한 새해 파티, Far-Off Party, 환영 파티, 점심 음주
다른 사용 장면을 참조하십시오","활발한 상점
차분한 분위기
숨는 곳",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000713101/archive/2859204-6335619ea7dbb.jpg,,,,,,음료를 가져올 수 있습니다,,,,TV 및 모니터 사용 가능,중국인
三田魚介センター,미타 해산물 센터,https://retty.me/area/PRE13/ARE16/SUB1302/100000726969/,050-5462-6422,이자카야 해산물과 해산물,"[월요일부터 금요일까지, 휴일 전]
 17:00-24:00
[태양, 토요일, 휴일]
 17:00-23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드",PayPay,"1f, 5-16-13 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (330m)
Toei Mita Line / Shibakoen Station에서 도보 8 분 (580m)",없음,"50 석
(테라스 좌석 이용 가능)",예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://mita-gyokaisenta.foodre.jp/
http://mita-gyokai.com/index.html","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔, 2 시간 동안 전세계 점점, 3 시간 이상 싱글 링크를 포함하는 코스가 포함 된 코스가 있습니다.",생선 요리 전문,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"싱글 OK DINNER DINNER DIRCH DIRK WIRE WELCING 파티 All-You-Can-Drink 흡연 허용 연말 파티 약혼 디너 파티 세련된 새우 세련된 점심 급여 지불 지불 이용 가능한 성인 연말 파티 요리 빠른 연말 연말 파티
다른 사용 장면을 참조하십시오","개방성이 있습니다
테라스가 있습니다",예,예,03-3454-9989,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000726969/archive/338840-66d1229a11f22.jpg,https://www.instagram.com/mitagyokai.c/,https://www.facebook.com/mita 해산물 센터 -409076845813177/,https://x.com/mitagyokai_c,,,,,,,,언어 지원 메뉴가 있습니다
biotable.,생명.,https://retty.me/area/PRE13/ARE16/SUB1302/100001581208/,050-5304-1666,창조적 인 요리 야채 요리 천연 요리 이탈리아 요리,"[Tue-Fri, Sat, Holidays, 축하 전]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-22:00 L.O. 21:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
【점심】
11 : 00 ~ 15 : 00 (L.O14 : 30)
【저녁】
(Tue-Wed) 17 : 00 ~ 22 : 00
음식 L.O21 : 00/음료 L.O21 : 30
(목에 토요일) 17 : 00-23 : 00
음식 L.O 21 : 00/음료 L.O 22:30","매주 일요일마다
새해 휴일 (확인하십시오)
우리는 12/29에서 1/6으로 문을 닫습니다.
우리는 1 월 7 일부터 평소와 같이 개방 될 것이므로 귀하의 방문을 기대합니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2f Ambiente Shibaura, 3-19-17 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 스테이션 6 분 (460m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 7 분 거리 (560m)
Toei Asakusa Line / Sengakuji 역에서 도보로 11 분 (850m)","없음
근처 (할인 없음) 사용 가능",50 석,예,,"예
두 사람을 위해
4 명
6 명
7 명 이상",예,https://biotable.jp/,,,"우리는 야채 요리에 대해 특별히 알고 있으며, 재료의 생산 공간에 대해 특별히 알고 있으며, 유기농 야채에 대해 특별하고, 채식 메뉴가 있으며, 요리사가 해외에서 훈련했으며, 요리사가 유명한 식당에서 훈련을 받았으며, 매장 내 준비를했습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"데이트 여자 밤 점심 점심 식사 여자 밤 크리스마스 저녁 식사 연말 파티 지불금 지불 이용 가능 PayPay Point 온라인 예약 이용 가능 새해 파티 환영 파티 점심 마시는 개인 객실
다른 사용 장면을 참조하십시오","보기가 좋습니다
개방성이 있습니다
천장이 높습니다
차분한 분위기
숨는 곳
테라스가 있습니다","예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",없음,03-6809-5499,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001581208/archive/2802868-62ecb42eb79e7.png,,https://www.facebook.com/biotable-100695095479844,https://x.com/biotable_,"Suica, Hayakaken, Nimoca, Sugoca, Nanaco, Quicpay",[기타 지불 방법] 라인 급여,"놀라운 응답 가능
축하 가능성",없음,"예
상점 밖에서 이용 가능하면 물이 제공 될 수 있습니다",,,언어를 말할 수있는 직원이 있습니다
個室空間 鮮魚・しゃぶしゃぶ　虎てつ 田町・三田店,개인 실,https://retty.me/area/PRE13/ARE16/SUB1302/100001165831/,050-8881-6360,일본 요리 이자카야 샤브 샤바 해산물과 해산물 햄버거,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:30-15:00
[월요일부터 금요일과 토요일]
저녁 식사 16:00-24:00 L.O. 23:00
[축하 전]
저녁 식사 16:00-27:00 L.O. 26:00
자세한 내용은 공식 웹 사이트를 확인하십시오.
*저녁 시간 음료는 행사가 끝나기 30 분 전입니다.
*하루 연회도 제공됩니다! 저희에게 연락하십시오!",매주 일요일과 공휴일,"점심 : ~ 4,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Toki Building 5F, 3-6-8 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (290m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 5 분 거리 (400m)
Toei Asakusa Line / Sengakuji Station 11 분 도보 (880m)","없음
근처 (할인 없음) 사용 가능","55 석
(대형 연회에 권장되는 개인 실이 있습니다. 자세한 내용은 상점에 문의하십시오.)",없음,"연기 분리
(금연 좌석은 없지만 예약시 좌석 배치를 고려할 것입니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 65 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수 (스탠드 스탠딩 식사) : 70 명","[공식적인]
https://kotetsu-tamachiten.foodre.jp/
https://www.washishabu-kotetsu.com/","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스 및 8,000 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2,999 엔 미만의 모든 링크 코스, 3,000 엔 -3,999 엔, 4,000 엔 -4,999 엔, 5,000 YEN 또는 5,000 YEN의 all-you-drink 코스에서 온 올드 링크 코스 미만의 모든 링크 코스. 3 시간 넘게 만약을 만듭니다","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 매우 매운 메뉴 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"점심 모든 당신이 캔 먹은 개인실 엔터테인먼트 작별 파티 파티 파티 파티 새해 파티 술 마시는 와인을 마시는 와인을 마시는 주차장이 있습니다.
다른 사용 장면을 참조하십시오","천장이 높습니다
차분한 분위기
숨는 곳",예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001165831/archive/958311-5cf91B2D14DB9.JPG,https://www.instagram.com/kotetsu.tamachiten/,,https://twitter.com/kotetsu_tamachi,,,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",없음,불가능합니다,예 (무료),,언어 지원 메뉴가 있습니다
こびんちょ,병,https://retty.me/area/PRE13/ARE16/SUB1302/100001548725/,050-5462-2824,이자카야 치킨 접시 우동 힘줄,"[하루 종일]
점심 11:30-15:00 L.O. 14:30
[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
저녁 식사 17:00-22:00 L.O. 21:30",명확하지 않습니다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",예,PayPay,"3-1-1 Shibaura, Minato-Ku, 도쿄 MSBTAMACHI 스테이션 타워 n
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 3 분 (220m)
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 3 분 거리 (220m)
Toei Mita Line / Shibakoen Station 10 분 도보 (730m)",예,50 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,"[공식적인]
https://gobincho.foodre.jp/",,,,,사용 가능한 예약,"어린이 점심, 날짜, 솔로, 저녁 식사, 쌀, 고기, 음료수, 연회, 파티, Shochu, Paypay Payment, Year-End Party, 새해 파티, 작별 파티, 점심 음주, 빠른 연말 연말 파티
다른 사용 장면을 참조하십시오",,예,없음,03-6809-4788,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001548725/archive/3003646-640ad4a321dda.png,,,,,,,,,,,
二代目 魚屋町,2 세대 Uoyacho,https://retty.me/area/PRE13/ARE16/SUB1302/100000036414/,03-6435-0477,이자카야 해산물 및 해산물 요리 Motsunabe Sashimi 쇠고기 혀 햄버거,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:30 L.O. 23:00",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex",PayPay,"5-24-12 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (340m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (680m)",없음,35 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","[공식적인]
https://nidaime-uoyamachi.foodre.jp/","2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.",2 시간 동안 당신이 다루는 것,"우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 여자 밤, 그룹 날짜, 연회 및 음주 파티, 개인 실, 약혼 저녁 식사 파티, 솔로 손님, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된, 개인 파티, 이용 가능
다른 사용 장면을 참조하십시오","활발한 상점
차분한 분위기
단독 주택 레스토랑
골목을 향합니다",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000036414/archive/2642092-6226fb6f22800.png,,https://www.facebook.com/uoyamachi/,https://x.com/uoyamachi,,,,,불가능합니다,,,
MEAT&WINE WINEHALL GLAMOUR 田町,고기 및 와인 와인 홀 글래머 타마치,https://retty.me/area/PRE13/ARE16/SUB1302/100001305310/,050-5262-7974,와인 바 쇠고기 요리 돼지 고기 요리 파스타,"[하루 종일]
저녁 식사 17:00-23:00 L.O. 22:00
《특별한 개막 시간 hours
2025-05-04 (Sun) 17 : 00-23 : 00
2025-05-06 (tue) 폐쇄","매주 일요일
공휴일이라면 다음날 문을 닫습니다.
*새해 공휴일 동안 영업일 및 시간이 바뀔 수 있습니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"선샤인 5 빌딩 2F, 5-27-10 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 1 분 거리 (34m)
JR Yamanote Line / Tamachi (도쿄) 역에서 도보로 2 분 거리 (150m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (670m)",없음,109 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,https://www.dd-holdings.jp/shops/winehallglamour/tamachi#/,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선",우리는 고기 요리에 대해 특히 알고 있으며 알레르기가있는 고객에게 수용 할 수 있습니다.,"맥주, 와인, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"데이트, 저녁 식사, 저녁 식사, 저녁 식사, 와인 음주, 여자 밤, 개인 실, 크리스마스 저녁 식사, 연말 파티, 고기, 쿠폰 이용 가능, Paypay Points 온라인 예약 가능, 새해 파티, 환영 파티, 캐주얼, 세련된
다른 사용 장면을 참조하십시오",,"예
유아, 유치원 어린이, 초등학생을 환영합니다",예,03-5765-5051,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001305310/archive/3210949-657997f62868.jpg,,https://www.facebook.com/dd.winehall.glamour.tamachi/,,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon","다른 지불 방법
카드 : UnionPay
전자 돈 : ID
QR 지불 : Paypay, Rakuten Pay, DPay, Aupay, Merpay, Wechatpay, Alipay, Bank Pay","놀라운 응답 가능
축하 가능성",없음,,불가능합니다,,
ONIQUE TOKYO,오니 니크 도쿄,https://retty.me/area/PRE13/ARE16/SUB1302/100001436249/,03-6271-9655,야키니쿠,"[하루 종일]
점심 11:30-14:30
저녁 식사 17:30-22:30
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다

폐쇄 : 불규칙한 휴일","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
상점이 웹에 가득 찬 경우에도 직접 문의하십시오.
우리는 정보를 제공 할 수 있습니다.

정오 11 시부 터 전화로 예약 할 수 있습니다.","점심 : ~ 6,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Katsubunkan Kyodo Building 8f, 5-31-24 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita 라인 출구 A3, 왼쪽에 1 분 거리 (150m)
Toei Asakusa Line의 Mita 역의 왼쪽에서 도보 1 분 (150m)
Jr Yamanote 라인 타마 치 역 미타 구치 (West Exit)
땅으로 내려 가지 않고 보행자 다리를 똑바로 내려 가서 계단을 내려 가서 좌회전 한 다음 3 분 동안 걸어갑니다.

■ 버스 정류장에서 접근
Toei Bus Anti-90 Mitazo 4 분 도보 (260m)
Toei Bus Ta87 Keio University 6 분 도보 (430m)
도쿄 버스/도쿄 트랜스 히가시 98 Keio University Mae 6 분 (430m)","없음
근처 (할인 없음) 사용 가능","30 석
(8 석, 8 석, 4 개의 테이블, 4 개의 테이블, 4 개의 테이블, 최대 12 명, 객실 1 개, 개인 실, 최대 8 명, 개인 객실, 개인 실, 최대 8 명, 개인 실, 4 ~ 8 명을 수용 할 수 있습니다. 개인 실을 사용하는 경우 음식과 음료 수수료에 대한 최소 수수료와 10% 개인 실용 수수료가 포함됩니다. 저녁 10% 저녁 식사, 음식 및 음료 수수료 : 55,000 엔 (세금 포함) ~ + 개인 실 사용 요금 : 10%)","예
(최대 8 명이 4 그룹으로 휴식을 취할 수 있습니다)",,"예
7 명 이상",예,https://onique-tokyo.com,"4,000 엔에서 4,999 엔 코스, 6,000 엔에서 6,999 엔 코스, 8,000 엔 이상이 있습니다.",,우리는 고기 요리에 대해 특별히 알고 있으며 재료를 생산합니다,"맥주, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"아름다운 나이트 뷰 레스토랑 생일 점심 저녁 식사 날짜 결혼식 기념일 그룹 데이트 저녁 식사 개인 객실 엔터테인먼트 비 흡연 음료 점심 개인 객실 엔터테인먼트 마시는 와인 급여 지불 지불 이용 가능 PayPay Points 온라인 예약 가능
다른 사용 장면을 참조하십시오","보기가 좋습니다
개방성이 있습니다
차분한 분위기
숨는 곳","불가능합니다
알레르기 음식을 사용할 수 있습니다",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001436249/archive/3091238-649c319B075B7.JPG,,,,,"개인 실을 사용하는 경우 10% 개인 실 사용 수수료를 청구합니다. 개인 실은 최대 4-8 명을 수용 할 수 있습니다. 3 명 이하로 사용하면 다음과 같은 최소 요금이 청구됩니다.
[점심] ¥ 25,000 (세금 포함) + 10% 개인 실 사용 요금
[저녁] ¥ 55,000 (세금 포함) + 10% 개인 실 사용 요금

예약 상태에 따라 아동이 가게에 들어가기를 거부 할 수 있습니다. 자세한 내용은 전화로 문의하십시오. 온라인 예약은 어린이와의 예약에 대해서는 허용되지 않습니다. *우리는 어린이를위한 의자가 없습니다.","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",없음,불가능합니다,예 (무료),,
大金星,대 브리튼 섬,https://retty.me/area/PRE13/ARE16/SUB1302/100000039059/,03-5419-7529,야키토리 이자카야,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:00-28:00 L.O. 26:30
[낮]
점심 11:30-14:00 L.O. 13:30
저녁 식사 17:00-23:00 L.O. 22:00
마감 시간은 하루에 따라 다를 수 있습니다",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
Amex
식당
JCB",PayPay,"5-22-10 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 4 분 거리 (280m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (290m)
Toei Mita Line / Shibakoen Station 10 분 도보 (790m)",없음,64 석,없음,"예
완전히 흡연이 허용됩니다
(최신 정보가 다를 수 있으므로 방문하기 전에 상점에 확인하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://daikinboshi.foodre.jp/
https://daikinboshi.net/",,,,,사용 가능한 예약,"싱글 OK DINNES, ALL-YOU-CAN-DRINK, 연말 파티, 새해 파티, PayPay 지불 가능, Quick-End Party, All-You-Can-Eat, All-You-Drink, Quick New Year 's Party, Casual, Welcome Party, Paypay Points Get Great
다른 사용 장면을 참조하십시오",,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000039059/archive/2986852-63f86c2bd4c13.png,,,,,,,,,,,
絆 個室居酒屋,키즈나 개인 실 Izakaya,https://retty.me/area/PRE13/ARE16/SUB1302/100001762361/,050-5462-7148,이자카야,"[월요일부터 금요일까지]
 11:00-24:00
[태양, 토요일, 휴일]
 12:00-24:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2F Higashi-Yui Building, 5-23-13 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (150m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (290m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (650m)",없음,80 석,,"예
(가열 된 담배는 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,"[공식적인]
https://kizuna-mita.foodre.jp/",,,,,,"점심, 저녁 식사, 저녁 식사, 점심, 개인 실, 흡연 허용, 급여 지불 지불 수락, 급여 지불 포인트, 온라인 예약 가능, 캐주얼, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오",,,예,03-6380-0958,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001762361/archive/3463859-6745849c580ce.jpg,,,,"Suica, Nanaco, Rakuten Edy",,,,,,,
