식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,인스 타 그램,페이스 북,X (트위터),IC 카드 지불,발언,서비스,드레스 코드,애완 동물,전원 공급 장치 사용,추가 장비,외국어 지원,지역,온라인 예약,맥주 제작자,쇼핑 직무 정보
レストラン ロゼット (Restaurant Rosette)レストラン ロゼット　センチュリーコート丸の内,레스토랑 로제트 레스토랑 Rosette Court Court Marunouchi,https://retty.me/area/PRE13/ARE15/SUB1504/100000019357/,03-3213-1711,프랑스 요리,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-14:30 L.O. 14:00
저녁 식사 18 : 00-21 : 30 L.O. 21:00",매주 토요일마다 일요일 휴가,"점심 : ~ 6,000 엔
저녁 식사 : ~ 15,000 엔",예,,"Meiji Seimeikan Century Court Marunouchi B1F, 2-1-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 1 분 (50m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (80m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (80m)",,40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 결혼 기념일, 연회 및 음주 파티, 개인 실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 세련된, 저녁, 쌀, 비 흡연, 개인 객실 점심
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000019357/archive/1832628-5f509587d374.jpg,,,,,,,,,,,,마루노우치,,,
ブラッスリー・ポール・ボキューズ 大丸東京,Brasserie Paul Bocus Daimaru 도쿄,https://retty.me/area/PRE13/ARE15/SUB1504/100000745950/,03-5218-2211,프랑스 요리 서부 요리 스테이크,"[하루 종일]
 11:00-23:00 L.O. 22:00","하루 종일 개점
・ 시설과 동일합니다","점심 : ~ 4,000 엔
저녁 식사 : ~ 8,000 엔",,,"다이 마루 도쿄 스토어 12f, 1-9-1 마루치, 키 요다 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (50m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 4 분 거리 (270m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 5 분 거리 (370m)",,,,,,,https://www.hiramatsurestaurant.jp/paulbocuse-daimarutokyo/,,,,,,"점심, 데이트, 여자 야간 파티, 결혼 기념일, 싱글 OK, 아름다운 야간보기 레스토랑, 와인, 세련된 저녁 식사, 쌀, 고기, 생일, 점심 데이트, 여자 야간 파티, 세련된 점심을 즐기십시오.
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31641799.jpg,,,,,,,,,,,,마루노우치,,,
うなぎ 成田新川 東京駅グランルーフ店,장어 나리타 신카와 도쿄 역 그랜드 루프 스토어,https://retty.me/area/PRE13/ARE15/SUB1504/100001579981/,03-5962-9722,뱀장어,"[태양, 월요일부터 금요일, 토요일]
 11:00-22:00 L.O. 21:00",하루 종일 개점,"점심 : ~ 6,000 엔
저녁 식사 : ~ 6,000 엔",,,"그랜드 루프 B1F, 1-9-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (23m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 5 분 (380m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 6 분 거리 (430m)",,,,,,,,,,,,,"점심, 솔로 엔터테인먼트, 크리스마스 저녁 식사, 저녁 식사, 저녁, 쌀, 세련된, 메리 쿠리, 크리스마스 2024
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/27045227.jpg,,,,,,,,,,,,마루노우치,,,
SÉZANNE,세잔,https://retty.me/area/PRE13/ARE15/SUB1504/100001585623/,03-522-5810,프랑스 요리,"[Sun, 수요일, 금요일, 토요일 및 휴일]
점심 12:00-13:30
저녁 18 : 00-20 : 00
점심 : 12 : 00-14 : 00 LO13 : 45
저녁 식사 : 18 : 00-22 : 30 LO21 : 00",매주 화요일 매주 월요일,"점심 : ~ 15,000 엔
저녁 식사 : ~ 60,000 엔",,,"태평양 세기 장소, 1-11-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (61m)
도쿄 메트로 유라쿠코 라인 / Ginza 1-Chome Station에서 도보 5 분 (330m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 5 분 거리 (340m)",,42 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://www.sezanne.tokyo/,,,,,사용 가능한 예약,"점심, 개인 객실, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 크리스마스 저녁 식사, 와인, 세련된, 저녁 식사, 쌀, 비 흡연, 개인 실, 럭셔리 크리스마스를 즐기십시오.
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34517459.jpg,,,,,서비스 요금 15%,,,,,,,마루노우치,,,
すし青柳,스시 아오야 지,https://retty.me/area/PRE13/ARE15/SUB1504/100000839529/,03-6269-9428,초밥 일본 요리,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:30-22:00 L.O. 21:30",매주 일요일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 20,000 엔",예,,"도쿄 역 호텔 2F, 1-9-1 마루치치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (77m)
도쿄 메트로 마루치 노선 / 오타 마시 (도쿄) 역에서 도보로 4 분 거리 (250m)",,28 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 개인 실, 약혼 저녁 식사, 싱글 게스트, 엔터테인먼트, 크리스마스 저녁 식사, 세련된, 저녁 식사, 쌀, 비 흡연, 개인 점심, 세련된, 개인 실, 개인 실,
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30529531.jpg,,,,,,,,,,,,마루노우치,,,
真夜中の太陽,자정 태양,https://retty.me/area/PRE13/ARE15/SUB1504/100001483246/,03-6206-3255,스페인 바이자 카야 스페인어 바,"[하루 종일]
 11:30-21:00 L.O. 20:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"3-7-6 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (63m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 3 분 거리 (170m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome Station에서 도보로 3 분 거리 (180m)",없음,24 석,예,"예
완전히 흡연이 허용됩니다
(흡연은 모든 좌석에서 허용됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,,,,,,사용 가능한 예약,"점심, 데이트, 소녀의 밤, 연회 및 음주 파티, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 저녁 식사, 흡연 허용, 점심 소녀 밤
다른 사용 장면을 참조하십시오",,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001483246/archive/132906-5dea3d957eaa.jpg,,,,,,,,,,,,마루노우치,,,
エノテカノーリオ,enotecanorio,https://retty.me/area/PRE13/ARE15/SUB1504/100000729429/,03-6269-9582,이탈리아 와인 바 파스타 카페,"[하루 종일]
 11:30-15:00
[월요일부터 금요일과 토요일]
 17:30-22:30
[일요일과 휴일]
 17:00-21:00",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔",예,,"도쿄 역 호텔 B1F, 1-9-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (54m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 5 분 거리 (380m)",,35 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://vinvino-to.jp/norio/,,,,,,"점심, 데이트, 연회 및 음주 파티, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된 저녁 식사, 쌀, 비영리, 점심 날짜, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29666210.jpg,,,,,,,,,,,,마루노우치,,,
THE UPPER,상단,https://retty.me/area/PRE13/ARE15/SUB1504/100001560831/,050-5462-8058,프랑스 요리,"[월요일부터 금요일까지]
점심 11:00-15:30 L.O. 14:00
저녁 식사 17 : 30-23 : 00 L.O. 22:00
[토양]
 11:00-23:00 L.O. 22:00
[일요일과 휴일]
 11:00-22:00 L.O. 21:00","불규칙한 휴일
시설과 동일합니다","점심 : ~ 4,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Marunouchi Terrace, 1-3 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 1 분 (49m)
JR Yamanote Line / 도쿄 역에서 도보 3 분 (210m)",예,"170 석
(10 층, 74 석 + 9 층, 56 석 + 테라스에 40 석))",,"불가능합니다
(흡연실은 현장에서 이용 가능합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,https://the-upper.jp/,,,,,,"점심으로 점심, 저녁 식사, 점심, 여자 야간, 솔로 손님, 엔터테인먼트, 체리 꽃보기, 체리 꽃보기가있는 레스토랑, 크리스마스 저녁 식사, 와인, 세련된 점심 데이트, 여자 밤.
다른 사용 장면을 참조하십시오",,,예,03-5962-9909,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001560831/archive/359649-67dfb15bf33b7.jpg,https://www.instagram.com/theuppertokyo/,,,,,,,,,,,마루노우치,온라인 예약,,
BREEZE OF TOKYO,도쿄의 바람,https://retty.me/area/PRE13/ARE15/SUB1504/100000747536/,03-5220-5551,프랑스 요리 카페,"[하루 종일]
점심 11:00-15:30 L.O. 14:30
[월요일부터 금요일까지]
저녁 식사 18:00-23:00 L.O. 21:00
[토양]
저녁 식사 17:00-23:00 L.O. 21:00
[일요일과 휴일]
저녁 식사 17:00-22:00 L.O. 20:00","불규칙한 휴일
정규 휴가가 공휴일이면 문을 엽니 다","점심 : ~ 3,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
식당
JCB",,"Marunouchi Building 36F, 2-4-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (45m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (180m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (220m)","예
이웃 P (할인) 사용 가능","78 석
((연회 및 파티에 앉아 : 78 명)))))))))",예,"불가능합니다
(흡연 없음, 바닥의 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
임대 가능 (좌석) : 78 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 100 명","https://breezeoftokyo.com/
http://breezeoftokyo.com/","8,000 엔 이상의 코스",,"우리는 야채 요리, 고기 요리, 생선 요리, 알레르기가있는 고객을 수용 할 수 있으며 요리사는 해외에서 훈련 한 경험이 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 데이트, 여자 야간 파티, 결혼 기념일, 연회 및 음주 파티, 약혼 저녁, 싱글, 엔터테인먼트, 엔터테인먼트, 아름다운 야간 전망이있는 레스토랑, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인 음주
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다
상업용 시설에 위치합니다",불가능합니다,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000747536/archive/1221717-5db7d01698f3d.jpg,,https://www.facebook.com/breezeoftokyo,,,,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다
복장 규정 포함",,불가능합니다,,,"영어
언어 지원 메뉴가 있습니다",마루노우치,,,
全席個室 じぶんどき丸の内センタービル店,모든 좌석은 Jibundoki Marunouchi Center 건물에 있습니다,https://retty.me/area/PRE13/ARE15/SUB1504/100001765030/,050-5462-7347,Izakaya 크리에이티브 요리 일본 요리,"[월요일부터 금요일까지]
 11:00-14:30 L.O. 14:00
 17:00-23:00 L.O. 22:00
*마지막 음료 주문은 마감 시간 30 분 전입니다.
*개장 시간 전에도 연회를 이용할 수 있습니다!",매주 토요일마다 일요일 휴가,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Marunouchi Center Building B1F, 1-6-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 2 분 (89m)
JR Yamanote Line / 도쿄 역에서 도보 2 분 (140m)","없음
근처 (할인 없음) 사용 가능",179 석,없음,"불가능합니다
(건물에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,사용 가능한 예약,"점심, 저녁 식사, 저녁 식사, 연회, 마시는 파티, Paypay Points 온라인 예약 가능, 캐주얼, 개인 객실
다른 사용 장면을 참조하십시오",,,예,050-2018-8901,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001765030/archive/3521519-5ca1c26b97f8b.jpg,,,,,,,,,,,,마루노우치,,,
酒蔵レストラン宝 東京国際フォーラム店,Sake Brewery Restaurant Takara Tokyo International Forum Store,https://retty.me/area/PRE13/ARE15/SUB1504/100000002089/,03-5223-9888,Izakaya 일본 요리 Kaiseki 요리,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
[월요일부터 금요일과 토요일]
저녁 식사 17:00-22:00 L.O. 21:00
[토양]
점심 11:30-15:00 L.O. 14:30","매주 일요일
12/31에서 1/4로 폐쇄되었습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",예,PayPay,"도쿄 국제 포럼 B1F, 3-5-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 2 분 (110m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (140m)
JR Yamanote Line / Yurakucho Station에서 도보 2 분 (160m)",,"120 석
(10 명 이상이 사용할 수 있습니다.)",예,"예
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://www.musshu.jp/takara/,,,,,,"엔터테인먼트, 솔로, OK, 쌀, 점심, 개인 실, 음료수, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 쿠폰 이용 가능, 크래프트 맥주, PayPay Payment, Paypay Points, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/10000002089/archive/109632-5861d6279ca1a.jpg,,,,,,,,,,,,마루노우치,,,
生パスタとサルシッチャのワインバル 大手町厨房,신선한 파스타와 Salsiccha Wine Bar Otemachi Kitchen,https://retty.me/area/PRE13/ARE15/SUB1504/100000698766/,050-5462-8153,이탈리아 피자 파스타,"[월요일부터 금요일까지, 휴일 전]
점심 11:00-15:00 L.O. 14:30
[월요일부터 수요일까지]
저녁 식사 17 : 30-22 : 00 L.O. 21:15
[목요일, 금요일, 휴일 전]
저녁 식사 17:30-22:30 L.O. 21:45
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.","매주 토요일마다 일요일 휴가
주말에는 30 명 이상의 연회 만 가능합니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-6-1 Otemachi, Chiyoda-ku, 도쿄 지하 바닥, 오타 마치 건물, 2F, 출구 E2 및 C7 바로 옆
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역 (160m)에서 도보 2 분
JR Yamanote Line / 도쿄 역에서 도보로 8 분 (580m)
도쿄 메트로 치 요다 라인 / Nijubashimae 역에서 도보로 9 분 (670m)",예,"42 석
(6-8 명과 9-12 명을위한 개인 실이 두 개 있습니다. 개인 실은 1 인당 5,800 엔부터 시작합니다.",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",예,"https://otemachichuuboo-winebar.foodre.jp/
https://otemachi-chubo.com/",,,우리는 고기 요리에 대해 특별히 알고 있으며 재료를 생산합니다,"맥주, 와인, 칵테일",사용 가능한 예약,"점심, 개인 실, 쌀, 저녁 식사, 고기, 환영 파티, 와인 음료, 연회 및 음주 파티, 작별 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 세련된, 비 흡연, 개인 실, 세련된 개인 객실, 개인 실, 요리
다른 사용 장면을 참조하십시오",,,예,03-3216-5435,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000698766/archive/359827-6817606eac8b5.jpg,,,,,,,,,,,,마루노우치,,,
マンゴーツリートウキョウ,망고 트리 도쿄,https://retty.me/area/PRE13/ARE15/SUB1504/100000000087/,03-5224-5489,태국 음식 식당 바 점심 뷔페 뷔페 pak chi 음식,"[월요일부터 금요일까지, 휴일]
점심 11:00-15:00 L.O. 14:00
[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:00 L.O. 21:30
[태양/토요일]
점심 11:00-15:30 L.O. 14:30
[일요일과 휴일]
저녁 식사 17:00-22:00 L.O. 21:00","하루 종일 개점
새해 휴일 (확인하십시오)
시설과 동일합니다
marubiru의 정기 휴일과 동일합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Marunouchi Building 35F, 2-4-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (21m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (200m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (240m)","예
이웃 P (할인) 사용 가능","100 석
(서리가 달린 유리로 분리 될 수있는 반 개인 객실이 있습니다 (자세한 내용은 상점에 문의))",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,"[공식적인]
https://mangotreetokyo-marunouchi.foodre.jp/
https://www.arclandservice.co.jp/mangotree/
https://www.tablecheck.com/ja/shops/mangotreetokyo/reserve","8,000 엔 이상의 코스",,,"맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"데이트 여자 야간 파티 전까지 마시는 연회 및 음료 아름다운 야간보기 레스토랑 크리스마스 저녁 식사 연말 파티 새해 파티 세련된 아침 식사 비 스며 든 개인 방 점심 날짜 점심 소녀 파티
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다
상업용 시설에 위치합니다","예
초등학생들은 환영합니다",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/10000000087/archive/2802135-62eb9d1882366.jpg,,,https://x.com/mangotree_jp,,,"축하 가능성
소믈리에가 있습니다
테이크 아웃 가능성
배송 가능",없음,불가능합니다,불가능합니다,,"영어
언어 지원 메뉴가 있습니다",마루노우치,,,
東洋軒 東京ステーション,도코 도쿄 역,https://retty.me/area/PRE13/ARE15/SUB1504/100001552460/,03-3214-2882,"서양식 음식, 카레, 햄버거, 스테이크","[월요일부터 목요일과 토요일]
 10:00-22:00 L.O. 21:00
[금]
 10:00-22:30 L.O. 21:30
[낮]
 10:00-21:30 L.O. 20:30
*아침 시간은 10:00에서 11:00이며 티 타임은 15:00에서 17:00입니다.","불규칙한 휴일
짐 시간은 하루에 따라 다를 수 있습니다","점심 : ~ 5,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1-9-1 Marunouchi, Chiyoda-Ku, 도쿄, JR 이스트 도쿄 역 B1, Gransta 내부
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 1 분 거리 (70m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 4 분 거리 (310m)",없음,"35 석
(24 테이블 / 11 개 카운터 시트)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://toyoken-gransta.com/index.html,,,,,,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 와인 음료, 브런치, 세련된, 저녁 식사, 쌀, 고기, 비 흡연, 세련된 점심, 무료 Wi-Fi, 스타일리쉬, Merikuri, 크리스마스 2024
다른 사용 장면을 참조하십시오",,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001552460/archive/3471977-6750b8ff923d2.png,,,,,,,,,,,,마루노우치,,,
中国菜厨 エスサワダ 新丸ビル店,중국 야채 Ssawada Shinmaru 건물 상점,https://retty.me/area/PRE13/ARE15/SUB1504/100001758238/,03-6212-3300,중국 음식,"[하루 종일]
 11:00-15:00
 17:00-23:00",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 15,000 엔",,,"신마루 빌딩 5F, 1-5-1 마루치치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (61m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (180m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (230m)",,42 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 저녁 식사, 쌀, 금연, 세련된 점심",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36512592.jpg,,,,,,,,,,,,마루노우치,,,
うなぎ きたお,장어가 도착했습니다,https://retty.me/area/PRE13/ARE15/SUB1504/100001745739/,03-3212-2626,뱀장어,,,"점심 : ~ 6,000 엔
저녁 식사 : ~ 15,000 엔",,,"Marunouchi Oazo 6f, 1-6-4 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 2 분 (81m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 2 분 거리 (93m)",,80 석,예,,,,,,,,,,크리스마스 2024 고급스러운 크리스마스,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35914563.jpg,,,,,,,,,,,,마루노우치,,,
だん家 大手町ファーストスクエア店,Danya Otemachi First Square 매장,https://retty.me/area/PRE13/ARE15/SUB1504/100001694602/,03-6665-9505,맥주 홀 독일 요리 서양식 반찬 서부 요리,"[월요일부터 금요일까지]
 11:30-14:30
 17:00-22:30",매주 토요일마다 일요일 휴가,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",,PayPay,"Otemachi First Square B1F, 1-5-1 Otemachi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 1 분 (50m)
JR Yamanote Line / 도쿄 역에서 도보로 5 분 (340m)",,,,,,,,,,,,,"점심, 저녁 식사, 쌀, 급여 지불 지불 가능, 캐주얼",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35277631.jpg,,,,,,,,,,,,마루노우치,,,
