식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,주소,입장,주차,좌석,흡연,개인 실,사적인,상점 웹 사이트,인스 타 그램,페이스 북,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,QR 코드 결제,카운터 좌석,강의,당신이 마실 수있는 모든 것,발언,애완 동물,IC 카드 지불,X (트위터),서비스,대기,외국어 지원,드레스 코드,전원 공급 장치 사용,추가 장비,맥주 제작자
天亀そば,Tenkame 소바,https://retty.me/area/PRE13/ARE11/SUB1101/100000696742/,사적인,소바 (소바) 템포라 카레 우동,"[월요일부터 금요일까지, 휴일 전, 휴일 전]
 0:00-24:00",매주 토요일마다 불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,"1-7-9 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (120m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 4 분 거리 (250m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 5 분 (390m)",,8 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,https://www.facebook.com/pages/%E5%A4%A9%E4%BA%80%E3%81%9d%E3%81%B0/41045849023645,,,,"점심, 솔로, 브런치, 세련된, 아침 식사, 첫 번째 기차, 저녁 식사, 쌀, 흡연, 세련된, 점심, 주변, 늦은 밤까지 열립니다.
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36027996.jpg,,예,,,,,,,,,,,,,
美味卵家,맛있는 계란 하우스,https://retty.me/area/PRE13/ARE11/SUB1101/100000017862/,03-5294-8008,"서양식 음식, 오믈렛 쌀, 테이크 아웃, 햄버거","[월요일부터 금요일까지]
 11:00-15:00
 18:00-21:30
[태양, 토요일, 휴일]
 11:30-15:00","불규칙한 휴일
재료가 떨어지 자마자 끝납니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,"2-13-24 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (21m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 5 분 (390m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 7 분 거리 (510m)",,8 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 음료 와인, 세련된, 저녁 식사, 쌀, 금연, 세련된 점심
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33812010.jpg,,"예
(카운터 좌석 만)",,,,,,,,,,,,,
かめや 神田東口店,Kameya Kanda East Exit 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100000053622/,03-3254-0285,소바 (소바) 우동 사시미,"[월요일부터 금요일까지, 휴일 전, 휴일 전]
 0:00-24:00
[토양]
 0:00-20:00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,"2-7-3 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (68m)
Toei Shinjuku Line / Iwamotocho Station에서 도보 6 분 (440m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (440m)",,10 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 브런치, 세련된, 아침 식사, 첫 번째 기차, 저녁 식사, 쌀, 흡연, 세련된, 점심, 주변, 늦은 밤까지 열립니다.
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36600059.jpg,,"예
(카운터 만)",,,,,,,,,,,,,
Loup de mer,loup de mer,https://retty.me/area/PRE13/ARE11/SUB1101/100000875475/,03-5298-4390,"서양식 음식, 오믈렛 쌀, 카레, 햄버거","[월요일부터 금요일과 토요일]
점심 11:30-14:30 L.O. 14:30
[tue-fri]
저녁 식사 17:30-20:30 L.O. 20:30
[토양]
저녁 식사 17:30-20:00 L.O. 20:00
[축하해요]
 11:30-14:30 L.O. 14:30",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,"사이토 빌딩 2F, 3-10-7 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (120m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (470m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 6 분 (470m)",,15 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://www.loup-de-mer.jp/,,,,,,"점심, 솔로, 세련된, 저녁 식사, 비 흡연, 세련된, 점심, 크래프트 맥주
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33698100.jpg,,없음,,,,,,https://x.com/loupdemersuzuki,,,,,,,
裏神田 自然生村,Ura Kanda Nature Village,https://retty.me/area/PRE13/ARE11/SUB1101/100000806039/,03-3251-0833,"일본 음식, 쌀 그릇, 이자카야","[하루 종일]
점심 11 : 30-14 : 00 L.O. 14:00
저녁 식사 17:00-23:45 L.O. 23:30","불규칙한 휴일
점심 개장, 오후 10시 이후에 문을 열고 일요일에는 문을 엽니 다

*점심 시간에는 신용 카드가 허용되지 않습니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔",Amex,"1F, Koyama Daini Building, 3-17-6 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 거리 (130m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 5 분 (400m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (400m)",없음,22 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",,,,https://www.facebook.com/ura Kanda Nature Ikumura-511520502263260/,,,저녁 식사 시간에만 사용할 수 있습니다,"점심, 솔로, 엔터테인먼트, 성인 은신처, 크리스마스 저녁, 세련된, 저녁 식사, 쌀, 비 흡연, 세련된 점심
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36486017.jpg,,예,,,,불가능합니다,,https://x.com/urakandajinenjo,,,,,,,
焼ジビエ罠 炭打 神田,구운 게임 트랩 숯-숨겨진 칸다,https://retty.me/area/PRE13/ARE11/SUB1101/100000782241/,03-3251-8899,게임 징지수 칸 옥수수 요리 야키니 쿠 자연 음식 숯 구운 양고기 야키토리,"[하루 종일]
 11:30-22:00",하루 종일 개점,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔",Amex,"Tania Building 1f, 2-10-10 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (280m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 6 분 거리 (420m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (460m)",,"40 석
(테이블 좌석, 4 개의 좌석, 8 개 좌석, 좌석은 카운터에서 나머지는!)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,https://www.facebook.com/wana.gotanda.yumeya/,,,,"점심, 솔로, 크리스마스 저녁 식사, 음료수, 와인, 세련된, 저녁 식사, 쌀, 고기, 흡연 없음, 세련된 점심, 쇼치, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3279793.jpg,PayPay,"예
(신바시 함정과 같은 카운터!)",,,,,,https://x.com/kandawana,,,,,,,
塩生姜らー麺専門店 MANNISH 淡路町本店,"Salnish Awajicho Main Store, 소금에 절인 생강라면을위한 전문점",https://retty.me/area/PRE13/ARE11/SUB1101/100001463000/,03-6677-2922,라면 소금라면,"[태양, 월요일부터 금요일, 토요일]
 11:00-21:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,"1F Magazin Kanda 2-2-8 Kanda Tsukacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 3 분 거리 (230m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 3 분 거리 (230m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 3 분 거리 (230m)",,11 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 저녁 식사, 쌀, 맛있고 저렴한 레스토랑, 금연",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28435550.jpg,,예,,,,,,https://x.com/mannish0307,,,,,,,
VINOSITY magis,Vinosity Magis,https://retty.me/area/PRE13/ARE11/SUB1101/100000453717/,050-2018-2412,와인 바 프렌치 바 바 담배,"[태양, 월요일부터 목요일까지]
 15:00-23:00
[금]
 15:00-4:00
일요일에 열립니다",매주 토요일과 공휴일,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔",예,"Onuki Building, 2-9-7 Kajicho, Chiyoda-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 (180m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 거리 (330m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 7 분 거리 (510m)",,20 석,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://charpente.jp/magis/,,,,,,"날짜, 소녀의 밤, 개인 실, 독신, 성인 은신처, 크리스마스 저녁 식사, 마시는 술, 와인, 세련된, 첫 번째 기차, 저녁 식사, 저녁 식사, 저녁 식사, 비영리, 개인 실, 세련된, 개인 실
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36633017.jpg,PayPay,예,,,,,,,,,,,,,
カレーノトリコ,카레 No Toriko,https://retty.me/area/PRE13/ARE11/SUB1101/100001424613/,사적인,카레 인도 카레 인도 요리 지중해 요리,"[월요일부터 금요일까지]
점심 11:00-14:00
저녁 18 : 00-21 : 00
[토양]
점심 11:00-15:00",매주 일요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,"1f Ichihachi Building, 3-5 Kanda Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (110m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 (260m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 4 분 거리 (270m)",없음,10 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,https://www.facebook.com/currynotrico,,,,"점심, 연회 및 음주 파티, 싱글 OK, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 세련된, 저녁, 쌀, 비 조화, 세련된 점심
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29215783.jpg,,예,,,,,,https://x.com/currynotrico,,,,,,,
もつ焼きつみき 神田駅前店,Motsuyakitsu Miki Kanda Ekimae 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001312623/,03-6206-4165,Izakaya Motsu Cuisine Yakitori,"[월요일부터 금요일까지]
 17:00-23:00
[토양]
 13:00-22:00
[일요일과 휴일]
 13:00-22:00 L.O. 21:30
‼‼ 닐 골든 주간 정상적으로 개장합니다 !! 켈

Kanda Ekimae Store와 Kanda Kawara Store
예약 요청
Kanda Ekimae 매장
예약은 오후 5 시부 터 오후 5 시까 지 허용되며, 그 후 Kanda Kawara Store에서 알려줍니다.

Kanda Kawara 상점
예약은 시작부터 오후 6시 30 분까지 수락되며, 그 후 칸다 지역 내에서 같은 날에 예약이 이루어지며 ""오후 6시 30 분 이후의 무료 입장""[좌석은 이용 가능].

휴일, 토요일 및 일요일에 오후 1시에 오픈! 켈","하루 종일 개점
시설과 동일합니다
Kanda Ekimae Store와 Kanda Kawara Store
예약 
Kanda Ekimae 매장
예약은 오후 5 시부 터 오후 5 시까 지 허용되며, 그 후 Kanda Kawara Store에서 알려줍니다.

Kanda Kawara 상점
예약은 시작부터 오후 6시 30 분까지 수락되며, 그 후 당일 예약 및 당일 예약은 Kanda 지역 내에서 수락됩니다.","점심:-
저녁 식사 : ~ 2,000 엔",불가능합니다,"2-12-13 Kanda Kajicho, Chiyoda-Ku, 도쿄 1st and 2nd 층
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (79m)
Toei Shinjuku Line / Iwamotocho 역에서 도보 6 분 (430m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (460m)",예,,,없음,,"https://www.tiktok.com/@sa_yann.sake/video/7273806054733942023?_t=8o0jikhkihq&_r=1
https://youtu.be/eyv3u6l8i58
https://youtu.be/olqu2vzds7m?si=qfyf517m95gdbg4y",https://www.instagram.com/reel/ckihoiqpbq6/?igsh=mm1jowrnm2s5czjn,https://www.facebook.com/kstumiki,,,,"점심, 연회 및 음주 파티, 싱글은 괜찮아요
다른 사용 장면을 참조하십시오",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32558502.jpg,,예,,,,,,,,,,,,,
YONA YONA BEER WORKS 神田店,Yona Yona Beer Works Kanda 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100001194683/,03-5289-4747,맥주 바 이자카야 바,"[월요일부터 금요일까지]
 16:00-23:30
[태양, 토요일, 휴일]
 11:30-23:00",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
식당
JCB","1F Kanda Sudacho Building, 1-24-6 Kanda Sudacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (13m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (310m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 4 분 거리 (320m)",,65 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://yonayonabeerworks.com/,,https://www.facebook.com/yonayonabeerworkskanda/,,,,"점심으로 점심으로 마시는 연회와 음주 파티 싱글 싱글 OK 결혼식 애프터 파티의 작별 파티를 환영 파티 연말 파티 새해 파티 세련된 저녁 식사 세련
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35020354.jpg,,예,,,,,,,,,,,,,
ちえちゃんラーメン,Chie-chan라면,https://retty.me/area/PRE13/ARE11/SUB1101/100001544343/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神田 とりそば なな蓮,Kanda Torisoba Nanaren,https://retty.me/area/PRE13/ARE11/SUB1101/100001257290/,03-6206-0544,"라면, 소금에 절인라면, Tsukemen, Yakitori","[월요일부터 금요일까지]
 11:30-14:30
 18:00-22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,"1-7-1 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (78m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 4 분 거리 (260m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 6 분 (410m)",,8 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.nanahasu.com/,,,,,,"점심, 솔로, 성인을위한 은신처, 술을 마시고, 세련된, 저녁 식사, 맛있는 레스토랑, 저렴한 레스토랑, 금연, 세련된 점심, 공예 맥주
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28493077.jpg,,예,,,,,,,,,,,,,
南インド・ビストロ ひつじや JR神田駅店,남인도 비스트로 Shetsujiya Jr Kanda Station Store,https://retty.me/area/PRE13/ARE11/SUB1101/100001714809/,050-5462-5895,이자카야 바,"[하루 종일]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-22:00 L.O. 21:30",새해 휴일 (확인하십시오),"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드","사이토 빌딩 1f, 3-10-7 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 거리 (130m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (470m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 6 분 (470m)",없음,31 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://histujiya-kanda.foodre.jp/,https://www.instagram.com/hitsujiya_kanda/,,,,사용 가능한 예약,"점심, 저녁 식사, 쌀, 고기, 연회 및 음주 파티 급여 지불 지불금 결제 수당 온라인 예약 이용 가능 인기있는 식당, 새해 파티 요리, 요리 연말 파티, 작별 파티, 점심 음주
다른 사용 장면을 참조하십시오",예,없음,03-3525-7557,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001714809/archive/3342146-6673cf9110ed3.jpg,PayPay,예,,,,불가능합니다,,https://x.com/hitsujiyakanda,,,,,,,
ワイン食堂 GODDEN,와인 식당 Godden,https://retty.me/area/PRE13/ARE11/SUB1101/100001473928/,050-5303-6975,이자카야,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:00-27:00","매주 일요일
공휴일이 문을 닫습니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔",예,"Honmoku Building 1f, 1-22-13 Kanda Sudacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 4 분 (260m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 거리 (340m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 5 분 (360m)",예,26 석,"예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(전자 담배 만 허용됩니다. 종이 담배는 개인 실에서도 허용됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,https://www.kandagodden.com/,,,우리는 야채 요리와 고기 요리에 대해 특별합니다,맥주와 와인이 있습니다,사용 가능한 예약,"흡연 허용 쌀 저녁 식사 환영 파티 고기 연회/음주 파티 작별 파티 작별 파티 생일 파티 연말 파티 새해 파티 All-You-Can-Drink Paypay Points 온라인 예약 가능 개인 실 캐주얼
다른 사용 장면을 참조하십시오",,없음,03-6811-6815,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001473928/archive/941464-5ceb5f038e89e.jpg,,예,,,,,,,,차분한 분위기,,,,,
〇鳥 ‐マルドリ‐ 神田本店,bird -bird -marudori 칸다 메인 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100000792534/,050-5303-7216,이자카야 야키토리,"[월요일부터 금요일, 토요일, 휴일 전]
 16:00-24:00","매주 일요일과 공휴일
*정기 휴일 :
제휴 매장 ""Tiger Kichi""03-5809-2293
저희에게 연락하십시오.","점심:-
저녁 식사 : ~ 4,000 엔",예,"1st Bardement Floor, Manso Kanda Building, 3-12-2 Uchikanda, Chiyoda-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (78m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (460m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 (550m)",없음,34 석,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",,"[공식적인]
https://marudori-kanda.foodre.jp/",,https://www.ac,,,,"개인 실, 저녁 식사, 음식, 환영 파티, 싱글 OK, 새해 파티, 연말 파티, 개인 파티, 흡연 허용, 작별 파티, 고기, 소녀의 밤, 날짜, 결혼, 파티, 결혼 기념일, 그룹 데이트, 개인 객실, 그룹 데이트, 신속한 새해 파티
다른 사용 장면을 참조하십시오",,예,03-3525-4640,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000792534/archive/953869-5cf67dd30ba11.jpeg,PayPay,예,,,,,,,,,,,,,
タンドール料理 RB'sひつじや 神田店,Tandoor Cuisine RB의 Hitsujiya Kanda 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001695874/,050-5462-4170,이자카야,"[태양, 월요일부터 금요일, 토요일]
점심 11:00-15:00
저녁 식사 17:00-22:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","Nishikicho Square Building 1f, 3-6-7 Kanda Nishikicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (280m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 4 분 거리 (280m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 4 분 거리 (280m)",없음,35 석,,없음,,https://hitujiya-kanda.foodre.jp/,https://www.instagram.com/hitsujiya.kanda/,,고기 요리 전문,맥주와 와인이 있습니다,사용 가능한 예약,"쌀, 점심, 저녁 식사, 고기, 점심, 비 흡연, 애프터 파티, 혼자, 결혼식, 급여 지불 지불, 급여 지불 포인트 받기, 온라인 예약 가능, 새해 파티, 인기있는 레스토랑, 예약, 캐주얼, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오",예,예,03-6811-0888,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001695874/archive/31555546-651563989999e.jpg,PayPay,예,,,,,Suica,https://x.com/rbhitsujiya,,,,,,,
メキシカンダイニング ESO エソ 神田,멕시코 식당 Eso Eso Kanda,https://retty.me/area/PRE13/ARE11/SUB1101/100001766810/,050-5462-7470,이자카야 멕시코 요리,"[월요일부터 금요일까지]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-24:00 L.O. 23:00
[Sun, Saturday, Holidays, 휴일 전]
저녁 식사 17:00-23:00 L.O. 22:30
마감 시간은 하루에 따라 다를 수 있습니다",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","Eika 빌딩 1-14 Kanda Sudacho, Chiyoda-Ku, 도쿄 1f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 거리 (130m)
도쿄 메트로 마루치 노선 / Awajicho Station에서 도보로 3 분 거리 (200m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 3 분 거리 (210m)",없음,40 석,"연기 분리
(담배를 피우고 싶다면 상점에서 재떨이를 사용하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://esodining.foodre.jp/",,,"우리는 고기 요리에 대해 특히, 알레르기, 채식 메뉴, 매우 매운 메뉴, 요리사는 유명한 식당에서 훈련을 받았으며 매장 내에서 준비된 고객에게 수용 할 수 있습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"저녁, 쌀, 점심, 점심, 솔로, Paypay Points 온라인 예약 가능 인기있는 레스토랑
다른 사용 장면을 참조하십시오",예,예,050-3575-3574,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001766810/archive/3503067-6791c15d1cc9f.jpg,,없음,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, ALL-YOU-CAN-DRINK 가격 2,000-2,999 엔, 3,000-3,999 엔, ALL-YOU-CAN-DRINK 코스에는 4,000-4,999 YEN에 대한 All-You-Can-Drink, All-You-Can-Drink Course for 5,000-yen-con-drince를 포함합니다. 1 시간 반, 2 시간 동안 완전히 흠뻑 젖고, 2 시간 반 동안 완전히 흠뻑 적시고, 3 시간 반 동안 싱글 링크, 3 시간 반 동안 싱글 링크","이용 가능 : Suica, Pasmo
QR 코드 결제 이용 가능 : PayPay, DPay, Line Pay, Merpay

송장 등록이있는 상점",,,,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",보기가 좋습니다,,,,,
