restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,remarks,cooking_specialties,reservation,usage_scenes,wifi_available,video,ic_card_payment,facebook,lecture,available_drinks,drinking_specialties,waiting,service,dress_code,child_friendly,pet_friendly,power_supply_available,phone_number,instagram,foreign_language_support,additional_equipment,twitter,beer_maker,인근 시설
立喰い鮨 浩也,서있는 초밥 히로야,https://retty.me/area/PRE13/ARE16/SUB1602/100001739332/,03-5843-8775,초밥,"[월요일부터 금요일까지]
점심 12:00-14:00
저녁 식사 17:00-22:00
[태양, 토요일, 휴일]
 12:00-22:00",불규칙한 휴일,"점심 : ~ 8,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-4-4 Shibadaimon, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 3 분 거리 (170m)
JR Yamanote Line / Hamamatsucho Station 6 분 도보 (410m)
Toei Mita Line / Onarimon Station에서 도보 6 분 (410m)",없음,11 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://tachiguisushi-hiroya.foodre.jp/","전자 자금 이용 가능 : (운송 전자 돈 (Suica 등), Rakuten Edy, Nanaco, Waon, Id, Quicpay)
이용 가능한 QR 코드 지불 : (PayPay, DPay, Rakuten Pay, AU Pay)",생선 요리 전문,사용 가능한 예약,"점심, 저녁, 싱글, 라이스 페이 페이 지불 이용 가능 크리스마스 2024 고급스러운 크리스마스 연말 파티 새해 파티 get paypay points 온라인 예약 가능 인기 상점
다른 사용 장면을 참조하십시오",없음,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001739332/archive/3375984-66b3748de2219.jpg,,,,,,,,,,,,,,,,,,
馬並み家 三田本店,말과 같은 집 미타 메인 매장,https://retty.me/area/PRE13/ARE16/SUB1602/100001604026/,050-5304-3738,이자카야 핫팟 말 고기 요리,"[월요일부터 금요일까지]
 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
 15:00-23:30 L.O. 22:30
자세한 내용은 공식 웹 사이트를 확인하십시오.",,"점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1st Bardement Floor, 건축 홀, 5-26-20 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (81m)
JR Yamanote Line / Tamachi (도쿄) 역 3 분 (220m)
Toei Mita Line / Shibakoen Station에서 도보 8 분 (640m)",없음,47 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://www.dd-holdings.jp/shops/umanamiya/mita#/,"다른 지불 방법
카드 : UnionPay
전자 돈 : ID
QR 지불 : Paypay, Rakuten Pay, DPay, Aupay, Merpay, Wechatpay, Alipay, Bank Pay",고기 요리 전문,사용 가능한 예약,"데이트 고기 저녁 식사 새해 파티 연말-연말 파이
다른 사용 장면을 참조하십시오",없음,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001604026/archive/256858-61adeca587a85.jpg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay",,"6,000 엔에서 6,999 엔으로 구입할 수 있습니다",,"맥주, 사케, 쇼치, 와인, 칵테일",,,,,,,03-5730-1452,,,,,,
SAKE Scene 〼福,술 장면 ukfuku,https://retty.me/area/PRE13/ARE16/SUB1602/100001304922/,03-6450-1559,프랑스 요리 치킨 요리 카포/작은 레스토랑,"[월요일부터 금요일까지]
 18:00-23:30 L.O. 22:30
[토양]
 18:00-22:30 L.O. 21:30",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드",,"Yanaba Building 1f, 2-11-20 Shibadaimon, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 3 분 거리 (240m)
JR Yamanote Line / Hamamatsucho Station 5 분 도보 (360m)
Toei Mita Line / Shibakoen Station 5 분 도보 (390m)",,"20 석
(4 테이블 좌석 + 12 석)","예
(카운터에서 4 석)","불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://sakaescene-masufuku.foodre.jp/
https://sakaescene.com/",,,,"음식, 엔터테인먼트, 즐기기, 결혼식, 파티, 후주, 환영 파티, 새해 파티, 세련된, 비 흡연, 크래프트 맥주, 크리스마스 2024, 성인 연말 파티, 세련된, 메리 쿠리, 모든 새해 파티, 새해의 새해 파티
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001304922/archive/350902-5A378EA5C1A17.JPG,,https://www.facebook.com/sake-scene-fuku-1093193087412983/,,,,,,,,,,,https://www.instagram.com/sakescenemasufuku/,,,,,
完全個室と和食 旬の海鮮・地鶏 なな星 浜松町本店,완전히 개인 실과 ​​일본 요리 계절 해산물 및 현지 닭고기 나노시 하마 마츠 초 메인 스토어,https://retty.me/area/PRE13/ARE16/SUB1602/100001696461/,050-5462-3251,이자카야 해산물과 해산물,"[하루 종일]
저녁 식사 16:00-24:00
음식에 대한 마지막 순서 : 23:00
마지막 음료 순서 23:30",불규칙한 휴일,"점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Imon Hamamatsucho Building 3F, 2-5-8 Hamamatsucho, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Hamamatsucho Station에서 도보 2 분 (91m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 4 분 거리 (260m)
Yurikamome / Takeshiba 역에서 도보로 8 분 (630m)",없음,100 석,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,"[공식적인]
https://nanaboshi.foodre.jp/",,,사용 가능한 예약,"Farewell Party, Welcome Party, 흡연 허용, All-You-Can-Drink, Party, Paypay Points, 온라인 예약 가능, 연말 파티, 새해 파티, 개인 실
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001696461/archive/3034179-6438d864beb3f.jpg,,,,,,,,,,,,070-4693-5388,,,,,,
龍祥軒 芝本店,Ryushoken Shiba Honten,https://retty.me/area/PRE13/ARE16/SUB1602/100000014680/,050-5462-7024,중국 음식 Gyoza Izakaya,"[월요일부터 금요일과 토요일]
점심 11:00-15:00
[월요일부터 금요일까지]
 17:00-23:00","불규칙한 휴일
불규칙한 휴일, 골든 위크, 오본 및 새해 휴일","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",Amex,PayPay,"Shiba Mn Building, 2-16-3 Shiba, Minato-Ku, 도쿄 1 층 및 2 층
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Shibakoen Station 4 분 도보 (310m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 7 분 거리 (490m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 8 분 거리 (600m)",,"90 석
(80)",없음,"예
(흡연 없음 점심, 저녁 흡연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"[공식적인]
https://ryushohken-honten.foodre.jp/",,,,"점심, 저녁 식사, 저녁 식사, 연회 및 음료, 개인 실, 흡연 허용, 개인 실, 매우 매운, 급여 지불 지불, 급여 지불 포인트, 온라인 예약 이용 가능, 전산 된 점점, 캐주얼, 신속한 새해 파티, 빠른 연말 파티, 작별 파티
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000014680/archive/3444501-672c40238485.jpg,,,,,,,,,,,,03-3453-7565,,,,,,
和食日和 おさけと 大門浜松町,"일본 요리, 사케 및 다이몬 하마 마츠 초에게 좋은 날",https://retty.me/area/PRE13/ARE16/SUB1602/100001528349/,050-5462-7676,"일본 요리, 카이세키 요리, 해산물 및 해산물 요리, 이자카야","[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
[월요일 ~ 목요일]
저녁 식사 17:00-22:30 L.O. 21:30
[금]
저녁 식사 17:00-23:00 L.O. 22:00","매주 토요일마다 일요일 휴가
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
식당
JCB",PayPay,"5 층, Adsis Daimon, 2-1-6 Hamamatsucho, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 1 분 거리 (58m)
JR Yamanote Line / Hamamatsucho Station 3 분 도보 (220m)
Toei Mita Line / Shibakoen Station에서 도보 8 분 (570m)",예,46 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"[공식적인]
https://wasyokubiyori-daimonhamamatuchou.foodre.jp/
https://linktr.ee/0sakato
https://restaurant.ikyu.com/114420/",,"우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간, 유기농 야채 및 매장 내 준비에 특히",,"점심 모든-냉담한 연회/음료 파티 개인 방 약혼 저녁 식사 싱글 손님 엔터테인먼트 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 마시는 세련된 유기 요리 저녁 식사
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001528349/archive/1516414-5e620a9d2f2d7.png,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Quicpay",,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","5,000 엔 이상을위한 전산 된 코스가 포함되어 있으며, 2 시간 동안 온 All-You-Can-Drink, 2.5 시간 동안 온 All-You-Can-Drink, 3 시간 이상 싱글 링크가 있습니다.","맥주, 술, 쇼치, 위스키, 아와 모리가 있습니다",,"축하 가능성
소믈리에가 있습니다",,,,,03-5843-7305,,,,,,
全室個室 じぶんどき 浜松町駅前店,"모든 개인 실, Hamamatsucho Ekimae 지점",https://retty.me/area/PRE13/ARE16/SUB1602/100001551814/,050-5462-2933,이자카야 튀김 일본 음식,"[월요일부터 금요일까지]
저녁 식사 17:00-23:30 L.O. 22:30
[태양, 토요일, 휴일]
저녁 식사 16 : 00-23 : 30 L.O. 22:30
*저녁 식사 시간 음료 주문은 마감 시간 30 분 전입니다.",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2 층, Hamamatsucho FG Building, 1-30-11, Minato-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 1 분 거리 (41m)
JR Yamanote Line / Hamamatsucho Station에서 도보 2 분 (130m)
Toei Mita Line / Onarimon 역에서 도보로 9 분 (680m)",없음,"159 석
(타타미 룸, 코타 츠 좌석 및 자이수에 앉을 수 있습니다)",,"연기 분리
흡연실 사용 가능
(완전히 금연 (흡연 부스 이용 가능))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,https://jibundoki.dkdining.com/hamamatsucho/,"신용 카드 : UC, DC, NC, UFJ, ID 사용 가능
좌석 수수료가 있습니다. (코스 당시 가격에 포함)",,,"연회 및 음주 파티 디너 개인 룸 저녁 식사 개인 객실 엔터테인먼트 급여 페이 지불 이용 가능 페이 페이 포인트 온라인 예약 이용 가능 연말 파티 세련된 성인 새해 파티 신속한 새해 파티 성인 연말 파티 빠른 새해 파티 빠른 새해 파티
다른 사용 장면을 참조하십시오",없음,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001551814/archive/3293692-66262798080b1.jpg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca",,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선","맥주, 사케, 쇼치","조용한 가게
차분한 분위기","놀라운 응답 가능
축하 가능성",,,,,050-2018-8854,,,,,,
Trattoria Cicci Fantastico,Trattoria cicci fantastico,https://retty.me/area/PRE13/ARE16/SUB1602/100001261422/,050-5304-6058,이탈리아 파스타,"[월요일부터 금요일, 토요일, 휴일]
점심 11:30-14:00
[월요일부터 금요일까지, 휴일]
저녁 식사 17 : 30-23 : 00 L.O. 22:00
[토양]
저녁 식사 17:30-23:00","매주 일요일
∎ 공휴일에 문을 열고 다음날 문을 닫습니다.","점심 : ~ 3,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"보석 Daimon 1f, 2f, 1-15-3 Shibadaimon, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 2 분 거리 (92m)
JR Yamanote Line / Hamamatsucho Station 6 분 도보 (410m)
Toei Mita Line / Onarimon Station에서 도보로 7 분 거리 (520m)",예,90 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 100 명","[공식적인]
https://trattoriaciccifantastico.foodre.jp/
https://tabelog.com/tokyo/a1314/a131401/13192431/",,"우리는 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특히",사용 가능한 예약,"날짜, 여자 밤, 고기, 저녁 식사, 점심, 저녁 식사, 급여 지불 지불 가능, 급여표, 온라인 예약 가능, 연말 파티, 크리스마스 저녁 식사, 새해 파티, 세련된, 성인 데이트, 성인 새해 파티, 크리스마스 2024
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001261422/archive/212412-592913603f222.jpg,,https://www.facebook.com/ciccifantastico/,"5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","5,000 엔 이상의 싱글 링크 가격, 2 시간 동안 온전한 점수","맥주, 와인, 칵테일","보기가 좋습니다
개방성이 있습니다
활발한 상점
차분한 분위기
골목을 향합니다
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성",,,,,03-6435-9365,,,프로젝터 및 사운드 장비,,,
全席個室 九州和食 個室居酒屋 一藤 浜松町本店,모든 좌석 개인 객실 kyushu 일본 요리 개인 실 Izakaya Ichido Hamamatsucho Main Store,https://retty.me/area/PRE13/ARE16/SUB1602/100001696459/,050-5462-3250,이자카야,"[하루 종일]
저녁 식사 16:00-24:00",불규칙한 휴일,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Imon Hamamatsucho Building 3F, 2-5-8 Hamamatsucho, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Hamamatsucho Station에서 도보 2 분 (91m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 4 분 거리 (260m)
Yurikamome / Takeshiba 역에서 도보로 8 분 (630m)",없음,"100 석
((일본 분위기로 가득 찬 차분한 공간은 다양한 연회에 적합합니다!))))))))))))))",없음,"예
완전히 흡연이 허용됩니다
(개인 객실은 별도의 흡연 구역에서 사용할 수 있습니다. 자세한 내용은 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
제한된 수의 사람들이 임대 할 수있는 (좌석) : 100 명","[공식적인]
https://nagomian.foodre.jp/",,"우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 수입 재료, 수입 재료, 현지 재료를 생산하고, 알레르기가있는 고객을 수용 할 수 있으며, 매장 내에서 준비 할 수 있습니다.",사용 가능한 예약,"점심 시간, 개인 객실, 저녁 식사, 어린이와 함께 즐기기, 엔터테인먼트, 식사, 연말 파티, 새해 파티, 작별 파티, PayPay 포인트 받기, 온라인 예약 가능, 인기있는 상점 예약
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001696459/archive/3591872-680a1ea82d779.jpg,,,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, ALL-YOU-CAN-DRINK 가격 2,000-2,999 엔, 3,000-3,999 엔, ALL-YOU-CAN-DRINK 코스에는 4,000-4,999 YEN에 대한 All-You-Can-Drink, All-You-Can-Drink Course for 5,000-yen-con-drince를 포함합니다. 2 시간, 모두 3 시간 이상 마실","맥주, 사케, 쇼치, 와인, 위스키, 칵테일","차분한 분위기
숨는 곳",,,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,,03-6453-0090,,,,,,
ブラウアターフェル アトレ竹芝店,Brower Atre Takeshiba 지점,https://retty.me/area/PRE13/ARE16/SUB1602/100001531295/,050-5462-3446,이자카야 피자,"[하루 종일]
 11:00-22:00",・ 시설과 동일합니다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Atre Takeshiba Tower Building, 1-10-30 Kaigan, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Yurikamome / Takeshiba 역에서 도보 4 분 (270m)
JR Yamanote Line / Hamamatsucho Station 8 분 도보 (630m)
Toei Oedo Line / Daimon (Tokyo) 역에서 도보로 9 분 거리 (650m)","없음
이웃 P (할인) 사용 가능","128 석
(available 테라스 좌석 이용 가능 ・ 개인 실 : 10 ~ 20 명 (그룹을 사용하는 6 ~ 14 명, 개인 실을 사용할 때 3,300 엔이 청구됩니다))","예
(10)","불가능합니다
(흡연실은 건물에서 이용 가능합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,"[공식적인]
https://brauertafel-takeshiba.foodre.jp/",,"우리는 야채 요리, 고기 요리, 생선 요리 및 채식 메뉴에 대해 특별합니다.",사용 가능한 예약,"점심, 점심, 점심, 저녁 식사, 개인 실, 어린이, 저녁 식사, 소녀의 밤, 솔로, 데이트, 와인, 주차, 고기, 급여 지불 제공, 결혼식, 파티, 세련된, 크래프트 맥주
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001531295/archive/3083032-648eb0ff2d07f.jpeg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.","전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크","맥주, 와인, 칵테일","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
차분한 분위기
나이트 뷰를 볼 수 있습니다
나는 바다를 볼 수있다
테라스가 있습니다
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",,"예
유아, 유치원 어린이, 초등학생을 환영합니다","예
상점 밖에서 사용할 수 있습니다",,03-6402-5580,,언어 지원 메뉴가 있습니다,TV 및 모니터 사용 가능,,,
レストラン シュヴァリエ,레스토랑 시보리어,https://retty.me/area/PRE13/ARE16/SUB1602/100001592900/,050-5304-1924,프랑스 요리,"[금요일과 토요일까지]
점심 11 : 30-14 : 00 L.O. 13:00
저녁 식사 17:30-22:00 L.O. 20:30",매주 화요일마다 매주 일요일마다,"점심 : ~ 8,000 엔
저녁 식사 : ~ 20,000 엔","비자
마스터 카드
Amex
식당
JCB",,"3-6-12 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Shibakoen Station에서 도보로 1 분 (59m)
Toei Asakusa Line / Mita (Tokyo) 역에서 도보 5 분 (360m)
Toei Oedo Line / Akabanebashi Station 7 분 도보 (560m)",없음,"12 석
(앉을 때 12 명)",없음,"불가능합니다
(Minato-Ku는 거리 흡연 지역입니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://www.chevalier.co.jp/,,,,"점심, 여자 밤, 날짜, 저녁 식사, 엔터테인먼트, 개인 크리스마스 저녁 식사, 연말 파티, 새해 파티, 오후에 술을 마시고, 싱싱 포인트 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001592900/archive/2503719-6167B8D1F00A5.JPEG,,,,,와인이 있습니다,차분한 분위기,소믈리에가 있습니다,,"예
이유식을 가져올 수 있습니다",,,03-3798-5568,,,,,,
浜松町ハイボールバー,Hamamatsucho Highball Bar,https://retty.me/area/PRE13/ARE16/SUB1602/100001547592/,050-5462-2928,바이자카야,"[월요일부터 금요일까지]
 15:00-29:00 L.O. 28:00
[토양]
 14:00-29:00 L.O. 28:00
[일요일과 휴일]
 14:00-23:30 L.O. 23:00
*마지막 음료 주문은 마감 시간 30 분 전입니다.",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Hamamatsucho FG 빌딩 1f, 1-30-11 Hamamatsucho, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 1 분 거리 (43m)
JR Yamanote Line / Hamamatsucho Station에서 도보 2 분 (130m)
Toei Mita Line / Onarimon Station에서 도보로 9 분 (670m)",,106 석,,"불가능합니다
(상점에서 흡연 없음 (흡연 구역 이용 가능))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://highballbar-hamamamatsucho.com/,,,,"저녁 식사, 여자 밤, 파티, 애프터 링크, 저녁 식사, 첫 번째 기차까지 열리고, 늦은 밤에 문을 열 때, 급여표 포인트, 온라인 예약 가능, 작별 파티, 환영 파티, 점심 마시기, 세련된
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001547592/archive/3022371-5e05bd9ab610f.png,,,,,,,,,,,,050-2018-8785,,,,,,
カラオケの鉄人 田町駅三田口店,가라오케 Tetsujin Tamachi 역 미타구치 지점,https://retty.me/area/PRE13/ARE16/SUB1602/100001477320/,03-6809-5842,식당 바,"[월요일부터 금요일까지, 휴일 전]
 12:00-30:00
[태양, 토요일, 휴일]
 11:00-30:00",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"히라야마 빌딩 1F-2F, 5-20-20 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (110m)
JR Yamanote Line / Tamachi (도쿄) 역 3 분 (210m)
Toei Mita Line / Shibakoen Station에서 도보 8 분 (600m)",없음,128 석,없음,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,"PayPay 지불 가능. PayPay 포인트를 얻습니다. 온라인 예약 가능. 연말 파티. 새해 파티. 작별 파티. 파티를 환영합니다. 개인 실. 점심을 마신다.
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001477320/archive/3223869-65980424b80c0.jpg,,,,,,,,,,,,,,,,,,
鶏ポタ ラーメン THANK,치킨 감자라면 감사합니다,https://retty.me/area/PRE13/ARE16/SUB1602/100000038953/,03-5400-1350,라면 츠케 멘 단단맨 톤 코츠수라면 소금라면,"[태양, 월요일부터 금요일, 토요일]
 11:30-15:00
[월요일부터 금요일까지]
 18:00-22:00","휴일
・ 수프가 다 떨어지 자마자 끝납니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,PayPay,"Shiba Otomo Building 1f, 2-1-13 Shiba Daimon, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 3 분 거리 (170m)
Toei Mita Line / Shibakoen Station 5 분 도보 (370m)
JR Yamanote Line / Hamamatsucho Station 6 분 도보 (410m)",,18 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://thanktank.jp/,,,,"점심, 연회 및 음주 파티, 싱글 OK, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 스타일리시, 저녁, 쌀, 맛있는 레스토랑, 저렴한 레스토랑, 금연, 세련된 점심, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36427054.jpg,,https://www.facebook.com/ramenthank/,,,,,,,,,,,https://www.instagram.com/ramen_thank/,,,https://x.com/ramenthank,,
