restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,ic_card_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,instagram,lecture,available_drinks,cooking_specialties,drinking_specialties,reservation,usage_scenes,waiting,service,dress_code,child_friendly,wifi_available,phone_number,foreign_language_support,video,pet_friendly,power_supply_available,remarks,twitter,facebook,additional_equipment,beer_maker,쇼핑 직무 정보,온라인 예약
カジュアルイタリアン×デザイナーズダイニング umineko ebisu,캐주얼 이탈리아 X 디자이너 식당 Umineko Ebisu,https://retty.me/area/PRE13/ARE7/SUB701/100001299114/,03-6303-1939,이탈리아 요리,"[월요일부터 금요일까지]
점심 11:30-15:00
저녁 18 : 00-24 : 00
[토양]
 15:00-24:00
[낮]
 15:00-22:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,,,"Ice Cube B1, 3-1-25 Ebisu Minami, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (160m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 6 분 (410m)
도쿄 메트로 히비 야 라인 / 나카 메 구로 스테이션 11 분 도보 (830m)",,35 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 솔로, 크리스마스 저녁, 세련된 저녁 식사, 저녁, 쌀, 비 조화, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/17184037.jpg,,,,,https://www.facebook.com/umineko-ebisu-1893355544028977/,,,,
恵比寿アッカ,ebisu acca,https://retty.me/area/PRE13/ARE7/SUB701/100001485412/,03-6277-3688,이자카야 와인 바 파스타 바 바 바,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:00-24:00 L.O. 23:00
폐쇄 : 일요일, 두 번째 월요일",,"점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
식당
JCB",,,"1-22-12 에비 수, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 6 분 (410m)
도쿄 메트로 히비야 라인 / 히로 스테이션에서 도보 13 분 (980m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 16 분 (1.3km)",없음,"32 석
(15 개의 카운터 좌석, 17 개의 테이블 좌석)","예
(15 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명",,,"3,000 엔 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 구입할 수 있습니다.","4,000 엔에서 4,999 엔까지의 싱글 링크와 5,000 엔 이상의 링크를 포함하는 코스가 포함 된 코스가 있습니다.",야채 요리 전문,맥주와 와인이 있습니다,사용 가능한 예약,"데이트 전일-마시는 연회 및 음주 파티 약혼 저녁 식사 싱글 엔터테인먼트 작별 파티를 환영하는 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티는 아이들과 함께 즐거운 와인을 마시고 세련된 개인 공간을 마신다.
다른 사용 장면을 참조하십시오",,,,예,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001485412/archive/971641-5d089c6ed216f.jpg,불가능합니다,,,,,,,,
吉柳,요시 야나기,https://retty.me/area/PRE13/ARE7/SUB701/100000254668/,03-3711-9876,Izakaya 크리에이티브 요리 테이크 아웃 카레,"[하루 종일]
저녁 식사 18:00-20:00 L.O. 19:00","하루 종일 개점
점심 영업 시간은 다를 수 있으므로 방문하기 전에 전화하십시오.","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",불가능합니다,,,"2F, 1-2-12 EBISU MINAMI, SHIBUYA-KU, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 1 분 (36m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 8 분 (570m)
도쿄 메트로 히비 야 라인 / 나카 메 구로 스테이션 13 분 (1.0km)",예,"21 석
((2 명 x 3 좌석, 3 명 x 1 좌석, 카운터 - 9 석))))))",예,"불가능합니다
(흡연 구역 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,맥주와 쇼치,사용 가능한 예약,"날짜, 연회 및 음주 파티, 싱글 OK, 성인 은신처, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된, 저녁 식사, 저녁 식사, 맛있는 레스토랑, 비 조화, 무료 WIFI
다른 사용 장면을 참조하십시오",,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000254668/archive/2113656-5fbf348d2e07d.jpg,,,,https://x.com/ebisu_kiryu,,,,,
がらく 恵比寿南店,가라쿠 에비 수 미나미 상점,https://retty.me/area/PRE13/ARE7/SUB701/100000026142/,03-5720-6828,이자카야,"[월요일부터 금요일까지]
 11:30-14:30
[월요일 ~ 목요일]
 17:30-24:00
[금]
 17:30-26:00",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,PayPay,,"야마모토 빌딩 B1F, 2-2-6 Ebisu Minami, 시부야 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 1 분 (66m)
Daikanyama 역에서 도쿄 도요코 라인 / 도보 거리 7 분 (530m)
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보로 12 분 (930m)",,40 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 솔로, 크리스마스 저녁, 세련된 저녁, 저녁 식사, 쌀, 흡연, 세련된, 늦은 밤, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/16021037.jpg,,,,,,,,,
カジュアルイタリアン×デザイナーズダイニング umineko ebisu,캐주얼 이탈리아 X 디자이너 식당 Umineko Ebisu,https://retty.me/area/PRE13/ARE7/SUB701/100001299114/,03-6303-1939,이탈리아 요리,"[월요일부터 금요일까지]
점심 11:30-15:00
저녁 18 : 00-24 : 00
[토양]
 15:00-24:00
[낮]
 15:00-22:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,,,"Ice Cube B1, 3-1-25 Ebisu Minami, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (160m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 6 분 (410m)
도쿄 메트로 히비 야 라인 / 나카 메 구로 스테이션 11 분 도보 (830m)",,35 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 솔로, 크리스마스 저녁, 세련된 저녁 식사, 저녁, 쌀, 비 조화, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/17184037.jpg,,,,,https://www.facebook.com/umineko-ebisu-1893355544028977/,,,,
Trattoria Evoluzione,Trattoria Evoluzione,https://retty.me/area/PRE13/ARE7/SUB701/100001401817/,03-3476-7036,이탈리아 음식 파스타 테이크 아웃,"[하루 종일]
점심 11:30-15:00
저녁 18 : 00-23 : 00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",Amex,,,"1f 스바루 건물, 1-8-11 에비 수 니시, 시부야 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 1 분 (72m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (560m)
JR Yamanote Line / Shibuya Station 14 분 도보 (1.1km)",,"19 석
(4 명을위한 2 개의 테이블 x 2 좌석, 3 명을위한 1 개의 테이블)","예
(8 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 솔로, 크리스마스 저녁, 세련된 저녁 식사, 저녁, 쌀, 비 조화, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/24576283.jpg,,,신용 카드 : 저녁 식사 만 가능합니다,,,,,,
Ku-Fuku,쿠 쿠쿠,https://retty.me/area/PRE13/ARE7/SUB701/100001405071/,03-6721-9773,이자카야 일본 요리 테이크 아웃 소바 (Soba),"[하루 종일]
점심 11:30-15:00
저녁 식사 17 : 30-26 : 00",명확하지 않습니다,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",예,,,"4-9-15 에비 수, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 6 분 (440m)
도쿄 메트로 히비 야 라인 / 히로 스테이션 13 분 (1.0km)
JR Yamanote Line / Meguro Station 16 분 도보 (1.3km)",,,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://oxxs.tokyo/ku-fuku,,,,,,,"점심, 연회 및 음주 파티, 싱글은 괜찮아, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 세련된, 저녁 식사, 쌀, 금연, 세련된 점심, 늦은 밤에 문을 엽니 다.
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/17003956.jpg,,,,,https://www.facebook.com/ku.fuku.tokyo/,,,,
来たれ激辛部！恵比寿ファイヤーガーデン,"어서, 슈퍼 매운 클럽! 에비 수방 정원",https://retty.me/area/PRE13/ARE7/SUB701/100001444714/,050-5462-1980,한국 음식 사천 음식 타이 음식 중국 음식 뜨거운 냄비 한국 음식,"[Sun, 화요일, 금요일, 토요일]
저녁 식사 17:00-23:00 L.O. 22:30
첫 번째와 세 번째 화요일은 문을 닫을 수 있습니다.","매월 첫 번째 화요일 매월 셋째 화요일마다 매주 월요일
새해 전원은 12/31에서 1/5로 마감됩니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, AU 지갑","Tsuroy Daikanyama B1F, 1-29-9 Ebisu Nishi, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 4 분 (280m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 5 분 (370m)
JR Yamanote Line / Shibuya 역에서 도보로 11 분 (850m)","예
근처 (할인 없음) 사용 가능",30 석,예,"불가능합니다
(흡연 구역 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 32 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 40 명",https://fire-garden.jp,https://www.instagram.com/firegarden_ebisu/,"2,999 엔 미만의 코스","전세계 점점 : 2,000-2,999 엔, 4,000-4,999 엔 (4,000-4,999 엔), 5,000 엔 이상에서 온 탁월한 링크, 2 시간 동안 싱글 링크, 2 시간 반 동안 온전한 링크","어린이를위한 메뉴, 매우 매운 음식, 매장 내에서 준비된 메뉴","맥주, 와인, 칵테일",사용 가능한 예약,"Super Spicy Farewell Party, 개인 실, 생일, 개인 실, 금연, 세련된 개인 실, Paypay Payment, 연말 파티, 새해 파티, 스타일리쉬
다른 사용 장면을 참조하십시오",숨는 곳,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",없음,"예
유치원 어린이는 환영하고 초등학생은 환영하며 어린이 메뉴를 이용할 수 있습니다.",예,03-6416-5024,"중국어와 한국
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001444714/archive/2942935-63a132bfdc244.jpg,불가능합니다,예 (무료),,,,"TV 및 모니터, 오디오 장비",,,
恵比寿アッカ,ebisu acca,https://retty.me/area/PRE13/ARE7/SUB701/100001485412/,03-6277-3688,이자카야 와인 바 파스타 바 바 바,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:00-24:00 L.O. 23:00
폐쇄 : 일요일, 두 번째 월요일",,"점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
식당
JCB",,,"1-22-12 에비 수, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 6 분 (410m)
도쿄 메트로 히비야 라인 / 히로 스테이션에서 도보 13 분 (980m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 16 분 (1.3km)",없음,"32 석
(15 개의 카운터 좌석, 17 개의 테이블 좌석)","예
(15 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명",,,"3,000 엔 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 구입할 수 있습니다.","4,000 엔에서 4,999 엔까지의 싱글 링크와 5,000 엔 이상의 링크를 포함하는 코스가 포함 된 코스가 있습니다.",야채 요리 전문,맥주와 와인이 있습니다,사용 가능한 예약,"데이트 전일-마시는 연회 및 음주 파티 약혼 저녁 식사 싱글 엔터테인먼트 작별 파티를 환영하는 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티는 아이들과 함께 즐거운 와인을 마시고 세련된 개인 공간을 마신다.
다른 사용 장면을 참조하십시오",,,,예,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001485412/archive/971641-5d089c6ed216f.jpg,불가능합니다,,,,,,,,
KICHIRI 恵比寿,키치리 에비 수,https://retty.me/area/PRE13/ARE7/SUB701/100000003453/,03-5791-1119,이자카야 바 파스타,"[하루 종일]
저녁 식사 17:00-23:00 L.O. 22:00
우리는 도쿄의 규칙에 따라 운영 될 것입니다.",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
Amex
식당
JCB",PayPay,,"1-8-12 Ebisu, Shibuya-Ku, 도쿄, Q Ebis Plaza 6f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 1 분 (30m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (760m)
JR Yamanote Line / Shibuya Station 15 분 도보 (1.1km)",없음,"220 석
((개인 연회장, 최대 60 명까지!))))))))",없음,"불가능합니다
(테라스에서 허용되는 흡연 *비가 오면 사용할 수 없습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
예약 할 수있는 제한된 수의 사람들 : 60 명",https://www.kichiri.co.jp/japanstyle/ebisu/,,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 2 시간 동안 all-you-can-drink, 3 시간 이상 동안 싱글 링크","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료 및 유기농 야채에 특히 중요합니다.","맥주, 술, 와인, 위스키, 칵테일",사용 가능한 예약,"모든 당신이 먹는 데이트 소녀 파티 모든 당신이 싱크 링크 그룹 데이트 데이트 개인 방 선별 파티를 환영합니다.
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
나이트 뷰를 볼 수 있습니다","놀라운 응답 가능
축하 가능성",,예,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000003453/archive/696120-5c579569c719b.jpg,불가능합니다,불가능합니다,* 어린이는 개인 실에만 초대 될 수 있습니다,,,,,,
酒場シナトラ 恵比寿店,사카바 시나트라 에비 수 지점,https://retty.me/area/PRE13/ARE7/SUB701/100001468159/,03-6451-0688,Izakaya obanzai 닭 요리 두부 요리/유바 요리 kappo/작은 레스토랑 해산물/해산물 요리 사시미,"[월요일부터 금요일까지]
 17:00-1:00 L.O. 24:00
[태양, 토요일, 휴일]
 16:00-24:00 L.O. 23:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 FB를 확인하십시오.
테이크아웃
[하루 종일] 15 : 00-20 : 00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",Amex,PayPay,,"Joile Ebisu B1F, 2-1-4 Ebisu Nannan, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (90m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (510m)
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 12 분 (910m)","없음
근처 (할인 없음) 사용 가능",50 석,"예
(1-12 명)","불가능합니다
(상점 외부의 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,https://www.bistro-jill.com/,,,,"우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료 및 현지 농산물에 특히 중요합니다.","맥주, 사케, 와인",사용 가능한 예약,"날짜 all-you-can-drink 연회/음료 파티 싱글을위한 개인 실
다른 사용 장면을 참조하십시오",개방성이 있습니다,테이크 아웃 가능성,,예,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001468159/archive/99021-5d146fe8f16a.jpg,불가능합니다,,,,,,,,
がらく 恵比寿南店,가라쿠 에비 수 미나미 상점,https://retty.me/area/PRE13/ARE7/SUB701/100000026142/,03-5720-6828,이자카야,"[월요일부터 금요일까지]
 11:30-14:30
[월요일 ~ 목요일]
 17:30-24:00
[금]
 17:30-26:00",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,PayPay,,"야마모토 빌딩 B1F, 2-2-6 Ebisu Minami, 시부야 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 1 분 (66m)
Daikanyama 역에서 도쿄 도요코 라인 / 도보 거리 7 분 (530m)
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보로 12 분 (930m)",,40 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 솔로, 크리스마스 저녁, 세련된 저녁, 저녁 식사, 쌀, 흡연, 세련된, 늦은 밤, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/16021037.jpg,,,,,,,,,
魚屋きいもん,Fishmonger Kiimon,https://retty.me/area/PRE13/ARE7/SUB701/100000713849/,03-5420-1232,이자카야 해산물과 해산물 사시미 게 조리 쌀 그릇 꼬치 숯 구이,"[하루 종일]
 17:00-24:30 L.O. 23:30",불규칙한 휴일,"점심:-
저녁 식사 : ~ 5,000 엔",Amex,,,"1-26-15 에비 수, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 8 분 (570m)
도쿄 메트로 히비야 라인 / 히로 스테이션에서 도보 10 분 (800m)
도쿄 도요코 라인 / 다이키 야마 역 18 분 도보 (1.4km)",,"10 석
(There is also a second floor)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"Dates Girls' Nights, Singles OK Christmas Dinners You can drink sake, wine, stylish Dinners, rice, non-smoking, after-parties, drink shochu
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34556752.jpg,,,,,https://www.facebook.com/oyukiimon/,,,,
カジュアルイタリアン×デザイナーズダイニング umineko ebisu,캐주얼 이탈리아 X 디자이너 식당 Umineko Ebisu,https://retty.me/area/PRE13/ARE7/SUB701/100001299114/,03-6303-1939,이탈리아 요리,"[월요일부터 금요일까지]
점심 11:30-15:00
저녁 18 : 00-24 : 00
[토양]
 15:00-24:00
[낮]
 15:00-22:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,,,"Ice Cube B1, 3-1-25 Ebisu Minami, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (160m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 6 분 (410m)
도쿄 메트로 히비 야 라인 / 나카 메 구로 스테이션 11 분 도보 (830m)",,35 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 솔로, 크리스마스 저녁, 세련된 저녁 식사, 저녁, 쌀, 비 조화, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/17184037.jpg,,,,,https://www.facebook.com/umineko-ebisu-1893355544028977/,,,,
来たれ激辛部！恵比寿ファイヤーガーデン,"어서, 슈퍼 매운 클럽! 에비 수방 정원",https://retty.me/area/PRE13/ARE7/SUB701/100001444714/,050-5462-1980,한국 음식 사천 음식 타이 음식 중국 음식 뜨거운 냄비 한국 음식,"[Sun, 화요일, 금요일, 토요일]
저녁 식사 17:00-23:00 L.O. 22:30
첫 번째와 세 번째 화요일은 문을 닫을 수 있습니다.","매월 첫 번째 화요일 매월 셋째 화요일마다 매주 월요일
새해 전원은 12/31에서 1/5로 마감됩니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, AU 지갑","Tsuroy Daikanyama B1F, 1-29-9 Ebisu Nishi, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 4 분 (280m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 5 분 (370m)
JR Yamanote Line / Shibuya 역에서 도보로 11 분 (850m)","예
근처 (할인 없음) 사용 가능",30 석,예,"불가능합니다
(흡연 구역 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 32 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 40 명",https://fire-garden.jp,https://www.instagram.com/firegarden_ebisu/,"2,999 엔 미만의 코스","전세계 점점 : 2,000-2,999 엔, 4,000-4,999 엔 (4,000-4,999 엔), 5,000 엔 이상에서 온 탁월한 링크, 2 시간 동안 싱글 링크, 2 시간 반 동안 온전한 링크","어린이를위한 메뉴, 매우 매운 음식, 매장 내에서 준비된 메뉴","맥주, 와인, 칵테일",사용 가능한 예약,"Super Spicy Farewell Party, 개인 실, 생일, 개인 실, 금연, 세련된 개인 실, Paypay Payment, 연말 파티, 새해 파티, 스타일리쉬
다른 사용 장면을 참조하십시오",숨는 곳,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",없음,"예
유치원 어린이는 환영하고 초등학생은 환영하며 어린이 메뉴를 이용할 수 있습니다.",예,03-6416-5024,"중국어와 한국
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001444714/archive/2942935-63a132bfdc244.jpg,불가능합니다,예 (무료),,,,"TV 및 모니터, 오디오 장비",,,
