식당 이름,번역된 식당 이름,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자
全席個室 楽蔵うたげ 渋谷駅前店,모든 좌석 개인 실 Rakuzo Utage Shibuya Ekimae 매장,050-5303-1843,이자카야 야키토리,"[하루 종일]
 17:00-23:30 L.O. 22:30
*마지막 음료 주문은 마감 시간 30 분 전입니다.
*업무 시간 이전에도 연회를 이용할 수 있습니다!
*공식 웹 사이트에는 이해하기 쉽고 큰 거래가 포장되어 있습니다! 아래의 ""홈페이지""를 방문하십시오",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔",예,,"Shibuya Toei Plaza 6f, 1-24-12 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (33m)",,168 석,,"연기 분리
흡연실 사용 가능
(좌석 외에도 상점 안에는 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://rakuzo.dkdining.com/shibuyaekimae/,"dpay/aupay/line pay/rakuten pay/merpay/alipay/wechat pay/paypay/id
좌석 수수료가 있습니다. (코스 당시 가격에 포함)",,,,,,"고기, 개인 객실, 연회 및 음주 파티, 모든 링크, 쌀, 그룹 날짜, 연말 파티, 새해 파티, 작별 파티, 환영 파티, 흡연, 개인 실, 그룹 날짜, 쿠폰 제공, 맛있는 레스토랑 및 저렴한 레스토랑, 급여 지불 포인트, 온라인 예약, 캐주얼
다른 사용 장면을 참조하십시오",,,,,,,,,050-2018-8905,,,,,,,,
La Coccinella,La Coccinella,050-5262-4733,이탈리아 바 파스타 와인 바 서양식 음식,"[tue-fri]
점심 11:30-14:00 L.O. 13:30
저녁 식사 18:00-22:00 L.O. 21:00
[태양, 토요일, 휴일]
저녁 식사 17:00-21:00 L.O. 20:00
시간 절약 기간과 관련하여
오프닝은 저녁 오후 9 시까 지입니다.",매주 월요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",예,,"Aoyama Alcove 2F, 2-2-4 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 오모 테산도 (480m)에서 도보로 6 분
JR Yamanote Line / Shibuya 역에서 도보로 9 분 (660m)",,19 석,"예
(2 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://lacoccinella.foodre.jp/,,,,,,,"쌀, 저녁 식사, 점심, 음료, 고기, 생일, 엔터테인먼트, 싱글 OK, 유기농 요리, 환영 파티, 모든 링크, 개인 파티, 소녀의 밤, 날짜, 비영리 포인트, 온라인 예약 가능, 연말 파티
다른 사용 장면을 참조하십시오",,,,,,,,,03-6427-9532,,https://www.facebook.com/tokyolacoccinella/,,,,,,
Taki AKANE JapaneseBeer&SakeDining,Taki Akane Japanese & Sakedining,050-5304-3130,술집,"[월요일부터 금요일까지]
 17:00-24:00 L.O. 23:00
[태양, 토요일, 휴일]
 14:00-23:00 L.O. 22:00
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 FB를 확인하십시오.
■ 닫힌 상점
[4 월 상점 폐쇄]
7 일 (월), 12th (Sat), 13th (Sun), 21st (Mon), 30th (수)",,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"404 No. 2 Daiban Building 1-11-1 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (63m)",없음,"14 석
(6 개의 카운터 좌석, 3 개의 테이블 시트 및 8 개의 테이블 시트)",예,"불가능합니다
(상점 밖에서 이용 가능한 흡연 공간)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://takiakanejapaneseedesakedining.foodre.jp/
https://shibuya-taki.sakura.ne.jp/akane/index.html",,,,우리는 생선 요리에 대해 특히 그렇습니다,맥주와 술이 있습니다,,"성인을위한 은신처 인 Sake, Paypay 포인트 받기, 온라인 예약, 세련된",,,없음,,,예 (무료),예,,03-3464-5120,,https://www.facebook.com/takiakanejapaneesakedining-112031310585932,https://x.com/takiakane,,,,,
渋谷 HIGHBALL BAR,시부야 하이볼 바,050-5304-9931,바 크래프트 맥주 바,"[월요일부터 금요일까지]
 16:00-29:00 L.O. 28:00
[토양]
 15:00-29:00 L.O. 28:00
[일요일과 휴일]
 15:00-23:00 L.O. 22:00
*마지막 음료 주문은 마감 시간 30 분 전입니다.
*업무 시간 이전에도 연회를 이용할 수 있습니다!
*공식 웹 사이트에는 이해하기 쉽고 큰 거래가 포장되어 있습니다! 아래의 ""홈페이지""를 방문하십시오",하루 종일 개점,"점심:-
저녁 식사 : ~ 2,000 엔",예,,"23-10 Udagawacho, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 1 분 도보 (32m)",,69 석,,"연기 분리
흡연실 사용 가능
(좌석 외에도 상점 안에는 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://highballbar-shibuya.com/,dpay/aupay/line pay/rakuten pay/merpay/alipay/wechat pay/paypay/id,,,,,,"고기 쌀 후-파티 연회/음주 파티 저녁 식사 날짜 연말 파티 쿠폰 이용 가능 PayPay Point 온라인 예약 가능 전부-마시 링크 작별 파티 환영 파티 캐주얼
다른 사용 장면을 참조하십시오",,,,,,,,,050-2018-8953,,,,,,,,
肉バル Gottsu 渋谷店,고기 바 Gottsu Shibuya 지점,050-5462-7545,고기 바 이자카야 스테이크,"[하루 종일]
저녁 식사 17:00-24:00 L.O. 23:00","불규칙한 휴일
・ 새해 공휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Higashimatsu 건물 1f, 24-18 Sakuragaokacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (250m)
Keio Inokashira Line / Shinsen 역에서 도보로 10 분 (800m)
도쿄 도요코 라인 / 다이키 야마 역 13 분 도보 (1.0km)","없음
이웃 P (할인) 사용 가능, 이웃 (할인 없음)",45 석,예,"불가능합니다
(상점 건너편에 흡연 공간이 있으므로 사용하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 30 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 45 명","[공식적인]
https://gottsushibuya.foodre.jp/",,"4,000 엔 ~ 4,999 엔 코스, 6,000 엔에서 6,999 엔 코스로 제공됩니다.","4,000 엔에서 4,999 엔으로 인한 모든 코스와 5,000 엔 이상을위한 all-you-can-drink, 2 시간 동안, 2 시간 반 동안 싱글 링크를 포함하는 코스가 포함 된 코스가 있습니다.","우리는 야채 요리, 고기 요리, 채식 메뉴, 요리사가 유명한 식당에서 훈련을 받았으며 매장 내에서 준비된 것입니다.","맥주, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"저녁 식사, 저녁 식사, 소녀의 밤, 고기, 데이트, 모든 링크, 그룹 데이트, 결혼 기념일, 연회 및 음주 파티, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 결혼식, 애프터 파티, 작별 파티, 환영 파티, 체리 블로시스, 크리스마스 저녁 식사 레스토랑
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다
테이크 아웃 가능성
배송 가능",,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,예 (무료),예,"영어
직원과 함께 언어 지원 메뉴가 있습니다",03-6427-0481,,https://www.facebook.com/%E6%A1%9C%E4%B8%98%E8%82%89%E3%83%90%E3%83%AB-GOTTSU-1524402857884401/info,,,,,,
博多もつ鍋 黄金屋 渋谷店,Hakata Motsunabe Koganeya Shibuya 지점,050-5462-7311,Izakaya Yakitori Kyushu 요리,"[하루 종일]
 12:00-23:00 L.O. 22:00","하루 종일 개점
새해 휴일 (확인하십시오)","점심 : ~ 3,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"ICHIBAN 빌딩 B1F, 1-3-11 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station (190m)에서 도보로 3 분
Keio Inokashira Line / Shinsen 역에서 도보로 9 분 (690m)
도쿄 도요코 라인 / 다이키 야마 역 15 분 도보 (1.2km)",없음,"70 석
(반 개인 객실, 2 ~ 6 명, 6 ~ 5 명, 6 ~ 5 명, 1 ~ 40 명, 1 ~ 10 명이 침몰 한 Kotatsu Tatami Room)",예,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(개인 실과 ​​타타미 룸에서 가열 된 담배 만 사용할 수 있습니다. (법률 및 규정에 따라 환기 장비가 설치되었습니다) 미성년자를 포함한 고객은 흡연 좌석에 대해 알 수 없습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",https://motsunabe-koganeya.com/,"미성년자를 포함한 고객은 흡연 좌석에 대해 알 수 없습니다.

수동 흡연 (Amendment Health Promotion Act)에 대한 조치에 관한 법은 2020 년 4 월 1 일부터 시행되었습니다.
최신 정보는 상점에 문의하십시오.","3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","전산 된 가격 : 1,000-1,999 엔, 4,000-4,999 엔의 싱글 링크, 그리고 5,000 엔 이상, 2 시간 동안 완전히 흠집",매우 매운 메뉴와 함께 특수 고기 요리,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"작별 파티 점심 점심 점심 점심 점심 식사 점심 점심 점심 식사 개인 객실 개인 방 ha-can-drink 약혼 저녁 식사만으로 즐길 수 있습니다. 엔터테인먼트 환영 파티 크리스마스 저녁 음료 음료 음료 와인 어린이와 함께 즐거운 개인 흡연 허용 개인 객실 점심
다른 사용 장면을 참조하십시오","차분한 분위기
골목을 향합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",없음,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,불가능합니다,예,"영어 중국어 한국
언어 지원 메뉴가 있습니다",03-5728-8600,,,,,https://www.instagram.com/koganeya.shibuya/,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay",,
渋三 吉成,시부자 요시나리,050-5462-4460,해산물과 해산물 이자카야 일본 음식,"[월요일부터 금요일까지]
점심 11:30-15:00
저녁 식사 17:30-23:00
[토양]
저녁 식사 17:00-22:30",매주 일요일과 공휴일,"저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2F, Ono Building, 3-18-8 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya 역에서 도보로 5 분 (360m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 13 분 (990m)
Keio Inokashira Line / Shinsen 역에서 도보 15 분 (1.1km)",없음,"41 석
((4 개의 카운터 좌석, 26 개의 테이블 시트, 5 개의 바 스타일 테이블 시트))))",예,"불가능합니다
(흡연 별도 (확인 담배 만 확인))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",,"[공식적인]
https://sibusannyosinari.foodre.jp/",,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000 엔 -2,999 엔, 코스에는 5,000 엔 이상의 링크, 3 시간 이상 만난 링크가 포함됩니다.",우리는 생선 요리를 전문으로하고 매장 내에서 준비합니다,,저녁 식사 시간에만 사용할 수 있습니다,"소녀 파티, 저녁 식사, 연회 및 음주 파티, 모든 링크, 저녁 식사, 개인 객실, 엔터테인먼트, 약혼 저녁 식사, 연말 파티, 새해 파티, 개인 점심, 솔로, 결혼식, 애프터 파티, 성인 가밀한 파티, 환영 파티, 크리스마스 저녁 식사
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳",,,,불가능합니다,,,,03-3409-3883,,https://www.facebook.com/%E6%B8%8B%E4%B8%89-%E5%90%89%E6%88%90-209260129117100/,,,,,,
老麻火鍋房 薬膳火鍋専門店,ORAMA HOTPOT 병 - 지중해 핫팟을위한 전문 상점,050-5462-4359,이자카야 핫팟,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 18:00-27:00 L.O. 26:00
[태양, 토요일, 휴일]
저녁 식사 17:00-27:00 L.O. 26:00","하루 종일 개점
[새해 개막]","점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Grand Est Building 2F, 15-3 Maruyamacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 2 분 (88m)
JR Yamanote Line / Shibuya Station 10 분 도보 (790m)
Keio Inokashira Line / Komaba Higashidaimae Station에서 도보 14 분 (1.1km)","없음
근처 (할인 없음) 사용 가능","38 석
(각 테이블에서 38 개의 스크린을 사용할 수 있습니다 (모든 좌석은 16 개의 소파 좌석, 12 개의 테이블 시트, 6 ~ 10 개의 개인 실)로 나뉩니다)",없음,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
제한된 수의 사람들이 임대 할 수있는 (좌석) : 35 명","[공식적인]
https://raomaahinabebou.foodre.jp/
http://raomaahinabebou.com/",,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 5,000 엔 이상, 2 시간 동안 all-you-can-drink가 포함됩니다.","우리는 야채 요리, 고기 요리, 수입 재료, 현지에서 생산 된 재료, 매우 매운 메뉴, 소유자 및 매장 준비에 특히 도움이됩니다.","맥주, 쇼카, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"늦은 밤, 저녁 식사, 개인 객실, 소녀 파티, 연회 및 음주 파티, 엔터테인먼트, 슈퍼 매운, 급여 지불 지불 가능, 약혼 저녁 식사 파티, 싱글, 결혼식, 애프터 파티, 작별 파티, 환영 파티, 크리스마스 저녁, 새해 파티, 술 마시기
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",없음,예,불가능합니다,불가능합니다,예,,03-6455-3500,,https://www.facebook.com/p/orama Hotpot Botan -100054418242649/,https://x.com/laotanhotpot,,https://www.instagram.com/raomaahinabebo/,,,
魚龍 渋谷店,Uoryu Shibuya 상점,050-5461-4779,이자카야 해산물과 해산물 사시미,"[선, 월요일부터 목요일, 휴일]
 17:00-24:00 L.O. 23:30
[금요일, 토요일, 휴일 전]
 17:00-4:30 L.O. 4:00",일년 내내 열립니다,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Lu82 건물, 26-4 Udagawacho, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (290m)
Keio Inokashira Line / Shinsen 역에서 도보로 9 분 (670m)
도쿄 메트로 치 요다 라인 / 메이 지 징 우마 역에서 도보 15 분 (1.2km)",예,130 석,예,"예
완전히 흡연이 허용됩니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","999 엔 미만의 모든 금액 가격, 1000-1999 엔 미만의 모든 링크 가격은 2999 엔 아래에 포함될 수 있으며, 전 All-You-Can-Drink 코스는 3000-3999 엔에 포함시킬 수 있습니다. 5000 엔 이상, 냉담한 시간, 싱글 링크 시간, 2 시간 반 동안 싱글 링크, 3 시간 이상 동안 싱글 링크를 포함시킬 수 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 유기농 야채, 매우 매운 메뉴, 요리사가 해외에서 훈련을 받고, 요리사는 유명한 식당에서 훈련을 받고, 유명한 레스토랑에서 훈련을 받고, 요리사가 준비하고, 셰프가 준비되었고, 흉터 내에 준비되었습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"쌀, 저녁 식사, 전세, 개인 실, 사후 파티, 쿠폰, 연회 및 음주 파티, 세련된 개인 실, 흡연 허용, 생일, 엔터테인먼트, 그룹 데이트, 결혼 기념일, 환영 파티, 새해 파티, 맛있고 저렴한 레스토랑, 작별 인사, 개인 객실, 그룹 데이트
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",,"예
유아, 유치원 어린이, 초등학생을 환영합니다",예,,예,영어 중국어,090-2080-7979,,,,"프로젝터, TV 및 모니터 사용 가능",,,,
炭火串焼 千串屋 渋谷店,숯 구운 꼬치 Senkuya Shibuya 지점,050-5303-5292,야키토리 일본 음식,"[월요일부터 금요일까지]
저녁 식사 17:00-24:00 L.O. 23:00
[Sun, Saturday, Holidays, 휴일 전]
저녁 식사 16 : 30-24 : 00 L.O. 23:00
2 시간 일정이 있습니다.","하루 종일 개점
새해 휴일 (확인하십시오)
12/31-1/4","점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드",,"Hy Building B1, 2-6-14 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (320m)
Keio Inokashira Line / Shinsen 역에서 도보 8 분 (580m)
도쿄 메트로 치 요다 라인 / 메이 지 징 우마 역에서 도보 16 분 (1.3km)",없음,30 석,예,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(● 상점의 모든 좌석, 난방 담배가 허용됩니다. ● 외부 흡연 구역이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",불가능합니다,"[공식적인]
https://senkushiya.foodre.jp/",,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다",,우리는 고기 요리를 전문으로하고 매장 내에서 준비합니다,,사용 가능한 예약,"저녁 식사, 개인 객실, 엔터테인먼트, 단일 파티, 연회 및 음주 파티, 무료 WiFi, 환영 파티, 세련된 개인 실, 날짜, 연말 파티, 작별 파티, 흡연 허용, 개인 실, 날짜, 크리스마스 2024, 성인의 연말 파티, 세련된, Merikuri
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳",,평상복,,불가능합니다,,예,영어,03-5428-1530,,,,,,,,
カラオケの鉄人 渋谷道玄坂店,가라오케 Tetsujin Shibuya Dogenzaka 매장,03-6416-5681,식당 바,"[하루 종일]
 11:00-30:00",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2-29-11 Dogenzaka, Shibuya-Ku, Tokyo 6th Central Building
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (74m)
Keio Inokashira Line / Shinsen 역에서 도보로 7 분 (510m)",없음,256 석,없음,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,,"PayPay 지불 가능. PayPay 포인트를 얻습니다. 온라인 예약 가능. 연말 파티. 새해 파티. 작별 파티. 파티를 환영합니다. 개인 실. 점심 음주. 평상복.
다른 사용 장면을 참조하십시오",,,,,,,예,,,,,,,,,,
渋谷焼肉 金剛園,시부야 야키 니쿠 콩고 엔,03-6416-0297,Yakiniku 한국 요리 호르몬 쇠고기 혀 이자카야 고기 바 스테이크 야키토리,"[하루 종일]
저녁 식사 17:00-4:00 L.O. 3:00
마감 시간은 하루에 따라 다를 수 있습니다
*매일 예약이 허용됩니다.
*상황에 따라 변경 될 수 있습니다.
*시간 제한은 바쁜 시간에 설정 될 수 있습니다.
*2 명의 경우 90 분, 3 명 이상의 사람은 120 분",명확하지 않습니다,"점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Plaza dogenzaka 2f, 2-25-7 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (230m)
Keio Inokashira Line / Shinsen Station에서 도보 6 분 (470m)","없음
근처 (할인 없음) 사용 가능",24 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 18 명
예약 할 수있는 제한된 수의 사람들 (앉음) : 34 명","[공식적인]
https://kongouen-shibuya.foodre.jp/
https://akr3977491973.owst.jp/",,"5,000 ~ 5,999 엔 코스로 제공됩니다",,우리는 고기 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"데이트 연회 및 음주 파티 참여 단일 파티 엔터테인먼트 작별 파티를 환영하는 파티를 환영합니다. 체리 꽃보기와 레스토랑 체리 블로 솜 전망 크리스마스 저녁 식사 연말 파티를 마시는 새해 파티를 마시는 와인을 마시는 와인이 있습니다.
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,"불가능합니다
유아, 유치원 어린이, 초등학생을 환영합니다",,,없음,"영어
언어 지원 메뉴가 있습니다",,,https://www.facebook.com/japanease.beef.a5/,,,,,,
