category,attraction,description,address,image,date,price
역사,배과학관,바다 애호가들이 열광하는 배 모양 박물관,"3-1 Higashi Yashio, Shinagawa-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1645757105/tokyo/M_00540_002",,600
역사,산노마루 쇼조칸 황실 박물관,무료로 황실 소유의 광범위한 예술 작품 소장품 구경,"1-8 Chiyoda, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1700097412/tokyo/tokyo1723_1",,
축제,산노축제,기념 축제와 도쿄식 숭배의식,"2-10-5 Nagata-cho, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516447629/tokyo/Tokyo2248_2",,
랜드마크,산리오퓨로랜드,헬로키티를 위시한 산리오의 귀여운 캐릭터 친구들이 사는 깜찍한 세상 속으로,"1-31 Ochiai, Tama-shi, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1648466617/tokyo/H_00547_001",,3900
축제,산자축제,센소지 사원에서 열리는 사흘간의 봄맞이 축제,"2-3-1 Asakusa, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934903/tokyo/Tokyo2267_2",5.18-5.20,
역사,산토리 도쿄 무사시노 맥주공장,현지 특산주를 맛보고 제조 과정을 살펴보세요,"3-3-1 Yazaki-cho, Fuchu-shi, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1519784879/tokyo/Tokyo2821_2",,
역사,산토리미술관,"생활 속의 미'를 테마로 일본 미술을 중심으로 한 회화, 도자기, 칠공예, 염색, 유리 등 약 3,000건의 작품을 소장하고 있습니다","3F Tokyo Midtown Galleria, 9-7-4 Akasaka, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1668411054/tokyo/Tokyo_t_id286_2",,1500
랜드마크,선샤인 시티,인기 있는 엔터테인먼트 중심지 선샤인 시티의 일부로 우뚝 솟은 도쿄의 랜드마크,"3-1 Higashiikebukuro, Toshima-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1647834380/tokyo/M_01108_001",,
자연,선샤인수족관,옥상 수족관과 하늘에서 만나는 수중의 오아시스,"3-1 Higashiikebukuro, Toshima-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646734746/tokyo/H_00676_005",,2400
역사,센소지,"도쿄에서 가장 유명한 사찰에서 만나는 시끌벅적한 시장, 신성한 연기와 복을 비는 기원 의식","2-3-1 Asakusa, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1675339920/tokyo/Tokyo_s_id19_18",,
역사,쇼와관,전시 일본 백성의 역경을 보여주는 전시물,"1-6-1 Kudanminami, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934615/tokyo/Tokyo2242_2",,300
자연,쇼와기념공원,다치카와시 교외에 있는 쇼와 기념 공원은 180헥타르의 광대한 부지를 자랑하는 국영공원입니다.,"3173 Midori-cho, Tachikawa-shi, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934781/tokyo/Tokyo2373_1",,450
역사,스모박물관,"일본 전통 스포츠인 스모의 역사와 문화를 깊이 있게 체험할 수 있는 전문 박물관으로, 도쿄 스미다구 료고쿠 국기관(스모 경기장) 1층에 위치해 있습니다.","1-3-28 Yokoami, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516745065/lazyload-placeholder_muhsz3.jpg",,
축제,스미다가와불꽃축제,다채로운 여름날 저녁,"Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934431/tokyo/Tokyo2299_3",7.28,
자연,스미다공원,"스미다공원은 도쿄 스카이트리와 스미다강을 배경으로 사계절 내내 다양한 매력을 선사하는 도심 속 대표 공원입니다. 벚꽃과 불꽃놀이, 산책과 야경, 가족 단위 휴식까지 모두 만족","1-2-5 Mukoujima, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1517190608/tokyo/Tokyo2298_5",,
축제,스미다공원벚꽃축제,강변 공원에 만발한 분홍빛 꽃송이,"Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1645786693/tokyo/M_00564_001",,
자연,스미다수족관,"다양한 해양 생물과 특별한 체험, 가족 단위 방문객에게도 매력적인 공간입니다.","1-1-2 Oshiage, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513933960/tokyo/Tokyo2295_2",,2050
랜드마크,스미다호쿠사이미술관,스미다에서 가장 유명한 예술가를 기리는 곳,"2-2-7-2 Kamezawa, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1671706996/tokyo/Tokyo_t_id435_1",,1000
역사,스이텐구신사,임신이나 순산을 기원하는 도심의 신사. 니혼바시에 있는 스이텐구 신궁은 아이를 원하는 부부들이나 순산을 기원하는 여성들이 끊임없이 찾아옵니다.,"2-4-1 Nihonbashi Hongoku-cho, Chuo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516735407/fukuoka/Fukuoka1628_1",,
자연,시모키타자와,"바쁜 도시 생활의 완벽한 해독제, 도쿄 시내의 느긋한 창의력 표현의 장","Setagaya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934102/tokyo/Tokyo2334_1",,
액티비티,시바우라,"다양한 식당과 주점이 있으며, 산책이나 수상버스, 바닷가 전망을 즐기기에 좋은 곳입니다.","Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516449017/tokyo/Tokyo2360_3",,
랜드마크,시부야,도쿄 최첨단 문화의 중심지,"Shibuya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936730/tokyo/Tokyo2333_3",,
액티비티,시부야 & 시모키타자와,최첨단과 레트로 양쪽을 모두 체험할 수 있는 시부야와 시모키타자와 산책,"2-24-12 Shibuya, Shibuya City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936730/tokyo/Tokyo2333_3",,
랜드마크,시부야 스크램블 스퀘어 ‘시부야 스카이’ 및 미야시타 파크,"시부야역과 직결된 도쿄 시부야의 초고층 복합 빌딩으로, 시부야에서 가장 높은 229m의 마천루","2-24-12 Shibuya, Shibuya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1676974929/tokyo/Tokyo_s_id67_8",,2000
랜드마크,시부야스크램블교차로,도쿄에서 가장 번화한 교차로,"Shibuya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516980091/tokyo/Tokyo2333_13",,
액티비티,시오도메,도쿄의 개발 지역을 특징짓는 현란한 고층 빌딩과 저렴한 음식점,"Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516449041/tokyo/Tokyo2361_5",,
랜드마크,신국립 경기장,도쿄 2020 신국립 경기장,"10-1 Kasumigaokamachi, Shinjuku-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1585015947/tokyo/2037_1",,
랜드마크,신국립극장도쿄,"세계 최고의 환경에서 오페라, 연극, 발레의 장엄함 체험하기","1-1-1 Hon-machi, Shinjuku-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1526623428/tokyo/newnationaltheatre_01",,
액티비티,신주쿠,"본격적으로 다 내려놓고 도쿄를 즐길 수 있는 곳, 네온 조명이 환한 신주쿠","1-1-6 Nishishinjuku, Shinjuku City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513945890/tokyo/Tokyo2335_10",,
자연,신주쿠교엔,한때 황족만 볼 수 있었던 넓은 정원이 이제 도심 속 오아시스로,"11 Naito-machi, Shinjuku-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1644482411/tokyo/H_00640_IMG_2656.jpg",,500
자연,신주쿠교엔벚꽃,도쿄 최고의 하나미(꽃놀이) 명소,"11 Naito-machi, Shinjuku-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1643269873/tokyo/IMG_2561",,500
역사,쓰키지,"시장 상인들의 번화한 커뮤니티, 서구의 영향력을 느낄 수 있는 유적지, 유람선이 기다리는 곳","Tsukiji, Chuo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646013708/tokyo/H_00399_002",,
액티비티,쓰키지 야외 시장,일본에서 가장 유명한 시장을 탐방하고 땅과 바다의 재료로 만든 이국적이고 푸짐한 음식 맛보기,"5-2-1 Tsukiji, Chuo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646013708/tokyo/H_00399_002",,
역사,쓰키지혼간지사원,"도쿄 주오구 쓰키지에 위치한 정토진종 혼간지파의 대표 사찰로, 일본 내에서도 이국적인 건축미와 독특한 역사로 유명한 명소","3-15-1 Tsukiji, Chuo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1635753243/tokyo/M_00582_001",,
액티비티,아메요코 상점가,도쿄 우에노역과 오카치마치역 사이를 잇는 약 400~500m 길이의 고가철도 아래에 형성된 활기 넘치는 재래시장,"4/6 Ueno, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937117/tokyo/Tokyo2264_6",,
역사,아사쿠사,"고색창연한 센소지부터 현대적인 도쿄 스카이트리까지, 과거와 현재가 어우러진 아사쿠사","2-3-1 Asakusa, Taito City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646013222/tokyo/H_00498_001",,
축제,아사쿠사도리노이치,복을 긁어모으러 아사쿠사 도리노이치 축제로,"3-19-6 Senzoku, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938296/tokyo/Tokyo2311_11","11.1, 11.13, 11.15",
역사,아이다미츠오미술관,영혼이 담긴 서도(서예),"3-5-1 Marunouchi, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516745065/lazyload-placeholder_muhsz3.jpg",,1200
액티비티,아카사카,"일본 도쿄의 중심지 중 하나이다. TBS 테레비 본사가 이곳에 있으며, 한때 유명 호텔이었던 아카사카 프린스 호텔도 이곳에 있었다.","Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1644986187/tokyo/Tokyo1737_1",,
액티비티,아카사카사카스,"아카사카 사카스는 일본 도쿄 미나토구 아카사카에 위치한 대규모 복합 문화·상업 시설 단지로, TBS(도쿄 방송) 방송센터를 중심으로 다양한 엔터테인먼트, 쇼핑, 레스토랑, 오피스, 주거 시설이 집약된 ‘도시 속의 도시’입니다","5-3-6 Akasaka, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1644986187/tokyo/Tokyo1737_1",,
축제,아코의사제,전설이 된 충성스러운 무사들을 기리는 유서 깊은 축제,"2-11-1 Takanawa, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1517190635/tokyo/Tokyo2662_1",12.14,
액티비티,아키하바라,"아키하바라 - 오타쿠 문화, 아니메와 독특한 카페가 많은 에너지 넘치는 도심","Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516980036/tokyo/Tokyo2608_1",,
역사,야구전당박물관,"일본 야구전당박물관은 도쿄 돔 내에 위치한 일본 최초이자 대표적인 야구 전문 박물관으로, 일본 야구의 역사와 문화, 명예의 전당을 한자리에서 체험할 수 있는 특별한 명소","1-3-61 Koraku, Bunkyo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934637/tokyo/Tokyo2302_2",,600
랜드마크,"얀센(야나카,네즈,센다기,혼고)","복고적인 분위기와 푸짐한 식사, 커피와 캔디 고질라를 볼 수 있는 도쿄의 구시가지","Bunkyo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935482/tokyo/Tokyo2316_1",,
역사,에도 도쿄 건축박물관,과거 수 세기 동안 자리를 지킨 건물들이 늘어선 골목 산책,"3-7-1 Sakura-cho, Koganei-shi, Tokyo-to (located within Koganei Park)","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1671448288/tokyo/Tokyo_t_id385_1",,400
역사,에도도쿄박물관,"에도도쿄박물관(江?東京博物館)은 도쿄 스미다구 료고쿠에 위치한, 에도 시대부터 현대 도쿄에 이르기까지 약 400년간의 도시 역사와 문화를 실감나게 체험할 수 있는 대형 역사 박물관","1-4-1 Yokoami, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516447913/tokyo/Tokyo2268_4",,600
역사,에도성,일본 황궁(고쿄) 부지에 자리한 일본 역사상 가장 중요한 성 중 하나,"1-1 Chiyoda, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938173/tokyo/Tokyo2229_9",,
랜드마크,에비스가든플레이스,도쿄도 시부야구 및 메구로구에 걸치는 복합 시설,"4-20-20 Ebisu, Shibuya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1707291341/tokyo/Tokyo_t2023_M_00556_1",,
역사,영빈관아카사카별궁,"영빈관 아카사카별궁은 도쿄 미나토구 모토아카사카에 위치한 일본의 대표적인 국빈 접대 시설이자, 일본 유일의 네오바로크 양식 궁전","2-1-1 Moto-Akasaka, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1525674337/tokyo/akasaka_state_palace04",,
액티비티,오가사와라제도,생태 관광의 명소로 때 묻지 않은 천연의 해변과 수상 어드벤처 스포츠로 유명한 태평양 한복판의 외딴...,"Ogasawara Islands, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934416/tokyo/Tokyo2379_9",,
액티비티,오다이바,도쿄만에 면한 쇼핑과 유흥 낙원,"1-6-1 Daiba, Minato City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936609/tokyo/Tokyo2355_6",,
자연,오다이바해변공원,바다 건너 펼쳐진 도쿄의 스카이라인,"1-4 Daiba, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936609/tokyo/Tokyo2355_6",,
액티비티,오모테산도&아오야마,"명품 쇼핑을 원한다면 도쿄의 샹젤리제와 아오야마, 오모테산도 추천","Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937588/tokyo/Tokyo2324_4",,
자연,오쿠타마,산이 많은 도쿄 뒷마당으로 가벼운 도시 탈출 여행,"Nishitama District, Okutama, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938752/tokyo/Tokyo2368_3",,
자연,오쿠타마호,도쿄 서쪽 산자락에 자리 잡은 인공 저수지. 오쿠타마호의 깊고 푸른 물이 저 멀리 수평선까지 이어집니다.,"Nishitama District, Okutama, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935204/tokyo/Tokyo2367_2",,
랜드마크,요미우리랜드,"요미우리랜드는 도쿄 도심에서 가까운 위치에 자리한 대형 놀이공원으로, 사계절 내내 다양한 즐길 거리와 체험, 가족부터 연인, 친구까지 모두 만족할 수 있는 명소","4015-1 Yanokuchi, Inagi-shi, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1644985602/tokyo/Tokyo1625_main",,1800
자연,요요기공원,만인의 사랑을 받는 요요기 공원,"2-1 Yoyogikamizono-cho, Shibuya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934184/tokyo/Tokyo2342_3",,
자연,우에노,"예술과 동물, 실생활이 어우러진 다채로운 즐거움","Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937117/tokyo/Tokyo2264_6",,
랜드마크,우에노 & 아키하바라,"랜드마크 공원과 동물원, 문화예술과 강렬한 팝 컬처의 만남","8-36 Ueno Park, Taito City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937406/tokyo/Tokyo2264_4",,
자연,우에노 공원(도쿄),"문화 시설, 사원, 넓은 동물원, 그리고 봄철의 벚꽃","5-20 Uenokoen, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935022/tokyo/Tokyo2315_1",,
랜드마크,우에노 동물원,"판다, 고릴라를 비롯한 크고 작은 동물이 사는 곳","9-83 Uenokoen, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1675395719/tokyo/Tokyo_s_id25_9",,600
축제,우에노벚꽃축제,도쿄의 벚꽃 구경 명소,"5-20 Uenokoen, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938345/tokyo/Tokyo2313_1",,
랜드마크,워너브라더스 스튜디오 투어 도쿄 - 더 메이킹 오브 해리 포터,최대 규모의 실내 해리 포터 체험형 전시관,"1-1-7 Kasugacho, Nerima-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1701764333/tokyo/Tokyo_s2023_ID1_36",,6300
역사,유시마텐만구신사,학문의 신을 모시는 곳으로 특히 수험생과 학문을 중시하는 이들에게 사랑받는 명소입니다,"3-30-1 Yushima, Bunkyo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934753/tokyo/Tokyo2317_6",,
자연,이노카시라공원벚꽃,도쿄에서 가장 예쁜 공원 겸 최고의 벚꽃놀이 명소,"1-18-31 Gotenyama, Musashino-shi, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934855/tokyo/Tokyo2366_1",,
랜드마크,이데미쓰 미술관,70 years of collector's passion,"3-1-1 Marunouchi, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1668667893/tokyo/Tokyo_t_id342_1",,1200
액티비티,이즈오섬,하이킹 코스와 더불어 흥미로운 지질 특성을 구경할 수 있는 도쿄 해안의 아열대 화산섬,"Izu Islands, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935995/tokyo/Tokyo2380_3",,
액티비티,이즈제도,"비교적 덜 알려진 도쿄 도내 다도해의 깊은 숲과 화산성 온천, 해양 스포츠",Tokyo-to,"https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934387/tokyo/Tokyo2382_1",,
자연,이초나미키가로수길,아오야마와 메이지 진구 가이엔 공원을 연결하는 황금빛 나무의 통로,"Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938563/tokyo/Tokyo2326_1",,
역사,이케가미혼몬지사원,니치렌과 관련 있는 이야기가 깃든 불교 사원,"1-1-1 Ikegami, Ota-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935154/tokyo/Tokyo2349_12",,
축제,이케가미혼몬지어회식법회,매년 30만 명의 손님이 찾는 기념 축제,"1-1-1 Ikegami, Ota-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1517338253/tokyo/Tokyo2349_14",10.11-10.13,
자연,이케부쿠로,의외의 색다른 대중문화의 한 측면과 훌륭한 정원을 볼 수 있는 재미난 여행지 이케부쿠로,"1-28-2 Higashiikebukuro, Toshima City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516728972/tokyo/Tokyo2270_8",,
역사,일본과학미래관,전 세계 최신 기술과 새로운 발견을 선보이는 곳,"2-3-6 Aomi, Koto-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934707/tokyo/Tokyo2354_1",,620
액티비티,일본무도관,도쿄 지요다구 기타노마루 공원에 위치한 일본 전통 무술과 대중문화를 대표하는 다목적 실내 경기장입니다.,"2-3 Kitanomaru Koen, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937015/tokyo/Tokyo2245_2",,
역사,일본은행본점,"도쿄 니혼바시에 위치한 일본의 중앙은행 본점으로, 역사적·건축적 가치와 함께 내부 견학, 화폐박물관 등 다양한 체험 요소를 갖춘 명소","2-1-1 Nihonbashi Hongoku-cho, Chuo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513933652/tokyo/Tokyo2220_1",,
역사,일본은행화폐박물관,세계 각국의 화폐 역사를 한눈에 볼 수 있는 전문 박물관,"1-3-1 Nihonbashi Hongoku-cho, Chuo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1648122373/tokyo/M_00606_001",,
